x,y,z,z2
4.37,0.0,-0.041178,-0.024412
6.65,0.0,-0.041609,-0.024782
8.75,0.0,-0.042012,-0.024822
11.03,0.0,-0.042582,-0.025145
13.3,0.0,-0.042989,-0.025118
15.58,0.0,-0.043756,-0.025189
17.85,0.0,-0.044763,-0.02545
20.3,0.0,-0.045349,-0.025869
22.4,0.0,-0.046027,-0.026224
24.68,0.0,-0.046661,-0.026609
26.95,0.0,-0.047228,-0.026649
29.05,0.0,-0.047595,-0.027148
31.33,0.0,-0.048362,-0.027727
33.43,0.0,-0.049418,-0.028642
35.7,0.0,-0.050238,-0.029757
37.97,0.0,-0.050866,-0.031205
40.25,0.0,-0.051455,-0.032798
42.52,0.0,-0.052444,-0.033901
44.62,0.0,-0.054147,-0.035608
46.9,0.0,-0.056285,-0.037034
49.17,0.0,-0.058611,-0.038611
51.27,0.0,-0.062126,-0.040152
53.55,0.0,-0.065959,-0.04168
55.65,0.0,-0.070386,-0.04318
57.92,0.0,-0.07477,-0.044726
60.2,0.0,-0.08013,-0.045879
62.3,0.0,-0.086258,-0.047213
64.57,0.0,-0.092425,-0.048815
66.67,0.0,-0.099375,-0.050669
68.95,0.0,-0.106572,-0.052669
71.22,0.0,-0.115013,-0.054942
73.32,0.0,-0.123873,-0.057425
75.42,0.0,-0.134501,-0.059554
77.87,0.0,-0.145989,-0.062323
79.97,0.0,-0.15919,-0.064748
82.25,0.0,-0.175278,-0.067274
84.52,0.0,-0.194692,-0.069067
86.62,0.0,-0.215644,-0.070241
88.9,0.0,-0.24143,-0.070047
91.17,0.0,-0.272188,-0.068014
93.27,0.0,-0.307425,-0.063263
95.55,0.0,-0.343842,-0.057434
97.65,0.0,-0.376559,-0.05107
99.92,0.0,-0.39776,-0.046184
102.2,0.0,-0.404858,-0.042687
104.47,0.0,-0.398253,-0.039887
106.57,0.0,-0.379677,-0.037431
108.85,0.0,-0.350801,-0.03484
111.12,0.0,-0.316688,-0.03229
113.4,0.0,-0.279763,-0.029021
115.5,0.0,-0.243069,-0.025712
117.77,0.0,-0.209162,-0.022992
120.05,0.0,-0.177034,-0.021442
122.32,0.0,-0.147237,-0.021301
124.6,0.0,-0.121153,-0.022918
126.7,0.0,-0.097502,-0.026532
128.97,0.0,-0.074933,-0.032348
131.07,0.0,-0.054261,-0.040478
133.35,0.0,-0.035478,-0.051532
135.62,0.0,-0.01826,-0.065789
137.72,0.0,-0.002419,-0.082718
140.0,0.0,0.01283,-0.103238
142.27,0.0,0.026321,-0.126566
144.37,0.0,0.037544,-0.150925
146.65,0.0,0.047014,-0.178167
148.93,0.0,0.053684,-0.207265
151.03,0.0,0.057803,-0.235669
153.3,0.0,0.059084,-0.262416
155.58,0.0,0.056771,-0.288226
157.68,0.0,0.050477,-0.309899
159.95,0.0,0.04048,-0.326661
162.23,0.0,0.026121,-0.33647
164.5,0.0,0.008028,-0.339159
166.6,0.0,-0.012795,-0.332942
168.7,0.0,-0.036393,-0.317536
171.15,0.0,-0.061874,-0.292326
173.25,0.0,-0.089905,-0.257779
175.53,0.0,-0.117838,-0.214954
177.8,0.0,-0.147212,-0.159307
180.08,0.0,-0.17448,-0.101843
182.35,0.0,-0.200136,-0.039107
184.63,0.0,-0.224169,0.028215
186.9,0.0,-0.245786,0.094941
189.0,0.0,-0.2657,0.159639
191.1,0.0,-0.283891,0.223477
193.38,0.0,-0.298879,0.281265
195.65,0.0,-0.310872,0.33385
197.75,0.0,-0.320228,0.379167
200.03,0.0,-0.326759,0.417035
202.13,0.0,-0.33077,0.445128
204.4,0.0,-0.331408,0.46559
206.68,0.0,-0.329242,0.47774
208.95,0.0,-0.324501,0.481126
211.05,0.0,-0.317779,0.477562
213.33,0.0,-0.308112,0.466912
215.6,0.0,-0.297486,0.451801
217.7,0.0,-0.285262,0.432171
219.98,0.0,-0.272268,0.40925
222.25,0.0,-0.259255,0.38328
224.35,0.0,-0.2474,0.35514
226.63,0.0,-0.238007,0.326641
228.9,0.0,-0.231892,0.297094
231.0,0.0,-0.231861,0.266216
233.28,0.0,-0.241482,0.23751
235.55,0.0,-0.261498,0.210128
237.65,0.0,-0.288195,0.183563
239.75,0.0,-0.312804,0.157547
242.03,0.0,-0.331485,0.132618
244.3,0.0,-0.340438,0.108246
246.58,0.0,-0.338823,0.084719
248.85,0.0,-0.328244,0.063659
250.95,0.0,-0.311005,0.045963
253.23,0.0,-0.287557,0.030668
255.5,0.0,-0.260974,0.018634
257.78,0.0,-0.233944,0.008736
259.88,0.0,-0.208497,0.001666
262.15,0.0,-0.182465,-0.004363
