x,y,z,z2
0.0,2.45,-0.002564,0.001195
0.0,4.72,-0.002077,0.000665
0.0,7.0,-0.001267,0.000742
0.0,9.8,0.002125,-8.1e-05
0.0,12.42,0.005908,-0.001187
0.0,14.7,0.011607,-0.002314
0.0,16.98,0.018936,-0.004015
0.0,19.25,0.02714,-0.006002
0.0,21.53,0.035677,-0.007681
0.0,23.8,0.044898,-0.009819
0.0,25.9,0.053391,-0.01192
0.0,28.18,0.06165,-0.013621
0.0,30.45,0.069522,-0.01534
0.0,32.55,0.076894,-0.017086
0.0,34.83,0.083034,-0.018331
0.0,37.1,0.088788,-0.019594
0.0,39.37,0.093536,-0.020574
0.0,42.0,0.097664,-0.022216
0.0,44.27,0.100526,-0.023642
0.0,46.37,0.102257,-0.025192
0.0,48.65,0.103502,-0.02684
0.0,50.75,0.103443,-0.028744
0.0,53.37,0.102156,-0.030306
0.0,55.47,0.099438,-0.031375
0.0,57.75,0.095541,-0.03225
0.0,60.02,0.089673,-0.032897
0.0,62.3,0.082778,-0.032977
0.0,64.57,0.074842,-0.032588
0.0,66.85,0.06548,-0.031969
0.0,69.12,0.054306,-0.03106
0.0,71.4,0.042337,-0.029717
0.0,73.5,0.028465,-0.028038
0.0,75.77,0.012923,-0.025919
0.0,77.87,-0.004742,-0.023426
0.0,80.15,-0.022271,-0.020278
0.0,82.42,-0.042262,-0.015993
0.0,84.52,-0.064597,-0.010364
0.0,86.8,-0.087813,-0.00404
0.0,89.25,-0.112727,0.00393
0.0,91.35,-0.1322,0.010323
0.0,93.62,-0.148476,0.016124
0.0,95.9,-0.159671,0.019432
0.0,98.17,-0.166273,0.021549
0.0,100.45,-0.167616,0.021654
0.0,102.55,-0.166156,0.020588
0.0,104.82,-0.162542,0.018816
0.0,106.92,-0.158334,0.017217
0.0,109.37,-0.155487,0.01592
0.0,111.65,-0.155318,0.015948
0.0,113.75,-0.158226,0.017627
0.0,116.55,-0.164483,0.020206
0.0,118.82,-0.168211,0.022251
0.0,121.1,-0.168004,0.022824
0.0,123.2,-0.16257,0.021025
0.0,125.65,-0.148898,0.017365
0.0,127.75,-0.128848,0.011798
0.0,130.02,-0.102105,0.00528
0.0,132.47,-0.064209,-0.002629
0.0,135.27,-0.016221,-0.010632
0.0,137.55,0.026373,-0.016153
0.0,139.82,0.070471,-0.01997
0.0,141.92,0.115994,-0.021621
0.0,144.55,0.1686,-0.02143
0.0,146.65,0.214953,-0.019178
0.0,148.92,0.260784,-0.014979
0.0,151.2,0.305165,-0.008596
0.0,153.47,0.347479,-0.001141
0.0,155.57,0.385707,0.007448
0.0,157.85,0.42279,0.017294
0.0,160.13,0.456881,0.027627
0.0,162.4,0.488809,0.038662
0.0,164.5,0.518393,0.049405
0.0,166.78,0.54539,0.060289
0.0,169.05,0.569462,0.070926
0.0,171.33,0.59218,0.082153
0.0,173.43,0.612842,0.092501
0.0,175.7,0.630325,0.101875
0.0,177.98,0.645112,0.11015
0.0,180.25,0.657552,0.117605
0.0,182.35,0.668433,0.123921
0.0,184.63,0.678772,0.129962
0.0,186.9,0.68794,0.135239
0.0,189.0,0.696859,0.140437
0.0,191.28,0.705451,0.145495
0.0,193.55,0.713181,0.149599
0.0,195.65,0.720239,0.153329
0.0,197.93,0.726009,0.156284
0.0,200.2,0.729718,0.158141
0.0,202.3,0.731754,0.159217
0.0,204.58,0.732771,0.159229
0.0,206.68,0.732986,0.15926
0.0,208.78,0.733664,0.158523
0.0,211.23,0.734234,0.157701
0.0,213.33,0.734521,0.156496
0.0,215.6,0.734524,0.154417
0.0,217.7,0.733464,0.151798
0.0,219.98,0.731945,0.148434
0.0,222.25,0.73014,0.145492
0.0,224.53,0.728153,0.142125
0.0,226.63,0.726292,0.138459
0.0,228.9,0.723264,0.13479
0.0,231.0,0.719706,0.130997
0.0,233.28,0.715633,0.126256
0.0,235.55,0.711477,0.121425
0.0,237.83,0.707571,0.116672
0.0,239.93,0.703692,0.111848
0.0,242.2,0.699056,0.107381
0.0,244.48,0.694259,0.102424
0.0,246.58,0.688747,0.097304
0.0,248.85,0.682549,0.092544
0.0,251.13,0.67615,0.086903
0.0,253.23,0.668141,0.081308
0.0,255.5,0.659875,0.07499
0.0,257.78,0.650793,0.068739
0.0,259.88,0.641169,0.062125
0.0,261.98,0.63116,0.055674
0.0,264.25,0.619737,0.048711
0.0,266.53,0.608091,0.042467
0.0,268.8,0.596416,0.036016
0.0,270.9,0.584542,0.030252
0.0,273.18,0.572549,0.02418
0.0,275.45,0.561379,0.018567
0.0,277.55,0.550233,0.013262
0.0,279.83,0.539173,0.008037
0.0,282.1,0.527321,0.003755
0.0,284.38,0.515729,-0.000869
0.0,286.48,0.503714,-0.00489
0.0,288.75,0.491148,-0.008131
0.0,291.03,0.47819,-0.011347
0.0,293.13,0.465676,-0.014335
0.0,295.4,0.453631,-0.016593
0.0,297.5,0.44149,-0.01875
0.0,299.78,0.429687,-0.020309
0.0,302.05,0.418421,-0.021473
0.0,304.15,0.407164,-0.022139
0.0,306.43,0.396502,-0.022367
0.0,308.7,0.386468,-0.022361
0.0,310.8,0.377032,-0.021917
0.0,313.08,0.368646,-0.020922
0.0,315.35,0.360707,-0.019677
0.0,317.45,0.353569,-0.017706
0.0,319.73,0.346705,-0.01558
0.0,322.0,0.341003,-0.013346
0.0,324.28,0.335519,-0.01086
0.0,326.38,0.330744,-0.008109
0.0,328.48,0.326527,-0.005752
0.0,330.75,0.323215,-0.002964
0.0,333.03,0.320328,6.7e-05
0.0,335.3,0.318554,0.002735
0.0,337.4,0.317734,0.005283
0.0,339.68,0.317346,0.007569
0.0,341.95,0.318046,0.009935
0.0,344.23,0.319275,0.012103
0.0,346.33,0.321308,0.014118
0.0,348.6,0.324235,0.016044
0.0,350.7,0.327497,0.01779
0.0,352.98,0.331684,0.01902
0.0,355.25,0.336505,0.020335
0.0,357.35,0.341937,0.021136
0.0,359.63,0.347463,0.021718
0.0,361.73,0.353381,0.022183
0.0,364.0,0.359062,0.022146
0.0,366.1,0.365846,0.022541
0.0,368.55,0.37259,0.022707
0.0,370.83,0.380291,0.022917
0.0,372.93,0.388252,0.023471
0.0,375.2,0.396782,0.02377
0.0,377.48,0.405073,0.024004
0.0,379.58,0.413643,0.024109
0.0,381.85,0.421893,0.023647
0.0,384.13,0.430236,0.023705
0.0,386.23,0.43787,0.023711
0.0,388.5,0.445245,0.023671
0.0,390.78,0.451958,0.023727
0.0,393.05,0.458603,0.023422
0.0,395.15,0.464669,0.02344
0.0,397.43,0.470787,0.023339
0.0,399.7,0.476625,0.023465
0.0,401.98,0.482087,0.023675
0.0,404.25,0.488064,0.023745
0.0,406.53,0.4936,0.024121
0.0,408.63,0.498329,0.024177
0.0,410.9,0.503409,0.024442
0.0,413.0,0.508052,0.024919
0.0,415.45,0.51197,0.025107
0.0,417.73,0.515719,0.025261
0.0,419.83,0.519302,0.025196
0.0,422.1,0.522414,0.024944
0.0,424.38,0.524995,0.024479
0.0,426.48,0.526865,0.023687
0.0,428.75,0.528822,0.023092
0.0,431.03,0.530602,0.022143
0.0,433.13,0.532401,0.021124
0.0,435.4,0.533726,0.020215
0.0,437.68,0.5347,0.019244
0.0,439.78,0.534998,0.018554
0.0,442.05,0.535035,0.017433
0.0,444.33,0.534697,0.015951
0.0,446.43,0.534241,0.014522
0.0,448.7,0.533433,0.012917
0.0,450.63,0.532426,0.011225
0.0,453.25,0.530806,0.009747
0.0,455.35,0.529096,0.008256
0.0,457.63,0.527093,0.006675
0.0,459.9,0.525014,0.005618
0.0,462.0,0.522728,0.00402
0.0,464.28,0.520236,0.002556
0.0,466.55,0.517401,0.0008
0.0,468.65,0.514324,-0.000863
0.0,470.93,0.511027,-0.002998
0.0,473.2,0.507882,-0.005013
0.0,475.3,0.50417,-0.007123
0.0,477.58,0.499617,-0.008627
0.0,479.85,0.495476,-0.010441
0.0,481.95,0.490482,-0.012385
0.0,484.23,0.485054,-0.013932
0.0,486.33,0.479604,-0.01537
0.0,488.6,0.47396,-0.016846
0.0,490.7,0.468535,-0.017783
0.0,492.98,0.463443,-0.018497
0.0,495.25,0.457971,-0.019218
0.0,497.35,0.452771,-0.019572
0.0,499.63,0.447925,-0.019825
0.0,501.9,0.442811,-0.019699
0.0,504.0,0.437978,-0.019298
0.0,506.28,0.43385,-0.018731
0.0,508.55,0.429204,-0.017641
0.0,510.65,0.424952,-0.016578
0.0,512.93,0.421068,-0.015087
0.0,515.2,0.417907,-0.01346
0.0,517.3,0.414937,-0.011769
0.0,519.58,0.412448,-0.009748
0.0,521.68,0.410553,-0.007351
0.0,523.95,0.409315,-0.00542
0.0,526.23,0.408822,-0.002792
0.0,528.33,0.409151,-0.000296
0.0,530.6,0.409845,0.002094
0.0,532.7,0.411095,0.004355
0.0,534.98,0.412491,0.006503
0.0,537.25,0.414213,0.008992
0.0,539.35,0.416699,0.011521
0.0,541.63,0.419068,0.014155
0.0,543.9,0.422466,0.01682
0.0,546.0,0.426123,0.019029
0.0,548.28,0.430753,0.021281
0.0,550.55,0.435581,0.02336
0.0,552.65,0.440901,0.025276
0.0,554.93,0.446711,0.027097
0.0,557.2,0.452466,0.028718
0.0,559.3,0.458957,0.030172
0.0,561.58,0.465525,0.031663
0.0,563.68,0.4727,0.033265
0.0,565.95,0.47974,0.035403
0.0,568.23,0.487041,0.037223
0.0,570.33,0.494687,0.039235
0.0,572.6,0.502312,0.041195
0.0,574.88,0.510374,0.042889
0.0,576.98,0.518162,0.044651
0.0,579.25,0.526477,0.046891
0.0,581.53,0.535313,0.048939
0.0,583.8,0.543307,0.051151
0.0,586.08,0.551376,0.053101
0.0,588.17,0.558803,0.055264
0.0,590.45,0.567346,0.057057
0.0,592.72,0.575772,0.059691
0.0,594.82,0.585251,0.062565
0.0,597.1,0.59412,0.065665
0.0,599.2,0.60229,0.068277
0.0,601.65,0.608972,0.070202
0.0,603.75,0.614946,0.071968
0.0,606.02,0.619884,0.073616
0.0,608.12,0.62481,0.075184
0.0,610.4,0.62974,0.07654
0.0,612.67,0.634401,0.077827
0.0,614.77,0.639234,0.078927
0.0,617.05,0.64474,0.080193
0.0,619.15,0.649838,0.081515
0.0,621.42,0.6555,0.083037
0.0,623.7,0.661194,0.084974
0.0,625.97,0.665519,0.086758
0.0,628.07,0.669003,0.088006
0.0,630.35,0.671283,0.088779
0.0,632.62,0.672703,0.088613
0.0,634.72,0.673624,0.088992
0.0,637.0,0.674126,0.089084
0.0,639.27,0.674866,0.089361
0.0,641.37,0.67538,0.08938
0.0,643.65,0.67587,0.089543
0.0,645.92,0.67713,0.090273
0.0,648.02,0.679379,0.091327
0.0,650.3,0.682198,0.093138
0.0,652.57,0.686178,0.095412
0.0,654.67,0.690402,0.097026
0.0,656.95,0.694052,0.098909
0.0,659.22,0.696455,0.100181
0.0,661.5,0.698344,0.101315
0.0,663.6,0.699401,0.102162
0.0,665.87,0.70047,0.10288
0.0,668.15,0.701893,0.103625
0.0,670.25,0.703137,0.104636
0.0,672.35,0.704444,0.105316
0.0,674.62,0.705882,0.105905
0.0,676.9,0.706763,0.106161
0.0,679.17,0.707832,0.106382
0.0,681.45,0.708858,0.106992
0.0,683.55,0.709743,0.107963
0.0,685.82,0.710673,0.108594
0.0,688.1,0.711378,0.109722
36.05,11.38,-0.091217,0.045886
36.05,13.65,-0.078824,0.045662
36.05,15.75,-0.058066,0.044023
36.05,18.2,-0.037511,0.041367
36.05,20.3,-0.019665,0.038249
36.05,22.58,-0.010127,0.036235
36.05,24.85,-0.009955,0.036426
36.05,27.13,-0.019739,0.039244
36.05,29.23,-0.037558,0.043924
