x,y,z,z2
4.38,0.0,-0.017157,-0.015879
6.65,0.0,-0.017216,-0.015888
8.93,0.0,-0.01664,-0.015925
11.2,0.0,-0.01655,-0.016242
13.48,0.0,-0.017015,-0.015885
15.58,0.0,-0.017136,-0.015869
17.85,0.0,-0.017028,-0.015768
20.13,0.0,-0.017182,-0.015487
22.4,0.0,-0.017225,-0.015494
24.5,0.0,-0.017475,-0.015648
26.78,0.0,-0.017838,-0.015484
28.88,0.0,-0.018081,-0.015497
31.15,0.0,-0.018799,-0.015833
33.43,0.0,-0.019197,-0.016236
35.7,0.0,-0.020081,-0.017019
37.8,0.0,-0.020811,-0.017625
40.07,0.0,-0.021658,-0.018254
42.17,0.0,-0.021818,-0.018614
44.45,0.0,-0.021754,-0.0185
46.72,0.0,-0.022262,-0.018217
49.0,0.0,-0.021818,-0.017863
51.1,0.0,-0.022006,-0.017453
53.37,0.0,-0.021239,-0.017028
55.65,0.0,-0.020848,-0.016674
57.75,0.0,-0.020247,-0.016301
60.02,0.0,-0.019911,-0.016267
62.3,0.0,-0.019314,-0.015848
64.4,0.0,-0.019338,-0.01582
66.67,0.0,-0.019095,-0.015429
68.95,0.0,-0.019092,-0.015337
71.22,0.0,-0.01944,-0.014927
73.32,0.0,-0.018805,-0.01383
75.6,0.0,-0.01785,-0.013214
77.7,0.0,-0.016741,-0.012345
80.15,0.0,-0.015139,-0.012049
82.25,0.0,-0.01355,-0.011698
84.52,0.0,-0.01232,-0.011141
86.8,0.0,-0.011902,-0.011593
88.9,0.0,-0.01155,-0.011658
91.17,0.0,-0.011196,-0.012068
93.45,0.0,-0.011211,-0.011584
95.55,0.0,-0.010811,-0.011578
97.82,0.0,-0.010953,-0.011218
100.1,0.0,-0.011159,-0.010863
102.2,0.0,-0.011633,-0.010759
104.47,0.0,-0.011898,-0.011165
106.75,0.0,-0.011917,-0.011692
109.02,0.0,-0.011892,-0.012114
111.12,0.0,-0.011587,-0.012339
113.4,0.0,-0.011455,-0.01281
115.67,0.0,-0.011418,-0.012715
117.95,0.0,-0.011581,-0.012712
120.05,0.0,-0.011467,-0.012508
122.32,0.0,-0.011618,-0.01282
124.6,0.0,-0.011097,-0.013297
126.87,0.0,-0.011094,-0.013476
128.97,0.0,-0.01095,-0.013587
131.25,0.0,-0.010373,-0.013654
133.52,0.0,-0.009939,-0.013408
135.8,0.0,-0.009822,-0.013183
137.9,0.0,-0.009385,-0.012758
140.17,0.0,-0.009455,-0.01293
142.27,0.0,-0.009434,-0.012401
144.55,0.0,-0.009443,-0.012376
146.82,0.0,-0.009548,-0.011908
148.92,0.0,-0.00997,-0.011646
151.2,0.0,-0.010833,-0.011637
153.48,0.0,-0.011048,-0.011489
155.58,0.0,-0.011917,-0.011495
157.85,0.0,-0.012478,-0.012022
159.95,0.0,-0.012419,-0.012465
162.23,0.0,-0.012444,-0.013768
164.5,0.0,-0.012478,-0.014942
166.78,0.0,-0.013118,-0.016054
168.88,0.0,-0.013935,-0.016516
171.15,0.0,-0.014585,-0.017034
173.43,0.0,-0.014884,-0.017308
175.53,0.0,-0.014723,-0.017416
177.8,0.0,-0.014194,-0.017481
180.08,0.0,-0.013722,-0.017761
182.18,0.0,-0.012927,-0.01761
184.45,0.0,-0.012721,-0.01777
186.73,0.0,-0.012644,-0.017271
188.83,0.0,-0.012897,-0.017841
191.1,0.0,-0.013288,-0.017755
193.38,0.0,-0.014141,-0.017789
195.48,0.0,-0.014825,-0.018134
197.75,0.0,-0.015543,-0.018085
200.03,0.0,-0.016285,-0.018069
202.3,0.0,-0.01668,-0.018097
204.4,0.0,-0.017277,-0.018235
206.68,0.0,-0.017373,-0.018063
208.95,0.0,-0.017724,-0.018195
211.05,0.0,-0.018359,-0.018081
213.15,0.0,-0.018775,-0.018463
215.6,0.0,-0.019757,-0.018457
217.7,0.0,-0.020318,-0.018433
219.98,0.0,-0.020873,-0.018574
222.25,0.0,-0.020977,-0.018571
224.35,0.0,-0.02106,-0.018254
226.63,0.0,-0.021153,-0.018168
228.9,0.0,-0.02106,-0.018189
231.18,0.0,-0.021153,-0.018229
233.45,0.0,-0.021036,-0.018171
235.55,0.0,-0.021171,-0.017733
238.0,0.0,-0.02033,-0.017447
240.1,0.0,-0.019748,-0.017401
242.38,0.0,-0.018805,-0.017031
244.65,0.0,-0.018091,-0.017025
246.93,0.0,-0.017099,-0.016581
249.2,0.0,-0.017129,-0.016615
251.48,0.0,-0.016569,-0.016236
253.58,0.0,-0.017129,-0.01623
255.85,0.0,-0.016966,-0.016168
258.13,0.0,-0.01729,-0.016067
260.4,0.0,-0.017277,-0.01586
262.5,0.0,-0.017225,-0.015768
264.78,0.0,-0.017382,-0.015879
266.88,0.0,-0.017625,-0.01591
269.15,0.0,-0.018192,-0.015528
271.43,0.0,-0.019271,-0.015182
273.53,0.0,-0.019788,-0.015016
275.8,0.0,-0.020968,-0.014637
278.08,0.0,-0.022111,-0.014603
280.53,0.0,-0.022998,-0.015198
282.8,0.0,-0.023198,-0.015641
284.9,0.0,-0.023664,-0.016011
287.18,0.0,-0.023467,-0.016751
289.45,0.0,-0.023054,-0.017012
291.55,0.0,-0.022974,-0.017148
293.83,0.0,-0.022564,-0.017444
296.1,0.0,-0.0218,-0.017176
298.38,0.0,-0.021735,-0.017105
300.48,0.0,-0.021051,-0.016985
302.75,0.0,-0.020792,-0.017015
304.85,0.0,-0.019936,-0.017025
307.13,0.0,-0.019656,-0.017413
309.4,0.0,-0.018879,-0.016914
311.5,0.0,-0.017893,-0.016513
313.78,0.0,-0.016982,-0.016285
316.05,0.0,-0.015598,-0.015352
318.15,0.0,-0.013966,-0.014304
320.43,0.0,-0.012678,-0.013229
322.7,0.0,-0.01204,-0.012009
324.98,0.0,-0.010863,-0.010953
327.08,0.0,-0.010099,-0.009951
329.35,0.0,-0.00915,-0.009745
331.45,0.0,-0.009234,-0.009369
333.73,0.0,-0.008399,-0.009403
336.0,0.0,-0.008272,-0.009391
338.1,0.0,-0.008322,-0.009665
340.38,0.0,-0.007884,-0.009656
342.65,0.0,-0.008202,-0.009686
344.75,0.0,-0.008537,-0.009723
347.03,0.0,-0.008916,-0.010173
349.3,0.0,-0.009708,-0.009991
351.4,0.0,-0.010454,-0.010109
353.68,0.0,-0.010919,-0.010075
355.78,0.0,-0.011689,-0.010038
358.05,0.0,-0.012071,-0.01017
360.15,0.0,-0.012792,-0.010099
362.43,0.0,-0.012746,-0.010062
364.7,0.0,-0.012786,-0.010512
366.8,0.0,-0.012521,-0.010472
368.9,0.0,-0.012783,-0.010796
371.18,0.0,-0.012986,-0.010777
373.45,0.0,-0.013023,-0.010866
375.73,0.0,-0.012773,-0.011215
377.83,0.0,-0.013029,-0.011553
380.1,0.0,-0.012841,-0.011963
382.2,0.0,-0.013198,-0.012324
384.48,0.0,-0.012955,-0.01286
386.75,0.0,-0.012946,-0.01314
389.03,0.0,-0.012542,-0.013519
391.13,0.0,-0.012589,-0.013568
393.4,0.0,-0.013112,-0.013303
395.68,0.0,-0.013041,-0.013038
397.95,0.0,-0.013383,-0.012838
400.05,0.0,-0.013408,-0.012342
402.33,0.0,-0.013158,-0.012471
404.6,0.0,-0.013038,-0.012339
407.05,0.0,-0.012706,-0.012857
409.33,0.0,-0.012693,-0.013568
411.43,0.0,-0.012739,-0.014283
413.7,0.0,-0.012379,-0.014653
416.15,0.0,-0.012367,-0.015124
418.43,0.0,-0.012644,-0.015133
420.53,0.0,-0.012601,-0.015534
422.8,0.0,-0.013115,-0.01545
425.6,0.0,-0.013239,-0.015414
427.88,0.0,-0.013916,-0.015919
430.15,0.0,-0.014554,-0.015774
432.43,0.0,-0.015232,-0.015768
434.7,0.0,-0.015611,-0.015931
436.98,0.0,-0.016418,-0.015946
439.25,0.0,-0.01717,-0.015691
441.53,0.0,-0.017675,-0.01509
443.98,0.0,-0.017934,-0.014828
446.25,0.0,-0.018192,-0.014258
448.35,0.0,-0.018827,-0.014043
450.63,0.0,-0.019033,-0.014073
