x,y,z,z2
0.0,2.1,0.013462,0.018628
0.0,4.38,0.013363,0.018699
0.0,6.82,0.013126,0.018745
0.0,9.1,0.013028,0.018616
0.0,11.38,0.013089,0.018748
0.0,13.48,0.012954,0.018906
0.0,15.75,0.013197,0.019038
0.0,18.03,0.012969,0.019066
0.0,20.3,0.013154,0.019072
0.0,22.4,0.013157,0.019001
0.0,24.68,0.013459,0.01909
0.0,26.78,0.01348,0.019047
0.0,29.05,0.01357,0.019038
0.0,31.33,0.013514,0.019476
0.0,33.6,0.013924,0.019411
0.0,35.7,0.013912,0.019485
0.0,37.97,0.014248,0.019097
0.0,40.25,0.014278,0.019106
0.0,42.35,0.014238,0.019075
0.0,44.62,0.014315,0.018616
0.0,46.9,0.014321,0.01869
0.0,49.0,0.014657,0.018638
0.0,51.27,0.015002,0.018607
0.0,53.55,0.015458,0.018231
0.0,55.65,0.015751,0.018604
0.0,57.92,0.015843,0.01873
0.0,60.02,0.016355,0.018665
0.0,62.3,0.016253,0.019291
0.0,64.57,0.016232,0.0193
0.0,66.85,0.016432,0.01975
0.0,68.95,0.016623,0.019821
0.0,71.22,0.017248,0.02024
0.0,73.32,0.017963,0.020498
0.0,75.42,0.018237,0.020831
0.0,77.87,0.018496,0.020905
0.0,79.97,0.018576,0.020951
0.0,82.25,0.018573,0.020828
0.0,84.35,0.018465,0.020942
0.0,86.62,0.018644,0.021
0.0,88.9,0.019057,0.020945
0.0,91.0,0.018939,0.020816
0.0,93.27,0.018822,0.02129
0.0,95.55,0.018936,0.021666
0.0,97.65,0.018927,0.02161
0.0,99.92,0.018949,0.0215
0.0,102.02,0.018533,0.021607
0.0,104.3,0.018182,0.021265
0.0,106.57,0.018028,0.021022
0.0,108.85,0.017747,0.020541
0.0,110.95,0.017753,0.020209
0.0,113.22,0.017294,0.019879
0.0,115.32,0.017451,0.019454
0.0,117.6,0.017485,0.01901
0.0,119.87,0.017328,0.018702
0.0,121.97,0.017273,0.018622
0.0,124.25,0.017341,0.01873
0.0,126.35,0.017427,0.019112
0.0,128.62,0.017282,0.019485
