x,y,z,z2
0.0,2.27,-0.001553,-0.000324
0.0,4.55,-0.001433,-0.00046
0.0,6.82,-0.000321,-0.000771
0.0,8.93,0.00133,-0.001119
0.0,11.2,0.004509,-0.00192
0.0,13.48,0.008782,-0.003128
0.0,15.58,0.015659,-0.004717
0.0,17.85,0.022451,-0.006316
0.0,19.95,0.030409,-0.00749
0.0,22.23,0.037954,-0.008972
0.0,24.5,0.04548,-0.010176
0.0,26.78,0.053653,-0.011258
0.0,29.05,0.060162,-0.012413
0.0,31.15,0.067242,-0.013639
0.0,33.43,0.07434,-0.015269
0.0,35.52,0.08064,-0.01668
0.0,37.8,0.085671,-0.018195
0.0,40.07,0.090335,-0.019902
0.0,42.17,0.094802,-0.021137
0.0,44.45,0.097578,-0.022521
0.0,46.72,0.100702,-0.023818
0.0,48.82,0.10223,-0.024899
0.0,51.1,0.103674,-0.025808
0.0,53.37,0.103696,-0.026446
0.0,55.47,0.103329,-0.027225
0.0,57.75,0.101783,-0.02786
0.0,60.02,0.099118,-0.028362
0.0,62.3,0.095655,-0.029055
0.0,64.57,0.091062,-0.029662
0.0,66.67,0.085329,-0.029736
0.0,68.95,0.078942,-0.029887
0.0,71.05,0.072076,-0.029995
0.0,73.5,0.063702,-0.029576
0.0,75.77,0.053613,-0.029166
0.0,77.87,0.043752,-0.028987
0.0,80.15,0.032914,-0.028577
0.0,82.25,0.020471,-0.027943
0.0,84.52,0.007596,-0.026923
0.0,86.8,-0.005349,-0.025312
0.0,88.9,-0.019311,-0.022971
0.0,91.17,-0.03196,-0.020546
0.0,93.45,-0.045934,-0.017675
0.0,95.55,-0.059301,-0.014973
0.0,97.82,-0.072385,-0.012096
0.0,100.1,-0.083778,-0.009086
0.0,102.37,-0.093741,-0.006917
0.0,104.47,-0.10164,-0.004868
0.0,106.75,-0.106424,-0.003889
0.0,109.02,-0.108996,-0.004098
0.0,111.12,-0.107702,-0.005414
0.0,113.4,-0.103599,-0.0072
0.0,115.5,-0.095145,-0.009927
0.0,117.77,-0.083014,-0.013651
0.0,119.87,-0.067533,-0.017721
0.0,122.15,-0.048559,-0.021963
0.0,124.42,-0.027388,-0.026165
0.0,126.52,-0.003146,-0.030099
0.0,128.8,0.023551,-0.033001
0.0,131.07,0.052131,-0.034936
0.0,133.17,0.08291,-0.03615
0.0,135.45,0.116185,-0.036405
0.0,137.72,0.150677,-0.035093
0.0,139.82,0.185634,-0.032918
0.0,142.1,0.222596,-0.029264
0.0,144.38,0.25905,-0.024086
0.0,146.48,0.294112,-0.01765
0.0,148.75,0.330359,-0.009625
0.0,151.03,0.363511,-0.001005
0.0,153.3,0.396579,0.008407
0.0,155.4,0.426225,0.01857
0.0,157.68,0.455368,0.029066
0.0,159.78,0.480048,0.039553
0.0,162.05,0.505186,0.050169
0.0,164.33,0.527503,0.06109
0.0,166.43,0.547408,0.071734
0.0,168.7,0.56624,0.082732
0.0,170.8,0.583658,0.093428
0.0,173.08,0.599413,0.103761
0.0,175.18,0.613825,0.113231
0.0,177.63,0.626523,0.122202
0.0,179.9,0.638005,0.131148
0.0,182.18,0.64852,0.13942
0.0,184.28,0.658483,0.146684
0.0,186.55,0.667374,0.153622
0.0,188.83,0.675812,0.159823
0.0,190.93,0.68372,0.165627
0.0,193.2,0.690405,0.1704
0.0,195.48,0.696881,0.174096
0.0,197.75,0.70197,0.177282
0.0,200.03,0.706588,0.180014
0.0,202.13,0.711345,0.182069
0.0,204.4,0.715118,0.183998
0.0,206.68,0.718239,0.185298
0.0,208.78,0.719037,0.186284
0.0,211.05,0.720956,0.186148
0.0,213.33,0.720972,0.185338
0.0,215.43,0.721027,0.184404
0.0,217.7,0.720374,0.182772
0.0,219.8,0.719336,0.180741
0.0,222.08,0.718865,0.178144
0.0,224.35,0.717315,0.175677
0.0,226.63,0.71563,0.173184
0.0,228.9,0.714712,0.17096
0.0,231.0,0.712876,0.168064
0.0,233.28,0.711271,0.164765
0.0,235.55,0.708486,0.161037
0.0,237.65,0.70526,0.157054
0.0,239.93,0.702195,0.152645
0.0,242.2,0.697306,0.147966
0.0,244.48,0.694271,0.143283
0.0,246.58,0.688492,0.138166
0.0,248.85,0.683261,0.133212
0.0,250.95,0.678082,0.127787
0.0,253.23,0.672771,0.12299
0.0,255.5,0.666958,0.118468
0.0,257.78,0.661696,0.113462
0.0,259.88,0.655688,0.108422
0.0,262.15,0.648646,0.102901
0.0,264.25,0.640695,0.096613
0.0,266.53,0.632007,0.090729
0.0,268.8,0.622839,0.084405
0.0,270.9,0.612947,0.078283
0.0,273.18,0.604182,0.071761
0.0,275.45,0.594404,0.066151
0.0,277.55,0.585211,0.060674
0.0,279.83,0.574074,0.055637
0.0,282.1,0.564432,0.049731
0.0,284.38,0.554117,0.044528
0.0,286.48,0.543926,0.039408
0.0,288.75,0.533588,0.034901
0.0,290.85,0.522725,0.030477
0.0,293.13,0.512069,0.02629
0.0,295.4,0.50169,0.022205
0.0,297.68,0.490821,0.018718
0.0,299.78,0.480368,0.015338
0.0,302.05,0.470861,0.012079
0.0,304.33,0.461037,0.009183
0.0,306.6,0.450082,0.006614
0.0,308.7,0.442066,0.004882
0.0,310.98,0.433042,0.003061
0.0,313.08,0.422864,0.001675
0.0,315.53,0.414158,0.00093
0.0,317.63,0.405655,0.000113
0.0,319.9,0.397322,-0.000229
0.0,322.18,0.390513,-0.000451
0.0,324.28,0.383307,5.2e-05
0.0,326.55,0.376262,0.000902
0.0,328.83,0.370248,0.001651
0.0,330.93,0.36502,0.002556
0.0,333.2,0.360165,0.003736
0.0,335.48,0.355991,0.004984
0.0,337.58,0.352269,0.00576
0.0,339.85,0.348461,0.007393
0.0,342.13,0.346434,0.008721
0.0,344.23,0.344376,0.010329
0.0,346.5,0.342959,0.011943
0.0,348.78,0.342673,0.013579
0.0,350.88,0.342029,0.015163
0.0,353.33,0.342793,0.016869
0.0,355.6,0.343813,0.018219
0.0,357.7,0.345279,0.019349
0.0,359.98,0.347901,0.020637
0.0,362.25,0.350455,0.021968
0.0,364.35,0.353545,0.023357
0.0,366.63,0.357531,0.02474
0.0,368.9,0.361102,0.025997
0.0,371.18,0.365168,0.027079
0.0,373.45,0.369355,0.027793
0.0,375.55,0.373646,0.028779
0.0,377.83,0.378828,0.029663
0.0,380.1,0.383671,0.030477
0.0,382.2,0.388554,0.031185
0.0,384.48,0.394315,0.031734
0.0,386.58,0.400452,0.031592
0.0,388.85,0.405954,0.03211
0.0,391.13,0.411798,0.032304
0.0,393.23,0.418301,0.032396
0.0,395.5,0.4238,0.032525
0.0,397.78,0.430692,0.032368
0.0,399.88,0.436662,0.032642
0.0,402.15,0.442901,0.033382
0.0,404.25,0.449472,0.034093
0.0,406.53,0.455482,0.034941
0.0,408.8,0.461902,0.03564
0.0,410.9,0.466154,0.036228
0.0,413.18,0.47079,0.036154
0.0,415.45,0.475017,0.036136
0.0,417.73,0.47974,0.035745
0.0,420.0,0.483045,0.035862
0.0,422.1,0.487198,0.035813
0.0,424.38,0.490763,0.036056
0.0,426.65,0.495479,0.036509
0.0,428.93,0.498523,0.036959
0.0,431.03,0.502254,0.037193
0.0,433.3,0.505642,0.037636
0.0,435.58,0.508973,0.037535
0.0,437.68,0.511166,0.037599
0.0,439.95,0.51287,0.037593
0.0,442.05,0.514848,0.037316
0.0,444.33,0.516255,0.036851
0.0,446.6,0.516788,0.036358
0.0,448.7,0.51803,0.035997
0.0,450.98,0.518141,0.035776
0.0,453.25,0.519176,0.03568
0.0,455.35,0.520778,0.035375
0.0,457.8,0.521671,0.035021
0.0,459.9,0.522897,0.034503
0.0,462.18,0.522651,0.033736
0.0,464.45,0.522204,0.032436
0.0,466.55,0.520297,0.031161
0.0,468.83,0.517463,0.029315
0.0,471.1,0.51393,0.027439
0.0,473.2,0.510686,0.025486
0.0,475.48,0.507032,0.023413
0.0,477.58,0.503551,0.021435
0.0,479.85,0.499697,0.019368
0.0,482.13,0.496055,0.018105
0.0,484.23,0.492552,0.016373
0.0,486.5,0.488569,0.015076
0.0,488.78,0.485134,0.013699
0.0,491.05,0.481585,0.012233
0.0,493.15,0.477851,0.010779
0.0,495.43,0.474367,0.009697
0.0,497.7,0.469968,0.008829
0.0,499.8,0.466274,0.007787
0.0,502.08,0.462965,0.007131
0.0,504.18,0.458945,0.006558
0.0,506.45,0.455331,0.005917
0.0,508.55,0.451856,0.005806
0.0,510.83,0.448199,0.005249
0.0,513.1,0.444709,0.004737
0.0,515.2,0.442004,0.004488
0.0,517.48,0.438224,0.004395
0.0,519.75,0.435972,0.004759
0.0,521.85,0.433569,0.00511
0.0,524.13,0.430575,0.005846
0.0,526.23,0.428705,0.006182
0.0,528.5,0.426832,0.007023
0.0,530.78,0.425427,0.00788
0.0,532.88,0.423375,0.009047
0.0,535.15,0.423449,0.010317
0.0,537.43,0.423437,0.011761
0.0,539.53,0.423434,0.013382
0.0,541.8,0.424537,0.015326
0.0,544.08,0.426422,0.017137
0.0,546.18,0.42827,0.019007
0.0,548.45,0.431708,0.020477
0.0,550.73,0.434241,0.022393
0.0,552.83,0.437651,0.023856
0.0,555.1,0.440741,0.025578
0.0,557.38,0.443329,0.027248
0.0,559.48,0.446407,0.028819
0.0,561.75,0.449928,0.030394
0.0,563.85,0.452904,0.031869
0.0,566.13,0.456376,0.033656
0.0,568.23,0.461028,0.035526
0.0,570.5,0.46514,0.037341
0.0,572.77,0.46962,0.039112
0.0,574.87,0.475239,0.041133
0.0,576.97,0.479955,0.042886
0.0,579.42,0.486098,0.044525
0.0,581.52,0.493289,0.046336
0.0,583.8,0.50075,0.048456
0.0,586.07,0.508569,0.050692
0.0,588.17,0.515741,0.053049
0.0,590.45,0.523107,0.055856
0.0,592.55,0.530726,0.058379
0.0,594.82,0.539145,0.061629
0.0,597.1,0.547284,0.064799
0.0,599.37,0.555149,0.068539
0.0,601.47,0.563319,0.071426
0.0,603.75,0.570778,0.074743
0.0,605.85,0.577133,0.077679
0.0,608.12,0.58351,0.08036
0.0,610.4,0.589487,0.082387
0.0,612.5,0.595359,0.084747
0.0,614.95,0.60136,0.087344
0.0,617.22,0.606798,0.089614
0.0,619.32,0.612007,0.091666
0.0,621.6,0.616921,0.093992
0.0,624.05,0.622377,0.096161
0.0,626.32,0.626452,0.098188
0.0,628.42,0.630664,0.100116
0.0,630.7,0.634354,0.101777
0.0,632.97,0.638926,0.103468
0.0,635.25,0.643021,0.105104
0.0,637.35,0.648677,0.108086
0.0,639.62,0.654844,0.11162
0.0,641.9,0.661871,0.115976
0.0,644.0,0.667793,0.119839
0.0,646.27,0.672768,0.122803
0.0,648.55,0.677004,0.125212
0.0,650.82,0.679438,0.126774
0.0,652.92,0.680882,0.12731
0.0,655.2,0.682389,0.128163
0.0,657.3,0.683652,0.128465
0.0,659.57,0.685972,0.129229
0.0,661.85,0.68843,0.130458
0.0,664.12,0.691018,0.132239
0.0,666.22,0.695085,0.13405
0.0,668.5,0.697549,0.13527
0.0,670.6,0.699336,0.136151
0.0,672.87,0.700279,0.13678
0.0,675.15,0.700451,0.136789
0.0,677.42,0.700522,0.136499
0.0,679.7,0.699863,0.13616
0.0,681.8,0.699052,0.135495
0.0,684.07,0.698452,0.135215
0.0,686.17,0.698735,0.135615
0.0,688.45,0.699641,0.136669
36.05,11.55,-0.116057,0.049965
36.05,13.83,-0.102407,0.049127
36.05,16.28,-0.079893,0.046577
36.05,18.55,-0.065426,0.044374
36.05,20.83,-0.057388,0.043681
36.05,23.28,-0.059132,0.044352
36.05,25.73,-0.071014,0.047957
36.05,27.83,-0.086831,0.052042
36.05,30.1,-0.103029,0.055588
36.05,32.38,-0.115222,0.057011
36.05,34.65,-0.122918,0.056484
36.05,36.75,-0.123454,0.054272
36.05,39.03,-0.118303,0.049315
36.05,41.3,-0.108251,0.043727
36.05,43.58,-0.094224,0.036752
36.05,45.68,-0.077333,0.029814
36.05,47.95,-0.058864,0.022396
36.05,50.05,-0.040447,0.01568
36.05,52.33,-0.021566,0.009291
36.05,54.43,-0.002502,0.004087
36.05,56.7,0.015883,-0.001082
36.05,58.8,0.033517,-0.006027
36.05,61.08,0.050831,-0.010173
36.05,63.18,0.066823,-0.014551
36.05,65.45,0.082026,-0.018522
36.05,67.73,0.09637,-0.021633
36.05,70.0,0.110612,-0.024757
36.05,72.1,0.123982,-0.02717
36.05,74.38,0.136136,-0.029304
36.05,76.65,0.148114,-0.030937
36.05,78.75,0.160335,-0.032709
36.05,81.03,0.171977,-0.033442
36.05,83.13,0.183918,-0.034816
36.05,85.4,0.195347,-0.036008
36.05,87.68,0.207661,-0.037225
36.05,89.78,0.218314,-0.038057
36.05,92.05,0.229069,-0.038839
36.05,94.33,0.239602,-0.039292
36.05,96.43,0.248631,-0.039588
36.05,98.7,0.259093,-0.039924
36.05,100.98,0.269176,-0.039785
36.05,103.08,0.280101,-0.039816
36.05,105.35,0.291397,-0.039412
36.05,107.45,0.303665,-0.039049
36.05,109.73,0.31502,-0.037792
36.05,112.0,0.327691,-0.036319
36.05,114.1,0.34104,-0.033938
36.05,116.38,0.35466,-0.031433
36.05,118.48,0.368637,-0.027712
36.05,120.93,0.381591,-0.024237
36.05,123.03,0.395267,-0.020152
36.05,125.3,0.409259,-0.016005
36.05,127.58,0.422223,-0.010805
36.05,129.68,0.435405,-0.005512
36.05,131.95,0.448415,0.000406
36.05,134.23,0.460898,0.0065
36.05,136.33,0.473782,0.012747
36.05,138.6,0.487549,0.019485
36.05,140.88,0.500781,0.026398
36.05,142.98,0.514145,0.033946
36.05,145.25,0.528292,0.042368
36.05,147.53,0.542053,0.050899
36.05,149.63,0.555692,0.060135
36.05,151.9,0.567762,0.069032
36.05,154.18,0.577897,0.077587
36.05,156.28,0.58782,0.085957
36.05,158.55,0.598396,0.093668
36.05,160.65,0.606529,0.10101
36.05,162.93,0.614964,0.10853
36.05,165.2,0.624419,0.116161
36.05,167.48,0.632614,0.123779
36.05,169.75,0.639955,0.13092
36.05,171.85,0.647697,0.137251
36.05,174.13,0.653982,0.143477
