x,y,z,z2
4.37,0.0,0.001925,0.004334
6.47,0.0,0.001937,0.003622
8.93,0.0,0.002042,0.003767
11.03,0.0,0.002368,0.002569
13.3,0.0,0.002165,0.001943
15.4,0.0,0.002729,0.000609
17.68,0.0,0.002341,-0.000528
19.95,0.0,0.002264,-0.001874
22.23,0.0,0.002304,-0.002601
24.5,0.0,0.002584,-0.003768
26.6,0.0,0.003502,-0.004129
28.88,0.0,0.004047,-0.004283
30.98,0.0,0.006687,-0.005084
33.25,0.0,0.008212,-0.005355
35.53,0.0,0.010144,-0.005826
37.62,0.0,0.010994,-0.007253
39.72,0.0,0.010692,-0.007314
42.0,0.0,0.009457,-0.007567
44.27,0.0,0.008333,-0.008393
46.37,0.0,0.006151,-0.009422
48.65,0.0,0.004214,-0.010315
50.92,0.0,0.002723,-0.010959
53.2,0.0,0.00117,-0.011064
55.3,0.0,0.000597,-0.011923
57.57,0.0,-0.000571,-0.012481
59.85,0.0,-0.001211,-0.013633
62.12,0.0,-0.001606,-0.014394
64.22,0.0,-0.001849,-0.015626
66.5,0.0,-0.003892,-0.016458
68.77,0.0,-0.004751,-0.017829
70.87,0.0,-0.006948,-0.019218
73.15,0.0,-0.009582,-0.020404
75.42,0.0,-0.013063,-0.02107
77.52,0.0,-0.015885,-0.0231
79.8,0.0,-0.019508,-0.024927
82.07,0.0,-0.022881,-0.026624
84.17,0.0,-0.02635,-0.028377
86.45,0.0,-0.029326,-0.030691
88.72,0.0,-0.033251,-0.032515
91.0,0.0,-0.036144,-0.034406
93.1,0.0,-0.039865,-0.036316
95.55,0.0,-0.042915,-0.038661
97.65,0.0,-0.046923,-0.041125
99.92,0.0,-0.051362,-0.044021
102.02,0.0,-0.056538,-0.046319
104.3,0.0,-0.063134,-0.048842
106.57,0.0,-0.070343,-0.051507
108.85,0.0,-0.07797,-0.054249
110.95,0.0,-0.086566,-0.057114
113.22,0.0,-0.095182,-0.059702
115.5,0.0,-0.105019,-0.062742
117.6,0.0,-0.114495,-0.065888
119.87,0.0,-0.125204,-0.069933
122.15,0.0,-0.13749,-0.072548
124.25,0.0,-0.151405,-0.076088
126.52,0.0,-0.167634,-0.079699
128.8,0.0,-0.186911,-0.082077
130.9,0.0,-0.209206,-0.084089
133.17,0.0,-0.234323,-0.084751
135.45,0.0,-0.265065,-0.084036
137.55,0.0,-0.300395,-0.081945
139.82,0.0,-0.338411,-0.076757
142.1,0.0,-0.375727,-0.071313
144.2,0.0,-0.403229,-0.066211
146.48,0.0,-0.417224,-0.062693
148.75,0.0,-0.417995,-0.059545
150.85,0.0,-0.405613,-0.057496
153.13,0.0,-0.382939,-0.054462
155.4,0.0,-0.351282,-0.050306
157.5,0.0,-0.31675,-0.045222
159.78,0.0,-0.281769,-0.039052
161.88,0.0,-0.246766,-0.032783
164.15,0.0,-0.215111,-0.024572
166.43,0.0,-0.185429,-0.017382
168.7,0.0,-0.159172,-0.008476
170.8,0.0,-0.135644,-0.000722
173.08,0.0,-0.116116,0.007544
175.18,0.0,-0.098627,0.015692
177.45,0.0,-0.082764,0.023086
179.73,0.0,-0.06895,0.031703
182.0,0.0,-0.056954,0.039278
184.1,0.0,-0.047299,0.046543
186.38,0.0,-0.040207,0.053662
188.65,0.0,-0.034187,0.059629
190.75,0.0,-0.029967,0.065326
193.03,0.0,-0.027413,0.069799
195.3,0.0,-0.026119,0.075344
197.4,0.0,-0.026027,0.080187
199.68,0.0,-0.027293,0.083986
201.78,0.0,-0.028445,0.087596
204.05,0.0,-0.030358,0.091077
206.15,0.0,-0.033898,0.094069
208.43,0.0,-0.036165,0.096429
210.7,0.0,-0.039243,0.099497
212.8,0.0,-0.042897,0.101265
215.08,0.0,-0.045728,0.10239
217.35,0.0,-0.050817,0.102707
219.63,0.0,-0.05663,0.102864
221.73,0.0,-0.063824,0.101333
224.0,0.0,-0.072644,0.098727
226.1,0.0,-0.08484,0.0956
228.38,0.0,-0.098417,0.090563
230.65,0.0,-0.115235,0.083283
232.93,0.0,-0.135521,0.075298
235.03,0.0,-0.164557,0.067612
237.3,0.0,-0.202043,0.059802
239.4,0.0,-0.244008,0.053
241.68,0.0,-0.288121,0.046407
243.78,0.0,-0.323423,0.038681
246.05,0.0,-0.349674,0.031179
248.33,0.0,-0.362474,0.023065
250.43,0.0,-0.363133,0.013681
252.7,0.0,-0.352961,0.005443
254.98,0.0,-0.335164,-0.002416
257.08,0.0,-0.311858,-0.008879
259.35,0.0,-0.285188,-0.013765
261.63,0.0,-0.255367,-0.016982
263.73,0.0,-0.226467,-0.018698
266.0,0.0,-0.198303,-0.018978
268.28,0.0,-0.170965,-0.017823
270.38,0.0,-0.145333,-0.016178
272.83,0.0,-0.119024,-0.012952
275.1,0.0,-0.099033,-0.010216
277.2,0.0,-0.079779,-0.007287
279.48,0.0,-0.063383,-0.004357
281.58,0.0,-0.049049,-0.001569
283.85,0.0,-0.037361,0.001376
286.13,0.0,-0.02733,0.003921
288.4,0.0,-0.019314,0.006404
290.68,0.0,-0.012059,0.008767
292.78,0.0,-0.005457,0.010732
295.05,0.0,0.000689,0.011897
297.15,0.0,0.005498,0.012981
299.43,0.0,0.010708,0.013542
301.7,0.0,0.014734,0.014198
303.98,0.0,0.018681,0.013268
306.08,0.0,0.020215,0.013551
308.35,0.0,0.023299,0.013138
310.45,0.0,0.025464,0.013111
312.73,0.0,0.029127,0.012901
314.83,0.0,0.03344,0.013357
317.1,0.0,0.036943,0.013955
319.38,0.0,0.041158,0.01495
321.65,0.0,0.045449,0.01536
323.75,0.0,0.050437,0.015329
326.03,0.0,0.055227,0.017504
328.13,0.0,0.059583,0.018554
330.4,0.0,0.064127,0.018752
332.68,0.0,0.067636,0.020126
334.95,0.0,0.07031,0.020757
337.05,0.0,0.073564,0.021093
339.33,0.0,0.075754,0.020458
341.6,0.0,0.077892,0.020258
343.7,0.0,0.078403,0.018862
345.98,0.0,0.079559,0.018604
348.25,0.0,0.07975,0.018086
