x,y,z,z2
4.38,0.0,0.002485,-0.000768
6.82,0.0,0.00287,-0.000441
9.1,0.0,0.002895,-0.000642
11.2,0.0,0.00316,-0.000506
13.48,0.0,0.003228,-0.001008
15.75,0.0,0.003283,-0.001667
17.85,0.0,0.002131,-0.002629
20.13,0.0,0.000277,-0.004147
22.4,0.0,-0.00241,-0.005802
24.68,0.0,-0.005762,-0.007456
26.95,0.0,-0.009807,-0.009468
29.05,0.0,-0.013559,-0.011544
31.33,0.0,-0.01732,-0.013485
33.6,0.0,-0.020121,-0.015349
35.87,0.0,-0.022715,-0.016951
38.15,0.0,-0.024539,-0.018417
40.07,0.0,-0.026868,-0.020318
42.52,0.0,-0.029326,-0.021741
44.8,0.0,-0.032354,-0.023667
46.9,0.0,-0.0355,-0.025623
49.17,0.0,-0.038309,-0.027758
51.45,0.0,-0.040691,-0.030004
53.72,0.0,-0.043001,-0.032247
56.0,0.0,-0.045694,-0.03383
58.27,0.0,-0.048805,-0.035534
60.55,0.0,-0.052736,-0.037228
62.65,0.0,-0.057527,-0.039089
64.92,0.0,-0.062465,-0.041245
67.2,0.0,-0.068497,-0.043186
69.65,0.0,-0.075105,-0.04538
71.75,0.0,-0.081449,-0.047277
74.02,0.0,-0.087739,-0.049375
76.12,0.0,-0.094289,-0.051587
78.4,0.0,-0.102428,-0.054043
80.67,0.0,-0.111381,-0.056877
82.77,0.0,-0.121834,-0.059197
85.05,0.0,-0.134548,-0.062197
87.32,0.0,-0.149175,-0.065047
89.42,0.0,-0.165928,-0.067493
91.7,0.0,-0.185077,-0.069335
93.97,0.0,-0.206467,-0.070475
96.25,0.0,-0.229033,-0.070534
98.35,0.0,-0.255133,-0.069927
100.62,0.0,-0.284452,-0.067705
102.72,0.0,-0.316334,-0.063257
105.0,0.0,-0.351411,-0.056744
107.27,0.0,-0.385767,-0.048895
109.37,0.0,-0.413025,-0.04241
111.65,0.0,-0.429935,-0.037185
113.92,0.0,-0.435339,-0.03407
116.2,0.0,-0.428444,-0.032792
118.47,0.0,-0.412754,-0.03208
120.57,0.0,-0.390663,-0.031362
122.85,0.0,-0.36415,-0.030309
124.95,0.0,-0.335887,-0.028661
127.22,0.0,-0.308811,-0.026988
129.5,0.0,-0.282909,-0.024819
131.6,0.0,-0.258617,-0.022145
133.87,0.0,-0.237394,-0.019631
136.15,0.0,-0.219467,-0.016886
138.25,0.0,-0.204418,-0.014024
140.52,0.0,-0.191396,-0.011116
142.62,0.0,-0.180241,-0.008229
144.9,0.0,-0.170795,-0.005817
147.17,0.0,-0.163744,-0.003192
149.27,0.0,-0.158038,-0.0007
151.55,0.0,-0.15391,0.001845
153.82,0.0,-0.151073,0.004472
156.1,0.0,-0.149699,0.006463
158.38,0.0,-0.14903,0.009081
160.65,0.0,-0.149064,0.011706
162.75,0.0,-0.149779,0.014734
165.03,0.0,-0.15054,0.01787
167.3,0.0,-0.152043,0.020911
169.4,0.0,-0.15399,0.02438
171.68,0.0,-0.155986,0.028037
173.95,0.0,-0.15834,0.031302
176.23,0.0,-0.160592,0.03438
178.33,0.0,-0.16298,0.037673
180.6,0.0,-0.165379,0.040933
182.88,0.0,-0.167456,0.043899
184.98,0.0,-0.16997,0.046641
187.25,0.0,-0.172505,0.049417
189.53,0.0,-0.175253,0.052362
191.63,0.0,-0.178285,0.054925
193.9,0.0,-0.181769,0.056697
196.18,0.0,-0.185182,0.058246
198.45,0.0,-0.189785,0.059337
200.9,0.0,-0.19554,0.059629
203.0,0.0,-0.201448,0.059167
205.28,0.0,-0.209184,0.058095
207.38,0.0,-0.219021,0.056472
209.65,0.0,-0.233731,0.054297
211.93,0.0,-0.254896,0.052156
214.2,0.0,-0.283673,0.05096
216.3,0.0,-0.315826,0.050544
218.58,0.0,-0.347388,0.049297
220.68,0.0,-0.374082,0.046398
222.95,0.0,-0.391876,0.041626
225.23,0.0,-0.398451,0.034657
227.5,0.0,-0.395986,0.026435
229.6,0.0,-0.385336,0.01755
231.88,0.0,-0.36809,0.008376
234.15,0.0,-0.346186,-0.000192
236.25,0.0,-0.321494,-0.007709
238.53,0.0,-0.295311,-0.014428
240.8,0.0,-0.269061,-0.019914
243.08,0.0,-0.243066,-0.023707
245.18,0.0,-0.219514,-0.02659
247.8,0.0,-0.19435,-0.028651
249.9,0.0,-0.172447,-0.02932
252.18,0.0,-0.152348,-0.029252
254.45,0.0,-0.132952,-0.028322
256.55,0.0,-0.113919,-0.026569
258.83,0.0,-0.096988,-0.024483
261.1,0.0,-0.080962,-0.021905
263.2,0.0,-0.06623,-0.019945
265.48,0.0,-0.05289,-0.01745
267.75,0.0,-0.040765,-0.015235
270.03,0.0,-0.02997,-0.013168
272.3,0.0,-0.021153,-0.011578
274.4,0.0,-0.01371,-0.009958
276.68,0.0,-0.007441,-0.008371
278.95,0.0,-0.000931,-0.006738
281.05,0.0,0.00552,-0.004742
283.33,0.0,0.011949,-0.002977
285.6,0.0,0.018166,-0.001843
287.7,0.0,0.023693,-0.000873
289.98,0.0,0.029328,0.000431
292.25,0.0,0.034636,0.001857
294.53,0.0,0.039938,0.003585
296.8,0.0,0.044737,0.004925
299.08,0.0,0.049442,0.006022
301.35,0.0,0.053939,0.007735
303.45,0.0,0.05913,0.009275
305.73,0.0,0.064217,0.011025
307.83,0.0,0.069586,0.012415
310.1,0.0,0.075298,0.013825
312.38,0.0,0.080538,0.015313
314.48,0.0,0.085104,0.01654
316.75,0.0,0.088517,0.017451
319.03,0.0,0.091059,0.018225
321.13,0.0,0.092901,0.018638
323.4,0.0,0.094355,0.018708
325.68,0.0,0.095529,0.018665
327.78,0.0,0.097159,0.019029
