x,y,z,z2
0.0,2.27,-0.001347,0.000273
0.0,4.55,-0.000993,0.000221
0.0,6.82,-0.000142,-0.000105
0.0,9.1,0.001863,-0.000417
0.0,11.38,0.005323,-0.001316
0.0,13.65,0.010575,-0.00273
0.0,15.75,0.017297,-0.004422
0.0,18.03,0.024395,-0.006156
0.0,20.13,0.032482,-0.007339
0.0,22.4,0.04039,-0.008624
0.0,24.5,0.048699,-0.00993
0.0,26.78,0.056299,-0.010922
0.0,29.05,0.063779,-0.011898
0.0,31.33,0.070538,-0.012915
0.0,33.43,0.077042,-0.014154
0.0,35.7,0.082467,-0.015192
0.0,37.97,0.087741,-0.016529
0.0,40.07,0.09235,-0.017752
0.0,42.35,0.095926,-0.018904
0.0,44.62,0.099038,-0.019665
0.0,46.72,0.101481,-0.020506
0.0,49.0,0.102824,-0.020922
0.0,51.27,0.103425,-0.021258
0.0,53.37,0.1032,-0.02171
0.0,55.65,0.102732,-0.022385
0.0,57.92,0.101595,-0.023174
0.0,60.02,0.099802,-0.02411
0.0,62.3,0.096925,-0.024877
0.0,64.57,0.093523,-0.025491
0.0,66.67,0.088924,-0.026141
0.0,68.95,0.083591,-0.026975
0.0,71.05,0.078169,-0.027588
0.0,73.15,0.071472,-0.028257
0.0,75.6,0.064303,-0.028778
0.0,77.7,0.055834,-0.029212
0.0,79.97,0.047128,-0.029606
0.0,82.07,0.037005,-0.029166
0.0,84.35,0.026709,-0.028978
0.0,86.62,0.015575,-0.028279
0.0,88.9,0.003745,-0.027188
0.0,91.0,-0.007826,-0.025774
0.0,93.27,-0.018855,-0.024428
0.0,95.37,-0.029468,-0.022721
0.0,97.65,-0.03969,-0.021307
0.0,99.92,-0.048771,-0.020145
0.0,102.2,-0.057459,-0.018722
0.0,104.3,-0.063731,-0.017511
0.0,106.57,-0.068377,-0.017083
0.0,108.67,-0.070401,-0.017052
0.0,111.12,-0.06907,-0.018399
0.0,113.4,-0.065053,-0.020047
0.0,115.5,-0.058306,-0.021979
0.0,117.77,-0.048405,-0.024665
0.0,120.4,-0.033198,-0.027869
0.0,122.5,-0.019197,-0.030195
0.0,124.77,-0.00159,-0.03241
0.0,127.05,0.01905,-0.033657
0.0,129.15,0.041672,-0.034338
0.0,131.42,0.066235,-0.034776
0.0,133.7,0.092738,-0.034067
0.0,135.8,0.122565,-0.033353
0.0,138.07,0.153505,-0.031242
0.0,140.35,0.1856,-0.028322
0.0,142.62,0.221351,-0.023984
0.0,144.9,0.255467,-0.018694
0.0,147.0,0.288991,-0.011726
0.0,149.45,0.32632,-0.002924
0.0,151.73,0.358015,0.006145
0.0,153.83,0.387725,0.016071
0.0,156.1,0.416841,0.025933
0.0,158.38,0.443406,0.036376
0.0,160.65,0.466881,0.04665
0.0,162.75,0.488634,0.057048
0.0,165.03,0.508661,0.067186
0.0,167.3,0.526718,0.077402
0.0,169.4,0.543036,0.08779
0.0,171.68,0.557876,0.097602
0.0,173.78,0.571761,0.107208
0.0,176.05,0.585208,0.115982
0.0,178.33,0.598156,0.124636
0.0,180.43,0.6103,0.133006
0.0,182.7,0.621717,0.140418
0.0,184.98,0.632361,0.147393
0.0,187.25,0.641622,0.15385
0.0,189.35,0.649311,0.159192
0.0,191.63,0.656332,0.164019
0.0,193.9,0.662395,0.168151
0.0,196.0,0.667349,0.171619
0.0,198.28,0.671871,0.17397
0.0,200.55,0.675975,0.176154
0.0,202.83,0.679243,0.178154
0.0,205.28,0.681428,0.179589
0.0,207.38,0.682657,0.180073
0.0,209.65,0.683569,0.180048
