x,y,z,z2
4.37,0.0,-0.000595,-0.001264
6.65,0.0,-0.000626,-0.001359
8.75,0.0,-0.000657,-0.001119
11.03,0.0,-0.00033,-0.001304
13.3,0.0,-0.00026,-0.001298
15.58,0.0,-0.000373,-0.000697
17.85,0.0,-5.6e-05,-0.000447
20.13,0.0,-8.4e-05,-0.000266
22.23,0.0,3.3e-05,-0.000475
24.5,0.0,0.000446,-0.000367
26.78,0.0,0.001037,-0.000149
29.05,0.0,0.001059,0.000397
31.33,0.0,0.001848,0.000588
33.43,0.0,0.001681,0.000988
35.7,0.0,0.001971,0.001721
37.97,0.0,0.002492,0.002245
40.07,0.0,0.002926,0.002556
42.35,0.0,0.002461,0.002652
44.45,0.0,0.002991,0.003006
46.72,0.0,0.003237,0.003114
49.0,0.0,0.003453,0.003
51.1,0.0,0.00296,0.002738
53.37,0.0,0.003191,0.002396
55.65,0.0,0.003197,0.001783
57.75,0.0,0.002997,0.001102
60.02,0.0,0.003252,0.000594
62.3,0.0,0.002649,0.000292
64.57,0.0,0.002371,-0.000105
66.67,0.0,0.002797,0.000375
68.95,0.0,0.003311,0.000646
71.22,0.0,0.005295,0.001435
73.32,0.0,0.007664,0.002288
75.6,0.0,0.009821,0.002914
77.87,0.0,0.011946,0.004303
80.32,0.0,0.013992,0.005557
82.6,0.0,0.015754,0.006333
84.87,0.0,0.017636,0.007418
86.97,0.0,0.018955,0.008018
89.25,0.0,0.019639,0.008382
91.52,0.0,0.019137,0.008681
93.8,0.0,0.019898,0.008459
96.07,0.0,0.018607,0.008086
98.17,0.0,0.017981,0.007421
100.8,0.0,0.016614,0.006416
103.07,0.0,0.015163,0.006296
105.17,0.0,0.013681,0.00589
107.45,0.0,0.01272,0.005769
110.07,0.0,0.012448,0.005421
112.35,0.0,0.013302,0.005674
114.62,0.0,0.013653,0.005809
116.72,0.0,0.015129,0.006182
119.17,0.0,0.016296,0.00719
121.45,0.0,0.018148,0.007901
123.55,0.0,0.019365,0.008671
125.82,0.0,0.02032,0.009204
128.45,0.0,0.020782,0.009611
130.55,0.0,0.021028,0.010119
132.82,0.0,0.020769,0.010809
135.1,0.0,0.02011,0.011019
137.72,0.0,0.01975,0.011111
