x,y,z,z2
0.0,2.27,-0.000173,-0.001215
0.0,4.37,-0.000487,-0.001245
0.0,6.65,0.000979,-0.001877
0.0,8.93,0.003012,-0.000373
0.0,11.2,0.005427,0.000218
0.0,13.48,0.008154,0.001832
0.0,15.58,0.010375,0.002301
0.0,17.85,0.011617,0.002646
0.0,19.95,0.011814,0.002427
0.0,22.23,0.011654,0.002248
0.0,24.33,0.010686,0.001487
0.0,26.6,0.008551,0.00085
0.0,28.88,0.007812,-0.000414
0.0,31.15,0.005825,-0.00111
0.0,33.25,0.00495,-0.001446
0.0,35.52,0.003976,-0.000888
0.0,37.8,0.003767,-0.000617
0.0,39.9,0.003188,-6.9e-05
0.0,42.17,0.002251,3.3e-05
0.0,44.45,0.001817,-0.000346
0.0,46.55,0.000899,-0.000241
0.0,48.82,0.001044,-0.00091
0.0,50.92,0.001013,-0.000756
0.0,53.2,0.001632,-0.000389
0.0,55.47,0.002319,-0.000229
0.0,57.57,0.003157,-0.00033
0.0,59.85,0.003243,0.000138
0.0,61.95,0.003422,0.000443
0.0,64.22,0.003323,0.000196
0.0,66.5,0.003354,6.7e-05
0.0,68.6,0.002815,0.000788
0.0,70.87,0.002026,0.000304
0.0,73.15,0.001669,0.000218
0.0,75.25,0.000116,0.001102
0.0,77.52,-0.000121,0.000427
0.0,79.62,-0.000817,0.001216
0.0,81.9,-0.001624,0.000997
0.0,84.17,-0.002077,0.000797
0.0,86.27,-0.002727,-0.000497
0.0,88.55,-0.00241,-0.0007
0.0,90.82,-0.002924,-0.000454
0.0,93.1,-0.003109,-0.000774
0.0,95.2,-0.0031,-0.000891
0.0,97.47,-0.003165,-0.001261
0.0,99.75,-0.002644,-0.000629
0.0,101.85,-0.002025,-0.000426
0.0,104.12,-0.001754,0.000129
0.0,106.22,-0.002099,-0.000617
0.0,108.5,-0.001024,0.000135
0.0,110.77,-0.001473,8.6e-05
0.0,113.05,-0.002102,0.000193
0.0,115.15,-0.002622,0.000461
0.0,117.42,-0.002333,0.000708
0.0,119.7,-0.002296,0.000942
0.0,121.8,-0.002508,0.000637
0.0,124.07,-0.002345,0.001028
0.0,126.35,-0.002096,0.001312
0.0,128.45,-0.002456,0.000421
0.0,130.72,-0.001677,0.000646
0.0,133.0,-0.001717,0.000332
0.0,135.1,-0.001356,0.000119
0.0,137.37,-0.001082,1.8e-05
0.0,139.65,-0.000309,-0.000146
0.0,141.75,-0.000626,0.000816
0.0,144.02,-0.000617,0.001312
0.0,146.12,-0.001125,0.000893
0.0,148.4,-0.000771,0.001456
0.0,150.5,-0.000891,0.001577
0.0,152.95,-0.001187,0.002529
0.0,155.05,-0.001791,0.0034
0.0,157.33,-0.000863,0.003157
0.0,159.6,-3.8e-05,0.003437
0.0,161.88,0.000249,0.004171
0.0,163.98,0.000609,0.004069
0.0,166.25,0.001145,0.004248
0.0,168.53,0.001358,0.004183
0.0,170.8,0.0021,0.003277
0.0,172.9,0.002448,0.002633
0.0,175.18,0.00328,0.002914
0.0,177.45,0.003043,0.002532
0.0,179.73,0.002556,0.002411
0.0,181.83,0.002217,0.003028
0.0,184.1,0.002347,0.003139
0.0,186.38,0.002341,0.003314
0.0,188.48,0.001731,0.003859
0.0,190.75,0.001743,0.003631
0.0,193.2,0.002723,0.003773
0.0,195.48,0.003098,0.003628
0.0,197.75,0.003216,0.004457
0.0,199.85,0.003172,0.004053
0.0,202.13,0.004112,0.005101
0.0,204.4,0.004762,0.004704
0.0,206.68,0.005101,0.004959
0.0,208.78,0.005696,0.00479
0.0,211.05,0.006,0.004322
0.0,213.33,0.005776,0.004053
0.0,215.6,0.005711,0.003468
0.0,217.7,0.006041,0.002907
0.0,219.98,0.006238,0.002267
0.0,222.08,0.005406,0.001965
0.0,224.35,0.005803,0.001589
0.0,226.63,0.00601,0.00153
0.0,228.9,0.00479,0.001715
0.0,231.0,0.005927,0.001946
0.0,233.28,0.005514,0.001977
0.0,235.55,0.003807,0.002578
0.0,237.65,0.003588,0.002374
0.0,239.75,0.002301,0.002507
0.0,242.2,0.002892,0.002402
0.0,244.3,0.002125,0.002476
0.0,246.58,0.002171,0.002411
0.0,248.85,0.002467,0.001992
0.0,250.95,0.001817,0.002501
0.0,253.23,0.002202,0.002652
0.0,255.33,0.003092,0.002692
0.0,257.6,0.003052,0.002054
0.0,259.88,0.003403,0.002646
0.0,261.98,0.003804,0.002427
0.0,264.25,0.003511,0.002122
0.0,266.35,0.003302,0.002002
0.0,268.63,0.002707,0.002137
0.0,270.9,0.002424,0.002002
0.0,273.18,0.00211,0.002282
0.0,275.28,0.001857,0.002134
0.0,277.55,0.001694,0.001663
0.0,279.65,0.000954,0.0019
0.0,281.93,0.00072,0.001404
0.0,284.2,0.000893,0.001651
0.0,286.3,0.000806,0.001669
0.0,288.58,0.000415,0.001361
0.0,290.85,0.001016,0.001139
0.0,292.95,0.000529,0.001524
0.0,295.23,0.000298,0.001533
0.0,297.5,0.000665,0.001201
