x,y,z,z2
4.55,0.0,-0.020256,-0.0422
6.65,0.0,-0.020645,-0.042807
8.93,0.0,-0.021171,-0.043297
11.2,0.0,-0.022579,-0.044511
13.3,0.0,-0.024292,-0.046396
15.58,0.0,-0.026295,-0.048041
17.85,0.0,-0.028334,-0.050358
20.13,0.0,-0.030962,-0.053072
22.23,0.0,-0.033417,-0.055164
24.5,0.0,-0.035062,-0.056972
26.78,0.0,-0.036464,-0.058614
28.88,0.0,-0.038152,-0.059976
31.15,0.0,-0.039508,-0.061754
33.43,0.0,-0.04171,-0.063571
35.7,0.0,-0.044224,-0.066048
37.8,0.0,-0.046569,-0.068494
40.07,0.0,-0.049905,-0.071741
42.35,0.0,-0.053738,-0.07525
44.45,0.0,-0.057909,-0.079286
46.72,0.0,-0.062089,-0.083713
49.0,0.0,-0.067105,-0.088497
50.92,0.0,-0.072262,-0.093513
53.37,0.0,-0.078149,-0.099243
55.65,0.0,-0.084397,-0.105684
57.92,0.0,-0.091381,-0.112447
60.02,0.0,-0.098848,-0.119847
62.3,0.0,-0.107444,-0.128057
64.57,0.0,-0.116196,-0.13704
66.67,0.0,-0.125238,-0.145949
68.95,0.0,-0.135241,-0.155678
71.22,0.0,-0.145235,-0.165438
73.32,0.0,-0.156461,-0.176479
75.6,0.0,-0.168654,-0.188759
77.87,0.0,-0.181997,-0.202077
80.15,0.0,-0.197271,-0.2168
82.25,0.0,-0.213663,-0.233164
84.52,0.0,-0.230697,-0.249692
86.62,0.0,-0.247092,-0.266026
88.72,0.0,-0.261137,-0.279905
91.17,0.0,-0.26968,-0.28822
93.27,0.0,-0.273599,-0.292123
95.55,0.0,-0.272514,-0.291171
97.47,0.0,-0.266057,-0.284572
99.92,0.0,-0.253096,-0.272003
102.2,0.0,-0.233713,-0.252788
104.3,0.0,-0.20691,-0.226476
106.57,0.0,-0.173272,-0.193251
108.85,0.0,-0.137006,-0.157468
111.12,0.0,-0.097678,-0.118839
113.22,0.0,-0.05838,-0.079807
115.5,0.0,-0.021224,-0.043417
117.77,0.0,0.012889,-0.009813
119.87,0.0,0.040606,0.017772
122.15,0.0,0.062609,0.039516
124.25,0.0,0.079654,0.056321
126.52,0.0,0.090846,0.06735
128.8,0.0,0.09531,0.071533
131.07,0.0,0.091801,0.068277
133.17,0.0,0.080991,0.057821
135.45,0.0,0.062904,0.03971
137.72,0.0,0.038021,0.015187
140.0,0.0,0.00548,-0.016834
142.1,0.0,-0.034693,-0.056726
144.37,0.0,-0.081347,-0.102314
146.65,0.0,-0.13537,-0.155537
148.75,0.0,-0.194338,-0.213867
151.03,0.0,-0.259261,-0.278053
153.3,0.0,-0.330003,-0.347529
155.58,0.0,-0.399147,-0.41577
157.68,0.0,-0.46345,-0.479495
159.95,0.0,-0.518589,-0.533466
162.05,0.0,-0.556904,-0.571799
164.33,0.0,-0.576944,-0.59154
166.6,0.0,-0.575326,-0.589855
168.88,0.0,-0.548219,-0.563247
170.98,0.0,-0.494091,-0.509778
173.25,0.0,-0.409178,-0.426168
175.35,0.0,-0.294729,-0.313133
177.63,0.0,-0.155691,-0.176156
179.9,0.0,0.002566,-0.020087
182.18,0.0,0.170227,0.145298
184.45,0.0,0.341105,0.314161
186.55,0.0,0.502503,0.473341
188.83,0.0,0.651197,0.619841
191.1,0.0,0.78339,0.750269
193.38,0.0,0.890516,0.85624
195.48,0.0,0.971782,0.936424
197.75,0.0,1.026091,0.990118
199.85,0.0,1.054942,1.018744
202.13,0.0,1.060032,1.023685
204.4,0.0,1.043177,1.006994
206.68,0.0,1.008913,0.973408
208.78,0.0,0.960836,0.92575
211.05,0.0,0.903134,0.868886
213.15,0.0,0.837041,0.803655
215.43,0.0,0.767629,0.735263
217.7,0.0,0.698255,0.666569
219.63,0.0,0.627765,0.597349
222.08,0.0,0.560873,0.531283
224.35,0.0,0.500227,0.471231
226.45,0.0,0.443649,0.415485
228.73,0.0,0.391625,0.364118
231.0,0.0,0.345002,0.318049
233.1,0.0,0.304746,0.278375
235.38,0.0,0.268369,0.242698
237.65,0.0,0.236462,0.211
239.93,0.0,0.208197,0.183323
242.03,0.0,0.18242,0.157655
244.3,0.0,0.160107,0.135843
246.58,0.0,0.141598,0.11751
