x,y,z,z2
0.0,2.27,-0.025802,-0.047955
0.0,4.55,-0.024918,-0.0468
0.0,6.82,-0.022807,-0.044998
0.0,8.93,-0.020296,-0.042595
0.0,11.2,-0.018112,-0.040327
0.0,13.3,-0.017068,-0.039258
0.0,15.58,-0.017934,-0.040075
0.0,17.85,-0.019822,-0.041926
0.0,19.95,-0.021766,-0.043728
0.0,22.23,-0.024231,-0.04599
0.0,24.5,-0.026643,-0.048713
0.0,26.6,-0.029311,-0.051023
0.0,28.88,-0.032111,-0.054052
0.0,31.15,-0.03493,-0.056563
0.0,33.25,-0.039113,-0.060882
0.0,35.53,-0.044141,-0.065718
0.0,37.62,-0.049033,-0.070839
0.0,39.9,-0.054107,-0.075589
0.0,42.17,-0.059123,-0.080435
0.0,44.27,-0.065108,-0.086646
0.0,46.55,-0.071905,-0.093192
0.0,48.65,-0.079748,-0.100882
0.0,50.92,-0.088568,-0.109431
0.0,53.2,-0.098254,-0.119169
0.0,55.3,-0.109033,-0.129699
0.0,57.57,-0.119307,-0.13981
0.0,60.02,-0.130456,-0.150934
0.0,62.3,-0.140019,-0.160496
0.0,64.4,-0.150598,-0.17082
0.0,66.67,-0.162111,-0.182092
0.0,68.95,-0.174886,-0.195007
0.0,71.05,-0.188821,-0.208374
0.0,73.32,-0.204344,-0.223506
0.0,75.6,-0.221307,-0.240617
0.0,77.87,-0.239911,-0.258999
0.0,79.97,-0.260312,-0.27923
0.0,82.25,-0.282921,-0.301362
0.0,84.35,-0.307844,-0.325934
0.0,86.62,-0.333944,-0.351738
0.0,88.9,-0.362255,-0.379741
0.0,91.0,-0.392194,-0.408882
0.0,93.27,-0.421799,-0.43825
0.0,95.55,-0.45021,-0.466282
0.0,97.82,-0.476852,-0.49264
0.0,99.92,-0.500832,-0.516285
0.0,102.2,-0.520511,-0.535554
0.0,104.3,-0.536303,-0.55109
0.0,106.57,-0.549248,-0.56411
0.0,108.85,-0.55967,-0.574365
0.0,110.95,-0.568466,-0.582825
0.0,113.22,-0.574864,-0.589501
0.0,115.5,-0.579498,-0.594011
0.0,117.77,-0.580853,-0.595061
0.0,119.87,-0.577175,-0.591645
0.0,122.15,-0.56866,-0.583019
0.0,124.42,-0.551756,-0.566466
0.0,126.7,-0.527169,-0.542329
0.0,128.97,-0.495148,-0.511057
0.0,131.07,-0.455009,-0.471374
0.0,133.35,-0.408654,-0.425561
0.0,135.45,-0.354726,-0.372231
0.0,137.72,-0.296531,-0.314896
0.0,139.82,-0.235401,-0.254532
0.0,142.27,-0.170481,-0.190681
0.0,144.37,-0.108688,-0.12976
0.0,146.65,-0.048331,-0.070059
0.0,148.75,0.007242,-0.015364
0.0,151.03,0.057146,0.033853
0.0,153.3,0.101355,0.07779
0.0,155.4,0.138878,0.114833
0.0,157.68,0.168918,0.144238
0.0,159.95,0.193733,0.16881
0.0,162.05,0.212273,0.1869
0.0,164.33,0.224204,0.198878
0.0,166.6,0.231046,0.205637
0.0,168.88,0.234318,0.208939
0.0,170.98,0.234965,0.209478
0.0,173.25,0.232793,0.207005
0.0,175.35,0.227614,0.202269
0.0,177.63,0.220609,0.195147
0.0,179.9,0.211277,0.186271
0.0,182.0,0.200507,0.175304
0.0,184.28,0.188687,0.163748
0.0,186.55,0.175406,0.150828
0.0,188.65,0.161613,0.137174
0.0,190.93,0.147858,0.12344
0.0,193.2,0.134383,0.110206
0.0,195.3,0.121444,0.097442
0.0,197.58,0.108949,0.085316
0.0,199.85,0.097753,0.074241
0.0,201.95,0.08767,0.064408
0.0,204.23,0.077609,0.054211
0.0,206.5,0.066576,0.043222
0.0,208.78,0.053736,0.030677
0.0,211.05,0.040997,0.018071
0.0,213.33,0.027245,0.00454
0.0,215.6,0.013185,-0.009126
0.0,217.7,5.2e-05,-0.022407
0.0,219.98,-0.013032,-0.035395
0.0,222.25,-0.026519,-0.048448
0.0,224.35,-0.040056,-0.061732
0.0,226.63,-0.054572,-0.076202
0.0,228.9,-0.070802,-0.091898
0.0,231.18,-0.088651,-0.109874
0.0,233.28,-0.109089,-0.130044
0.0,235.55,-0.131812,-0.152243
0.0,237.65,-0.15622,-0.176479
0.0,239.93,-0.184227,-0.203839
0.0,242.2,-0.215302,-0.234551
0.0,244.48,-0.247964,-0.267108
0.0,246.58,-0.283337,-0.301947
0.0,248.85,-0.324412,-0.342252
0.0,251.13,-0.368293,-0.385518
