x,y,z,z2
4.37,0.0,-0.000811,-0.0233
6.65,0.0,-0.00167,-0.024163
8.93,0.0,-0.002721,-0.025179
11.2,0.0,-0.00334,-0.025906
13.48,0.0,-0.003916,-0.026341
15.58,0.0,-0.004465,-0.026683
18.2,0.0,-0.005324,-0.027727
20.3,0.0,-0.006541,-0.028664
22.58,0.0,-0.007521,-0.029742
24.68,0.0,-0.00924,-0.031587
26.95,0.0,-0.010568,-0.032964
29.4,0.0,-0.010571,-0.032841
31.68,0.0,-0.009345,-0.031436
33.95,0.0,-0.007348,-0.029653
36.05,0.0,-0.004206,-0.0266
38.32,0.0,-0.001381,-0.023485
40.6,0.0,0.001749,-0.020617
42.7,0.0,0.004386,-0.017927
44.97,0.0,0.006413,-0.015993
47.25,0.0,0.00861,-0.013661
49.52,0.0,0.010196,-0.012133
51.62,0.0,0.010273,-0.012274
53.9,0.0,0.008995,-0.01347
56.17,0.0,0.006435,-0.015842
58.27,0.0,0.003813,-0.018553
60.55,0.0,0.000865,-0.021335
62.82,0.0,-0.001994,-0.024422
64.92,0.0,-0.00501,-0.0272
67.2,0.0,-0.007823,-0.03001
69.47,0.0,-0.011057,-0.033279
71.57,0.0,-0.014532,-0.036566
73.85,0.0,-0.017712,-0.039785
76.12,0.0,-0.020463,-0.04237
78.4,0.0,-0.022142,-0.044227
80.5,0.0,-0.024046,-0.046027
82.95,0.0,-0.025839,-0.047934
85.05,0.0,-0.027977,-0.050047
87.32,0.0,-0.030866,-0.052607
89.42,0.0,-0.033426,-0.055296
91.7,0.0,-0.034951,-0.056861
93.97,0.0,-0.035543,-0.057508
96.25,0.0,-0.035531,-0.057558
98.35,0.0,-0.034708,-0.056606
100.62,0.0,-0.03355,-0.055608
102.9,0.0,-0.032659,-0.054498
105.17,0.0,-0.03095,-0.052955
107.27,0.0,-0.029271,-0.051239
109.55,0.0,-0.02782,-0.049742
111.82,0.0,-0.02663,-0.048707
114.1,0.0,-0.025879,-0.047884
116.2,0.0,-0.02591,-0.047844
118.47,0.0,-0.027043,-0.048836
120.75,0.0,-0.029083,-0.050996
123.02,0.0,-0.031824,-0.053756
125.12,0.0,-0.034206,-0.056301
127.4,0.0,-0.036889,-0.05887
129.67,0.0,-0.039172,-0.060946
131.77,0.0,-0.040876,-0.062783
134.05,0.0,-0.042274,-0.064027
136.32,0.0,-0.042829,-0.064603
138.6,0.0,-0.04293,-0.064788
140.7,0.0,-0.042921,-0.064708
142.97,0.0,-0.041938,-0.063642
145.25,0.0,-0.040244,-0.062034
147.35,0.0,-0.037998,-0.059973
149.63,0.0,-0.035401,-0.057505
151.73,0.0,-0.033442,-0.05537
154.0,0.0,-0.03147,-0.053285
156.28,0.0,-0.030072,-0.052022
158.55,0.0,-0.028916,-0.050832
160.65,0.0,-0.028473,-0.05037
162.93,0.0,-0.028507,-0.050407
165.2,0.0,-0.029027,-0.050746
167.3,0.0,-0.029529,-0.051365
169.58,0.0,-0.030056,-0.051942
171.85,0.0,-0.030407,-0.052505
173.95,0.0,-0.030367,-0.052364
176.23,0.0,-0.03037,-0.052259
178.5,0.0,-0.030731,-0.052548
180.6,0.0,-0.031245,-0.053047
182.88,0.0,-0.032003,-0.053885
185.15,0.0,-0.032616,-0.054566
187.25,0.0,-0.033106,-0.054939
189.53,0.0,-0.032952,-0.054973
191.8,0.0,-0.032515,-0.054304
194.08,0.0,-0.031516,-0.053476
196.35,0.0,-0.030226,-0.052022
198.45,0.0,-0.027983,-0.050062
200.73,0.0,-0.025383,-0.04749
203.0,0.0,-0.022613,-0.044502
205.28,0.0,-0.019742,-0.041951
207.55,0.0,-0.016942,-0.038802
209.65,0.0,-0.01416,-0.036498
211.93,0.0,-0.012,-0.034227
214.03,0.0,-0.01009,-0.032277
216.3,0.0,-0.008574,-0.030802
218.58,0.0,-0.007496,-0.029711
220.85,0.0,-0.007327,-0.029631
222.95,0.0,-0.007385,-0.029723
225.23,0.0,-0.007114,-0.029443
227.5,0.0,-0.007074,-0.029304
229.6,0.0,-0.007114,-0.029298
231.88,0.0,-0.006757,-0.028885
234.15,0.0,-0.006193,-0.028513
236.43,0.0,-0.005447,-0.027795
238.7,0.0,-0.00473,-0.027151
240.8,0.0,-0.004418,-0.026535
243.08,0.0,-0.004825,-0.026972
245.53,0.0,-0.005962,-0.028331
247.8,0.0,-0.007585,-0.029751
250.08,0.0,-0.010161,-0.032348
252.18,0.0,-0.012884,-0.035044
254.8,0.0,-0.015398,-0.037416
256.9,0.0,-0.017049,-0.039147
259.18,0.0,-0.018251,-0.040438
261.28,0.0,-0.019095,-0.041415
263.55,0.0,-0.019834,-0.041994
265.83,0.0,-0.020127,-0.042271
267.93,0.0,-0.019785,-0.041883
270.2,0.0,-0.019021,-0.040913
272.48,0.0,-0.017625,-0.039576
274.58,0.0,-0.01606,-0.038168
276.85,0.0,-0.014511,-0.036624
279.13,0.0,-0.013011,-0.035327
281.23,0.0,-0.011778,-0.033956
283.5,0.0,-0.010913,-0.033094
285.78,0.0,-0.010155,-0.032391
288.05,0.0,-0.009209,-0.031461
290.15,0.0,-0.008205,-0.03029
292.43,0.0,-0.007425,-0.029733
294.7,0.0,-0.00745,-0.029609
296.98,0.0,-0.008614,-0.030808
299.08,0.0,-0.010435,-0.032478
301.35,0.0,-0.012394,-0.034535
303.63,0.0,-0.014443,-0.036446
305.73,0.0,-0.016547,-0.038802
308.0,0.0,-0.018667,-0.040728
310.28,0.0,-0.020577,-0.042545
312.55,0.0,-0.022056,-0.044181
314.65,0.0,-0.023753,-0.045712
316.93,0.0,-0.025284,-0.047191
319.2,0.0,-0.027071,-0.04899
321.3,0.0,-0.029348,-0.051412
323.58,0.0,-0.031954,-0.053722
325.85,0.0,-0.03387,-0.055611
327.95,0.0,-0.035259,-0.057136
330.23,0.0,-0.035934,-0.057869
332.5,0.0,-0.035623,-0.05765
334.6,0.0,-0.035179,-0.057206
336.88,0.0,-0.03452,-0.056452
338.98,0.0,-0.033818,-0.055845
341.43,0.0,-0.033913,-0.055777
343.53,0.0,-0.033762,-0.055743
345.63,0.0,-0.033781,-0.055774
348.08,0.0,-0.033966,-0.055672
350.18,0.0,-0.033359,-0.055364
352.45,0.0,-0.032878,-0.054717
354.55,0.0,-0.03225,-0.054206
356.83,0.0,-0.032659,-0.054668
359.1,0.0,-0.033451,-0.055349
361.2,0.0,-0.034646,-0.05655
363.48,0.0,-0.036418,-0.058254
365.58,0.0,-0.03781,-0.059677
368.03,0.0,-0.038559,-0.060404
370.13,0.0,-0.038913,-0.060839
372.4,0.0,-0.038152,-0.059942
374.68,0.0,-0.036744,-0.058651
376.95,0.0,-0.035343,-0.057391
379.23,0.0,-0.034502,-0.056267
381.5,0.0,-0.033426,-0.055299
383.78,0.0,-0.032653,-0.054646
386.05,0.0,-0.031935,-0.053756
388.15,0.0,-0.03119,-0.052989
390.43,0.0,-0.030404,-0.052345
392.7,0.0,-0.029616,-0.05167
394.98,0.0,-0.028938,-0.050802
397.08,0.0,-0.027927,-0.049834
399.35,0.0,-0.027105,-0.048987
401.63,0.0,-0.026292,-0.048309
403.9,0.0,-0.025358,-0.047357
406.0,0.0,-0.02412,-0.046264
408.28,0.0,-0.023134,-0.045016
410.55,0.0,-0.02221,-0.044351
412.65,0.0,-0.021781,-0.043892
414.93,0.0,-0.021674,-0.043704
417.2,0.0,-0.022114,-0.044203
419.3,0.0,-0.022499,-0.044646
421.58,0.0,-0.023242,-0.045315
423.85,0.0,-0.024893,-0.046861
425.95,0.0,-0.026917,-0.048719
428.23,0.0,-0.028984,-0.050925
430.5,0.0,-0.030965,-0.052937
432.6,0.0,-0.032712,-0.054354
434.88,0.0,-0.033396,-0.055299
437.15,0.0,-0.034064,-0.055993
439.43,0.0,-0.035001,-0.057019
441.7,0.0,-0.035959,-0.057863
443.8,0.0,-0.036387,-0.058303
446.08,0.0,-0.03619,-0.058134
448.35,0.0,-0.03538,-0.057102
450.45,0.0,-0.034332,-0.056341
452.73,0.0,-0.033433,-0.05538
455.0,0.0,-0.033057,-0.055013
457.1,0.0,-0.032234,-0.054323
459.38,0.0,-0.031615,-0.053451
461.65,0.0,-0.031101,-0.05314
463.75,0.0,-0.030441,-0.052219
466.03,0.0,-0.030038,-0.051787
468.3,0.0,-0.029138,-0.051027
470.4,0.0,-0.028125,-0.050078
472.68,0.0,-0.027031,-0.049172
474.95,0.0,-0.026288,-0.048223
477.05,0.0,-0.025293,-0.047231
479.33,0.0,-0.024677,-0.046495
481.6,0.0,-0.024052,-0.046245
483.88,0.0,-0.023614,-0.045842
485.98,0.0,-0.023654,-0.045663
488.25,0.0,-0.022989,-0.044958
490.35,0.0,-0.022478,-0.044702
492.63,0.0,-0.021849,-0.044006
494.9,0.0,-0.020873,-0.042967
497.18,0.0,-0.020386,-0.042216
499.28,0.0,-0.019308,-0.041646
501.55,0.0,-0.018611,-0.040712
503.83,0.0,-0.017903,-0.039908
505.93,0.0,-0.017533,-0.039363
508.2,0.0,-0.017117,-0.039391
510.3,0.0,-0.016757,-0.038969
512.58,0.0,-0.016452,-0.038306
514.85,0.0,-0.016452,-0.038343
517.13,0.0,-0.016347,-0.038393
519.23,0.0,-0.016344,-0.038522
521.5,0.0,-0.016024,-0.038017
523.6,0.0,-0.015537,-0.037659
525.88,0.0,-0.015118,-0.037416
528.15,0.0,-0.01554,-0.037647
530.25,0.0,-0.016606,-0.038707
532.53,0.0,-0.017795,-0.040004
534.8,0.0,-0.019215,-0.041227
536.9,0.0,-0.020623,-0.042629
539.18,0.0,-0.02257,-0.044625
541.45,0.0,-0.024554,-0.046442
543.73,0.0,-0.026141,-0.047789
546.0,0.0,-0.027105,-0.048987
548.1,0.0,-0.027829,-0.049683
550.38,0.0,-0.028528,-0.050512
552.65,0.0,-0.029036,-0.05082
554.75,0.0,-0.029292,-0.051288
557.03,0.0,-0.02993,-0.051935
559.3,0.0,-0.03074,-0.052801
561.58,0.0,-0.031575,-0.053476
563.68,0.0,-0.032702,-0.054566
565.95,0.0,-0.03342,-0.055413
568.23,0.0,-0.033808,-0.05549
570.33,0.0,-0.034117,-0.056119
572.6,0.0,-0.033889,-0.055731
574.88,0.0,-0.033753,-0.055549
576.98,0.0,-0.033346,-0.055358
579.25,0.0,-0.033054,-0.054887
581.53,0.0,-0.03265,-0.054458
583.63,0.0,-0.032163,-0.054406
585.9,0.0,-0.031861,-0.053999
588.0,0.0,-0.031446,-0.053657
590.28,0.0,-0.030574,-0.052465
592.55,0.0,-0.029289,-0.051291
594.83,0.0,-0.027622,-0.049545
596.93,0.0,-0.025956,-0.047921
599.2,0.0,-0.024338,-0.046353
601.48,0.0,-0.022816,-0.044828
603.75,0.0,-0.021421,-0.043525
606.03,0.0,-0.02038,-0.042484
608.13,0.0,-0.018778,-0.040795
610.4,0.0,-0.017243,-0.039502
612.68,0.0,-0.01603,-0.038205
614.78,0.0,-0.015216,-0.037462
617.05,0.0,-0.014619,-0.036541
619.32,0.0,-0.014015,-0.036051
621.42,0.0,-0.012906,-0.035142
623.7,0.0,-0.012037,-0.034332
625.97,0.0,-0.011295,-0.033399
628.07,0.0,-0.01168,-0.033799
630.35,0.0,-0.012552,-0.034588
