x,y,z,z2
0.0,2.1,0.011875,-0.0107
0.0,4.37,0.011515,-0.010913
0.0,6.65,0.011105,-0.011211
0.0,8.93,0.011506,-0.010968
0.0,11.03,0.01153,-0.011002
0.0,13.3,0.010489,-0.011892
0.0,15.58,0.008875,-0.013433
0.0,17.68,0.007165,-0.01525
0.0,19.95,0.005692,-0.016532
0.0,22.05,0.00398,-0.018162
0.0,24.33,0.002374,-0.019794
0.0,26.6,0.001139,-0.021064
0.0,28.7,-6.2e-05,-0.022468
0.0,30.98,-0.001144,-0.023399
0.0,33.25,-0.002228,-0.024372
0.0,35.35,-0.003088,-0.025346
0.0,37.62,-0.003864,-0.026011
0.0,39.72,-0.00476,-0.026695
0.0,42.0,-0.005873,-0.027897
0.0,44.27,-0.007111,-0.029166
0.0,46.55,-0.008026,-0.030056
0.0,48.65,-0.009295,-0.031387
0.0,50.92,-0.010281,-0.032336
0.0,53.2,-0.01086,-0.032807
0.0,55.47,-0.011338,-0.033479
0.0,57.75,-0.011926,-0.034039
0.0,59.85,-0.012792,-0.034739
0.0,62.12,-0.013488,-0.035638
0.0,64.4,-0.014098,-0.036057
0.0,66.5,-0.014693,-0.036677
0.0,68.77,-0.015429,-0.037296
0.0,70.87,-0.016245,-0.038337
0.0,73.15,-0.017056,-0.039113
0.0,75.42,-0.018143,-0.040136
0.0,77.7,-0.019126,-0.041208
0.0,79.8,-0.020401,-0.042468
0.0,81.9,-0.021273,-0.043189
0.0,84.17,-0.021695,-0.04359
0.0,86.45,-0.022197,-0.043808
0.0,88.55,-0.022105,-0.043907
0.0,90.82,-0.021677,-0.043528
0.0,93.1,-0.021381,-0.043229
0.0,95.2,-0.020509,-0.04245
0.0,97.47,-0.020395,-0.042336
0.0,99.75,-0.01969,-0.041686
0.0,101.85,-0.019446,-0.041316
0.0,104.12,-0.01858,-0.040614
0.0,106.4,-0.018078,-0.04017
0.0,108.5,-0.018232,-0.040164
0.0,110.77,-0.018214,-0.040124
0.0,113.05,-0.018168,-0.04013
0.0,115.15,-0.018519,-0.040614
0.0,117.6,-0.019486,-0.041529
0.0,119.7,-0.020457,-0.042367
0.0,121.97,-0.021076,-0.04285
0.0,124.07,-0.021957,-0.043907
0.0,126.35,-0.022416,-0.044569
0.0,128.62,-0.022136,-0.043821
