x,y,z,z2
4.55,0.0,-0.017934,-0.040438
6.82,0.0,-0.01757,-0.039696
9.1,0.0,-0.017314,-0.039548
11.2,0.0,-0.01716,-0.039172
13.48,0.0,-0.017475,-0.039896
15.75,0.0,-0.018322,-0.040509
18.03,0.0,-0.019702,-0.041815
20.13,0.0,-0.021187,-0.043128
22.4,0.0,-0.023664,-0.045641
24.68,0.0,-0.026763,-0.048848
26.78,0.0,-0.030241,-0.052419
29.05,0.0,-0.034006,-0.056128
31.15,0.0,-0.038824,-0.060608
33.43,0.0,-0.044622,-0.066338
35.7,0.0,-0.050475,-0.072188
37.97,0.0,-0.057644,-0.079098
40.07,0.0,-0.064498,-0.086039
42.35,0.0,-0.072062,-0.093392
44.62,0.0,-0.080441,-0.101797
46.72,0.0,-0.089856,-0.111208
49.0,0.0,-0.102385,-0.123195
51.1,0.0,-0.11671,-0.137299
53.37,0.0,-0.132832,-0.153248
55.65,0.0,-0.151042,-0.171082
57.92,0.0,-0.171439,-0.191719
60.02,0.0,-0.194853,-0.214557
62.3,0.0,-0.220185,-0.239529
64.57,0.0,-0.245447,-0.264523
66.67,0.0,-0.269215,-0.28801
68.95,0.0,-0.289544,-0.308118
71.05,0.0,-0.304255,-0.322801
73.32,0.0,-0.312289,-0.330358
75.6,0.0,-0.310234,-0.328595
77.87,0.0,-0.296642,-0.315348
79.97,0.0,-0.271846,-0.290604
82.25,0.0,-0.238633,-0.257884
84.52,0.0,-0.199985,-0.219905
86.62,0.0,-0.157591,-0.178121
88.9,0.0,-0.11355,-0.134637
91.35,0.0,-0.072579,-0.093913
93.45,0.0,-0.035675,-0.057508
95.72,0.0,-0.003245,-0.025826
97.82,0.0,0.024275,0.001604
100.1,0.0,0.044537,0.021509
102.37,0.0,0.058182,0.034996
104.65,0.0,0.065403,0.042282
106.75,0.0,0.066003,0.042658
109.02,0.0,0.059463,0.036312
111.3,0.0,0.046897,0.023841
113.57,0.0,0.028095,0.005674
115.67,0.0,0.002606,-0.019609
117.95,0.0,-0.029693,-0.051596
120.22,0.0,-0.066279,-0.087616
122.32,0.0,-0.108417,-0.129187
124.6,0.0,-0.154292,-0.174557
127.05,0.0,-0.208432,-0.228007
129.32,0.0,-0.257277,-0.276082
131.42,0.0,-0.307027,-0.325401
133.7,0.0,-0.353552,-0.371029
135.8,0.0,-0.397006,-0.414039
138.07,0.0,-0.433688,-0.450345
140.35,0.0,-0.463395,-0.479421
142.45,0.0,-0.482388,-0.498552
144.72,0.0,-0.48716,-0.503136
147.0,0.0,-0.472018,-0.488229
149.28,0.0,-0.434507,-0.451396
151.38,0.0,-0.373032,-0.390552
153.65,0.0,-0.289313,-0.307924
155.93,0.0,-0.186969,-0.20724
158.03,0.0,-0.07232,-0.09407
160.3,0.0,0.050215,0.027008
162.58,0.0,0.174183,0.14938
164.5,0.0,0.293033,0.266764
166.95,0.0,0.403899,0.376249
169.23,0.0,0.500763,0.471668
171.33,0.0,0.580793,0.550913
173.6,0.0,0.643236,0.612389
175.88,0.0,0.686723,0.655442
178.15,0.0,0.711009,0.679447
180.25,0.0,0.71871,0.686902
182.53,0.0,0.710574,0.678997
184.8,0.0,0.690217,0.6588
187.08,0.0,0.659527,0.628667
189.18,0.0,0.622802,0.592441
191.45,0.0,0.580442,0.550756
193.73,0.0,0.535035,0.505892
195.83,0.0,0.489361,0.460707
198.1,0.0,0.441616,0.413843
200.38,0.0,0.397774,0.37023
202.48,0.0,0.355492,0.328767
