x,y,z,z2
4.38,0.0,-0.033836,-0.055937
6.65,0.0,-0.032176,-0.054375
8.93,0.0,-0.030007,-0.051901
11.03,0.0,-0.027481,-0.049508
13.13,0.0,-0.025198,-0.047185
15.58,0.0,-0.023118,-0.045155
17.68,0.0,-0.020857,-0.04297
19.95,0.0,-0.018741,-0.040663
22.05,0.0,-0.014939,-0.037105
24.33,0.0,-0.009982,-0.03233
26.6,0.0,-0.004613,-0.027068
28.88,0.0,0.00125,-0.020919
31.15,0.0,0.00731,-0.015377
33.25,0.0,0.01324,-0.009613
35.53,0.0,0.018807,-0.003873
37.62,0.0,0.024716,0.00198
39.9,0.0,0.030489,0.007633
42.17,0.0,0.035203,0.012304
44.45,0.0,0.038902,0.016099
46.55,0.0,0.041977,0.018998
48.82,0.0,0.045166,0.022347
51.1,0.0,0.049824,0.026919
53.37,0.0,0.05584,0.032747
55.47,0.0,0.061811,0.038465
57.75,0.0,0.068163,0.044719
59.85,0.0,0.073443,0.05003
62.12,0.0,0.078311,0.054857
64.4,0.0,0.081838,0.058511
66.5,0.0,0.084814,0.061379
68.77,0.0,0.088644,0.065301
71.05,0.0,0.093548,0.070048
73.32,0.0,0.097763,0.074251
75.6,0.0,0.102442,0.078702
77.7,0.0,0.107753,0.083795
80.15,0.0,0.114001,0.089999
82.42,0.0,0.11901,0.095172
84.7,0.0,0.122981,0.098979
86.8,0.0,0.126318,0.102251
89.42,0.0,0.129124,0.105119
91.52,0.0,0.130366,0.106367
93.8,0.0,0.130806,0.106727
95.9,0.0,0.129398,0.105523
98.52,0.0,0.12535,0.101204
100.62,0.0,0.120061,0.096201
102.9,0.0,0.11137,0.087642
105.17,0.0,0.099309,0.07576
107.62,0.0,0.080951,0.05747
109.9,0.0,0.059247,0.036456
112.0,0.0,0.032803,0.009959
114.27,0.0,-0.00042,-0.022592
116.55,0.0,-0.043537,-0.065447
118.82,0.0,-0.087829,-0.109002
121.1,0.0,-0.142,-0.162151
123.2,0.0,-0.203525,-0.222942
125.65,0.0,-0.282181,-0.300706
127.92,0.0,-0.353127,-0.37065
130.2,0.0,-0.43073,-0.447169
132.3,0.0,-0.506781,-0.522314
134.75,0.0,-0.589103,-0.603607
137.02,0.0,-0.652258,-0.665807
139.12,0.0,-0.708755,-0.721796
141.4,0.0,-0.752852,-0.76512
143.68,0.0,-0.78239,-0.794402
145.78,0.0,-0.794639,-0.806383
148.05,0.0,-0.788767,-0.800569
150.15,0.0,-0.763237,-0.775727
152.43,0.0,-0.723284,-0.736441
154.7,0.0,-0.670169,-0.683764
156.8,0.0,-0.607791,-0.622085
159.08,0.0,-0.537113,-0.552545
161.35,0.0,-0.459744,-0.475964
163.45,0.0,-0.379526,-0.397117
165.73,0.0,-0.297474,-0.316066
167.83,0.0,-0.21647,-0.236322
170.1,0.0,-0.137564,-0.158167
172.38,0.0,-0.062801,-0.084437
174.65,0.0,0.002233,-0.020497
176.75,0.0,0.056536,0.033348
179.03,0.0,0.100011,0.076253
181.3,0.0,0.131986,0.107904
183.58,0.0,0.150815,0.12649
185.68,0.0,0.159466,0.134922
187.95,0.0,0.159056,0.134839
190.05,0.0,0.151539,0.127294
192.33,0.0,0.139069,0.114922
194.6,0.0,0.121811,0.098015
196.7,0.0,0.101327,0.077451
198.98,0.0,0.077507,0.053995
201.25,0.0,0.052679,0.029802
203.35,0.0,0.02715,0.004309
205.63,0.0,0.001127,-0.020971
207.73,0.0,-0.023029,-0.044927
210.0,0.0,-0.044748,-0.066495
212.1,0.0,-0.064434,-0.085786
214.38,0.0,-0.082607,-0.103808
216.65,0.0,-0.099588,-0.120604
218.93,0.0,-0.116575,-0.137425
221.2,0.0,-0.132591,-0.15338
223.3,0.0,-0.147422,-0.167921
225.58,0.0,-0.161002,-0.181205
227.85,0.0,-0.173516,-0.193814
230.13,0.0,-0.185373,-0.205204
232.23,0.0,-0.195441,-0.214896
234.5,0.0,-0.204082,-0.223488
236.78,0.0,-0.211923,-0.231411
238.88,0.0,-0.218247,-0.238044
241.15,0.0,-0.224202,-0.243793
243.25,0.0,-0.228688,-0.24809
245.53,0.0,-0.233466,-0.252567
247.63,0.0,-0.238482,-0.257711
249.9,0.0,-0.244658,-0.263848
252.18,0.0,-0.251587,-0.270814
254.45,0.0,-0.260305,-0.279224
256.73,0.0,-0.269363,-0.288038
258.83,0.0,-0.278525,-0.297215
261.1,0.0,-0.288725,-0.307138
263.2,0.0,-0.299073,-0.317619
265.48,0.0,-0.309701,-0.327973
267.75,0.0,-0.320358,-0.338617
270.03,0.0,-0.330037,-0.348392
272.13,0.0,-0.340934,-0.358768
274.4,0.0,-0.353626,-0.371297
276.5,0.0,-0.369908,-0.387588
278.78,0.0,-0.391026,-0.408235
281.05,0.0,-0.416405,-0.433549
283.15,0.0,-0.445441,-0.461999
285.43,0.0,-0.480262,-0.496223
287.7,0.0,-0.515015,-0.530826
289.8,0.0,-0.545151,-0.560481
292.08,0.0,-0.568007,-0.582877
294.18,0.0,-0.578148,-0.592825
296.45,0.0,-0.574113,-0.588857
298.73,0.0,-0.557729,-0.572723
300.83,0.0,-0.53293,-0.548343
303.1,0.0,-0.504316,-0.520015
305.38,0.0,-0.474637,-0.490893
307.48,0.0,-0.449476,-0.466103
309.75,0.0,-0.431642,-0.448269
312.03,0.0,-0.422144,-0.43906
314.48,0.0,-0.421753,-0.438651
316.58,0.0,-0.430749,-0.447508
318.85,0.0,-0.449181,-0.465709
321.13,0.0,-0.477397,-0.493441
323.23,0.0,-0.514298,-0.529827
325.5,0.0,-0.555228,-0.570317
327.78,0.0,-0.604381,-0.618463
330.05,0.0,-0.651097,-0.664821
332.68,0.0,-0.707264,-0.71991
334.95,0.0,-0.742258,-0.754688
