x,y,z,z2
4.37,0.0,0.010939,-0.011784
6.82,0.0,0.010702,-0.012006
8.93,0.0,0.010609,-0.012126
11.2,0.0,0.010538,-0.012028
13.48,0.0,0.010594,-0.012182
15.75,0.0,0.009854,-0.012638
17.85,0.0,0.008943,-0.013648
20.3,0.0,0.007057,-0.015466
22.58,0.0,0.005609,-0.016969
24.68,0.0,0.003179,-0.019221
26.95,0.0,0.000384,-0.022065
29.05,0.0,-0.00339,-0.025657
31.33,0.0,-0.008639,-0.030789
33.6,0.0,-0.015943,-0.038235
35.7,0.0,-0.02484,-0.046957
37.97,0.0,-0.034693,-0.056689
40.25,0.0,-0.046122,-0.068066
42.35,0.0,-0.058131,-0.079788
44.62,0.0,-0.071322,-0.092607
46.9,0.0,-0.085691,-0.1072
49.0,0.0,-0.101747,-0.122558
51.27,0.0,-0.11887,-0.139588
53.55,0.0,-0.135971,-0.156732
55.65,0.0,-0.152465,-0.172869
57.92,0.0,-0.166267,-0.186556
60.2,0.0,-0.173623,-0.19371
62.47,0.0,-0.175546,-0.195694
64.57,0.0,-0.173965,-0.194304
66.85,0.0,-0.16777,-0.188183
69.12,0.0,-0.155866,-0.176584
71.22,0.0,-0.138072,-0.158546
73.5,0.0,-0.113972,-0.134976
75.6,0.0,-0.085561,-0.10696
77.87,0.0,-0.055959,-0.077727
80.15,0.0,-0.026723,-0.048913
82.42,0.0,0.001309,-0.021023
84.52,0.0,0.027168,0.004238
86.8,0.0,0.048077,0.025126
89.07,0.0,0.064953,0.041444
91.17,0.0,0.077137,0.053644
93.45,0.0,0.084349,0.060806
95.72,0.0,0.086361,0.062701
97.82,0.0,0.082408,0.058992
100.1,0.0,0.073006,0.049654
102.2,0.0,0.059026,0.035677
104.47,0.0,0.040551,0.017627
106.75,0.0,0.017559,-0.004877
108.85,0.0,-0.008839,-0.031251
111.12,0.0,-0.038525,-0.060398
113.4,0.0,-0.071085,-0.092496
115.67,0.0,-0.106846,-0.12785
117.77,0.0,-0.143038,-0.163506
120.05,0.0,-0.178907,-0.198996
122.32,0.0,-0.21423,-0.233805
124.42,0.0,-0.242801,-0.262052
126.7,0.0,-0.261843,-0.280841
128.97,0.0,-0.267027,-0.28598
131.07,0.0,-0.256673,-0.275687
133.35,0.0,-0.230179,-0.249717
135.62,0.0,-0.187111,-0.207098
137.72,0.0,-0.132145,-0.15298
140.0,0.0,-0.065383,-0.087018
142.27,0.0,0.007384,-0.015096
144.37,0.0,0.084254,0.060708
146.65,0.0,0.162981,0.138231
148.93,0.0,0.241136,0.215501
151.03,0.0,0.313539,0.286844
153.3,0.0,0.378009,0.350664
155.4,0.0,0.434755,0.406594
157.68,0.0,0.481237,0.452512
159.95,0.0,0.518994,0.489709
162.23,0.0,0.544167,0.514771
164.33,0.0,0.559549,0.529715
166.6,0.0,0.565725,0.535913
168.88,0.0,0.56303,0.53336
170.98,0.0,0.553125,0.523544
173.25,0.0,0.538125,0.508658
175.53,0.0,0.519007,0.489832
177.63,0.0,0.496912,0.468403
179.9,0.0,0.472306,0.443902
182.18,0.0,0.446289,0.418092
184.28,0.0,0.420815,0.393246
186.55,0.0,0.395821,0.368212
188.65,0.0,0.371551,0.344608
190.93,0.0,0.348726,0.32173
193.2,0.0,0.327356,0.30067
195.48,0.0,0.30677,0.280415
197.58,0.0,0.286613,0.260406
199.85,0.0,0.267279,0.241582
202.13,0.0,0.250375,0.224654
204.23,0.0,0.23499,0.209574
206.15,0.0,0.21937,0.194013
208.78,0.0,0.203825,0.178751
210.88,0.0,0.188936,0.164164
213.15,0.0,0.175098,0.150236
215.25,0.0,0.162627,0.137972
217.53,0.0,0.1521,0.127648
219.8,0.0,0.142852,0.118434
221.9,0.0,0.134478,0.110467
224.18,0.0,0.127602,0.10377
226.28,0.0,0.121145,0.096986
228.55,0.0,0.115276,0.091204
230.83,0.0,0.109759,0.085991
232.93,0.0,0.105079,0.081299
235.2,0.0,0.100273,0.0767
237.48,0.0,0.09531,0.071521
239.58,0.0,0.090529,0.06702
241.85,0.0,0.085717,0.062137
243.95,0.0,0.081687,0.058135
246.23,0.0,0.077538,0.054167
248.5,0.0,0.07328,0.049873
250.78,0.0,0.068342,0.044975
252.88,0.0,0.062519,0.039466
255.15,0.0,0.056204,0.033102
257.43,0.0,0.049309,0.026262
259.53,0.0,0.042679,0.019821
261.8,0.0,0.034956,0.012267
264.08,0.0,0.026423,0.003644
266.35,0.0,0.016946,-0.005595
268.45,0.0,0.006007,-0.016442
270.73,0.0,-0.006365,-0.028602
272.83,0.0,-0.020044,-0.042142
275.1,0.0,-0.03546,-0.057397
277.38,0.0,-0.053112,-0.074745
279.48,0.0,-0.073198,-0.094646
281.75,0.0,-0.096818,-0.117964
284.03,0.0,-0.121627,-0.14269
286.13,0.0,-0.14623,-0.166963
288.4,0.0,-0.171824,-0.192126
290.68,0.0,-0.197902,-0.217721
292.78,0.0,-0.222776,-0.242237
295.05,0.0,-0.246226,-0.265583
297.15,0.0,-0.268904,-0.287727
299.43,0.0,-0.288802,-0.307449
301.7,0.0,-0.3044,-0.322659
303.8,0.0,-0.314637,-0.33297
306.08,0.0,-0.31903,-0.337329
308.18,0.0,-0.317813,-0.336075
310.45,0.0,-0.310583,-0.328937
312.73,0.0,-0.295382,-0.313947
314.83,0.0,-0.272456,-0.291424
317.1,0.0,-0.241818,-0.261029
319.38,0.0,-0.202533,-0.222471
321.65,0.0,-0.157194,-0.17773
323.75,0.0,-0.107018,-0.128192
326.03,0.0,-0.049933,-0.071815
328.3,0.0,0.009996,-0.012625
330.4,0.0,0.07104,0.047547
332.68,0.0,0.133671,0.109346
334.78,0.0,0.194999,0.170048
337.05,0.0,0.252125,0.226536
339.33,0.0,0.306681,0.280042
341.43,0.0,0.352454,0.325328
343.7,0.0,0.392599,0.364928
345.98,0.0,0.424423,0.396508
348.08,0.0,0.447599,0.419244
350.35,0.0,0.464228,0.435732
352.63,0.0,0.473886,0.445116
354.73,0.0,0.476299,0.447479
357.0,0.0,0.471419,0.442922
359.28,0.0,0.460726,0.432183
361.38,0.0,0.445886,0.417516
363.65,0.0,0.42787,0.399842
365.93,0.0,0.406006,0.378147
368.2,0.0,0.381323,0.353868
370.3,0.0,0.355652,0.328609
372.58,0.0,0.330775,0.304284
374.85,0.0,0.304718,0.278699
376.95,0.0,0.279287,0.253268
379.23,0.0,0.255513,0.229669
381.5,0.0,0.233228,0.207695
383.6,0.0,0.212852,0.187534
385.88,0.0,0.193406,0.16861
388.15,0.0,0.1754,0.151025
390.25,0.0,0.159888,0.135393
392.53,0.0,0.146348,0.121878
394.63,0.0,0.134143,0.110005
396.9,0.0,0.123258,0.099238
399.18,0.0,0.113702,0.089805
401.28,0.0,0.105119,0.081419
403.55,0.0,0.096767,0.072947
405.83,0.0,0.089269,0.065717
408.1,0.0,0.082048,0.058625
410.2,0.0,0.074996,0.051558
412.48,0.0,0.06852,0.045048
414.75,0.0,0.062359,0.039118
416.85,0.0,0.056875,0.033493
419.13,0.0,0.052109,0.029087
421.4,0.0,0.047723,0.024608
423.5,0.0,0.043939,0.021019
425.78,0.0,0.040637,0.017784
428.05,0.0,0.037297,0.014512
430.15,0.0,0.033832,0.010948
432.43,0.0,0.030212,0.007344
434.7,0.0,0.0265,0.003564
436.98,0.0,0.022581,-0.000192
439.08,0.0,0.018524,-0.004083
441.35,0.0,0.013927,-0.008621
443.63,0.0,0.008909,-0.01359
445.73,0.0,0.003838,-0.018584
448.0,0.0,-0.002789,-0.025247
450.1,0.0,-0.011091,-0.033365
452.38,0.0,-0.021905,-0.0442
454.65,0.0,-0.035367,-0.057481
456.75,0.0,-0.051415,-0.073528
459.03,0.0,-0.070447,-0.091809
461.3,0.0,-0.091686,-0.112875
463.58,0.0,-0.115361,-0.136202
465.68,0.0,-0.139819,-0.16025
467.95,0.0,-0.165413,-0.185595
470.23,0.0,-0.194267,-0.214012
472.33,0.0,-0.224092,-0.243497
474.6,0.0,-0.254184,-0.273309
476.88,0.0,-0.28639,-0.305037
479.5,0.0,-0.323121,-0.341356
481.6,0.0,-0.351094,-0.368894
483.88,0.0,-0.377357,-0.394954
486.15,0.0,-0.399393,-0.416738
488.25,0.0,-0.415752,-0.432656
490.53,0.0,-0.423928,-0.44093
492.8,0.0,-0.42342,-0.440481
494.9,0.0,-0.41362,-0.430712
497.35,0.0,-0.39045,-0.407733
499.45,0.0,-0.359141,-0.37703
501.73,0.0,-0.317634,-0.336075
504.0,0.0,-0.262576,-0.281655
506.45,0.0,-0.192271,-0.212265
508.55,0.0,-0.120638,-0.141615
510.83,0.0,-0.043109,-0.065124
513.1,0.0,0.043992,0.020877
515.2,0.0,0.12975,0.105452
517.48,0.0,0.215138,0.189583
519.75,0.0,0.299839,0.2734
522.03,0.0,0.377836,0.350322
524.13,0.0,0.447808,0.419272
526.4,0.0,0.508609,0.47953
528.5,0.0,0.557559,0.527919
530.78,0.0,0.596961,0.566662
533.05,0.0,0.624629,0.593905
535.15,0.0,0.640876,0.610245
537.43,0.0,0.646382,0.615728
539.7,0.0,0.642183,0.611489
541.8,0.0,0.629468,0.598818
544.08,0.0,0.607198,0.576847
546.35,0.0,0.580134,0.550368
548.63,0.0,0.548246,0.518757
550.73,0.0,0.514503,0.485433
553.0,0.0,0.476604,0.447916
555.28,0.0,0.439537,0.41165
557.55,0.0,0.402035,0.374527
559.65,0.0,0.364358,0.337349
562.1,0.0,0.327149,0.300295
564.38,0.0,0.296019,0.269882
566.48,0.0,0.266767,0.240852
568.75,0.0,0.242562,0.216943
571.03,0.0,0.220791,0.195544
573.3,0.0,0.201958,0.176934
575.4,0.0,0.186284,0.161524
577.68,0.0,0.1734,0.14893
579.95,0.0,0.16299,0.138594
582.05,0.0,0.154623,0.130162
584.32,0.0,0.146909,0.122544
586.6,0.0,0.1408,0.116518
588.7,0.0,0.135464,0.111265
590.97,0.0,0.131404,0.107454
593.25,0.0,0.127741,0.103545
595.35,0.0,0.124586,0.10056
597.62,0.0,0.122331,0.098397
599.9,0.0,0.120356,0.096617
602.0,0.0,0.118188,0.094303
604.27,0.0,0.115643,0.091675
606.55,0.0,0.112821,0.08905
608.65,0.0,0.109937,0.086182
610.92,0.0,0.107433,0.083634
613.2,0.0,0.104519,0.080914
615.3,0.0,0.102251,0.078391
617.57,0.0,0.100418,0.076709
619.85,0.0,0.099016,0.075372
621.95,0.0,0.097886,0.07409
624.22,0.0,0.09662,0.072991
626.67,0.0,0.095055,0.071463
628.95,0.0,0.094435,0.070711
631.22,0.0,0.093169,0.069602
633.32,0.0,0.092538,0.068989
635.77,0.0,0.0921,0.068348
638.05,0.0,0.09206,0.068533
640.32,0.0,0.092113,0.068564
642.6,0.0,0.092504,0.068875
644.87,0.0,0.093255,0.069774
647.15,0.0,0.095052,0.071358
649.25,0.0,0.097414,0.073644
651.52,0.0,0.101638,0.078086
653.8,0.0,0.107356,0.083416
656.07,0.0,0.111647,0.087997
658.35,0.0,0.116065,0.092186
660.45,0.0,0.11905,0.095079
662.72,0.0,0.120551,0.096653
