x,y,z,z2
4.55,0.0,0.001675,-0.02066
6.65,0.0,0.000486,-0.021905
8.93,0.0,-0.001307,-0.023771
11.2,0.0,-0.003682,-0.026137
13.48,0.0,-0.006319,-0.028805
15.75,0.0,-0.008121,-0.030497
18.03,0.0,-0.010244,-0.032428
20.13,0.0,-0.012721,-0.035013
22.4,0.0,-0.016104,-0.038285
24.68,0.0,-0.019837,-0.042185
26.78,0.0,-0.023787,-0.045802
29.05,0.0,-0.028312,-0.050315
31.33,0.0,-0.034107,-0.055845
33.43,0.0,-0.041276,-0.063186
35.7,0.0,-0.049227,-0.07106
37.98,0.0,-0.059378,-0.080925
40.07,0.0,-0.071473,-0.092844
42.35,0.0,-0.086972,-0.108198
44.62,0.0,-0.104098,-0.12488
46.9,0.0,-0.122903,-0.143725
49.17,0.0,-0.142588,-0.163146
51.45,0.0,-0.165361,-0.185728
53.72,0.0,-0.188614,-0.208599
55.82,0.0,-0.213519,-0.232973
58.1,0.0,-0.237218,-0.256667
60.2,0.0,-0.258888,-0.277865
62.65,0.0,-0.274409,-0.293269
64.92,0.0,-0.284424,-0.303238
67.02,0.0,-0.288934,-0.307335
69.3,0.0,-0.285998,-0.304597
71.57,0.0,-0.274452,-0.293198
73.67,0.0,-0.254045,-0.273352
75.95,0.0,-0.226658,-0.246143
78.05,0.0,-0.192591,-0.212434
80.32,0.0,-0.156261,-0.176609
82.42,0.0,-0.120056,-0.141014
84.7,0.0,-0.084261,-0.105654
86.97,0.0,-0.051982,-0.073688
89.07,0.0,-0.024218,-0.046476
91.35,0.0,-0.000389,-0.02281
93.45,0.0,0.018216,-0.00452
95.72,0.0,0.030677,0.007917
97.82,0.0,0.03621,0.013345
100.27,0.0,0.034673,0.011721
102.37,0.0,0.027122,0.004383
104.65,0.0,0.013422,-0.009311
106.92,0.0,-0.006362,-0.028735
109.02,0.0,-0.030845,-0.052669
111.3,0.0,-0.057878,-0.07973
113.57,0.0,-0.08936,-0.110607
115.85,0.0,-0.124899,-0.145614
117.95,0.0,-0.161054,-0.181439
120.22,0.0,-0.200992,-0.220583
122.5,0.0,-0.242918,-0.262089
124.77,0.0,-0.284446,-0.302967
127.05,0.0,-0.323438,-0.341741
129.15,0.0,-0.350675,-0.368451
131.42,0.0,-0.364304,-0.381842
133.7,0.0,-0.360493,-0.378158
136.15,0.0,-0.337074,-0.355234
138.25,0.0,-0.297403,-0.315974
140.52,0.0,-0.24309,-0.262286
142.62,0.0,-0.174277,-0.194757
144.9,0.0,-0.098137,-0.119369
147.18,0.0,-0.01956,-0.041945
149.28,0.0,0.063083,0.039528
