x,y,z,z2
4.37,0.0,0.014309,-0.006982
6.82,0.0,0.014383,-0.006923
9.1,0.0,0.014728,-0.006415
11.2,0.0,0.015184,-0.006002
13.48,0.0,0.015474,-0.005657
15.75,0.0,0.015964,-0.005312
18.03,0.0,0.016225,-0.004871
20.3,0.0,0.015828,-0.00526
22.58,0.0,0.014349,-0.006794
24.68,0.0,0.011903,-0.009369
26.95,0.0,0.008185,-0.012995
29.23,0.0,0.004204,-0.01692
31.5,0.0,-0.001024,-0.022034
33.6,0.0,-0.006547,-0.02757
35.88,0.0,-0.0116,-0.032515
38.15,0.0,-0.017148,-0.038134
40.25,0.0,-0.0229,-0.043562
42.52,0.0,-0.029181,-0.049982
44.8,0.0,-0.036082,-0.056661
47.07,0.0,-0.044181,-0.064831
49.17,0.0,-0.053362,-0.073953
51.45,0.0,-0.063953,-0.084563
53.55,0.0,-0.076285,-0.096627
55.82,0.0,-0.09114,-0.111285
58.1,0.0,-0.108266,-0.128303
60.37,0.0,-0.127437,-0.147416
62.47,0.0,-0.147511,-0.167397
64.75,0.0,-0.169523,-0.189082
67.2,0.0,-0.195099,-0.214498
69.47,0.0,-0.216125,-0.235265
71.75,0.0,-0.231997,-0.250983
73.85,0.0,-0.242662,-0.261356
76.12,0.0,-0.247995,-0.266812
78.4,0.0,-0.246097,-0.265231
80.5,0.0,-0.235811,-0.254871
82.77,0.0,-0.216137,-0.235521
85.05,0.0,-0.187755,-0.207292
87.15,0.0,-0.15366,-0.173528
89.42,0.0,-0.117025,-0.137176
91.7,0.0,-0.079187,-0.099597
93.8,0.0,-0.043633,-0.064763
96.07,0.0,-0.010817,-0.031741
98.17,0.0,0.019066,-0.002136
100.45,0.0,0.043145,0.021638
102.72,0.0,0.061053,0.039623
105.0,0.0,0.072938,0.051296
107.1,0.0,0.078933,0.057214
109.37,0.0,0.077559,0.055902
111.65,0.0,0.069244,0.047402
113.75,0.0,0.054349,0.032951
116.02,0.0,0.033474,0.01202
118.3,0.0,0.007205,-0.013608
120.4,0.0,-0.02404,-0.044708
122.67,0.0,-0.058128,-0.078701
124.95,0.0,-0.09542,-0.115552
127.05,0.0,-0.13537,-0.154911
129.32,0.0,-0.174991,-0.194449
131.6,0.0,-0.216442,-0.235536
133.7,0.0,-0.255278,-0.274104
135.97,0.0,-0.292526,-0.310869
138.25,0.0,-0.324615,-0.342844
140.52,0.0,-0.34533,-0.363213
142.62,0.0,-0.351186,-0.369147
144.9,0.0,-0.339036,-0.35728
147.0,0.0,-0.307489,-0.326032
149.27,0.0,-0.255749,-0.274785
151.37,0.0,-0.187829,-0.207557
153.65,0.0,-0.107123,-0.127376
155.93,0.0,-0.014483,-0.03566
158.2,0.0,0.083733,0.06153
160.3,0.0,0.18105,0.158286
162.58,0.0,0.277738,0.253908
164.85,0.0,0.364928,0.340575
166.95,0.0,0.4434,0.418631
169.23,0.0,0.509986,0.48462
171.5,0.0,0.562404,0.536613
173.6,0.0,0.601151,0.575082
175.88,0.0,0.626363,0.600032
177.98,0.0,0.638932,0.612562
180.25,0.0,0.641018,0.614693
182.53,0.0,0.633757,0.607623
184.63,0.0,0.619542,0.593486
186.9,0.0,0.597928,0.572075
189.18,0.0,0.571449,0.545556
191.45,0.0,0.541788,0.516182
193.55,0.0,0.510491,0.485396
195.83,0.0,0.47831,0.453372
197.93,0.0,0.445738,0.42116
200.2,0.0,0.414934,0.390695
202.3,0.0,0.385704,0.361348
204.58,0.0,0.357457,0.333622
206.85,0.0,0.333763,0.310079
209.13,0.0,0.311357,0.287716
211.23,0.0,0.289752,0.266357
213.5,0.0,0.26933,0.24596
215.78,0.0,0.249974,0.226952
217.88,0.0,0.231755,0.208875
220.15,0.0,0.213289,0.190301
222.43,0.0,0.196244,0.173875
224.53,0.0,0.180837,0.158579
226.8,0.0,0.167571,0.145181
229.08,0.0,0.156897,0.134512
231.18,0.0,0.147263,0.125018
233.45,0.0,0.138955,0.116823
235.73,0.0,0.131518,0.10934
238.0,0.0,0.124605,0.102572
240.1,0.0,0.118647,0.096666
242.38,0.0,0.111928,0.090018
244.65,0.0,0.105079,0.083332
246.75,0.0,0.097929,0.076225
249.03,0.0,0.091062,0.069269
251.3,0.0,0.083203,0.061358
253.58,0.0,0.075893,0.054392
255.68,0.0,0.068684,0.046863
257.95,0.0,0.060603,0.039278
260.23,0.0,0.053406,0.031866
262.5,0.0,0.045544,0.024044
264.6,0.0,0.037898,0.016626
266.88,0.0,0.030486,0.009315
269.15,0.0,0.022769,0.001419
271.25,0.0,0.015144,-0.005999
273.53,0.0,0.006641,-0.014415
275.8,0.0,-0.001803,-0.022813
278.08,0.0,-0.010454,-0.031489
280.35,0.0,-0.02001,-0.040934
282.45,0.0,-0.029492,-0.050259
284.73,0.0,-0.040121,-0.060869
287.0,0.0,-0.051868,-0.072548
289.1,0.0,-0.065774,-0.086042
291.38,0.0,-0.082142,-0.102502
293.48,0.0,-0.101177,-0.121202
295.75,0.0,-0.122927,-0.142613
298.03,0.0,-0.146254,-0.165971
300.3,0.0,-0.171704,-0.191319
302.4,0.0,-0.198602,-0.217807
304.68,0.0,-0.224991,-0.243799
306.95,0.0,-0.250161,-0.268934
309.05,0.0,-0.272868,-0.29143
311.33,0.0,-0.294467,-0.312995
313.6,0.0,-0.312123,-0.330324
315.88,0.0,-0.324957,-0.343155
318.15,0.0,-0.333072,-0.351202
320.25,0.0,-0.336793,-0.355136
322.53,0.0,-0.33549,-0.353826
324.8,0.0,-0.328118,-0.346162
327.08,0.0,-0.313278,-0.331673
329.18,0.0,-0.289051,-0.307526
331.45,0.0,-0.255666,-0.274757
333.73,0.0,-0.213885,-0.233164
335.83,0.0,-0.162933,-0.182822
338.1,0.0,-0.10525,-0.125718
340.38,0.0,-0.041883,-0.063035
342.48,0.0,0.026059,0.004543
344.75,0.0,0.092411,0.070665
347.03,0.0,0.158459,0.135831
349.3,0.0,0.222128,0.199001
351.4,0.0,0.279706,0.256182
353.68,0.0,0.330581,0.306853
355.78,0.0,0.374247,0.349835
358.05,0.0,0.411468,0.38697
360.33,0.0,0.439173,0.414429
362.43,0.0,0.458042,0.433079
364.7,0.0,0.469592,0.444447
366.98,0.0,0.47327,0.448378
369.08,0.0,0.46937,0.444259
371.35,0.0,0.459404,0.434783
373.45,0.0,0.444842,0.420094
375.73,0.0,0.426644,0.402026
378.0,0.0,0.404669,0.38047
380.28,0.0,0.380482,0.356286
382.38,0.0,0.355559,0.331542
384.65,0.0,0.332309,0.308594
386.93,0.0,0.308702,0.285045
389.2,0.0,0.28555,0.262125
391.3,0.0,0.263212,0.240116
393.58,0.0,0.242824,0.219737
395.85,0.0,0.223865,0.200957
398.13,0.0,0.206299,0.183671
400.23,0.0,0.189746,0.167325
402.5,0.0,0.174568,0.152038
404.6,0.0,0.160464,0.138388
407.05,0.0,0.14804,0.125643
409.33,0.0,0.136817,0.114642
411.43,0.0,0.126142,0.104247
413.7,0.0,0.116367,0.094355
415.98,0.0,0.107781,0.085849
418.25,0.0,0.099938,0.078169
420.35,0.0,0.092886,0.071068
422.63,0.0,0.085837,0.06414
424.73,0.0,0.079968,0.058255
427.0,0.0,0.074445,0.053
429.28,0.0,0.069919,0.048308
431.38,0.0,0.066139,0.044426
433.65,0.0,0.062196,0.040671
435.75,0.0,0.058619,0.037054
438.03,0.0,0.055492,0.033899
440.3,0.0,0.051398,0.030236
442.4,0.0,0.047538,0.026265
444.68,0.0,0.04369,0.022316
446.78,0.0,0.039137,0.01792
449.05,0.0,0.034429,0.013111
451.33,0.0,0.029691,0.008403
453.6,0.0,0.023628,0.002396
455.88,0.0,0.017356,-0.003639
457.98,0.0,0.009251,-0.011908
460.25,0.0,-7.2e-05,-0.021079
462.53,0.0,-0.010808,-0.031834
464.63,0.0,-0.023377,-0.04423
466.9,0.0,-0.036926,-0.057567
469.18,0.0,-0.052099,-0.072561
471.28,0.0,-0.069677,-0.089988
473.55,0.0,-0.089351,-0.109662
475.83,0.0,-0.112576,-0.132524
477.93,0.0,-0.136815,-0.156439
480.03,0.0,-0.161904,-0.181544
482.48,0.0,-0.190395,-0.209991
484.75,0.0,-0.220259,-0.239393
486.85,0.0,-0.249514,-0.268254
488.95,0.0,-0.281112,-0.299507
491.4,0.0,-0.31196,-0.330114
493.5,0.0,-0.340127,-0.358364
495.78,0.0,-0.366553,-0.384193
498.05,0.0,-0.389902,-0.407551
500.15,0.0,-0.40866,-0.426282
502.43,0.0,-0.42212,-0.439519
504.53,0.0,-0.42898,-0.446177
506.8,0.0,-0.427089,-0.444319
509.08,0.0,-0.415025,-0.432594
511.35,0.0,-0.39175,-0.409486
513.45,0.0,-0.358956,-0.377033
515.73,0.0,-0.317687,-0.336174
518.0,0.0,-0.265968,-0.284936
520.1,0.0,-0.208177,-0.22765
522.38,0.0,-0.141849,-0.161818
524.65,0.0,-0.069591,-0.090161
526.75,0.0,0.006373,-0.015136
529.03,0.0,0.083955,0.062039
531.3,0.0,0.160024,0.1373
533.4,0.0,0.23356,0.210227
535.68,0.0,0.30189,0.278104
537.95,0.0,0.361068,0.336998
540.05,0.0,0.413554,0.38901
542.33,0.0,0.454478,0.429617
544.43,0.0,0.486758,0.461548
546.7,0.0,0.508092,0.482753
548.98,0.0,0.519595,0.494176
551.08,0.0,0.52189,0.496459
553.35,0.0,0.515799,0.490285
555.63,0.0,0.501662,0.476795
557.9,0.0,0.481939,0.457016
560.0,0.0,0.45819,0.433221
562.28,0.0,0.432026,0.407525
564.55,0.0,0.403939,0.37957
566.65,0.0,0.374475,0.350276
568.93,0.0,0.345304,0.321277
571.2,0.0,0.318369,0.294592
573.48,0.0,0.293526,0.26995
575.58,0.0,0.271792,0.248378
577.85,0.0,0.252624,0.2295
580.12,0.0,0.236034,0.213151
582.4,0.0,0.219845,0.196906
584.5,0.0,0.204879,0.182303
586.77,0.0,0.190421,0.167883
589.05,0.0,0.176733,0.154161
591.15,0.0,0.164894,0.142451
593.42,0.0,0.15483,0.132575
595.7,0.0,0.145581,0.123209
597.97,0.0,0.136549,0.114432
600.07,0.0,0.1284,0.106385
602.35,0.0,0.120748,0.098625
604.62,0.0,0.113727,0.091848
606.72,0.0,0.107664,0.085902
609.0,0.0,0.101712,0.07971
611.27,0.0,0.096561,0.07487
613.37,0.0,0.09283,0.071201
615.65,0.0,0.090224,0.068588
617.75,0.0,0.089149,0.067134
620.02,0.0,0.088942,0.067491
622.3,0.0,0.089112,0.067242
624.4,0.0,0.089186,0.067384
626.67,0.0,0.087907,0.066235
628.95,0.0,0.086188,0.06442
631.22,0.0,0.083767,0.062029
633.5,0.0,0.08166,0.059756
635.77,0.0,0.079069,0.057316
637.87,0.0,0.076958,0.055058
640.15,0.0,0.074993,0.053638
642.42,0.0,0.073252,0.051543
