x,y,z,z2
4.37,0.0,0.00121,-0.021766
6.65,0.0,0.001469,-0.021245
8.93,0.0,0.001081,-0.02155
11.2,0.0,-0.000857,-0.022943
13.48,0.0,-0.003257,-0.024822
15.75,0.0,-0.0057,-0.028753
17.85,0.0,-0.010072,-0.030583
20.13,0.0,-0.013069,-0.033553
22.75,0.0,-0.015691,-0.037816
24.85,0.0,-0.018309,-0.040136
27.13,0.0,-0.02037,-0.041732
29.23,0.0,-0.020386,-0.041744
31.68,0.0,-0.020417,-0.041288
33.95,0.0,-0.020241,-0.041791
36.23,0.0,-0.021726,-0.044076
38.32,0.0,-0.0253,-0.046057
40.77,0.0,-0.030463,-0.052163
43.05,0.0,-0.037431,-0.059917
45.15,0.0,-0.044603,-0.066609
47.42,0.0,-0.053781,-0.07509
49.7,0.0,-0.064643,-0.086784
51.97,0.0,-0.076729,-0.097943
54.07,0.0,-0.090404,-0.111701
56.35,0.0,-0.10488,-0.126245
58.62,0.0,-0.121174,-0.141177
60.72,0.0,-0.139233,-0.159517
63.0,0.0,-0.159381,-0.178938
65.27,0.0,-0.183167,-0.202447
67.37,0.0,-0.209101,-0.230336
69.65,0.0,-0.239504,-0.259307
71.92,0.0,-0.277295,-0.2961
74.02,0.0,-0.321467,-0.341023
76.3,0.0,-0.376451,-0.393934
78.57,0.0,-0.446476,-0.463081
80.67,0.0,-0.532557,-0.546001
82.95,0.0,-0.633117,-0.646697
85.22,0.0,-0.739926,-0.75272
87.5,0.0,-0.829516,-0.840705
89.77,0.0,-0.873542,-0.88434
92.05,0.0,-0.878998,-0.890705
94.15,0.0,-0.849611,-0.861894
96.42,0.0,-0.793265,-0.805465
98.7,0.0,-0.718475,-0.732024
100.8,0.0,-0.634704,-0.649066
103.07,0.0,-0.546639,-0.560859
105.35,0.0,-0.4589,-0.476266
107.45,0.0,-0.379643,-0.396146
109.72,0.0,-0.305724,-0.324818
112.0,0.0,-0.239172,-0.258827
114.1,0.0,-0.18065,-0.200401
116.37,0.0,-0.126276,-0.147456
118.65,0.0,-0.077277,-0.099147
120.75,0.0,-0.032431,-0.055164
123.02,0.0,0.008955,-0.01408
125.12,0.0,0.047288,0.024075
127.4,0.0,0.080332,0.057236
129.67,0.0,0.110899,0.087066
131.77,0.0,0.135076,0.110387
134.05,0.0,0.154084,0.129485
136.32,0.0,0.166065,0.140757
138.42,0.0,0.16852,0.143203
140.7,0.0,0.15946,0.135483
142.97,0.0,0.134241,0.109925
145.08,0.0,0.083785,0.060243
147.35,0.0,-0.002259,-0.024317
149.45,0.0,-0.111738,-0.13212
151.73,0.0,-0.227145,-0.245653
153.83,0.0,-0.331229,-0.349818
156.1,0.0,-0.419954,-0.43626
158.38,0.0,-0.489452,-0.505444
160.65,0.0,-0.542036,-0.556118
162.75,0.0,-0.581987,-0.598037
165.03,0.0,-0.612508,-0.628533
167.3,0.0,-0.636639,-0.650191
169.4,0.0,-0.655061,-0.668823
171.68,0.0,-0.66902,-0.68305
173.95,0.0,-0.678299,-0.692184
176.05,0.0,-0.682283,-0.69471
178.33,0.0,-0.680486,-0.693308
180.6,0.0,-0.672618,-0.685995
182.7,0.0,-0.657113,-0.672098
184.98,0.0,-0.637021,-0.650194
187.08,0.0,-0.609655,-0.624205
189.35,0.0,-0.577585,-0.593127
191.63,0.0,-0.540022,-0.554147
193.9,0.0,-0.49838,-0.513752
196.0,0.0,-0.451778,-0.46988
198.28,0.0,-0.406685,-0.423441
200.38,0.0,-0.359267,-0.377419
202.65,0.0,-0.31456,-0.332274
204.93,0.0,-0.270188,-0.287579
207.2,0.0,-0.226658,-0.246279
209.3,0.0,-0.183642,-0.203512
211.58,0.0,-0.143146,-0.16427
213.85,0.0,-0.106532,-0.128771
216.13,0.0,-0.073901,-0.096285
218.4,0.0,-0.045179,-0.069477
220.5,0.0,-0.022376,-0.043248
222.78,0.0,-0.002989,-0.025829
225.05,0.0,0.014146,-0.009757
227.15,0.0,0.026475,0.002566
229.43,0.0,0.034944,0.01255
231.7,0.0,0.043474,0.020169
233.8,0.0,0.05036,0.026496
236.08,0.0,0.055541,0.033228
238.35,0.0,0.061031,0.03698
240.45,0.0,0.064343,0.042359
242.73,0.0,0.069321,0.044821
244.83,0.0,0.072707,0.049291
247.1,0.0,0.076016,0.053271
249.38,0.0,0.080723,0.057273
251.65,0.0,0.085418,0.063071
253.75,0.0,0.092698,0.069069
256.03,0.0,0.098872,0.076573
258.3,0.0,0.105649,0.081601
260.4,0.0,0.112011,0.08788
262.68,0.0,0.117039,0.092267
264.78,0.0,0.121934,0.096524
267.05,0.0,0.12539,0.101481
269.33,0.0,0.127803,0.103838
271.43,0.0,0.130239,0.105837
273.7,0.0,0.131761,0.107608
275.98,0.0,0.133283,0.109559
278.08,0.0,0.13462,0.110267
280.35,0.0,0.135396,0.111358
282.63,0.0,0.139327,0.114941
284.73,0.0,0.143502,0.119177
287.0,0.0,0.149639,0.126352
289.1,0.0,0.156447,0.131669
291.38,0.0,0.162325,0.135868
293.48,0.0,0.167682,0.143453
295.75,0.0,0.173252,0.149244
298.03,0.0,0.180332,0.156854
300.3,0.0,0.187581,0.16312
302.4,0.0,0.198077,0.17174
304.85,0.0,0.206937,0.182319
307.13,0.0,0.219987,0.194509
309.4,0.0,0.234857,0.210282
311.5,0.0,0.255544,0.229793
313.78,0.0,0.277895,0.253603
316.05,0.0,0.303745,0.277448
318.15,0.0,0.328705,0.300954
320.43,0.0,0.349315,0.321305
322.53,0.0,0.365085,0.337577
324.8,0.0,0.37511,0.348415
326.9,0.0,0.382325,0.355199
329.18,0.0,0.383347,0.355624
331.45,0.0,0.378437,0.35202
333.73,0.0,0.370301,0.344216
335.83,0.0,0.357704,0.331043
338.1,0.0,0.340258,0.314537
340.2,0.0,0.317605,0.291123
342.48,0.0,0.288884,0.261669
344.75,0.0,0.254959,0.228157
346.85,0.0,0.220039,0.195024
349.3,0.0,0.179371,0.153668
351.58,0.0,0.140156,0.116117
353.68,0.0,0.098582,0.076182
355.95,0.0,0.057547,0.034466
358.23,0.0,0.015172,-0.007059
360.33,0.0,-0.023183,-0.04599
362.6,0.0,-0.059452,-0.080863
