x,y,z,z2
4.55,0.0,0.006398,-0.015617
6.82,0.0,0.006718,-0.016507
8.93,0.0,0.007772,-0.015284
11.2,0.0,0.009127,-0.013445
13.48,0.0,0.011059,-0.012524
15.75,0.0,0.011724,-0.009499
18.03,0.0,0.014814,-0.008929
20.13,0.0,0.014703,-0.008057
22.4,0.0,0.015628,-0.00733
24.68,0.0,0.01471,-0.007992
26.95,0.0,0.01381,-0.00944
29.05,0.0,0.011158,-0.012524
31.33,0.0,0.007282,-0.015589
33.43,0.0,0.003893,-0.017521
35.7,0.0,0.00276,-0.021236
37.8,0.0,-0.001486,-0.022595
40.07,0.0,-0.004027,-0.027049
42.35,0.0,-0.007592,-0.030417
44.62,0.0,-0.011097,-0.033473
46.72,0.0,-0.013408,-0.035765
49.0,0.0,-0.015555,-0.037638
51.1,0.0,-0.016744,-0.038756
53.37,0.0,-0.018383,-0.040167
55.65,0.0,-0.019625,-0.042009
57.75,0.0,-0.021406,-0.044699
60.37,0.0,-0.024634,-0.046332
62.47,0.0,-0.026187,-0.047105
64.75,0.0,-0.027604,-0.049338
66.85,0.0,-0.030266,-0.053017
69.12,0.0,-0.032579,-0.054224
71.4,0.0,-0.03484,-0.057511
73.5,0.0,-0.037983,-0.059526
75.77,0.0,-0.039295,-0.062564
77.87,0.0,-0.041812,-0.062798
80.15,0.0,-0.042625,-0.065718
82.42,0.0,-0.044018,-0.066131
84.7,0.0,-0.042826,-0.064896
86.97,0.0,-0.042961,-0.064794
89.07,0.0,-0.040552,-0.062887
91.35,0.0,-0.037351,-0.058959
93.45,0.0,-0.032875,-0.052943
95.72,0.0,-0.027339,-0.047961
98.0,0.0,-0.02106,-0.043368
100.1,0.0,-0.016575,-0.037259
102.37,0.0,-0.012459,-0.034671
104.65,0.0,-0.009705,-0.031637
106.92,0.0,-0.007348,-0.028959
109.02,0.0,-0.005389,-0.027117
111.3,0.0,-0.003685,-0.02599
113.57,0.0,-0.003953,-0.025654
115.67,0.0,-0.00476,-0.027259
117.95,0.0,-0.006128,-0.028691
120.22,0.0,-0.007761,-0.029542
122.32,0.0,-0.009243,-0.030398
124.6,0.0,-0.009619,-0.031538
126.87,0.0,-0.009508,-0.031125
129.15,0.0,-0.008232,-0.031526
131.25,0.0,-0.008359,-0.030469
133.52,0.0,-0.008969,-0.030087
135.62,0.0,-0.009914,-0.031935
137.9,0.0,-0.010826,-0.034502
140.17,0.0,-0.011824,-0.034899
142.27,0.0,-0.01196,-0.034304
144.55,0.0,-0.012579,-0.034847
146.82,0.0,-0.013485,-0.033771
148.92,0.0,-0.013719,-0.035127
151.2,0.0,-0.013679,-0.036381
153.12,0.0,-0.013676,-0.036242
155.57,0.0,-0.013731,-0.036812
157.85,0.0,-0.015845,-0.037644
160.13,0.0,-0.017314,-0.037749
162.23,0.0,-0.017749,-0.039653
164.5,0.0,-0.017431,-0.040219
166.78,0.0,-0.018722,-0.042099
169.05,0.0,-0.020158,-0.040765
171.15,0.0,-0.021412,-0.043479
173.43,0.0,-0.022317,-0.044631
175.7,0.0,-0.022213,-0.044261
177.8,0.0,-0.021141,-0.044083
180.08,0.0,-0.021298,-0.043528
182.35,0.0,-0.02107,-0.043011
184.45,0.0,-0.021107,-0.042203
186.55,0.0,-0.017727,-0.040549
189.0,0.0,-0.014816,-0.035481
191.1,0.0,-0.010099,-0.031787
193.38,0.0,-0.003457,-0.026963
195.65,0.0,0.000135,-0.02139
197.75,0.0,0.005002,-0.016381
