x,y,z,z2
4.37,0.0,-0.033608,-0.057105
6.65,0.0,-0.033602,-0.056128
8.92,0.0,-0.03383,-0.054443
11.2,0.0,-0.031581,-0.054662
13.48,0.0,-0.028574,-0.048402
15.75,0.0,-0.022672,-0.043996
17.85,0.0,-0.018389,-0.040635
20.13,0.0,-0.014443,-0.036122
22.4,0.0,-0.013319,-0.034631
24.5,0.0,-0.012527,-0.035555
26.78,0.0,-0.016369,-0.03607
29.05,0.0,-0.018026,-0.04045
31.33,0.0,-0.020429,-0.04293
33.43,0.0,-0.023673,-0.045697
35.7,0.0,-0.027456,-0.050447
37.97,0.0,-0.031824,-0.054662
40.07,0.0,-0.035672,-0.058202
42.35,0.0,-0.039163,-0.062659
44.62,0.0,-0.044234,-0.065826
46.72,0.0,-0.048861,-0.072607
49.0,0.0,-0.054252,-0.076621
51.27,0.0,-0.057755,-0.079807
53.72,0.0,-0.061005,-0.084046
55.82,0.0,-0.064902,-0.086695
58.1,0.0,-0.064585,-0.087059
60.2,0.0,-0.066824,-0.086994
62.47,0.0,-0.067662,-0.087342
64.75,0.0,-0.067937,-0.090401
66.85,0.0,-0.070158,-0.09204
69.12,0.0,-0.070164,-0.093488
71.4,0.0,-0.069927,-0.0933
73.5,0.0,-0.070903,-0.091316
75.77,0.0,-0.069009,-0.089905
78.05,0.0,-0.06602,-0.086137
80.32,0.0,-0.063562,-0.084197
82.42,0.0,-0.059307,-0.081723
84.7,0.0,-0.057173,-0.078947
86.97,0.0,-0.050601,-0.073547
89.25,0.0,-0.046507,-0.068275
91.52,0.0,-0.042357,-0.063568
93.62,0.0,-0.038956,-0.061747
95.9,0.0,-0.039526,-0.061402
98.0,0.0,-0.040367,-0.062592
100.27,0.0,-0.041236,-0.064012
102.55,0.0,-0.042277,-0.065161
104.82,0.0,-0.045284,-0.066251
106.92,0.0,-0.046504,-0.067807
109.2,0.0,-0.047447,-0.069933
111.47,0.0,-0.047555,-0.068442
113.57,0.0,-0.045481,-0.067323
115.85,0.0,-0.046057,-0.066914
118.12,0.0,-0.045155,-0.068026
120.22,0.0,-0.045413,-0.068171
122.5,0.0,-0.04566,-0.068124
124.77,0.0,-0.045836,-0.067499
127.05,0.0,-0.045503,-0.067083
129.15,0.0,-0.045959,-0.066757
131.42,0.0,-0.047419,-0.068275
133.7,0.0,-0.049138,-0.072049
135.8,0.0,-0.051153,-0.072893
138.07,0.0,-0.053359,-0.074609
140.35,0.0,-0.052632,-0.074351
142.45,0.0,-0.050817,-0.071784
144.72,0.0,-0.04915,-0.070158
146.83,0.0,-0.04761,-0.066812
149.1,0.0,-0.044446,-0.065885
151.38,0.0,-0.043054,-0.063864
153.48,0.0,-0.042998,-0.063987
155.75,0.0,-0.042203,-0.064206
158.03,0.0,-0.043186,-0.064653
160.13,0.0,-0.043916,-0.066436
162.4,0.0,-0.043812,-0.065327
164.5,0.0,-0.042878,-0.064508
166.6,0.0,-0.042499,-0.064563
169.05,0.0,-0.042897,-0.063793
171.15,0.0,-0.042718,-0.064779
173.43,0.0,-0.039674,-0.064261
175.7,0.0,-0.03981,-0.061858
177.8,0.0,-0.038972,-0.060863
180.08,0.0,-0.037022,-0.059474
182.18,0.0,-0.035583,-0.057641
184.45,0.0,-0.03217,-0.05358
186.55,0.0,-0.027616,-0.049921
188.83,0.0,-0.022102,-0.044323
191.1,0.0,-0.016319,-0.036344
193.2,0.0,-0.008411,-0.031405
195.48,0.0,-0.003294,-0.025352
197.75,0.0,0.002424,-0.019468
199.85,0.0,0.007091,-0.015275
202.13,0.0,0.009358,-0.011905
204.4,0.0,0.013514,-0.010321
206.68,0.0,0.01548,-0.006788
208.78,0.0,0.017787,-0.00399
211.05,0.0,0.023936,0.002002
213.33,0.0,0.032171,0.008949
215.43,0.0,0.040024,0.016743
217.7,0.0,0.04531,0.023237
219.98,0.0,0.050877,0.027445
222.08,0.0,0.055825,0.031339
224.18,0.0,0.057713,0.034546
226.63,0.0,0.059235,0.035381
228.9,0.0,0.060162,0.036835
231.0,0.0,0.059041,0.035803
233.28,0.0,0.056731,0.034611
235.55,0.0,0.053185,0.031142
237.65,0.0,0.050652,0.027951
239.93,0.0,0.047276,0.025252
242.2,0.0,0.044377,0.022593
244.48,0.0,0.041037,0.018129
246.75,0.0,0.03711,0.016179
248.85,0.0,0.035193,0.012476
251.13,0.0,0.03276,0.0117
253.4,0.0,0.033105,0.010357
255.5,0.0,0.033847,0.01145
257.78,0.0,0.036272,0.014571
259.88,0.0,0.039368,0.017649
262.15,0.0,0.044599,0.021866
264.25,0.0,0.049562,0.027562
266.53,0.0,0.052932,0.030295
268.8,0.0,0.057119,0.035896
271.08,0.0,0.061583,0.038601
273.18,0.0,0.064894,0.040261
275.45,0.0,0.065116,0.042482
277.73,0.0,0.06714,0.042171
279.83,0.0,0.065625,0.044519
282.1,0.0,0.067186,0.044981
284.38,0.0,0.065973,0.04352
286.65,0.0,0.065045,0.039821
288.93,0.0,0.062917,0.041305
291.03,0.0,0.062239,0.040575
293.3,0.0,0.060002,0.039328
295.58,0.0,0.059371,0.035646
297.68,0.0,0.056817,0.034303
299.95,0.0,0.056019,0.033647
302.23,0.0,0.057146,0.033505
304.5,0.0,0.057304,0.034737
306.6,0.0,0.061056,0.038782
308.88,0.0,0.064531,0.04101
310.98,0.0,0.070591,0.04723
313.25,0.0,0.077907,0.053835
315.35,0.0,0.082541,0.060338
317.63,0.0,0.089232,0.064026
319.9,0.0,0.090258,0.068816
322.18,0.0,0.090991,0.067091
324.45,0.0,0.088052,0.063471
326.73,0.0,0.08157,0.05987
329.0,0.0,0.078437,0.055203
331.1,0.0,0.073012,0.050754
333.38,0.0,0.066869,0.044429
335.65,0.0,0.062146,0.038665
337.93,0.0,0.053939,0.031154
340.03,0.0,0.044984,0.02263
342.3,0.0,0.036937,0.012926
344.4,0.0,0.02918,0.006118
346.68,0.0,0.019645,-0.003442
348.95,0.0,0.012017,-0.009372
351.05,0.0,0.004392,-0.018673
353.33,0.0,-0.002478,-0.025093
355.43,0.0,-0.008353,-0.030564
357.7,0.0,-0.013032,-0.033836
359.98,0.0,-0.01599,-0.037758
362.25,0.0,-0.019089,-0.0411
364.35,0.0,-0.023081,-0.044905
366.63,0.0,-0.02635,-0.046929
368.9,0.0,-0.027807,-0.049736
371.0,0.0,-0.031313,-0.054696
373.28,0.0,-0.034378,-0.056778
375.55,0.0,-0.037043,-0.059169
377.65,0.0,-0.040691,-0.063152
379.93,0.0,-0.042779,-0.064526
382.2,0.0,-0.045851,-0.065259
384.13,0.0,-0.046369,-0.066507
386.58,0.0,-0.046501,-0.06781
388.85,0.0,-0.044381,-0.065811
390.95,0.0,-0.043482,-0.067287
393.23,0.0,-0.043029,-0.065275
395.5,0.0,-0.041442,-0.064646
397.6,0.0,-0.040349,-0.063371
399.88,0.0,-0.039708,-0.060866
402.15,0.0,-0.039163,-0.059335
404.25,0.0,-0.039317,-0.060839
406.53,0.0,-0.039089,-0.060534
408.8,0.0,-0.037391,-0.059902
410.9,0.0,-0.036325,-0.056812
413.18,0.0,-0.033386,-0.054982
415.45,0.0,-0.031033,-0.054495
417.73,0.0,-0.030189,-0.051606
419.83,0.0,-0.027813,-0.048956
421.93,0.0,-0.025829,-0.048913
424.2,0.0,-0.02472,-0.046741
426.48,0.0,-0.025287,-0.046935
428.75,0.0,-0.023719,-0.048066
430.85,0.0,-0.022145,-0.044634
433.13,0.0,-0.021464,-0.043377
435.4,0.0,-0.020173,-0.043531
437.5,0.0,-0.020072,-0.042219
439.78,0.0,-0.01924,-0.041492
442.05,0.0,-0.017222,-0.040278
444.15,0.0,-0.016556,-0.038793
446.43,0.0,-0.014381,-0.037601
448.7,0.0,-0.01428,-0.034043
450.8,0.0,-0.010946,-0.031985
453.08,0.0,-0.00785,-0.030068
455.35,0.0,-0.004428,-0.027558
457.45,0.0,-0.002681,-0.024391
459.73,0.0,0.002026,-0.022089
462.0,0.0,0.005449,-0.018001
