x,y,z,z2
4.9,0.0,0.040726,0.018678
7.17,0.0,0.039821,0.017951
9.45,0.0,0.038755,0.01702
11.55,0.0,0.037245,0.015477
13.83,0.0,0.035443,0.013628
16.1,0.0,0.033748,0.012137
18.2,0.0,0.032547,0.010745
20.48,0.0,0.031527,0.009667
22.75,0.0,0.030628,0.008896
25.03,0.0,0.029482,0.007855
27.3,0.0,0.029549,0.00788
29.58,0.0,0.03031,0.008588
31.85,0.0,0.03109,0.009365
34.13,0.0,0.031013,0.009248
36.23,0.0,0.030233,0.008521
38.67,0.0,0.028314,0.006681
40.6,0.0,0.025609,0.003792
43.4,0.0,0.023012,0.001293
45.67,0.0,0.020591,-0.001273
48.65,0.0,0.017159,-0.004573
50.92,0.0,0.014352,-0.007102
53.02,0.0,0.011983,-0.009517
55.47,0.0,0.009676,-0.011729
57.57,0.0,0.007849,-0.013744
59.85,0.0,0.006869,-0.014693
62.3,0.0,0.006339,-0.015056
64.4,0.0,0.005689,-0.015623
66.67,0.0,0.005079,-0.016264
68.95,0.0,0.003018,-0.018297
71.22,0.0,-5e-05,-0.021418
73.5,0.0,-0.004101,-0.025515
75.6,0.0,-0.007912,-0.029249
78.4,0.0,-0.012361,-0.033735
80.5,0.0,-0.015863,-0.036963
82.6,0.0,-0.019169,-0.040358
85.05,0.0,-0.021985,-0.043137
87.85,0.0,-0.025789,-0.047062
89.95,0.0,-0.028054,-0.049194
92.4,0.0,-0.029853,-0.050953
94.67,0.0,-0.03127,-0.052351
96.77,0.0,-0.03269,-0.053799
99.22,0.0,-0.033396,-0.054542
101.32,0.0,-0.033805,-0.054927
103.77,0.0,-0.033725,-0.054868
105.87,0.0,-0.034505,-0.055531
108.15,0.0,-0.035241,-0.056328
110.25,0.0,-0.035309,-0.056381
112.52,0.0,-0.034348,-0.055494
114.97,0.0,-0.03302,-0.054095
117.07,0.0,-0.031356,-0.052317
119.35,0.0,-0.029995,-0.051193
121.62,0.0,-0.029951,-0.051147
123.02,0.0,-0.030432,-0.051519
126.17,0.0,-0.031211,-0.052271
128.45,0.0,-0.031236,-0.052327
130.72,0.0,-0.031116,-0.052173
131.6,0.0,-0.030823,-0.051803
135.1,0.0,-0.0307,-0.051787
137.2,0.0,-0.030423,-0.051593
139.65,0.0,-0.03038,-0.051476
141.92,0.0,-0.030078,-0.051082
144.02,0.0,-0.029619,-0.050688
146.3,0.0,-0.028855,-0.049933
148.57,0.0,-0.027792,-0.048916
150.5,0.0,-0.02635,-0.047558
152.95,0.0,-0.024126,-0.045167
155.22,0.0,-0.02115,-0.042271
157.5,0.0,-0.018106,-0.039489
159.6,0.0,-0.013919,-0.035441
161.87,0.0,-0.009455,-0.030866
164.15,0.0,-0.005244,-0.02668
166.25,0.0,-0.000934,-0.02233
168.53,0.0,0.0034,-0.018017
170.63,0.0,0.007621,-0.013864
172.55,0.0,0.012187,-0.009394
175.18,0.0,0.016179,-0.005284
177.45,0.0,0.019026,-0.002604
179.55,0.0,0.021333,-0.000207
181.83,0.0,0.023034,0.00133
184.1,0.0,0.024506,0.003037
186.38,0.0,0.026694,0.005095
188.65,0.0,0.029614,0.00788
191.1,0.0,0.032981,0.011019
193.2,0.0,0.036413,0.014457
195.48,0.0,0.039402,0.017698
197.75,0.0,0.042424,0.020501
199.85,0.0,0.044599,0.022753
202.13,0.0,0.0465,0.024571
204.23,0.0,0.047861,0.025963
206.68,0.0,0.049238,0.027205
208.78,0.0,0.050905,0.029063
211.05,0.0,0.053376,0.031493
213.33,0.0,0.056308,0.034152
215.6,0.0,0.058785,0.036524
217.88,0.0,0.061493,0.039306
220.33,0.0,0.063277,0.040985
222.6,0.0,0.063533,0.041496
224.88,0.0,0.063175,0.041136
226.98,0.0,0.062507,0.040397
229.25,0.0,0.062054,0.03999
231.35,0.0,0.06169,0.039707
233.8,0.0,0.060794,0.038767
236.08,0.0,0.059411,0.037337
238.35,0.0,0.056848,0.034842
240.63,0.0,0.054223,0.032208
242.73,0.0,0.051071,0.029167
245.0,0.0,0.048385,0.026278
246.93,0.0,0.046453,0.02454
248.85,0.0,0.044996,0.023157
