x,y,z,z2
4.37,0.0,0.000126,-0.020595
6.65,0.0,0.000677,-0.020004
8.93,0.0,0.001238,-0.019357
11.2,0.0,0.001635,-0.018981
13.65,0.0,0.001614,-0.01903
15.75,0.0,0.001635,-0.018966
18.03,0.0,0.00113,-0.019418
20.3,0.0,0.00084,-0.019816
22.58,0.0,0.000209,-0.020361
24.85,0.0,-0.000497,-0.020999
26.95,0.0,-0.001101,-0.021572
29.23,0.0,-0.001806,-0.022465
31.5,0.0,-0.002191,-0.022789
33.78,0.0,-0.002207,-0.022835
35.88,0.0,-0.001858,-0.022499
38.15,0.0,-0.002191,-0.022801
40.42,0.0,-0.003288,-0.023953
42.52,0.0,-0.004871,-0.025472
44.8,0.0,-0.006735,-0.027237
47.07,0.0,-0.008309,-0.028929
49.35,0.0,-0.010509,-0.031054
51.45,0.0,-0.013279,-0.033762
53.72,0.0,-0.016917,-0.037419
55.82,0.0,-0.02074,-0.040996
58.1,0.0,-0.024594,-0.045016
60.37,0.0,-0.028125,-0.048516
62.65,0.0,-0.030808,-0.05106
64.75,0.0,-0.032552,-0.052863
67.02,0.0,-0.033161,-0.053654
69.82,0.0,-0.033205,-0.053821
72.1,0.0,-0.032943,-0.053306
74.37,0.0,-0.032783,-0.053257
76.47,0.0,-0.033208,-0.053543
78.75,0.0,-0.034292,-0.054751
81.02,0.0,-0.036935,-0.057459
83.3,0.0,-0.040466,-0.060829
85.57,0.0,-0.044505,-0.06484
87.85,0.0,-0.048359,-0.068679
89.95,0.0,-0.052527,-0.072779
92.22,0.0,-0.055928,-0.07606
94.5,0.0,-0.058365,-0.078497
96.77,0.0,-0.060426,-0.080503
99.05,0.0,-0.062114,-0.082092
101.32,0.0,-0.06286,-0.082967
103.6,0.0,-0.06253,-0.082632
105.7,0.0,-0.062558,-0.08265
107.97,0.0,-0.062493,-0.082551
110.25,0.0,-0.062856,-0.082887
112.52,0.0,-0.062718,-0.082782
114.62,0.0,-0.062025,-0.082191
116.9,0.0,-0.061236,-0.081313
119.17,0.0,-0.060318,-0.080392
121.45,0.0,-0.059532,-0.079689
123.72,0.0,-0.058315,-0.078399
125.82,0.0,-0.056991,-0.077077
128.1,0.0,-0.055805,-0.075845
130.37,0.0,-0.055065,-0.075167
132.47,0.0,-0.054252,-0.074425
135.27,0.0,-0.053149,-0.073722
139.65,0.0,-0.052397,-0.073088
142.1,0.0,-0.052474,-0.072715
144.37,0.0,-0.053069,-0.073331
146.47,0.0,-0.054018,-0.074286
148.92,0.0,-0.05534,-0.075635
151.2,0.0,-0.056227,-0.076248
153.3,0.0,-0.056852,-0.077114
155.57,0.0,-0.056895,-0.077043
157.68,0.0,-0.055854,-0.07599
159.95,0.0,-0.053768,-0.07403
162.23,0.0,-0.051104,-0.071381
164.5,0.0,-0.047912,-0.068121
166.6,0.0,-0.044649,-0.064865
168.88,0.0,-0.040691,-0.061082
171.15,0.0,-0.036596,-0.057028
173.25,0.0,-0.032234,-0.052539
175.53,0.0,-0.026895,-0.047302
177.8,0.0,-0.021202,-0.041633
179.9,0.0,-0.016002,-0.036581
182.18,0.0,-0.011184,-0.031624
184.28,0.0,-0.007145,-0.027746
186.55,0.0,-0.003359,-0.023993
188.65,0.0,0.000159,-0.020358
190.93,0.0,0.003687,-0.016985
193.2,0.0,0.006986,-0.013648
195.48,0.0,0.011179,-0.009517
197.58,0.0,0.015591,-0.005158
199.85,0.0,0.019337,-0.001433
202.13,0.0,0.023089,0.002347
204.23,0.0,0.02613,0.005304
206.5,0.0,0.028317,0.007661
208.6,0.0,0.030058,0.009217
210.88,0.0,0.031623,0.010751
213.15,0.0,0.032944,0.012085
215.43,0.0,0.035144,0.014306
217.53,0.0,0.037073,0.016204
219.8,0.0,0.038505,0.01767
222.08,0.0,0.03901,0.018234
224.18,0.0,0.038992,0.01808
226.45,0.0,0.038194,0.017322
228.55,0.0,0.036555,0.015776
230.83,0.0,0.034389,0.013499
233.1,0.0,0.031746,0.011044
235.38,0.0,0.029164,0.008403
237.48,0.0,0.025976,0.005252
239.75,0.0,0.023163,0.002473
241.68,0.0,0.020843,0.000116
244.13,0.0,0.01942,-0.001353
246.4,0.0,0.018816,-0.001889
248.5,0.0,0.017165,-0.003544
250.95,0.0,0.014469,-0.006119
253.05,0.0,0.011167,-0.009422
255.33,0.0,0.007307,-0.013254
257.6,0.0,0.003696,-0.016914
260.05,0.0,5e-06,-0.020691
262.15,0.0,-0.002308,-0.02289
264.43,0.0,-0.00403,-0.024705
266.7,0.0,-0.005601,-0.026221
268.8,0.0,-0.007182,-0.02773
271.08,0.0,-0.008436,-0.028855
273.35,0.0,-0.009927,-0.030361
275.45,0.0,-0.010352,-0.030854
277.73,0.0,-0.009988,-0.030481
280.0,0.0,-0.009234,-0.029643
282.28,0.0,-0.009178,-0.029576
284.38,0.0,-0.010737,-0.031301
286.65,0.0,-0.013088,-0.033654
288.93,0.0,-0.015395,-0.0359
291.03,0.0,-0.016593,-0.037043
293.3,0.0,-0.016883,-0.037287
295.4,0.0,-0.01729,-0.037758
297.68,0.0,-0.017678,-0.038208
299.95,0.0,-0.017271,-0.037853
302.05,0.0,-0.015953,-0.036387
304.33,0.0,-0.01465,-0.035093
306.6,0.0,-0.01497,-0.035469
308.88,0.0,-0.016535,-0.036889
310.98,0.0,-0.019458,-0.039933
313.25,0.0,-0.022915,-0.043235
315.53,0.0,-0.026831,-0.047342
317.63,0.0,-0.030697,-0.050888
319.9,0.0,-0.033735,-0.053993
322.18,0.0,-0.036501,-0.056818
324.45,0.0,-0.038781,-0.059064
326.73,0.0,-0.040158,-0.060454
328.83,0.0,-0.040968,-0.061254
331.1,0.0,-0.041372,-0.061707
333.2,0.0,-0.042129,-0.062388
335.65,0.0,-0.041729,-0.062046
337.93,0.0,-0.040814,-0.061088
340.2,0.0,-0.039227,-0.059622
342.3,0.0,-0.037709,-0.05802
344.58,0.0,-0.036082,-0.056449
346.85,0.0,-0.034449,-0.054754
349.13,0.0,-0.033254,-0.053611
351.23,0.0,-0.031929,-0.052287
353.5,0.0,-0.030734,-0.051017
355.6,0.0,-0.030574,-0.050916
357.88,0.0,-0.031627,-0.052
360.15,0.0,-0.033285,-0.053556
362.43,0.0,-0.035158,-0.0555
364.53,0.0,-0.037148,-0.057515
366.8,0.0,-0.038885,-0.059258
369.08,0.0,-0.040244,-0.060475
371.18,0.0,-0.040922,-0.061322
373.45,0.0,-0.040407,-0.060641
375.73,0.0,-0.038913,-0.059209
378.0,0.0,-0.036156,-0.056532
380.1,0.0,-0.032844,-0.053223
382.38,0.0,-0.028229,-0.04859
384.65,0.0,-0.023537,-0.043972
386.75,0.0,-0.019178,-0.03968
389.03,0.0,-0.015312,-0.035836
391.3,0.0,-0.012773,-0.033362
