x,y,z,z2
4.37,0.0,0.016663,-0.003895
6.82,0.0,0.015255,-0.005167
9.1,0.0,0.01332,-0.006938
11.2,0.0,0.011068,-0.009117
13.48,0.0,0.008659,-0.011569
15.58,0.0,0.006915,-0.01342
18.03,0.0,0.00601,-0.014209
20.13,0.0,0.005622,-0.014686
22.4,0.0,0.005606,-0.01465
24.68,0.0,0.0056,-0.014631
26.95,0.0,0.005612,-0.01464
29.05,0.0,0.005643,-0.014643
31.33,0.0,0.004626,-0.015435
33.6,0.0,0.002769,-0.017339
35.88,0.0,0.000283,-0.019859
37.98,0.0,-0.002696,-0.023014
40.25,0.0,-0.005817,-0.026082
42.52,0.0,-0.008713,-0.028901
44.8,0.0,-0.012006,-0.032194
46.9,0.0,-0.015688,-0.035786
49.17,0.0,-0.019117,-0.039274
51.45,0.0,-0.022009,-0.041985
53.37,0.0,-0.024951,-0.045155
55.82,0.0,-0.027684,-0.047647
58.1,0.0,-0.029954,-0.049887
60.2,0.0,-0.03172,-0.051575
62.47,0.0,-0.033565,-0.05354
64.75,0.0,-0.035675,-0.055728
67.02,0.0,-0.038174,-0.058232
69.12,0.0,-0.041067,-0.060943
71.4,0.0,-0.044646,-0.064532
73.5,0.0,-0.04867,-0.068716
75.77,0.0,-0.053858,-0.073451
78.05,0.0,-0.058852,-0.078725
80.15,0.0,-0.063482,-0.083084
82.42,0.0,-0.06732,-0.086985
84.7,0.0,-0.070783,-0.090361
86.97,0.0,-0.073482,-0.093229
89.07,0.0,-0.076214,-0.095817
91.35,0.0,-0.078639,-0.098164
93.45,0.0,-0.07973,-0.099344
95.72,0.0,-0.080096,-0.09977
98.0,0.0,-0.080463,-0.100142
100.1,0.0,-0.080604,-0.100133
102.37,0.0,-0.080509,-0.100185
104.65,0.0,-0.081085,-0.100752
106.75,0.0,-0.081729,-0.10123
109.2,0.0,-0.082582,-0.102172
111.3,0.0,-0.083667,-0.10305
113.57,0.0,-0.08493,-0.104461
115.85,0.0,-0.087511,-0.107037
118.12,0.0,-0.090494,-0.110099
120.22,0.0,-0.09294,-0.11257
122.5,0.0,-0.094523,-0.114036
124.77,0.0,-0.095004,-0.114628
126.87,0.0,-0.0942,-0.113858
129.15,0.0,-0.092949,-0.112502
131.42,0.0,-0.090373,-0.10984
133.7,0.0,-0.086455,-0.105956
135.97,0.0,-0.081769,-0.10135
138.07,0.0,-0.075758,-0.095435
140.35,0.0,-0.069622,-0.089314
142.62,0.0,-0.063004,-0.082807
144.72,0.0,-0.056452,-0.076221
147.0,0.0,-0.047752,-0.067665
149.1,0.0,-0.03912,-0.059157
151.38,0.0,-0.03111,-0.051104
153.65,0.0,-0.023855,-0.043882
155.58,0.0,-0.018208,-0.038365
158.2,0.0,-0.013768,-0.033848
160.3,0.0,-0.009887,-0.030019
162.58,0.0,-0.005783,-0.025882
164.85,0.0,0.000286,-0.01989
167.13,0.0,0.008594,-0.011704
169.23,0.0,0.018154,-0.002123
171.5,0.0,0.028018,0.007587
173.78,0.0,0.037116,0.016728
176.05,0.0,0.045415,0.024784
178.15,0.0,0.053505,0.033021
180.43,0.0,0.061299,0.040572
182.7,0.0,0.068801,0.048086
184.8,0.0,0.075963,0.055212
187.08,0.0,0.0832,0.06247
189.35,0.0,0.09076,0.069867
191.45,0.0,0.097248,0.076481
193.73,0.0,0.102836,0.081965
196.0,0.0,0.106339,0.085588
198.28,0.0,0.108123,0.087291
200.38,0.0,0.108579,0.08775
202.48,0.0,0.109448,0.088573
204.93,0.0,0.110695,0.089978
207.2,0.0,0.112282,0.091475
209.3,0.0,0.114207,0.093138
211.58,0.0,0.116025,0.094996
213.85,0.0,0.118012,0.096999
216.13,0.0,0.119552,0.098751
218.23,0.0,0.120301,0.099229
220.5,0.0,0.120988,0.100156
222.78,0.0,0.121884,0.100982
224.88,0.0,0.121133,0.10011
227.15,0.0,0.119349,0.098373
229.43,0.0,0.116241,0.095307
231.53,0.0,0.112251,0.09137
233.8,0.0,0.107969,0.087217
236.08,0.0,0.103486,0.082692
238.35,0.0,0.098773,0.07796
240.45,0.0,0.094038,0.073212
242.73,0.0,0.089247,0.068431
245.0,0.0,0.083942,0.063345
247.28,0.0,0.078828,0.058194
249.38,0.0,0.073169,0.052365
251.83,0.0,0.068995,0.048345
254.1,0.0,0.066161,0.045464
256.2,0.0,0.064534,0.043952
258.48,0.0,0.063539,0.042947
260.75,0.0,0.062735,0.042069
263.03,0.0,0.061145,0.040464
265.13,0.0,0.058949,0.0384
267.93,0.0,0.055976,0.035199
270.03,0.0,0.053003,0.03239
272.3,0.0,0.049651,0.029112
274.58,0.0,0.046099,0.025745
276.85,0.0,0.042322,0.021891
278.95,0.0,0.038308,0.017929
281.23,0.0,0.035452,0.015141
283.5,0.0,0.032775,0.012408
285.6,0.0,0.029454,0.009226
287.88,0.0,0.024586,0.004325
289.98,0.0,0.018326,-0.001991
292.25,0.0,0.011324,-0.008741
294.53,0.0,0.005018,-0.015244
296.8,0.0,-0.000913,-0.021027
299.08,0.0,-0.006134,-0.02635
301.18,0.0,-0.010349,-0.030435
303.45,0.0,-0.014899,-0.034902
305.9,0.0,-0.019335,-0.039526
308.18,0.0,-0.023125,-0.043192
310.28,0.0,-0.026923,-0.046889
312.55,0.0,-0.030161,-0.050161
314.83,0.0,-0.032693,-0.052573
316.93,0.0,-0.03383,-0.053811
319.2,0.0,-0.034388,-0.054126
321.48,0.0,-0.033562,-0.053463
323.4,0.0,-0.032755,-0.052684
325.85,0.0,-0.032009,-0.05192
327.95,0.0,-0.031596,-0.051415
330.23,0.0,-0.031618,-0.05151
332.5,0.0,-0.031279,-0.051196
334.78,0.0,-0.031637,-0.051556
336.88,0.0,-0.032339,-0.052345
339.15,0.0,-0.033571,-0.053451
341.43,0.0,-0.035457,-0.055478
343.7,0.0,-0.037724,-0.05777
345.8,0.0,-0.039834,-0.059794
348.08,0.0,-0.041673,-0.061726
350.18,0.0,-0.04297,-0.063044
352.28,0.0,-0.043445,-0.0635
354.73,0.0,-0.043488,-0.063359
357.0,0.0,-0.042844,-0.062847
359.28,0.0,-0.04176,-0.061775
361.55,0.0,-0.040361,-0.060355
363.83,0.0,-0.039271,-0.059015
366.1,0.0,-0.038676,-0.058651
368.2,0.0,-0.038716,-0.05858
370.48,0.0,-0.038676,-0.058651
372.75,0.0,-0.038078,-0.05814
374.85,0.0,-0.036972,-0.057068
377.13,0.0,-0.035309,-0.055278
379.4,0.0,-0.03346,-0.053374
381.33,0.0,-0.030857,-0.050774
383.78,0.0,-0.027937,-0.047937
385.88,0.0,-0.025032,-0.044976
388.15,0.0,-0.021723,-0.041717
390.43,0.0,-0.018516,-0.038685
