x,y,z,z2
4.37,0.0,-0.025762,-0.046646
6.65,0.0,-0.024474,-0.045993
8.93,0.0,-0.025318,-0.046501
11.03,0.0,-0.027983,-0.049385
13.48,0.0,-0.032847,-0.053685
15.75,0.0,-0.03761,-0.05948
17.85,0.0,-0.043294,-0.064172
20.13,0.0,-0.048821,-0.069742
22.4,0.0,-0.05415,-0.074939
24.68,0.0,-0.057394,-0.078651
26.78,0.0,-0.060044,-0.08106
29.05,0.0,-0.061926,-0.082958
31.33,0.0,-0.063753,-0.08424
33.43,0.0,-0.065638,-0.086553
35.7,0.0,-0.067065,-0.088103
37.8,0.0,-0.06867,-0.089249
40.07,0.0,-0.06936,-0.090115
42.35,0.0,-0.069828,-0.090056
44.45,0.0,-0.070229,-0.090965
46.72,0.0,-0.069742,-0.090136
49.0,0.0,-0.069351,-0.090426
51.1,0.0,-0.06883,-0.089807
53.37,0.0,-0.068205,-0.089067
55.47,0.0,-0.066957,-0.087234
57.75,0.0,-0.065201,-0.085866
60.02,0.0,-0.063485,-0.084643
62.12,0.0,-0.062265,-0.083633
64.4,0.0,-0.061726,-0.082089
66.67,0.0,-0.060364,-0.081744
68.77,0.0,-0.06046,-0.08038
71.05,0.0,-0.06037,-0.08107
73.15,0.0,-0.06086,-0.081985
75.42,0.0,-0.06171,-0.08196
77.7,0.0,-0.061251,-0.082231
79.8,0.0,-0.060589,-0.081381
82.07,0.0,-0.060121,-0.081054
84.35,0.0,-0.059009,-0.079967
86.62,0.0,-0.058436,-0.079498
88.72,0.0,-0.058226,-0.078947
91.0,0.0,-0.057305,-0.07842
93.1,0.0,-0.055863,-0.077114
95.37,0.0,-0.054135,-0.075108
97.65,0.0,-0.051821,-0.072977
99.92,0.0,-0.048916,-0.07029
102.02,0.0,-0.046156,-0.067533
104.3,0.0,-0.044061,-0.065075
106.57,0.0,-0.042157,-0.062933
108.67,0.0,-0.039178,-0.060053
110.95,0.0,-0.03668,-0.057632
113.05,0.0,-0.034187,-0.054976
115.32,0.0,-0.031929,-0.053827
117.6,0.0,-0.030564,-0.051701
119.7,0.0,-0.029237,-0.050306
121.97,0.0,-0.027641,-0.049101
124.25,0.0,-0.026643,-0.048402
126.52,0.0,-0.024914,-0.045931
128.62,0.0,-0.023713,-0.044881
130.9,0.0,-0.022364,-0.043753
133.17,0.0,-0.021489,-0.042434
135.27,0.0,-0.020373,-0.04184
137.55,0.0,-0.019437,-0.040669
139.82,0.0,-0.019215,-0.040118
141.92,0.0,-0.018562,-0.040044
144.02,0.0,-0.01891,-0.040031
146.47,0.0,-0.018972,-0.040124
148.58,0.0,-0.019757,-0.041088
150.85,0.0,-0.02107,-0.042595
153.13,0.0,-0.02334,-0.04448
155.4,0.0,-0.02554,-0.047169
157.5,0.0,-0.027838,-0.048824
159.78,0.0,-0.030601,-0.051948
162.05,0.0,-0.033143,-0.054643
164.15,0.0,-0.035934,-0.056843
166.43,0.0,-0.038155,-0.059856
168.53,0.0,-0.040789,-0.06167
170.8,0.0,-0.042706,-0.063966
173.08,0.0,-0.044092,-0.065571
175.18,0.0,-0.045263,-0.066633
177.45,0.0,-0.046301,-0.067558
179.55,0.0,-0.047924,-0.069264
181.83,0.0,-0.050293,-0.071233
184.1,0.0,-0.051948,-0.073479
186.38,0.0,-0.054224,-0.074982
188.48,0.0,-0.05529,-0.076088
190.4,0.0,-0.056643,-0.077345
193.03,0.0,-0.057659,-0.078282
195.3,0.0,-0.058722,-0.079502
