x,y,z,z2
4.38,0.0,0.003419,-0.018331
6.82,0.0,0.003471,-0.018195
9.1,0.0,0.003946,-0.017801
11.2,0.0,0.004429,-0.017314
13.48,0.0,0.004303,-0.017382
15.75,0.0,0.002784,-0.018771
17.85,0.0,0.000344,-0.021356
20.13,0.0,-0.002638,-0.024357
22.23,0.0,-0.006649,-0.028152
24.68,0.0,-0.010019,-0.031442
26.78,0.0,-0.012653,-0.034212
29.05,0.0,-0.013494,-0.034958
31.15,0.0,-0.013011,-0.034649
33.43,0.0,-0.013556,-0.035016
35.7,0.0,-0.015213,-0.036677
37.98,0.0,-0.017687,-0.038969
40.07,0.0,-0.019606,-0.041248
42.35,0.0,-0.0205,-0.041615
44.62,0.0,-0.020053,-0.041476
46.72,0.0,-0.01904,-0.040595
49.0,0.0,-0.016442,-0.03785
51.27,0.0,-0.012203,-0.033713
53.37,0.0,-0.008639,-0.030068
55.65,0.0,-0.007783,-0.02915
57.92,0.0,-0.008741,-0.030349
60.02,0.0,-0.012943,-0.034406
62.3,0.0,-0.01928,-0.04062
64.4,0.0,-0.026772,-0.047955
66.67,0.0,-0.034958,-0.056063
68.95,0.0,-0.043543,-0.0644
71.22,0.0,-0.051442,-0.072474
73.32,0.0,-0.058953,-0.079807
75.6,0.0,-0.066279,-0.086966
77.87,0.0,-0.07236,-0.092832
79.97,0.0,-0.077699,-0.09806
82.25,0.0,-0.08229,-0.102816
84.52,0.0,-0.086054,-0.10655
86.62,0.0,-0.089612,-0.109884
88.9,0.0,-0.092305,-0.112681
91.17,0.0,-0.094197,-0.114557
93.45,0.0,-0.095564,-0.115953
95.55,0.0,-0.096892,-0.117188
97.82,0.0,-0.098383,-0.118737
99.92,0.0,-0.100845,-0.121085
102.2,0.0,-0.103282,-0.123463
104.3,0.0,-0.10562,-0.12582
106.57,0.0,-0.107869,-0.128124
108.85,0.0,-0.110398,-0.130632
110.95,0.0,-0.11322,-0.133352
113.22,0.0,-0.116864,-0.136784
115.32,0.0,-0.120426,-0.140651
117.6,0.0,-0.123587,-0.143663
119.87,0.0,-0.125669,-0.145672
122.15,0.0,-0.127253,-0.147074
124.25,0.0,-0.128164,-0.148087
126.52,0.0,-0.127986,-0.147819
128.8,0.0,-0.12671,-0.146698
131.07,0.0,-0.124098,-0.144212
133.17,0.0,-0.120651,-0.140838
135.45,0.0,-0.116023,-0.136082
137.72,0.0,-0.111405,-0.131704
139.82,0.0,-0.107662,-0.127964
142.1,0.0,-0.103386,-0.123651
144.38,0.0,-0.097746,-0.118103
146.48,0.0,-0.091935,-0.112228
148.75,0.0,-0.084785,-0.105558
151.03,0.0,-0.078069,-0.098694
153.3,0.0,-0.071085,-0.091673
155.58,0.0,-0.063904,-0.084659
157.68,0.0,-0.057086,-0.07786
159.95,0.0,-0.049637,-0.070746
162.23,0.0,-0.042394,-0.063522
164.5,0.0,-0.0342,-0.05546
166.6,0.0,-0.025657,-0.046837
168.88,0.0,-0.016178,-0.037607
170.98,0.0,-0.007046,-0.028494
173.25,0.0,0.001829,-0.019782
175.53,0.0,0.009146,-0.012579
177.8,0.0,0.015668,-0.006125
179.9,0.0,0.020372,-0.001325
182.18,0.0,0.02487,0.003052
184.45,0.0,0.02873,0.006715
186.73,0.0,0.031564,0.009756
188.83,0.0,0.034044,0.012233
191.1,0.0,0.036222,0.014223
193.2,0.0,0.038123,0.016247
195.48,0.0,0.040674,0.018527
197.75,0.0,0.043742,0.021651
199.85,0.0,0.04763,0.025501
202.13,0.0,0.052744,0.030634
204.23,0.0,0.057313,0.034931
206.68,0.0,0.06153,0.039377
208.95,0.0,0.065156,0.04259
211.05,0.0,0.06763,0.045156
