x,y,z,z2
4.37,0.0,0.018296,-0.003519
6.65,0.0,0.017667,-0.004138
8.93,0.0,0.01487,-0.006735
11.2,0.0,0.010295,-0.011319
13.13,0.0,0.004248,-0.017545
15.58,0.0,-0.003781,-0.025284
17.5,0.0,-0.011905,-0.033248
19.95,0.0,-0.019973,-0.041335
22.23,0.0,-0.027709,-0.049033
24.5,0.0,-0.035586,-0.05663
26.78,0.0,-0.043023,-0.064055
28.88,0.0,-0.048491,-0.069665
31.15,0.0,-0.053266,-0.074181
33.25,0.0,-0.056726,-0.077681
35.52,0.0,-0.058895,-0.079822
37.8,0.0,-0.059958,-0.080758
39.9,0.0,-0.060623,-0.081387
42.17,0.0,-0.060953,-0.081824
44.45,0.0,-0.061701,-0.082545
46.55,0.0,-0.063121,-0.083888
48.82,0.0,-0.064964,-0.085805
50.92,0.0,-0.067,-0.08765
53.2,0.0,-0.069175,-0.089933
55.47,0.0,-0.071473,-0.0922
57.57,0.0,-0.073362,-0.094126
59.85,0.0,-0.075592,-0.096184
61.95,0.0,-0.077129,-0.097816
64.22,0.0,-0.077681,-0.098229
66.5,0.0,-0.077598,-0.098331
68.6,0.0,-0.077752,-0.098392
70.87,0.0,-0.078719,-0.099428
73.15,0.0,-0.080805,-0.101381
75.42,0.0,-0.083753,-0.104227
77.52,0.0,-0.086658,-0.107262
79.97,0.0,-0.090306,-0.110746
82.25,0.0,-0.093399,-0.113873
84.35,0.0,-0.096073,-0.116458
86.62,0.0,-0.09737,-0.117859
88.72,0.0,-0.097859,-0.118198
91.0,0.0,-0.097493,-0.117998
93.27,0.0,-0.096359,-0.116707
95.37,0.0,-0.095121,-0.115509
97.65,0.0,-0.093734,-0.114163
99.92,0.0,-0.092789,-0.11314
102.02,0.0,-0.091359,-0.111753
104.3,0.0,-0.089652,-0.110232
106.57,0.0,-0.087758,-0.108168
108.67,0.0,-0.085373,-0.105829
110.95,0.0,-0.082357,-0.102983
113.22,0.0,-0.077841,-0.098479
115.5,0.0,-0.072354,-0.093124
117.6,0.0,-0.066923,-0.087659
119.87,0.0,-0.062,-0.082807
121.97,0.0,-0.057813,-0.078682
124.25,0.0,-0.054027,-0.075031
126.52,0.0,-0.050629,-0.071575
128.62,0.0,-0.047893,-0.068966
130.9,0.0,-0.045836,-0.066978
133.17,0.0,-0.043242,-0.064314
135.27,0.0,-0.040472,-0.061587
137.55,0.0,-0.037407,-0.05867
139.65,0.0,-0.034117,-0.055229
141.92,0.0,-0.030962,-0.052401
144.2,0.0,-0.027367,-0.048584
146.47,0.0,-0.023463,-0.044905
148.75,0.0,-0.019995,-0.041251
150.85,0.0,-0.015629,-0.037176
153.13,0.0,-0.011365,-0.032712
155.23,0.0,-0.007271,-0.028522
157.5,0.0,-0.002863,-0.024409
159.78,0.0,0.001777,-0.019791
162.05,0.0,0.00657,-0.015065
164.15,0.0,0.012418,-0.009409
166.43,0.0,0.018721,-0.003242
168.7,0.0,0.026068,0.004263
170.8,0.0,0.033761,0.011694
173.08,0.0,0.042057,0.020018
175.18,0.0,0.050015,0.027864
177.45,0.0,0.057951,0.035803
179.73,0.0,0.065671,0.043271
182.0,0.0,0.072726,0.050215
184.1,0.0,0.080563,0.057978
186.38,0.0,0.089007,0.066247
188.65,0.0,0.098539,0.075742
190.75,0.0,0.109059,0.086133
193.2,0.0,0.121037,0.097932
195.48,0.0,0.132159,0.108893
197.58,0.0,0.141925,0.118508
199.85,0.0,0.150578,0.127128
201.95,0.0,0.158998,0.135396
204.4,0.0,0.165671,0.141925
206.68,0.0,0.171108,0.147534
208.78,0.0,0.174904,0.15113
211.05,0.0,0.177719,0.153798
213.33,0.0,0.179253,0.155514
215.6,0.0,0.180726,0.156921
217.7,0.0,0.182541,0.158545
219.98,0.0,0.184512,0.160757
222.08,0.0,0.18653,0.162685
224.35,0.0,0.188493,0.164851
226.63,0.0,0.189598,0.165495
228.9,0.0,0.189756,0.165726
231.0,0.0,0.188982,0.164842
233.28,0.0,0.187618,0.164004
235.55,0.0,0.186364,0.162387
237.65,0.0,0.18482,0.161093
239.93,0.0,0.183708,0.159672
242.2,0.0,0.181539,0.15779
244.48,0.0,0.179013,0.155196
246.75,0.0,0.17678,0.153092
248.85,0.0,0.175221,0.151379
251.13,0.0,0.174651,0.150698
253.4,0.0,0.174522,0.150754
255.5,0.0,0.174078,0.150249
257.78,0.0,0.172664,0.148831
260.05,0.0,0.170458,0.146774
262.15,0.0,0.167115,0.1434
264.43,0.0,0.162473,0.138915
266.7,0.0,0.157199,0.133582
268.8,0.0,0.151188,0.127673
271.08,0.0,0.145541,0.122251
273.35,0.0,0.140156,0.116761
275.45,0.0,0.135572,0.112396
277.73,0.0,0.132285,0.109287
280.0,0.0,0.129904,0.106915
282.28,0.0,0.12792,0.104891
284.38,0.0,0.125674,0.102633
286.48,0.0,0.122682,0.099706
288.75,0.0,0.120218,0.097029
291.03,0.0,0.11718,0.094272
293.3,0.0,0.114001,0.091161
295.4,0.0,0.110868,0.087907
297.68,0.0,0.108181,0.085344
299.78,0.0,0.106598,0.083946
302.05,0.0,0.105738,0.082972
304.33,0.0,0.105467,0.082473
306.43,0.0,0.104728,0.081844
308.7,0.0,0.103443,0.080523
310.98,0.0,0.100846,0.077929
313.25,0.0,0.097149,0.074386
315.35,0.0,0.092707,0.069993
317.63,0.0,0.086999,0.064288
319.9,0.0,0.081136,0.058567
322.0,0.0,0.07466,0.052334
324.28,0.0,0.068739,0.046321
326.55,0.0,0.063807,0.041241
328.65,0.0,0.059688,0.037205
330.93,0.0,0.056117,0.033761
333.2,0.0,0.052168,0.029848
335.48,0.0,0.047658,0.025292
337.75,0.0,0.042778,0.020615
340.03,0.0,0.03694,0.014953
342.13,0.0,0.030813,0.008718
344.4,0.0,0.024611,0.002904
346.5,0.0,0.018511,-0.003143
