x,y,z,z2
4.37,0.0,-0.010392,-0.032022
6.65,0.0,-0.010195,-0.03164
8.93,0.0,-0.010062,-0.03172
11.2,0.0,-0.009985,-0.031513
13.3,0.0,-0.010149,-0.031664
15.58,0.0,-0.009998,-0.031572
17.85,0.0,-0.010038,-0.031596
20.13,0.0,-0.010158,-0.031683
22.23,0.0,-0.009409,-0.03094
24.5,0.0,-0.008272,-0.029779
26.6,0.0,-0.005937,-0.027666
28.88,0.0,-0.003257,-0.024933
31.15,0.0,-0.000734,-0.022379
33.25,0.0,0.001179,-0.020389
35.53,0.0,0.002331,-0.019289
37.63,0.0,0.003194,-0.018294
39.9,0.0,0.003752,-0.01785
42.17,0.0,0.00369,-0.017841
44.27,0.0,0.003031,-0.018497
46.55,0.0,0.002011,-0.019594
48.82,0.0,0.000206,-0.021464
50.92,0.0,-0.002203,-0.023926
53.2,0.0,-0.005207,-0.026861
55.3,0.0,-0.008645,-0.030235
57.57,0.0,-0.011794,-0.033322
59.85,0.0,-0.015109,-0.03663
62.12,0.0,-0.018214,-0.039625
64.22,0.0,-0.020987,-0.042441
66.5,0.0,-0.023029,-0.044415
68.6,0.0,-0.02472,-0.046159
70.87,0.0,-0.02599,-0.047185
73.15,0.0,-0.02554,-0.046874
75.25,0.0,-0.024437,-0.045682
77.52,0.0,-0.022268,-0.043682
79.8,0.0,-0.01903,-0.04033
82.07,0.0,-0.015324,-0.036858
84.17,0.0,-0.011834,-0.033285
86.45,0.0,-0.008812,-0.030324
88.55,0.0,-0.006439,-0.028057
90.82,0.0,-0.004991,-0.02663
92.92,0.0,-0.004332,-0.025934
95.2,0.0,-0.003849,-0.025429
97.47,0.0,-0.003494,-0.025068
99.75,0.0,-0.0031,-0.024696
101.85,0.0,-0.002237,-0.023938
104.12,0.0,-0.000709,-0.022379
106.22,0.0,0.001136,-0.020555
108.5,0.0,0.002951,-0.018587
110.77,0.0,0.004574,-0.017129
112.87,0.0,0.00621,-0.015561
115.15,0.0,0.007732,-0.014076
117.42,0.0,0.008767,-0.012937
119.52,0.0,0.009784,-0.011954
121.8,0.0,0.010511,-0.011153
123.9,0.0,0.011487,-0.010284
126.17,0.0,0.011882,-0.00989
128.45,0.0,0.012455,-0.0092
130.55,0.0,0.012578,-0.009172
132.82,0.0,0.012599,-0.009157
135.1,0.0,0.012455,-0.009234
137.2,0.0,0.012461,-0.009255
139.47,0.0,0.012211,-0.009671
141.57,0.0,0.012147,-0.009637
143.85,0.0,0.01227,-0.009668
146.12,0.0,0.012239,-0.009483
148.22,0.0,0.012602,-0.009089
150.5,0.0,0.012498,-0.009086
152.78,0.0,0.012374,-0.009372
154.88,0.0,0.011885,-0.009933
157.15,0.0,0.011074,-0.010768
159.25,0.0,0.010298,-0.011316
161.53,0.0,0.009346,-0.012493
163.8,0.0,0.008018,-0.013648
165.9,0.0,0.006481,-0.015229
168.18,0.0,0.004827,-0.016855
170.45,0.0,0.003705,-0.017937
172.73,0.0,0.002285,-0.019385
174.83,0.0,0.001521,-0.019979
177.1,0.0,0.001456,-0.020149
179.2,0.0,0.001447,-0.020173
181.48,0.0,0.001595,-0.020198
183.75,0.0,0.001801,-0.01981
185.85,0.0,0.001814,-0.019841
188.13,0.0,0.001869,-0.019723
190.23,0.0,0.001475,-0.020155
192.5,0.0,0.000853,-0.020774
194.78,0.0,0.000277,-0.021301
196.88,0.0,-0.000814,-0.022416
199.15,0.0,-0.001701,-0.023226
201.43,0.0,-0.002468,-0.023984
203.53,0.0,-0.003152,-0.024708
205.8,0.0,-0.003544,-0.02517
208.08,0.0,-0.004095,-0.025712
210.35,0.0,-0.004686,-0.026341
212.63,0.0,-0.005149,-0.026769
214.9,0.0,-0.005839,-0.027465
217.18,0.0,-0.006637,-0.028217
219.45,0.0,-0.007456,-0.029015
221.55,0.0,-0.008189,-0.029767
223.83,0.0,-0.009363,-0.030749
226.1,0.0,-0.010195,-0.031707
228.2,0.0,-0.011963,-0.033439
230.48,0.0,-0.013932,-0.035435
232.75,0.0,-0.01545,-0.037028
234.85,0.0,-0.016476,-0.037906
237.13,0.0,-0.017056,-0.038448
239.23,0.0,-0.017074,-0.038577
241.5,0.0,-0.016621,-0.038137
243.78,0.0,-0.016498,-0.037949
245.88,0.0,-0.016298,-0.037755
248.15,0.0,-0.015873,-0.037367
250.43,0.0,-0.015392,-0.037
252.53,0.0,-0.015478,-0.036855
254.8,0.0,-0.015454,-0.037049
257.08,0.0,-0.015472,-0.036895
259.18,0.0,-0.015133,-0.03664
261.45,0.0,-0.014714,-0.036304
263.73,0.0,-0.014132,-0.035549
266.0,0.0,-0.013485,-0.035059
268.1,0.0,-0.013491,-0.035099
270.38,0.0,-0.013066,-0.034751
272.65,0.0,-0.013414,-0.03489
274.75,0.0,-0.014021,-0.035435
277.03,0.0,-0.015044,-0.036587
279.3,0.0,-0.016307,-0.037863
281.4,0.0,-0.017841,-0.039261
283.68,0.0,-0.019714,-0.0411
285.95,0.0,-0.021865,-0.043294
288.05,0.0,-0.023818,-0.045065
290.33,0.0,-0.025712,-0.047108
292.43,0.0,-0.027111,-0.04854
294.7,0.0,-0.028072,-0.049354
296.98,0.0,-0.028534,-0.049705
299.25,0.0,-0.028146,-0.04944
301.35,0.0,-0.027573,-0.048848
303.63,0.0,-0.026529,-0.04781
305.9,0.0,-0.025167,-0.046464
308.0,0.0,-0.023617,-0.044887
310.28,0.0,-0.022299,-0.043639
312.38,0.0,-0.020632,-0.04188
314.65,0.0,-0.018664,-0.040087
316.75,0.0,-0.016735,-0.038242
319.03,0.0,-0.014662,-0.036165
321.3,0.0,-0.01257,-0.034141
323.4,0.0,-0.010592,-0.032154
326.03,0.0,-0.008642,-0.030256
328.13,0.0,-0.006717,-0.02826
330.4,0.0,-0.005078,-0.026615
332.68,0.0,-0.003775,-0.025309
334.78,0.0,-0.002548,-0.024231
337.05,0.0,-0.001597,-0.023285
339.33,0.0,-0.00115,-0.022752
341.43,0.0,-0.00115,-0.022835
343.88,0.0,-0.001258,-0.022915
346.15,0.0,-0.001667,-0.023279
348.43,0.0,-0.001988,-0.023556
350.53,0.0,-0.001979,-0.023648
352.98,0.0,-0.001649,-0.02334
355.25,0.0,-0.00102,-0.022681
357.53,0.0,-2.2e-05,-0.021606
359.63,0.0,0.000936,-0.020586
362.08,0.0,0.002208,-0.019483
364.35,0.0,0.003037,-0.018651
366.63,0.0,0.003745,-0.017792
368.73,0.0,0.004611,-0.017068
371.18,0.0,0.005372,-0.016421
373.45,0.0,0.005732,-0.015953
375.55,0.0,0.005384,-0.016399
377.83,0.0,0.004919,-0.016714
380.28,0.0,0.004198,-0.017484
382.55,0.0,0.003955,-0.017776
384.65,0.0,0.003086,-0.018744
386.93,0.0,0.002732,-0.018978
389.2,0.0,0.002261,-0.019348
