x,y,z,z2
4.37,0.0,-0.0066,-0.028235
6.65,0.0,-0.006948,-0.028762
8.75,0.0,-0.007034,-0.028719
11.03,0.0,-0.006923,-0.028584
13.3,0.0,-0.006538,-0.028328
15.4,0.0,-0.006033,-0.027869
17.68,0.0,-0.005842,-0.027459
20.13,0.0,-0.005087,-0.026809
22.4,0.0,-0.004369,-0.026064
24.68,0.0,-0.003864,-0.025509
26.95,0.0,-0.00351,-0.025204
29.05,0.0,-0.003999,-0.025734
31.33,0.0,-0.004554,-0.026325
33.6,0.0,-0.005435,-0.027139
35.7,0.0,-0.006597,-0.028232
37.97,0.0,-0.007807,-0.029455
40.25,0.0,-0.008673,-0.03033
42.35,0.0,-0.009603,-0.031147
44.62,0.0,-0.010235,-0.031778
46.72,0.0,-0.010259,-0.031957
49.0,0.0,-0.010075,-0.031735
51.27,0.0,-0.009828,-0.031563
53.55,0.0,-0.009385,-0.031107
55.65,0.0,-0.008645,-0.03037
57.75,0.0,-0.007961,-0.029649
60.02,0.0,-0.00668,-0.028297
62.3,0.0,-0.005746,-0.027468
64.4,0.0,-0.004933,-0.026677
66.5,0.0,-0.004231,-0.025928
68.95,0.0,-0.003448,-0.024936
71.05,0.0,-0.001911,-0.023624
73.32,0.0,-0.000392,-0.022108
75.42,0.0,0.000455,-0.021261
77.7,0.0,0.001074,-0.020629
79.97,0.0,0.000689,-0.020839
82.07,0.0,-0.000306,-0.02204
84.35,0.0,-0.001433,-0.023137
86.62,0.0,-0.003128,-0.024794
88.72,0.0,-0.004693,-0.026372
91.0,0.0,-0.005968,-0.027706
93.27,0.0,-0.00688,-0.028596
95.37,0.0,-0.00733,-0.029221
97.65,0.0,-0.007268,-0.028839
99.75,0.0,-0.006791,-0.028466
102.02,0.0,-0.006612,-0.028374
104.12,0.0,-0.005836,-0.027447
106.22,0.0,-0.005105,-0.02696
108.67,0.0,-0.004499,-0.026279
110.95,0.0,-0.003978,-0.025786
113.05,0.0,-0.003319,-0.024964
115.32,0.0,-0.003072,-0.024659
117.6,0.0,-0.003057,-0.024745
119.7,0.0,-0.003008,-0.024572
121.97,0.0,-0.00278,-0.024557
124.25,0.0,-0.00208,-0.023738
126.52,0.0,-0.001319,-0.023063
128.62,0.0,-0.000466,-0.02212
130.9,0.0,1.2e-05,-0.021538
133.17,0.0,0.001151,-0.020389
135.27,0.0,0.002088,-0.019779
137.55,0.0,0.003444,-0.018272
139.82,0.0,0.004941,-0.01672
141.92,0.0,0.006647,-0.015118
144.2,0.0,0.008077,-0.01391
146.47,0.0,0.009161,-0.012616
148.57,0.0,0.010215,-0.01176
150.85,0.0,0.01137,-0.01041
153.13,0.0,0.012901,-0.008741
155.4,0.0,0.014577,-0.007357
157.5,0.0,0.01576,-0.006162
159.78,0.0,0.016814,-0.005179
162.05,0.0,0.017775,-0.004052
165.03,0.0,0.0184,-0.003775
167.13,0.0,0.018431,-0.00359
169.4,0.0,0.01824,-0.003654
171.5,0.0,0.01841,-0.00363
173.78,0.0,0.017969,-0.00404
175.88,0.0,0.017328,-0.004631
178.15,0.0,0.016829,-0.005041
180.43,0.0,0.016598,-0.005491
182.7,0.0,0.016019,-0.005947
184.98,0.0,0.015646,-0.006239
187.08,0.0,0.015501,-0.006248
189.35,0.0,0.015766,-0.006239
191.63,0.0,0.016031,-0.005873
193.73,0.0,0.016336,-0.005521
196.0,0.0,0.016453,-0.005364
198.1,0.0,0.016296,-0.00542
200.38,0.0,0.015976,-0.005922
202.65,0.0,0.015375,-0.006649
204.75,0.0,0.014448,-0.007425
207.03,0.0,0.013098,-0.008747
209.3,0.0,0.011777,-0.010004
211.58,0.0,0.010791,-0.011137
213.68,0.0,0.009719,-0.011926
215.95,0.0,0.008933,-0.01282
218.05,0.0,0.008046,-0.013867
220.33,0.0,0.006761,-0.015149
222.6,0.0,0.005387,-0.016473
224.7,0.0,0.004688,-0.017142
226.98,0.0,0.004171,-0.01769
229.25,0.0,0.00401,-0.017709
231.35,0.0,0.004294,-0.017481
233.63,0.0,0.004919,-0.016815
235.9,0.0,0.005471,-0.016402
238.0,0.0,0.006167,-0.015657
240.28,0.0,0.007242,-0.014459
242.55,0.0,0.008311,-0.01342
244.83,0.0,0.009032,-0.012635
246.93,0.0,0.00963,-0.0122
249.2,0.0,0.00962,-0.012274
251.3,0.0,0.009851,-0.011917
253.58,0.0,0.009959,-0.011963
255.85,0.0,0.009679,-0.01241
258.13,0.0,0.00893,-0.013038
260.23,0.0,0.008789,-0.013017
262.5,0.0,0.008465,-0.013463
264.6,0.0,0.008906,-0.012964
266.88,0.0,0.009155,-0.012669
269.15,0.0,0.009266,-0.012521
271.25,0.0,0.009127,-0.012675
273.18,0.0,0.008453,-0.013223
275.8,0.0,0.007692,-0.014348
277.9,0.0,0.00645,-0.01533
280.18,0.0,0.004836,-0.016831
281.93,0.0,0.003308,-0.018534
284.55,0.0,0.001795,-0.019976
286.83,0.0,0.000927,-0.02066
289.1,0.0,0.000424,-0.021174
291.2,0.0,0.000529,-0.021014
293.48,0.0,0.001136,-0.020469
295.75,0.0,0.001823,-0.020022
297.85,0.0,0.002877,-0.018935
300.13,0.0,0.004208,-0.017434
302.23,0.0,0.005421,-0.016365
304.5,0.0,0.006216,-0.015454
306.78,0.0,0.006136,-0.015635
308.88,0.0,0.005899,-0.016011
311.15,0.0,0.005009,-0.016744
313.43,0.0,0.003958,-0.01778
315.53,0.0,0.002686,-0.018966
317.8,0.0,0.001721,-0.020145
319.9,0.0,0.000218,-0.021402
322.18,0.0,-0.000614,-0.022049
324.45,0.0,-0.001541,-0.023229
326.55,0.0,-0.002743,-0.024455
328.83,0.0,-0.003889,-0.025669
330.93,0.0,-0.004539,-0.026418
333.2,0.0,-0.0053,-0.026997
335.48,0.0,-0.005737,-0.027345
337.58,0.0,-0.005352,-0.027108
339.85,0.0,-0.004693,-0.026261
342.13,0.0,-0.003676,-0.025491
344.23,0.0,-0.002823,-0.024434
346.5,0.0,-0.001661,-0.023544
348.78,0.0,-0.001147,-0.023078
350.88,0.0,-0.000833,-0.022465
353.15,0.0,-0.000392,-0.022102
355.43,0.0,9.8e-05,-0.02163
357.53,0.0,0.000702,-0.021002
359.8,0.0,0.001595,-0.020155
362.08,0.0,0.001989,-0.019693
364.18,0.0,0.002307,-0.019308
366.45,0.0,0.002131,-0.019499
368.73,0.0,0.002359,-0.019304
370.83,0.0,0.002646,-0.018999
373.1,0.0,0.003018,-0.018802
375.38,0.0,0.003656,-0.018137
377.65,0.0,0.004633,-0.016985
379.75,0.0,0.005394,-0.016322
382.03,0.0,0.005859,-0.016039
384.13,0.0,0.005452,-0.016295
386.4,0.0,0.004759,-0.01688
388.68,0.0,0.004358,-0.017438
390.78,0.0,0.003986,-0.017971
393.05,0.0,0.003582,-0.018254
395.33,0.0,0.002732,-0.019086
397.6,0.0,0.002294,-0.019385
399.7,0.0,0.002387,-0.01936
401.98,0.0,0.002861,-0.019061
404.25,0.0,0.00348,-0.018229
406.53,0.0,0.004439,-0.017373
408.63,0.0,0.005896,-0.016048
410.9,0.0,0.007322,-0.014634
413.0,0.0,0.008111,-0.013818
415.28,0.0,0.00877,-0.0129
417.55,0.0,0.008958,-0.012841
419.83,0.0,0.009235,-0.012527
421.93,0.0,0.009463,-0.012299
424.2,0.0,0.010203,-0.011633
426.48,0.0,0.010529,-0.011341
428.58,0.0,0.010899,-0.011079
430.85,0.0,0.011265,-0.01046
433.13,0.0,0.011792,-0.01009
435.23,0.0,0.012365,-0.009579
437.5,0.0,0.012692,-0.009036
439.6,0.0,0.013437,-0.00846
441.7,0.0,0.013841,-0.007853
444.15,0.0,0.013724,-0.008048
446.25,0.0,0.013955,-0.007961
448.53,0.0,0.013425,-0.00846
450.63,0.0,0.01296,-0.008876
452.9,0.0,0.013493,-0.008306
455.18,0.0,0.01414,-0.007579
457.45,0.0,0.01524,-0.006587
459.55,0.0,0.015489,-0.006322
461.83,0.0,0.015964,-0.005833
464.1,0.0,0.016164,-0.005851
466.2,0.0,0.016481,-0.00534
468.48,0.0,0.016537,-0.005333
470.58,0.0,0.017014,-0.004841
472.85,0.0,0.017242,-0.004585
475.13,0.0,0.017667,-0.004231
477.23,0.0,0.017642,-0.004157
479.5,0.0,0.017658,-0.004388
481.78,0.0,0.017744,-0.004234
484.05,0.0,0.017282,-0.004739
486.15,0.0,0.016623,-0.005404
488.43,0.0,0.01585,-0.005956
490.7,0.0,0.01539,-0.006433
492.98,0.0,0.01539,-0.006544
495.08,0.0,0.015039,-0.007034
497.35,0.0,0.01536,-0.006566
499.45,0.0,0.015236,-0.00656
501.73,0.0,0.016191,-0.005617
503.83,0.0,0.016814,-0.005176
506.1,0.0,0.017322,-0.0046
508.38,0.0,0.017341,-0.004557
510.48,0.0,0.017602,-0.004354
512.75,0.0,0.017288,-0.004526
514.85,0.0,0.017294,-0.004702
516.95,0.0,0.016543,-0.005438
519.4,0.0,0.01613,-0.005774
521.5,0.0,0.015258,-0.006615
523.78,0.0,0.015477,-0.006406
526.05,0.0,0.015304,-0.006535
528.33,0.0,0.015418,-0.006461
530.43,0.0,0.015409,-0.006572
532.7,0.0,0.015751,-0.00615
534.98,0.0,0.015699,-0.006227
537.08,0.0,0.015779,-0.006024
539.35,0.0,0.015286,-0.00663
541.63,0.0,0.015455,-0.006406
543.73,0.0,0.015354,-0.006495
545.83,0.0,0.01531,-0.006406
548.1,0.0,0.015729,-0.006168
550.38,0.0,0.015702,-0.006227
552.65,0.0,0.015689,-0.006138
554.75,0.0,0.015209,-0.00676
557.03,0.0,0.015021,-0.006692
559.3,0.0,0.014497,-0.007425
561.4,0.0,0.014121,-0.007635
563.68,0.0,0.013527,-0.008242
565.95,0.0,0.012729,-0.009227
568.05,0.0,0.011817,-0.009948
570.33,0.0,0.011453,-0.010423
572.6,0.0,0.011376,-0.010451
574.88,0.0,0.011854,-0.010087
576.98,0.0,0.013034,-0.008796
579.25,0.0,0.01471,-0.007065
581.53,0.0,0.016758,-0.005102
583.63,0.0,0.019183,-0.0029
585.9,0.0,0.021423,-0.000537
588.18,0.0,0.022867,0.000757
590.45,0.0,0.023259,0.001324
