x,y,z,z2
4.38,0.0,-0.010457,-0.031738
6.65,0.0,-0.010481,-0.031874
8.93,0.0,-0.010472,-0.031707
11.03,0.0,-0.010894,-0.032225
13.3,0.0,-0.010925,-0.032268
15.58,0.0,-0.011307,-0.032527
17.85,0.0,-0.010937,-0.032077
19.95,0.0,-0.010121,-0.031335
22.23,0.0,-0.009397,-0.030595
24.5,0.0,-0.008787,-0.029982
26.78,0.0,-0.007564,-0.028993
28.88,0.0,-0.006165,-0.027736
31.15,0.0,-0.004508,-0.025974
33.43,0.0,-0.00273,-0.024086
35.53,0.0,-0.001153,-0.022693
37.8,0.0,9.2e-05,-0.021242
40.07,0.0,0.000754,-0.020709
42.35,0.0,0.001164,-0.02037
44.45,0.0,0.000427,-0.020974
46.72,0.0,-0.000654,-0.021957
49.0,0.0,-0.001273,-0.02253
51.1,0.0,-0.000922,-0.022336
53.37,0.0,0.00162,-0.019859
55.65,0.0,0.005175,-0.016104
57.75,0.0,0.009608,-0.011932
59.85,0.0,0.012532,-0.009061
62.12,0.0,0.013789,-0.007897
64.4,0.0,0.012661,-0.008753
66.5,0.0,0.010215,-0.011208
68.77,0.0,0.006441,-0.015118
71.05,0.0,0.0017,-0.019733
73.15,0.0,-0.003488,-0.025041
75.42,0.0,-0.00786,-0.02908
77.7,0.0,-0.010423,-0.031683
79.8,0.0,-0.012573,-0.033833
82.07,0.0,-0.014292,-0.035638
84.35,0.0,-0.01659,-0.037872
86.62,0.0,-0.019702,-0.040786
88.72,0.0,-0.023272,-0.044357
91.0,0.0,-0.027518,-0.048614
93.27,0.0,-0.032154,-0.05322
95.37,0.0,-0.0359,-0.057006
97.65,0.0,-0.039289,-0.060284
99.92,0.0,-0.04184,-0.062752
102.2,0.0,-0.04306,-0.064012
104.3,0.0,-0.042992,-0.063867
106.57,0.0,-0.041295,-0.062354
108.85,0.0,-0.038235,-0.059153
111.12,0.0,-0.034372,-0.055475
113.22,0.0,-0.029911,-0.05095
115.5,0.0,-0.025826,-0.046843
117.77,0.0,-0.022348,-0.043587
119.87,0.0,-0.020182,-0.041569
122.15,0.0,-0.018577,-0.039711
124.42,0.0,-0.017385,-0.038664
126.52,0.0,-0.016954,-0.038128
128.8,0.0,-0.016646,-0.037838
130.9,0.0,-0.016288,-0.037422
133.17,0.0,-0.015678,-0.036932
135.27,0.0,-0.014588,-0.035768
137.55,0.0,-0.013349,-0.034603
139.82,0.0,-0.012133,-0.033516
141.92,0.0,-0.011267,-0.032564
144.2,0.0,-0.010087,-0.031381
146.48,0.0,-0.008975,-0.030216
148.58,0.0,-0.007786,-0.029141
150.85,0.0,-0.005866,-0.027216
153.13,0.0,-0.003738,-0.025223
155.23,0.0,-0.001002,-0.02241
157.5,0.0,0.001734,-0.019677
159.6,0.0,0.004171,-0.017247
161.88,0.0,0.005853,-0.01558
164.15,0.0,0.007119,-0.01428
166.25,0.0,0.008049,-0.013423
168.53,0.0,0.008502,-0.013066
170.8,0.0,0.008345,-0.013174
173.08,0.0,0.008003,-0.013611
175.35,0.0,0.007183,-0.014292
177.63,0.0,0.006364,-0.015253
179.73,0.0,0.005418,-0.016119
182.0,0.0,0.004574,-0.016815
184.28,0.0,0.004251,-0.017225
186.38,0.0,0.003397,-0.018014
188.65,0.0,0.002544,-0.018907
190.93,0.0,0.001216,-0.02021
193.2,0.0,-8.7e-05,-0.021461
195.3,0.0,-0.00127,-0.022598
197.58,0.0,-0.002576,-0.023972
199.85,0.0,-0.004197,-0.025558
201.95,0.0,-0.006039,-0.027397
204.23,0.0,-0.008041,-0.029317
206.5,0.0,-0.009847,-0.031181
208.6,0.0,-0.012284,-0.033528
210.88,0.0,-0.014474,-0.035851
213.15,0.0,-0.017099,-0.038365
215.43,0.0,-0.019526,-0.040823
217.53,0.0,-0.021298,-0.042462
219.8,0.0,-0.022046,-0.043389
221.9,0.0,-0.022185,-0.043192
224.18,0.0,-0.021732,-0.042832
226.45,0.0,-0.021328,-0.042478
228.55,0.0,-0.022108,-0.043131
230.83,0.0,-0.02452,-0.045648
233.1,0.0,-0.028248,-0.049425
235.2,0.0,-0.033161,-0.054107
237.48,0.0,-0.037875,-0.059055
239.75,0.0,-0.043029,-0.064018
241.85,0.0,-0.047533,-0.06842
244.13,0.0,-0.051458,-0.072173
246.4,0.0,-0.055038,-0.075669
248.5,0.0,-0.057471,-0.078032
250.95,0.0,-0.05782,-0.078624
253.05,0.0,-0.056578,-0.077354
255.33,0.0,-0.053275,-0.074027
257.6,0.0,-0.048688,-0.069588
259.7,0.0,-0.043898,-0.064831
261.98,0.0,-0.038787,-0.059853
264.25,0.0,-0.034748,-0.055876
266.35,0.0,-0.032117,-0.052967
268.63,0.0,-0.030201,-0.051236
270.73,0.0,-0.028808,-0.04981
273.0,0.0,-0.027573,-0.04854
275.28,0.0,-0.026205,-0.04737
277.38,0.0,-0.025158,-0.046439
279.65,0.0,-0.024345,-0.045697
281.93,0.0,-0.023694,-0.044699
284.2,0.0,-0.023679,-0.04469
286.48,0.0,-0.023771,-0.045035
288.75,0.0,-0.02448,-0.045645
291.03,0.0,-0.024844,-0.045715
293.13,0.0,-0.024511,-0.045774
295.4,0.0,-0.023993,-0.045238
297.68,0.0,-0.024018,-0.04509
299.95,0.0,-0.026322,-0.047444
302.05,0.0,-0.030407,-0.051473
304.33,0.0,-0.03529,-0.056433
306.43,0.0,-0.04103,-0.06184
308.7,0.0,-0.046042,-0.066908
310.98,0.0,-0.05009,-0.07115
313.25,0.0,-0.053805,-0.074585
315.35,0.0,-0.056461,-0.077209
317.63,0.0,-0.058411,-0.079243
319.9,0.0,-0.060167,-0.08078
322.0,0.0,-0.062176,-0.082918
324.28,0.0,-0.063805,-0.084323
326.55,0.0,-0.064911,-0.08542
328.65,0.0,-0.065795,-0.086082
330.93,0.0,-0.066372,-0.086871
333.03,0.0,-0.067428,-0.08785
335.3,0.0,-0.068445,-0.088953
337.58,0.0,-0.06993,-0.090333
339.68,0.0,-0.071116,-0.091858
341.95,0.0,-0.072499,-0.092924
344.23,0.0,-0.073051,-0.093568
346.5,0.0,-0.073485,-0.094027
348.78,0.0,-0.072792,-0.093337
350.88,0.0,-0.072086,-0.092518
353.15,0.0,-0.070152,-0.090712
355.25,0.0,-0.067992,-0.088469
357.53,0.0,-0.065635,-0.086313
359.8,0.0,-0.063531,-0.084338
362.08,0.0,-0.061532,-0.082166
364.35,0.0,-0.060164,-0.080848
366.45,0.0,-0.058885,-0.079742
368.73,0.0,-0.058214,-0.078913
371.0,0.0,-0.058014,-0.078525
373.28,0.0,-0.058282,-0.078996
375.55,0.0,-0.058907,-0.079418
377.83,0.0,-0.058694,-0.079461
379.93,0.0,-0.058377,-0.079024
382.2,0.0,-0.057961,-0.078587
384.48,0.0,-0.057099,-0.077798
386.75,0.0,-0.056396,-0.077031
388.85,0.0,-0.056193,-0.076791
391.13,0.0,-0.05598,-0.076581
393.4,0.0,-0.055962,-0.076766
395.5,0.0,-0.056362,-0.077074
397.78,0.0,-0.056449,-0.077176
400.05,0.0,-0.056332,-0.077191
402.15,0.0,-0.056714,-0.077508
404.43,0.0,-0.058029,-0.078725
406.7,0.0,-0.059868,-0.080635
408.8,0.0,-0.061489,-0.082253
411.08,0.0,-0.063069,-0.083667
413.35,0.0,-0.064132,-0.084828
415.45,0.0,-0.065299,-0.085919
417.73,0.0,-0.065685,-0.086356
420.0,0.0,-0.06619,-0.086754
422.1,0.0,-0.066381,-0.086963
424.38,0.0,-0.066852,-0.087176
426.48,0.0,-0.066901,-0.08736
428.75,0.0,-0.066809,-0.087213
431.03,0.0,-0.065943,-0.086526
433.13,0.0,-0.064317,-0.084979
435.4,0.0,-0.062419,-0.083078
437.68,0.0,-0.060031,-0.080768
439.95,0.0,-0.057401,-0.078306
442.05,0.0,-0.054566,-0.07545
444.15,0.0,-0.051646,-0.072311
446.43,0.0,-0.048128,-0.069116
448.7,0.0,-0.04497,-0.065848
450.8,0.0,-0.041276,-0.061997
453.08,0.0,-0.037428,-0.05859
455.53,0.0,-0.034391,-0.055472
457.63,0.0,-0.031427,-0.052604
459.9,0.0,-0.028565,-0.049659
462.18,0.0,-0.025796,-0.046945
464.45,0.0,-0.023192,-0.044505
466.73,0.0,-0.021979,-0.043192
469.0,0.0,-0.020946,-0.041988
471.28,0.0,-0.020463,-0.041553
473.73,0.0,-0.019813,-0.041023
475.83,0.0,-0.019036,-0.040099
478.1,0.0,-0.017847,-0.039073
480.38,0.0,-0.017123,-0.038248
482.48,0.0,-0.015866,-0.037299
484.75,0.0,-0.014985,-0.03619
487.03,0.0,-0.01428,-0.035531
489.3,0.0,-0.013867,-0.035096
491.4,0.0,-0.013688,-0.034942
493.68,0.0,-0.014055,-0.035367
495.95,0.0,-0.014452,-0.035811
