x,y,z,z2
4.37,0.0,-0.016828,-0.038198
6.65,0.0,-0.017342,-0.038861
8.93,0.0,-0.017348,-0.038584
11.03,0.0,-0.016538,-0.037853
13.3,0.0,-0.016125,-0.037622
15.58,0.0,-0.015916,-0.037385
17.68,0.0,-0.015629,-0.03688
19.95,0.0,-0.015614,-0.036954
22.23,0.0,-0.016298,-0.037425
24.33,0.0,-0.016258,-0.037644
26.6,0.0,-0.016597,-0.038007
28.88,0.0,-0.016957,-0.038371
31.15,0.0,-0.017382,-0.038698
33.43,0.0,-0.017265,-0.03851
35.53,0.0,-0.017595,-0.038892
37.8,0.0,-0.017354,-0.038682
40.07,0.0,-0.017166,-0.038436
42.17,0.0,-0.016732,-0.038032
44.45,0.0,-0.016384,-0.037659
46.72,0.0,-0.015558,-0.037019
49.0,0.0,-0.01473,-0.036307
51.1,0.0,-0.014557,-0.035851
53.37,0.0,-0.014049,-0.035586
55.47,0.0,-0.013981,-0.035392
57.75,0.0,-0.013735,-0.035068
60.02,0.0,-0.013885,-0.035324
62.12,0.0,-0.013858,-0.035367
64.57,0.0,-0.014246,-0.035802
66.85,0.0,-0.014289,-0.035657
69.12,0.0,-0.013319,-0.034495
71.22,0.0,-0.011464,-0.032764
73.5,0.0,-0.009643,-0.03094
75.77,0.0,-0.007863,-0.029194
78.05,0.0,-0.006332,-0.027724
80.32,0.0,-0.005546,-0.026988
82.42,0.0,-0.00578,-0.027373
84.7,0.0,-0.006877,-0.028152
86.97,0.0,-0.00846,-0.029813
89.07,0.0,-0.010201,-0.031479
91.35,0.0,-0.012108,-0.033553
93.62,0.0,-0.01363,-0.035084
95.9,0.0,-0.015423,-0.03668
98.0,0.0,-0.016661,-0.037974
100.27,0.0,-0.017878,-0.039267
102.55,0.0,-0.018815,-0.040031
104.65,0.0,-0.019215,-0.040518
106.92,0.0,-0.01907,-0.040346
109.02,0.0,-0.017739,-0.03895
111.3,0.0,-0.015574,-0.037009
113.57,0.0,-0.012213,-0.033639
115.85,0.0,-0.007952,-0.029354
117.95,0.0,-0.003713,-0.02525
120.22,0.0,-0.0009,-0.022376
122.5,0.0,0.001081,-0.020346
124.77,0.0,0.001034,-0.020269
127.05,0.0,-0.000916,-0.022348
129.5,0.0,-0.003605,-0.025173
131.77,0.0,-0.006449,-0.027857
134.05,0.0,-0.008941,-0.030226
136.15,0.0,-0.010869,-0.032185
138.42,0.0,-0.011954,-0.033275
140.7,0.0,-0.011883,-0.033497
142.8,0.0,-0.01172,-0.032915
145.07,0.0,-0.010993,-0.032434
147.35,0.0,-0.010315,-0.031714
149.45,0.0,-0.00912,-0.030417
151.73,0.0,-0.008596,-0.029914
154.0,0.0,-0.007857,-0.029326
156.1,0.0,-0.00725,-0.028605
158.38,0.0,-0.006396,-0.02793
160.65,0.0,-0.005993,-0.027453
162.75,0.0,-0.00607,-0.027447
165.03,0.0,-0.006233,-0.0279
167.3,0.0,-0.006797,-0.028334
169.4,0.0,-0.00696,-0.028118
171.68,0.0,-0.006781,-0.028229
173.95,0.0,-0.006766,-0.028128
176.05,0.0,-0.007265,-0.028725
178.33,0.0,-0.008266,-0.029828
180.6,0.0,-0.009502,-0.031125
182.7,0.0,-0.011359,-0.032684
184.98,0.0,-0.012887,-0.0344
187.25,0.0,-0.013411,-0.034754
189.35,0.0,-0.014271,-0.035614
191.63,0.0,-0.014274,-0.035817
193.9,0.0,-0.014727,-0.036245
196.0,0.0,-0.01468,-0.035857
198.28,0.0,-0.014178,-0.035808
200.55,0.0,-0.013661,-0.035198
202.65,0.0,-0.013279,-0.034532
204.93,0.0,-0.01253,-0.033778
207.2,0.0,-0.011812,-0.033165
209.3,0.0,-0.01123,-0.032511
211.58,0.0,-0.010888,-0.032243
213.85,0.0,-0.010361,-0.031655
216.13,0.0,-0.010873,-0.032237
218.4,0.0,-0.01151,-0.032955
220.5,0.0,-0.012841,-0.034181
222.95,0.0,-0.01416,-0.035586
225.23,0.0,-0.01545,-0.036849
227.33,0.0,-0.016563,-0.037998
229.6,0.0,-0.017875,-0.039215
231.7,0.0,-0.019428,-0.040589
233.98,0.0,-0.020429,-0.041692
236.25,0.0,-0.021196,-0.042336
238.35,0.0,-0.021211,-0.04253
240.63,0.0,-0.020287,-0.041821
242.9,0.0,-0.018208,-0.039468
245.0,0.0,-0.015691,-0.036929
247.28,0.0,-0.01233,-0.033516
249.38,0.0,-0.008941,-0.030022
251.65,0.0,-0.00619,-0.027733
253.93,0.0,-0.004394,-0.025836
256.03,0.0,-0.003568,-0.025118
258.3,0.0,-0.003494,-0.024939
260.58,0.0,-0.004311,-0.025879
262.85,0.0,-0.006184,-0.027795
264.95,0.0,-0.00903,-0.030377
267.23,0.0,-0.012462,-0.033935
269.5,0.0,-0.015977,-0.03721
271.78,0.0,-0.018522,-0.039816
273.88,0.0,-0.021778,-0.042964
276.15,0.0,-0.024659,-0.045962
278.43,0.0,-0.027903,-0.049116
280.7,0.0,-0.030139,-0.05102
282.8,0.0,-0.031861,-0.052841
285.08,0.0,-0.032625,-0.05371
287.35,0.0,-0.033565,-0.054612
289.45,0.0,-0.033922,-0.054902
291.73,0.0,-0.034104,-0.055192
294.0,0.0,-0.034563,-0.055546
296.1,0.0,-0.034844,-0.055937
298.38,0.0,-0.035823,-0.056969
300.65,0.0,-0.037308,-0.058362
302.75,0.0,-0.038944,-0.060112
305.03,0.0,-0.040737,-0.061954
307.3,0.0,-0.042909,-0.063966
309.58,0.0,-0.044825,-0.065851
311.85,0.0,-0.046116,-0.067099
313.95,0.0,-0.047203,-0.068254
316.23,0.0,-0.048146,-0.069055
318.5,0.0,-0.048882,-0.06985
320.6,0.0,-0.049751,-0.07099
322.88,0.0,-0.050438,-0.071279
325.15,0.0,-0.050681,-0.071492
327.25,0.0,-0.050645,-0.071732
329.53,0.0,-0.050589,-0.071526
331.8,0.0,-0.050355,-0.071258
334.08,0.0,-0.049945,-0.070986
336.18,0.0,-0.049163,-0.070099
338.45,0.0,-0.048503,-0.069548
340.73,0.0,-0.04761,-0.068617
342.83,0.0,-0.047019,-0.068134
345.1,0.0,-0.046646,-0.067561
347.2,0.0,-0.046171,-0.067222
349.48,0.0,-0.046255,-0.06728
351.75,0.0,-0.046227,-0.06716
353.85,0.0,-0.045814,-0.066963
356.13,0.0,-0.045561,-0.066661
358.23,0.0,-0.044474,-0.065564
360.5,0.0,-0.042533,-0.063506
362.6,0.0,-0.0405,-0.061375
364.88,0.0,-0.037838,-0.058925
367.15,0.0,-0.035127,-0.056353
369.43,0.0,-0.032958,-0.053781
371.53,0.0,-0.031372,-0.052404
373.8,0.0,-0.029973,-0.051014
376.08,0.0,-0.028935,-0.050189
