x,y,z,z2
4.55,0.0,-0.015672,-0.037083
6.82,0.0,-0.016211,-0.037573
9.1,0.0,-0.017287,-0.03855
11.2,0.0,-0.018044,-0.039366
13.48,0.0,-0.018448,-0.039665
15.58,0.0,-0.018802,-0.040102
18.03,0.0,-0.018812,-0.040075
20.3,0.0,-0.018026,-0.039354
22.4,0.0,-0.01651,-0.037764
24.68,0.0,-0.014422,-0.035771
26.78,0.0,-0.012237,-0.0335
29.05,0.0,-0.010059,-0.031319
31.33,0.0,-0.008155,-0.029603
33.6,0.0,-0.005959,-0.027361
35.7,0.0,-0.004505,-0.026011
37.97,0.0,-0.00416,-0.025608
40.6,0.0,-0.004643,-0.02619
42.87,0.0,-0.005854,-0.027225
44.97,0.0,-0.007755,-0.029187
47.25,0.0,-0.009696,-0.031042
49.87,0.0,-0.012302,-0.033719
52.15,0.0,-0.014169,-0.035515
54.42,0.0,-0.015765,-0.037056
56.52,0.0,-0.016633,-0.037992
58.97,0.0,-0.017699,-0.039076
61.25,0.0,-0.018029,-0.039378
63.52,0.0,-0.018405,-0.039628
65.8,0.0,-0.018799,-0.040176
68.07,0.0,-0.019588,-0.040956
70.35,0.0,-0.02025,-0.041433
72.62,0.0,-0.02106,-0.04224
74.9,0.0,-0.021581,-0.04281
77.35,0.0,-0.02159,-0.042853
79.62,0.0,-0.020808,-0.041975
81.9,0.0,-0.019295,-0.040626
84.0,0.0,-0.016726,-0.038084
86.62,0.0,-0.013223,-0.034585
88.9,0.0,-0.010435,-0.031794
91.17,0.0,-0.008707,-0.030139
93.27,0.0,-0.006744,-0.028205
95.72,0.0,-0.004936,-0.026421
98.0,0.0,-0.003701,-0.025232
100.27,0.0,-0.00298,-0.024474
102.55,0.0,-0.002622,-0.02404
104.82,0.0,-0.003624,-0.025013
107.1,0.0,-0.005115,-0.026504
109.2,0.0,-0.007305,-0.028648
111.47,0.0,-0.009113,-0.030503
114.1,0.0,-0.01143,-0.032893
116.37,0.0,-0.012595,-0.033999
118.47,0.0,-0.013426,-0.034726
120.75,0.0,-0.014126,-0.035475
123.02,0.0,-0.014924,-0.036298
125.3,0.0,-0.015765,-0.037003
127.57,0.0,-0.016821,-0.038134
129.85,0.0,-0.017601,-0.038867
131.95,0.0,-0.018078,-0.039381
134.22,0.0,-0.018356,-0.039665
136.5,0.0,-0.018331,-0.039643
138.6,0.0,-0.018491,-0.039702
140.87,0.0,-0.018423,-0.039754
