x,y,z,z2
4.55,0.0,0.015923,-0.005349
6.82,0.0,0.014315,-0.006686
8.92,0.0,0.011469,-0.009548
11.2,0.0,0.006398,-0.014187
13.48,0.0,0.000508,-0.020417
15.75,0.0,-0.006144,-0.026948
17.85,0.0,-0.013581,-0.033651
20.13,0.0,-0.021202,-0.041633
22.23,0.0,-0.028198,-0.048661
24.5,0.0,-0.035241,-0.055648
26.78,0.0,-0.042019,-0.062083
28.88,0.0,-0.04818,-0.06871
31.15,0.0,-0.05542,-0.075718
33.43,0.0,-0.063266,-0.083266
35.53,0.0,-0.07212,-0.092394
37.8,0.0,-0.083787,-0.103762
40.07,0.0,-0.098596,-0.118109
42.17,0.0,-0.11619,-0.135829
44.62,0.0,-0.139696,-0.159058
46.72,0.0,-0.167437,-0.186411
49.0,0.0,-0.200712,-0.219166
51.1,0.0,-0.23899,-0.257443
53.37,0.0,-0.286596,-0.304252
55.65,0.0,-0.340284,-0.357693
57.75,0.0,-0.405894,-0.422616
60.02,0.0,-0.484905,-0.500684
62.3,0.0,-0.572341,-0.587206
64.4,0.0,-0.656223,-0.67109
66.67,0.0,-0.717973,-0.731478
68.95,0.0,-0.749608,-0.763034
71.22,0.0,-0.747711,-0.761216
73.32,0.0,-0.716589,-0.730582
75.6,0.0,-0.664365,-0.679313
77.7,0.0,-0.599556,-0.614584
79.97,0.0,-0.527052,-0.543164
82.25,0.0,-0.454245,-0.470866
84.35,0.0,-0.386645,-0.403894
86.62,0.0,-0.321359,-0.339205
88.9,0.0,-0.264227,-0.282228
91.35,0.0,-0.205641,-0.224606
93.62,0.0,-0.161981,-0.181522
95.72,0.0,-0.122314,-0.142185
98.0,0.0,-0.086732,-0.107065
100.1,0.0,-0.053827,-0.074212
102.37,0.0,-0.025155,-0.045426
104.65,0.0,0.00231,-0.018658
106.75,0.0,0.028215,0.007448
109.02,0.0,0.053194,0.031909
111.3,0.0,0.077735,0.056228
113.57,0.0,0.102156,0.080455
115.67,0.0,0.126398,0.104694
117.95,0.0,0.150406,0.128308
120.22,0.0,0.173456,0.151336
122.32,0.0,0.197824,0.175769
124.6,0.0,0.224183,0.201342
126.87,0.0,0.249142,0.22637
128.97,0.0,0.273495,0.24998
131.25,0.0,0.296881,0.273871
133.35,0.0,0.319534,0.295957
135.62,0.0,0.33812,0.314312
137.9,0.0,0.352257,0.328243
140.0,0.0,0.360948,0.336669
142.28,0.0,0.363588,0.34007
144.55,0.0,0.358009,0.334204
146.65,0.0,0.342087,0.318714
148.93,0.0,0.31206,0.288594
151.2,0.0,0.257719,0.235085
153.3,0.0,0.176056,0.15413
155.58,0.0,0.078024,0.056727
157.85,0.0,-0.021717,-0.042139
159.95,0.0,-0.106624,-0.125903
162.23,0.0,-0.174779,-0.193565
164.33,0.0,-0.226618,-0.244581
166.78,0.0,-0.267446,-0.285543
