x,y,z,z2
4.37,0.0,-0.027259,-0.04855
6.65,0.0,-0.028932,-0.049733
8.93,0.0,-0.03172,-0.05282
11.38,0.0,-0.036288,-0.057037
13.48,0.0,-0.041501,-0.062582
15.75,0.0,-0.048134,-0.069326
17.85,0.0,-0.057213,-0.078217
20.13,0.0,-0.069181,-0.089782
22.4,0.0,-0.085626,-0.106165
24.68,0.0,-0.10797,-0.128137
26.78,0.0,-0.138331,-0.15801
29.05,0.0,-0.179277,-0.198294
31.33,0.0,-0.230712,-0.248827
33.43,0.0,-0.296223,-0.314036
35.7,0.0,-0.378029,-0.394504
37.98,0.0,-0.465629,-0.480561
40.07,0.0,-0.541485,-0.55573
42.35,0.0,-0.59239,-0.6061
44.62,0.0,-0.609726,-0.623228
46.72,0.0,-0.596411,-0.609766
49.0,0.0,-0.556432,-0.57057
51.27,0.0,-0.499156,-0.513977
53.37,0.0,-0.430749,-0.446568
55.65,0.0,-0.356765,-0.373457
63.52,0.0,-0.115318,-0.135124
65.8,0.0,-0.060635,-0.081134
67.9,0.0,-0.014631,-0.035783
70.17,0.0,0.024941,0.003283
72.45,0.0,0.058443,0.036364
74.55,0.0,0.086801,0.064457
76.82,0.0,0.114204,0.091154
79.1,0.0,0.138166,0.114759
81.37,0.0,0.160175,0.13666
83.65,0.0,0.18141,0.157824
85.75,0.0,0.203277,0.17918
88.02,0.0,0.226256,0.201595
90.3,0.0,0.24934,0.2249
92.4,0.0,0.273727,0.248653
94.67,0.0,0.299909,0.274839
96.77,0.0,0.327399,0.301829
99.05,0.0,0.355168,0.329035
101.32,0.0,0.382513,0.356222
103.42,0.0,0.409943,0.383578
105.7,0.0,0.436126,0.40933
107.97,0.0,0.459154,0.432032
110.07,0.0,0.478628,0.451154
112.35,0.0,0.493705,0.466336
114.62,0.0,0.501687,0.474062
116.72,0.0,0.500439,0.472731
119.0,0.0,0.486363,0.458831
121.27,0.0,0.453603,0.426259
123.55,0.0,0.383326,0.357349
125.82,0.0,0.292048,0.267263
128.1,0.0,0.192615,0.169087
130.37,0.0,0.102396,0.07966
132.12,0.0,0.030347,0.008493
134.75,0.0,-0.02509,-0.046184
137.02,0.0,-0.065928,-0.085983
139.12,0.0,-0.096624,-0.116797
141.4,0.0,-0.120034,-0.139575
143.68,0.0,-0.138956,-0.158605
145.78,0.0,-0.156224,-0.175435
148.05,0.0,-0.171177,-0.190028
150.33,0.0,-0.183904,-0.202906
152.43,0.0,-0.194116,-0.212804
154.7,0.0,-0.200761,-0.219711
156.98,0.0,-0.2037,-0.222782
159.08,0.0,-0.20155,-0.220697
161.35,0.0,-0.194652,-0.21367
163.63,0.0,-0.181411,-0.200062
165.73,0.0,-0.162921,-0.18232
168.0,0.0,-0.140025,-0.159511
170.28,0.0,-0.114388,-0.134113
172.55,0.0,-0.085869,-0.106338
174.65,0.0,-0.05501,-0.07598
176.93,0.0,-0.024341,-0.04533
179.03,0.0,0.006638,-0.014492
181.3,0.0,0.037048,0.014987
183.58,0.0,0.065597,0.042966
185.85,0.0,0.092032,0.069475
188.13,0.0,0.117578,0.094737
190.4,0.0,0.141207,0.117713
192.5,0.0,0.161472,0.138314
194.78,0.0,0.180652,0.156968
196.88,0.0,0.198261,0.174639
199.15,0.0,0.21478,0.190492
201.43,0.0,0.229096,0.204944
203.53,0.0,0.241789,0.217288
205.8,0.0,0.25238,0.228015
208.08,0.0,0.262867,0.238394
210.35,0.0,0.271789,0.247199
212.45,0.0,0.280288,0.255193
214.73,0.0,0.288489,0.263502
217.35,0.0,0.297282,0.272282
219.45,0.0,0.302694,0.277319
221.73,0.0,0.305341,0.280248
224.0,0.0,0.306126,0.28112
226.28,0.0,0.305963,0.280335
228.55,0.0,0.305094,0.279682
230.65,0.0,0.304986,0.279697
232.93,0.0,0.305898,0.280754
235.03,0.0,0.307414,0.282306
237.3,0.0,0.308649,0.283212
239.58,0.0,0.309836,0.284876
241.68,0.0,0.311225,0.285563
243.95,0.0,0.313215,0.287728
246.05,0.0,0.31596,0.290174
248.33,0.0,0.318723,0.293083
250.6,0.0,0.321126,0.295553
252.88,0.0,0.322716,0.297565
254.98,0.0,0.323252,0.297784
257.25,0.0,0.323754,0.298674
259.35,0.0,0.324118,0.298696
261.63,0.0,0.324743,0.299491
263.9,0.0,0.325405,0.299737
266.0,0.0,0.326558,0.301447
268.28,0.0,0.329931,0.304167
270.55,0.0,0.334004,0.308551
272.83,0.0,0.339099,0.31384
274.93,0.0,0.345328,0.319466
282.8,0.0,0.374697,0.34815
285.08,0.0,0.384943,0.358791
287.18,0.0,0.395359,0.369299
289.63,0.0,0.407414,0.381182
292.08,0.0,0.418927,0.391918
294.18,0.0,0.428699,0.402238
296.45,0.0,0.438008,0.411524
298.73,0.0,0.447556,0.420452
301.0,0.0,0.455726,0.428391
303.28,0.0,0.461567,0.434139
305.38,0.0,0.464004,0.436693
307.65,0.0,0.462876,0.435319
309.93,0.0,0.45746,0.430374
312.03,0.0,0.449068,0.422124
314.3,0.0,0.436739,0.410017
316.58,0.0,0.421065,0.394783
318.68,0.0,0.402087,0.375368
320.95,0.0,0.3784,0.352047
323.23,0.0,0.353092,0.327454
325.5,0.0,0.324481,0.299253
327.6,0.0,0.29429,0.269182
329.88,0.0,0.263708,0.238918
332.15,0.0,0.232941,0.208585
334.43,0.0,0.202316,0.178231
336.53,0.0,0.173308,0.149746
338.8,0.0,0.145058,0.121786
341.08,0.0,0.119864,0.096718
343.18,0.0,0.096647,0.074226
345.45,0.0,0.078376,0.055957
347.55,0.0,0.063289,0.04149
349.83,0.0,0.052414,0.030739
352.1,0.0,0.045483,0.023665
354.38,0.0,0.042073,0.019999
356.48,0.0,0.041814,0.019728
358.75,0.0,0.044873,0.023
361.03,0.0,0.050692,0.028499
363.13,0.0,0.059066,0.036838
365.4,0.0,0.068539,0.045957
367.68,0.0,0.079368,0.05698
369.95,0.0,0.090945,0.06849
372.05,0.0,0.102747,0.080495
374.33,0.0,0.115409,0.092861
376.6,0.0,0.128419,0.105606
378.88,0.0,0.142328,0.119053
380.98,0.0,0.155569,0.13202
383.25,0.0,0.168154,0.145036
385.53,0.0,0.181222,0.157565
387.63,0.0,0.194398,0.170421
389.9,0.0,0.206736,0.182562
392.18,0.0,0.217852,0.193397
394.28,0.0,0.226096,0.202115
396.55,0.0,0.232368,0.207775
398.65,0.0,0.235766,0.211425
400.93,0.0,0.237916,0.2134
403.2,0.0,0.237978,0.213283
405.3,0.0,0.237319,0.21287
407.58,0.0,0.236308,0.211666
409.68,0.0,0.236043,0.211758
411.95,0.0,0.236558,0.211903
414.05,0.0,0.237368,0.212688
416.33,0.0,0.239186,0.214808
418.6,0.0,0.241663,0.217229
420.7,0.0,0.243816,0.219275
422.98,0.0,0.245812,0.221456
425.25,0.0,0.24828,0.223656
427.53,0.0,0.250261,0.225526
429.63,0.0,0.252574,0.228024
431.9,0.0,0.255661,0.231373
434.18,0.0,0.259306,0.234617
436.45,0.0,0.263052,0.238012
438.55,0.0,0.266471,0.241515
440.83,0.0,0.269638,0.244577
443.1,0.0,0.272768,0.248009
445.38,0.0,0.275168,0.250643
447.48,0.0,0.277827,0.252873
449.75,0.0,0.280362,0.255199
452.03,0.0,0.283455,0.258449
454.13,0.0,0.287399,0.262593
456.4,0.0,0.292694,0.267467
458.5,0.0,0.298499,0.273674
460.78,0.0,0.306456,0.281219
463.05,0.0,0.31547,0.290242
465.33,0.0,0.327017,0.301527
467.43,0.0,0.339244,0.313157
469.7,0.0,0.351998,0.326099
471.8,0.0,0.364771,0.338357
474.08,0.0,0.377275,0.350831
476.35,0.0,0.389604,0.363418
478.45,0.0,0.40238,0.375526
480.73,0.0,0.413899,0.387411
483.0,0.0,0.424641,0.397922
485.28,0.0,0.434755,0.408045
487.38,0.0,0.443856,0.416635
489.65,0.0,0.451588,0.424666
491.75,0.0,0.45762,0.430467
494.03,0.0,0.460187,0.432722
501.55,0.0,0.434392,0.406887
503.83,0.0,0.416715,0.389647
505.93,0.0,0.394423,0.367984
508.2,0.0,0.368129,0.342328
510.48,0.0,0.341074,0.315402
512.75,0.0,0.311773,0.286253
514.85,0.0,0.280775,0.255704
517.13,0.0,0.249845,0.225655
519.4,0.0,0.216515,0.192094
521.68,0.0,0.185051,0.161687
523.95,0.0,0.155723,0.132648
526.23,0.0,0.129146,0.105735
528.33,0.0,0.105584,0.082824
530.6,0.0,0.086336,0.06389
532.88,0.0,0.073647,0.051056
534.98,0.0,0.065557,0.043163
537.25,0.0,0.061567,0.039248
539.53,0.0,0.05995,0.038003
541.63,0.0,0.060113,0.038209
543.9,0.0,0.062257,0.040193
546.18,0.0,0.065338,0.043326
548.28,0.0,0.070606,0.048086
550.55,0.0,0.077183,0.054898
552.83,0.0,0.085005,0.062205
555.1,0.0,0.094395,0.071786
557.2,0.0,0.105113,0.082045
559.48,0.0,0.116749,0.093585
561.75,0.0,0.128696,0.105766
564.03,0.0,0.141216,0.117886
566.13,0.0,0.153098,0.129401
568.4,0.0,0.16438,0.141216
570.68,0.0,0.17535,0.151632
572.95,0.0,0.185803,0.162214
575.05,0.0,0.194614,0.171
577.32,0.0,0.203095,0.17929
579.42,0.0,0.209466,0.185717
581.7,0.0,0.21409,0.19003
583.97,0.0,0.217578,0.193391
586.25,0.0,0.22023,0.195849
588.35,0.0,0.222633,0.198665
590.62,0.0,0.225279,0.200846
592.9,0.0,0.228455,0.204087
595.0,0.0,0.231986,0.207547
597.27,0.0,0.235033,0.210723
599.55,0.0,0.237978,0.213603
601.65,0.0,0.240113,0.215831
603.92,0.0,0.242765,0.218141
606.2,0.0,0.244663,0.219984
608.3,0.0,0.246234,0.221718
610.57,0.0,0.247701,0.222981
612.85,0.0,0.248345,0.223933
615.12,0.0,0.249543,0.224937
617.22,0.0,0.250729,0.225899
619.5,0.0,0.252969,0.228665
621.6,0.0,0.256564,0.232177
623.87,0.0,0.261755,0.236943
626.15,0.0,0.267158,0.24218
628.42,0.0,0.272254,0.247122
630.52,0.0,0.277171,0.252445
632.8,0.0,0.281548,0.256681
635.07,0.0,0.286659,0.261853
637.17,0.0,0.29271,0.267331
639.45,0.0,0.29832,0.272889
641.72,0.0,0.303551,0.278412
644.0,0.0,0.307577,0.282701
646.1,0.0,0.310181,0.284971
648.37,0.0,0.3112,0.285516
650.65,0.0,0.310966,0.285966
652.57,0.0,0.310261,0.284817
655.02,0.0,0.308819,0.283837
657.3,0.0,0.307839,0.282316
659.57,0.0,0.306416,0.281234
661.67,0.0,0.306379,0.281025
663.95,0.0,0.306345,0.280732
666.05,0.0,0.307198,0.281595
668.32,0.0,0.30909,0.283856
670.6,0.0,0.311314,0.285861
672.7,0.0,0.313311,0.288351
674.97,0.0,0.315156,0.289839
677.07,0.0,0.315387,0.28978
679.35,0.0,0.314534,0.289361
681.45,0.0,0.313428,0.287929
683.72,0.0,0.312802,0.287356
686.0,0.0,0.312158,0.286385
688.1,0.0,0.310778,0.285529
690.37,0.0,0.308076,0.282476
692.65,0.0,0.303526,0.278154
694.92,0.0,0.297904,0.272845
697.2,0.0,0.292235,0.26746
699.3,0.0,0.285735,0.26084
701.57,0.0,0.280335,0.25564
703.67,0.0,0.27592,0.251225
705.95,0.0,0.272488,0.247581
708.22,0.0,0.269749,0.244965
710.32,0.0,0.268197,0.243323
11.03,35.0,-0.118845,-0.139024
13.13,35.0,-0.118044,-0.137807
15.4,35.0,-0.118473,-0.138143
17.5,35.0,-0.119058,-0.138728
19.78,35.0,-0.120081,-0.139625
22.05,35.0,-0.121039,-0.14046
24.15,35.0,-0.122927,-0.142875
26.43,35.0,-0.127074,-0.146541
28.7,35.0,-0.133537,-0.153177
30.8,35.0,-0.142139,-0.162052
33.08,35.0,-0.153432,-0.172607
35.35,35.0,-0.167634,-0.186972
37.63,35.0,-0.184594,-0.203288
39.73,35.0,-0.20529,-0.223898
42.0,35.0,-0.230194,-0.248186
44.28,35.0,-0.26192,-0.279572
46.55,35.0,-0.297425,-0.314738
48.65,35.0,-0.337317,-0.354569
50.93,35.0,-0.383306,-0.399707
53.2,35.0,-0.435921,-0.451907
55.48,35.0,-0.499177,-0.514227
57.58,35.0,-0.572209,-0.585862
59.85,35.0,-0.650369,-0.663441
62.13,35.0,-0.720841,-0.732698
64.23,35.0,-0.769883,-0.78121
66.5,35.0,-0.789082,-0.800363
68.78,35.0,-0.78057,-0.792153
70.88,35.0,-0.745656,-0.757421
73.15,35.0,-0.690798,-0.703586
75.25,35.0,-0.623435,-0.636648
77.53,35.0,-0.548118,-0.56268
79.8,35.0,-0.470114,-0.48586
81.73,35.0,-0.392129,-0.408441
84.18,35.0,-0.318716,-0.335817
86.45,35.0,-0.249661,-0.268133
88.38,35.0,-0.185675,-0.204508
90.83,35.0,-0.126196,-0.1461
93.1,35.0,-0.073124,-0.093402
95.38,35.0,-0.023482,-0.044794
97.48,35.0,0.021718,0.000126
99.75,35.0,0.063983,0.041755
102.03,35.0,0.104238,0.081117
104.3,35.0,0.140615,0.117347
106.4,35.0,0.173412,0.149568
108.68,35.0,0.201878,0.178006
110.95,35.0,0.223323,0.19921
113.23,35.0,0.232488,0.208274
115.33,35.0,0.213979,0.190101
117.6,35.0,0.158551,0.135532
119.7,35.0,0.078431,0.055988
121.98,35.0,-0.002853,-0.02432
124.25,35.0,-0.061864,-0.082302
126.35,35.0,-0.094326,-0.114452
128.63,35.0,-0.100607,-0.120487
130.73,35.0,-0.088232,-0.108639
133.0,35.0,-0.066966,-0.08765
135.28,35.0,-0.045272,-0.066402
137.38,35.0,-0.028984,-0.05041
139.65,35.0,-0.020913,-0.042102
141.93,35.0,-0.022561,-0.04351
144.03,35.0,-0.03216,-0.053334
146.48,35.0,-0.050487,-0.071359
148.58,35.0,-0.072388,-0.092502
150.85,35.0,-0.096051,-0.116288
153.13,35.0,-0.118171,-0.138087
155.23,35.0,-0.137126,-0.157132
157.5,35.0,-0.152302,-0.171633
159.78,35.0,-0.161667,-0.180888
161.88,35.0,-0.164434,-0.183309
164.15,35.0,-0.160253,-0.179736
166.25,35.0,-0.149843,-0.169692
168.53,35.0,-0.134612,-0.154289
170.8,35.0,-0.115148,-0.134859
172.9,35.0,-0.091784,-0.112176
175.18,35.0,-0.065971,-0.086698
177.45,35.0,-0.038972,-0.060013
179.55,35.0,-0.011122,-0.032268
181.83,35.0,0.018246,-0.00375
184.1,35.0,0.046971,0.024777
186.2,35.0,0.07381,0.051059
188.48,35.0,0.09918,0.076854
190.75,35.0,0.123915,0.101016
192.68,35.0,0.1469,0.123394
195.13,35.0,0.167177,0.143668
197.4,35.0,0.185122,0.161924
199.5,35.0,0.201361,0.177325
201.6,35.0,0.216484,0.192442
203.88,35.0,0.229552,0.205319
206.15,35.0,0.241176,0.216478
208.43,35.0,0.250375,0.225483
210.53,35.0,0.257704,0.233141
212.8,35.0,0.262605,0.237651
214.9,35.0,0.265276,0.240744
217.18,35.0,0.267704,0.242735
219.45,35.0,0.269447,0.2449
221.55,35.0,0.2708,0.246028
223.83,35.0,0.271284,0.24689
226.1,35.0,0.272497,0.247815
228.2,35.0,0.274654,0.249829
230.48,35.0,0.277636,0.252658
232.75,35.0,0.280107,0.255061
235.03,35.0,0.282608,0.257972
237.13,35.0,0.285723,0.260855
239.4,35.0,0.288643,0.263341
241.68,35.0,0.290316,0.265581
243.95,35.0,0.292405,0.267162
246.05,35.0,0.294401,0.269614
248.33,35.0,0.296311,0.271407
250.6,35.0,0.298579,0.273154
252.88,35.0,0.299149,0.274352
254.98,35.0,0.299235,0.273958
257.25,35.0,0.298046,0.27295
259.53,35.0,0.296696,0.27137
261.63,35.0,0.295772,0.270584
263.9,35.0,0.295178,0.269906
266.18,35.0,0.295751,0.270307
268.28,35.0,0.29743,0.272553
270.55,35.0,0.300954,0.275932
272.83,35.0,0.306006,0.280917
274.93,35.0,0.311795,0.286404
277.2,35.0,0.319016,0.293566
279.48,35.0,0.327294,0.30149
281.58,35.0,0.336644,0.31121
283.85,35.0,0.346782,0.320772
285.95,35.0,0.357503,0.331804
288.23,35.0,0.368113,0.34173
290.5,35.0,0.378286,0.352383
292.6,35.0,0.388729,0.362759
294.88,35.0,0.399826,0.373375
297.15,35.0,0.40933,0.38266
299.43,35.0,0.416517,0.390298
301.7,35.0,0.421083,0.394684
303.8,35.0,0.42336,0.396428
306.08,35.0,0.423015,0.396477
308.18,35.0,0.422513,0.396003
310.45,35.0,0.420119,0.393847
312.55,35.0,0.414783,0.388363
314.83,35.0,0.40458,0.378283
317.1,35.0,0.388098,0.362189
319.2,35.0,0.367192,0.340991
321.48,35.0,0.341582,0.315714
