x,y,z,z2
4.37,0.0,-0.016957,-0.038011
6.82,0.0,-0.017025,-0.037967
9.1,0.0,-0.017419,-0.038405
11.38,0.0,-0.018266,-0.039061
13.48,0.0,-0.019449,-0.040102
15.75,0.0,-0.020423,-0.041418
18.03,0.0,-0.021806,-0.042357
20.13,0.0,-0.022887,-0.043759
22.4,0.0,-0.024345,-0.045025
24.68,0.0,-0.026165,-0.04671
26.78,0.0,-0.028282,-0.049095
29.05,0.0,-0.030965,-0.051732
31.33,0.0,-0.034018,-0.054865
33.6,0.0,-0.038285,-0.058864
35.7,0.0,-0.042764,-0.063494
37.97,0.0,-0.047675,-0.068503
40.07,0.0,-0.054061,-0.074474
42.35,0.0,-0.061076,-0.081319
44.62,0.0,-0.06968,-0.090038
46.9,0.0,-0.079363,-0.099637
49.0,0.0,-0.089785,-0.109803
51.27,0.0,-0.101609,-0.121368
53.37,0.0,-0.113722,-0.133402
55.82,0.0,-0.124557,-0.144172
58.1,0.0,-0.132946,-0.152659
60.2,0.0,-0.136239,-0.155983
62.47,0.0,-0.135891,-0.155373
64.75,0.0,-0.132099,-0.151683
66.85,0.0,-0.125534,-0.145151
69.12,0.0,-0.115943,-0.135814
71.22,0.0,-0.101174,-0.121073
73.5,0.0,-0.082277,-0.102299
75.77,0.0,-0.058935,-0.079406
78.05,0.0,-0.031855,-0.052524
80.32,0.0,-0.00135,-0.022247
82.42,0.0,0.030726,0.009266
84.7,0.0,0.061432,0.039494
86.97,0.0,0.093459,0.071586
89.07,0.0,0.123277,0.100902
91.35,0.0,0.15109,0.128363
93.62,0.0,0.176891,0.153764
95.72,0.0,0.200329,0.176918
98.0,0.0,0.221086,0.197744
100.27,0.0,0.239679,0.216059
102.55,0.0,0.253871,0.230042
104.65,0.0,0.265227,0.241231
106.92,0.0,0.274386,0.250301
109.2,0.0,0.280837,0.256592
111.3,0.0,0.284879,0.260886
113.57,0.0,0.286025,0.262014
115.85,0.0,0.283157,0.259235
117.95,0.0,0.275674,0.251696
120.22,0.0,0.264752,0.240877
122.5,0.0,0.250384,0.226813
124.6,0.0,0.23328,0.209811
