x,y,z,z2
4.38,0.0,0.031302,0.009654
6.65,0.0,0.031512,0.009556
8.93,0.0,0.031062,0.009171
11.2,0.0,0.029694,0.007991
13.3,0.0,0.027451,0.005711
15.58,0.0,0.024451,0.002809
17.85,0.0,0.020557,-0.000934
19.95,0.0,0.015655,-0.005712
22.23,0.0,0.009777,-0.011597
24.5,0.0,0.003265,-0.018029
26.78,0.0,-0.00428,-0.025629
29.05,0.0,-0.012231,-0.033359
31.15,0.0,-0.019757,-0.0407
33.43,0.0,-0.026048,-0.047123
35.7,0.0,-0.02908,-0.050031
37.98,0.0,-0.02786,-0.048892
40.07,0.0,-0.023978,-0.04505
42.35,0.0,-0.017816,-0.038818
44.45,0.0,-0.008353,-0.02944
46.37,0.0,0.005458,-0.015965
49.0,0.0,0.023872,0.002411
51.27,0.0,0.0473,0.02536
53.37,0.0,0.075498,0.053197
55.65,0.0,0.10795,0.085393
57.75,0.0,0.140914,0.117695
60.02,0.0,0.173397,0.149925
62.12,0.0,0.205064,0.181302
64.4,0.0,0.233961,0.209765
66.67,0.0,0.259149,0.234799
68.95,0.0,0.281949,0.25722
71.05,0.0,0.302115,0.276986
73.32,0.0,0.318908,0.293594
75.42,0.0,0.332405,0.307118
77.7,0.0,0.342898,0.317433
79.97,0.0,0.350988,0.325301
82.07,0.0,0.355516,0.329937
84.35,0.0,0.357032,0.331514
86.45,0.0,0.355147,0.32978
88.72,0.0,0.350806,0.325378
91.0,0.0,0.344115,0.318551
93.1,0.0,0.335686,0.310409
95.37,0.0,0.325165,0.299987
97.47,0.0,0.311749,0.286724
99.75,0.0,0.294346,0.269349
101.85,0.0,0.272051,0.247476
104.12,0.0,0.247642,0.223363
106.4,0.0,0.22023,0.196228
108.5,0.0,0.189706,0.166204
110.77,0.0,0.157593,0.134377
113.05,0.0,0.124599,0.101783
115.15,0.0,0.091727,0.069263
117.42,0.0,0.059965,0.038018
119.7,0.0,0.030868,0.009183
121.8,0.0,0.001866,-0.019474
124.07,0.0,-0.026901,-0.047915
126.35,0.0,-0.053205,-0.074018
128.62,0.0,-0.073719,-0.094098
130.72,0.0,-0.082117,-0.10261
133.0,0.0,-0.07224,-0.092542
135.27,0.0,-0.042579,-0.063466
137.37,0.0,0.007911,-0.013556
139.65,0.0,0.075104,0.052901
141.75,0.0,0.156854,0.133493
144.02,0.0,0.247839,0.22348
146.3,0.0,0.342654,0.317183
148.4,0.0,0.43713,0.410356
150.5,0.0,0.527195,0.49945
152.78,0.0,0.607531,0.578628
155.05,0.0,0.676468,0.646687
157.33,0.0,0.733387,0.703304
159.43,0.0,0.77729,0.746523
161.7,0.0,0.806776,0.775805
163.8,0.0,0.822595,0.791517
166.08,0.0,0.826181,0.795171
168.35,0.0,0.819631,0.788455
170.63,0.0,0.803655,0.772589
172.73,0.0,0.779656,0.749003
175.0,0.0,0.749401,0.718982
177.28,0.0,0.715217,0.685417
179.38,0.0,0.678159,0.648911
181.65,0.0,0.638381,0.609351
183.93,0.0,0.600085,0.571831
186.03,0.0,0.56283,0.534749
188.3,0.0,0.528717,0.501101
190.58,0.0,0.496924,0.469768
192.68,0.0,0.467466,0.440575
194.95,0.0,0.441071,0.414407
197.05,0.0,0.417451,0.391086
199.33,0.0,0.397174,0.371129
201.6,0.0,0.379561,0.353908
203.88,0.0,0.3645,0.338859
205.98,0.0,0.351222,0.32588
208.25,0.0,0.339839,0.314527
210.53,0.0,0.329968,0.304709
212.63,0.0,0.320877,0.295649
214.9,0.0,0.312664,0.287614
217.18,0.0,0.305097,0.280168
219.28,0.0,0.297981,0.27315
221.55,0.0,0.289768,0.26503
223.65,0.0,0.281431,0.256672
225.93,0.0,0.272867,0.248252
228.2,0.0,0.264081,0.239623
230.48,0.0,0.256071,0.231786
232.58,0.0,0.248206,0.22381
234.85,0.0,0.239549,0.21535
237.13,0.0,0.231515,0.207479
239.23,0.0,0.223961,0.199854
241.5,0.0,0.217658,0.19364
243.78,0.0,0.212229,0.188345
245.88,0.0,0.207621,0.183915
248.15,0.0,0.20311,0.179515
250.25,0.0,0.198545,0.174867
252.53,0.0,0.193757,0.170144
254.8,0.0,0.187759,0.164266
256.9,0.0,0.181398,0.157846
259.18,0.0,0.173465,0.150018
261.28,0.0,0.164367,0.141043
263.55,0.0,0.15405,0.130988
265.83,0.0,0.142331,0.11926
268.1,0.0,0.12918,0.106308
270.2,0.0,0.11474,0.09219
272.48,0.0,0.099864,0.077488
274.75,0.0,0.084654,0.062322
276.85,0.0,0.069361,0.047276
279.13,0.0,0.053123,0.031315
281.4,0.0,0.034475,0.013009
283.5,0.0,0.013684,-0.007644
285.78,0.0,-0.009613,-0.030728
288.05,0.0,-0.033282,-0.054015
290.33,0.0,-0.058063,-0.078479
292.6,0.0,-0.081809,-0.101985
294.7,0.0,-0.104363,-0.124264
296.98,0.0,-0.12481,-0.144622
299.25,0.0,-0.142043,-0.161501
301.53,0.0,-0.155059,-0.174468
303.63,0.0,-0.164249,-0.183534
305.9,0.0,-0.168975,-0.188352
308.18,0.0,-0.168531,-0.187579
310.28,0.0,-0.162511,-0.181797
312.55,0.0,-0.151362,-0.170832
314.83,0.0,-0.134951,-0.154594
317.1,0.0,-0.112456,-0.132188
319.2,0.0,-0.083673,-0.104184
321.48,0.0,-0.050201,-0.070986
323.75,0.0,-0.011458,-0.032496
325.85,0.0,0.031888,0.010052
327.95,0.0,0.076949,0.054719
330.23,0.0,0.125221,0.102488
332.5,0.0,0.172692,0.148872
334.6,0.0,0.221419,0.19726
336.7,0.0,0.265932,0.241271
338.98,0.0,0.308021,0.282845
341.25,0.0,0.34442,0.319142
343.35,0.0,0.376474,0.350495
345.63,0.0,0.403615,0.377359
347.9,0.0,0.424136,0.397759
350.18,0.0,0.439232,0.412574
352.28,0.0,0.449222,0.422476
354.55,0.0,0.454309,0.427328
356.65,0.0,0.455193,0.428252
358.93,0.0,0.451675,0.424909
361.2,0.0,0.443609,0.416875
363.3,0.0,0.432334,0.405954
365.58,0.0,0.418104,0.391628
367.68,0.0,0.401363,0.375353
369.95,0.0,0.382266,0.356283
372.23,0.0,0.362719,0.337128
374.5,0.0,0.343378,0.317833
376.6,0.0,0.325667,0.300479
378.88,0.0,0.308452,0.283505
380.98,0.0,0.292371,0.267463
383.25,0.0,0.277759,0.252969
385.53,0.0,0.263939,0.23946
387.8,0.0,0.252272,0.227836
