x,y,z,z2
4.37,0.0,0.000529,-0.020318
6.82,0.0,0.000939,-0.021211
8.93,0.0,-1.9e-05,-0.021218
11.2,0.0,-9.9e-05,-0.021861
13.48,0.0,-0.001329,-0.021794
15.75,0.0,-0.001932,-0.02285
18.03,0.0,-0.001837,-0.022619
20.13,0.0,-0.00273,-0.024123
22.23,0.0,-0.001187,-0.022992
24.5,0.0,-0.00017,-0.022918
26.78,0.0,0.000883,-0.020977
28.88,0.0,0.003194,-0.0192
31.15,0.0,0.004174,-0.018035
33.43,0.0,0.004697,-0.016769
35.7,0.0,0.006361,-0.016033
37.8,0.0,0.005976,-0.015435
40.07,0.0,0.005745,-0.015903
42.35,0.0,0.004118,-0.017835
44.62,0.0,0.003095,-0.018682
46.72,0.0,0.001838,-0.019523
49.0,0.0,0.001133,-0.01989
51.27,0.0,0.001647,-0.020315
53.37,0.0,0.003209,-0.017702
55.65,0.0,0.00434,-0.016757
57.92,0.0,0.006641,-0.015423
60.02,0.0,0.006524,-0.0133
62.3,0.0,0.007824,-0.013587
64.4,0.0,0.00828,-0.013316
66.67,0.0,0.009423,-0.011871
68.95,0.0,0.011213,-0.009388
71.05,0.0,0.013428,-0.008328
73.32,0.0,0.017935,-0.003128
75.42,0.0,0.023653,0.001647
77.87,0.0,0.030776,0.009149
79.97,0.0,0.038299,0.01755
82.25,0.0,0.046752,0.024845
84.35,0.0,0.049183,0.027972
86.45,0.0,0.052005,0.029953
88.72,0.0,0.054321,0.031663
91.0,0.0,0.054605,0.032821
93.27,0.0,0.05511,0.031478
95.37,0.0,0.055239,0.03381
97.65,0.0,0.057365,0.036148
99.75,0.0,0.05966,0.038745
102.02,0.0,0.061838,0.040313
104.3,0.0,0.064494,0.043234
106.57,0.0,0.064583,0.042806
108.67,0.0,0.062975,0.040058
110.95,0.0,0.060849,0.037833
113.22,0.0,0.057756,0.035166
115.32,0.0,0.052233,0.028724
117.6,0.0,0.04682,0.024207
119.87,0.0,0.041296,0.018092
122.15,0.0,0.034084,0.012886
124.25,0.0,0.027467,0.006931
126.52,0.0,0.021925,0.00153
128.8,0.0,0.019204,-0.003235
130.9,0.0,0.014241,-0.00851
133.17,0.0,0.011019,-0.010491
