x,y,z,z2
4.38,0.0,0.01158,-0.010266
6.65,0.0,0.01157,-0.009951
8.75,0.0,0.012029,-0.009804
11.03,0.0,0.012455,-0.009012
13.65,0.0,0.013601,-0.007921
15.93,0.0,0.01475,-0.006788
18.03,0.0,0.015551,-0.005706
20.3,0.0,0.016278,-0.005167
22.58,0.0,0.016986,-0.004206
24.85,0.0,0.018628,-0.003044
26.95,0.0,0.020649,-0.000759
29.23,0.0,0.023028,0.001419
31.68,0.0,0.024411,0.00292
33.78,0.0,0.024435,0.002769
36.05,0.0,0.023388,0.001706
38.32,0.0,0.02089,-0.000919
40.42,0.0,0.01771,-0.003719
42.7,0.0,0.012738,-0.008691
44.97,0.0,0.007424,-0.01404
47.07,0.0,0.002276,-0.019135
49.35,0.0,-0.002632,-0.024033
51.62,0.0,-0.007129,-0.028297
53.72,0.0,-0.011446,-0.032696
56.0,0.0,-0.01582,-0.037105
58.27,0.0,-0.020774,-0.042034
60.37,0.0,-0.025466,-0.046612
62.65,0.0,-0.028904,-0.050004
64.92,0.0,-0.032046,-0.052946
67.02,0.0,-0.03484,-0.055919
69.3,0.0,-0.038396,-0.059234
71.4,0.0,-0.04249,-0.063303
73.67,0.0,-0.046858,-0.06797
75.95,0.0,-0.051846,-0.072712
78.22,0.0,-0.05619,-0.076812
80.5,0.0,-0.059477,-0.079961
82.6,0.0,-0.062678,-0.083174
84.87,0.0,-0.065278,-0.085999
87.15,0.0,-0.06842,-0.088947
89.25,0.0,-0.071085,-0.091467
91.52,0.0,-0.073109,-0.093867
93.8,0.0,-0.075731,-0.096088
95.9,0.0,-0.079683,-0.100235
98.17,0.0,-0.084619,-0.105022
100.27,0.0,-0.090161,-0.110506
102.55,0.0,-0.096405,-0.11647
104.82,0.0,-0.102425,-0.12236
106.92,0.0,-0.107561,-0.127822
109.2,0.0,-0.112191,-0.132373
111.47,0.0,-0.115278,-0.135315
113.57,0.0,-0.115959,-0.135971
115.85,0.0,-0.1155,-0.135601
117.95,0.0,-0.113685,-0.13338
120.22,0.0,-0.110407,-0.13045
122.5,0.0,-0.106082,-0.126224
124.6,0.0,-0.101797,-0.12188
127.05,0.0,-0.097363,-0.117591
129.15,0.0,-0.093488,-0.113707
131.42,0.0,-0.089668,-0.109982
133.52,0.0,-0.084686,-0.105185
135.8,0.0,-0.078091,-0.098725
138.07,0.0,-0.0705,-0.090845
140.17,0.0,-0.060946,-0.081664
142.45,0.0,-0.051335,-0.072351
144.72,0.0,-0.042096,-0.063075
146.82,0.0,-0.033266,-0.0542
149.1,0.0,-0.024961,-0.046085
151.38,0.0,-0.016449,-0.037665
153.48,0.0,-0.008805,-0.030102
155.75,0.0,-0.001088,-0.022284
158.03,0.0,0.006053,-0.015303
160.13,0.0,0.013487,-0.008051
162.4,0.0,0.019617,-0.001855
164.68,0.0,0.025209,0.003604
166.78,0.0,0.030415,0.00849
169.05,0.0,0.034365,0.012612
171.33,0.0,0.037861,0.01596
173.43,0.0,0.041068,0.019143
175.7,0.0,0.043829,0.02214
177.98,0.0,0.046469,0.02467
180.08,0.0,0.049291,0.027337
182.35,0.0,0.052331,0.030381
184.63,0.0,0.055849,0.033878
186.9,0.0,0.059802,0.037535
189.0,0.0,0.064297,0.042103
191.28,0.0,0.067997,0.045883
193.38,0.0,0.071398,0.048998
195.65,0.0,0.074241,0.051983
197.93,0.0,0.076872,0.054731
200.2,0.0,0.079864,0.057596
202.48,0.0,0.081811,0.059685
204.58,0.0,0.084562,0.062501
206.85,0.0,0.087926,0.065597
209.13,0.0,0.091995,0.069673
211.23,0.0,0.096256,0.073607
213.5,0.0,0.101191,0.078508
215.78,0.0,0.105597,0.082981
217.88,0.0,0.109497,0.086777
220.15,0.0,0.112186,0.089503
222.43,0.0,0.115027,0.092442
224.53,0.0,0.117584,0.09495
226.8,0.0,0.120378,0.097658
229.08,0.0,0.123496,0.100646
231.18,0.0,0.126521,0.103708
233.45,0.0,0.12881,0.105738
235.73,0.0,0.131022,0.108206
237.83,0.0,0.133502,0.110551
240.1,0.0,0.136139,0.113132
242.38,0.0,0.139398,0.116373
244.48,0.0,0.142907,0.120018
246.75,0.0,0.147531,0.12421
248.85,0.0,0.15149,0.128286
251.13,0.0,0.153958,0.130738
253.4,0.0,0.155159,0.132002
255.5,0.0,0.155661,0.132254
257.78,0.0,0.156293,0.133271
259.88,0.0,0.157436,0.134013
262.15,0.0,0.157722,0.134361
264.43,0.0,0.15852,0.135455
266.7,0.0,0.159241,0.13616
268.98,0.0,0.15991,0.136604
271.08,0.0,0.160627,0.137587
273.35,0.0,0.161336,0.138221
275.63,0.0,0.162282,0.138933
277.9,0.0,0.162873,0.139734
280.18,0.0,0.16271,0.139269
282.28,0.0,0.161604,0.138206
284.55,0.0,0.159614,0.136518
286.83,0.0,0.157497,0.133976
288.93,0.0,0.155443,0.132279
291.2,0.0,0.154278,0.131074
293.48,0.0,0.153468,0.130307
295.75,0.0,0.152892,0.129549
298.03,0.0,0.152719,0.129204
300.13,0.0,0.152464,0.129417
302.4,0.0,0.152266,0.128939
304.68,0.0,0.151764,0.128582
306.78,0.0,0.151687,0.128104
309.05,0.0,0.151167,0.127793
311.15,0.0,0.151774,0.128526
313.43,0.0,0.15312,0.129857
315.7,0.0,0.155828,0.132726
317.8,0.0,0.159287,0.136262
320.08,0.0,0.162806,0.139512
322.35,0.0,0.164321,0.141062
324.45,0.0,0.163758,0.140581
326.73,0.0,0.160969,0.137645
328.83,0.0,0.157035,0.133865
331.1,0.0,0.152596,0.129204
333.38,0.0,0.146789,0.123872
335.48,0.0,0.140024,0.116678
337.75,0.0,0.131888,0.109124
340.03,0.0,0.123767,0.101099
342.13,0.0,0.11503,0.092208
344.4,0.0,0.106216,0.083828
346.68,0.0,0.097088,0.074706
348.78,0.0,0.089454,0.066959
351.05,0.0,0.082183,0.059854
353.33,0.0,0.076595,0.054328
355.43,0.0,0.071515,0.049315
357.7,0.0,0.067254,0.045181
359.98,0.0,0.064155,0.042076
362.08,0.0,0.060406,0.038656
364.35,0.0,0.05694,0.034904
366.63,0.0,0.053428,0.031487
368.9,0.0,0.04995,0.027812
371.0,0.0,0.04641,0.024405
373.28,0.0,0.042686,0.0208
375.55,0.0,0.038887,0.017257
377.83,0.0,0.035113,0.013391
379.93,0.0,0.031983,0.010332
382.2,0.0,0.028524,0.006919
384.48,0.0,0.02528,0.003733
386.58,0.0,0.022658,0.001078
388.85,0.0,0.020418,-0.001036
390.95,0.0,0.019211,-0.002434
393.23,0.0,0.018748,-0.002718
395.5,0.0,0.018776,-0.00286
397.6,0.0,0.019411,-0.002404
399.88,0.0,0.020853,-0.000632
402.15,0.0,0.023468,0.001493
404.25,0.0,0.026466,0.004854
406.53,0.0,0.029867,0.008148
408.8,0.0,0.03336,0.011687
410.9,0.0,0.03653,0.0147
413.18,0.0,0.039525,0.017763
415.45,0.0,0.042384,0.020317
417.55,0.0,0.04539,0.023505
419.83,0.0,0.049124,0.027085
422.1,0.0,0.052892,0.030883
424.2,0.0,0.058345,0.036315
426.48,0.0,0.065249,0.042889
428.58,0.0,0.073348,0.051022
430.85,0.0,0.083138,0.060766
432.95,0.0,0.094611,0.072276
435.23,0.0,0.106219,0.083776
437.5,0.0,0.117454,0.094577
439.6,0.0,0.127507,0.104599
441.88,0.0,0.136167,0.113388
444.15,0.0,0.143058,0.119953
