x,y,z,z2
4.38,0.0,0.001456,-0.020019
6.65,0.0,0.001447,-0.019868
8.93,0.0,0.001487,-0.01985
11.2,0.0,0.002245,-0.01911
13.48,0.0,0.004417,-0.01717
15.93,0.0,0.006327,-0.015035
18.2,0.0,0.008764,-0.01281
20.3,0.0,0.010748,-0.010626
22.58,0.0,0.012239,-0.009308
25.03,0.0,0.012947,-0.008611
27.13,0.0,0.012827,-0.008488
29.4,0.0,0.012316,-0.00928
31.68,0.0,0.010677,-0.010876
33.78,0.0,0.009038,-0.01237
36.05,0.0,0.007698,-0.013744
38.33,0.0,0.007288,-0.014154
40.6,0.0,0.00763,-0.013691
42.7,0.0,0.008373,-0.013112
44.97,0.0,0.009186,-0.012293
47.25,0.0,0.009583,-0.011902
49.35,0.0,0.008638,-0.01278
51.62,0.0,0.006706,-0.014717
53.9,0.0,0.004623,-0.016926
56.17,0.0,0.001731,-0.019514
58.45,0.0,-0.000749,-0.022145
60.55,0.0,-0.002823,-0.024295
62.82,0.0,-0.004335,-0.025657
65.1,0.0,-0.004773,-0.025993
67.2,0.0,-0.003812,-0.025136
69.47,0.0,-0.001387,-0.02278
71.75,0.0,0.003061,-0.018343
74.02,0.0,0.008622,-0.01273
76.3,0.0,0.015763,-0.005762
78.4,0.0,0.022556,0.000927
80.67,0.0,0.028219,0.006728
82.95,0.0,0.031743,0.009907
85.22,0.0,0.032932,0.011269
87.32,0.0,0.032156,0.010526
89.6,0.0,0.030652,0.008967
91.87,0.0,0.028293,0.006694
94.15,0.0,0.026537,0.004888
96.25,0.0,0.025726,0.004137
98.35,0.0,0.026703,0.005196
100.8,0.0,0.029047,0.007285
102.9,0.0,0.032233,0.010449
105.17,0.0,0.036284,0.014463
107.45,0.0,0.039824,0.018049
109.55,0.0,0.042297,0.020375
111.82,0.0,0.043018,0.021111
113.92,0.0,0.042544,0.020526
116.2,0.0,0.040156,0.018468
118.47,0.0,0.036543,0.014919
120.57,0.0,0.032251,0.010498
122.85,0.0,0.027627,0.006087
125.12,0.0,0.022615,0.001084
127.22,0.0,0.018089,-0.003303
129.5,0.0,0.013163,-0.00822
131.6,0.0,0.008323,-0.013115
133.87,0.0,0.004115,-0.017234
136.15,0.0,-0.000195,-0.021479
138.42,0.0,-0.003103,-0.024449
140.7,0.0,-0.00526,-0.026569
142.8,0.0,-0.006649,-0.027869
145.07,0.0,-0.006979,-0.028368
147.35,0.0,-0.007083,-0.028257
149.45,0.0,-0.006683,-0.027977
151.73,0.0,-0.006215,-0.027638
154.0,0.0,-0.005903,-0.027228
156.1,0.0,-0.005826,-0.027173
158.38,0.0,-0.00582,-0.026935
160.65,0.0,-0.005472,-0.026806
162.75,0.0,-0.005139,-0.026637
165.03,0.0,-0.004345,-0.025657
167.3,0.0,-0.002853,-0.024252
169.58,0.0,-0.001255,-0.022641
171.68,0.0,-0.000112,-0.021292
173.95,0.0,0.000637,-0.020743
176.23,0.0,0.001099,-0.020287
178.5,0.0,0.00146,-0.01977
180.6,0.0,0.001805,-0.019486
182.88,0.0,0.001792,-0.019477
184.98,0.0,0.001413,-0.019841
187.25,0.0,0.000659,-0.020669
189.53,0.0,-0.000309,-0.021569
191.8,0.0,-0.001125,-0.022441
193.9,0.0,-0.001646,-0.023125
196.18,0.0,-0.002074,-0.023417
198.28,0.0,-0.002006,-0.023396
200.55,0.0,-0.002089,-0.023448
202.83,0.0,-0.001982,-0.023368
204.93,0.0,-0.002385,-0.023756
207.2,0.0,-0.002798,-0.024135
209.48,0.0,-0.003799,-0.025142
211.75,0.0,-0.004911,-0.026214
213.85,0.0,-0.005919,-0.027145
216.13,0.0,-0.006686,-0.02794
218.4,0.0,-0.007564,-0.028704
220.5,0.0,-0.007431,-0.028679
222.78,0.0,-0.007422,-0.028728
225.05,0.0,-0.007493,-0.028735
227.33,0.0,-0.007025,-0.028374
229.43,0.0,-0.006347,-0.027511
231.7,0.0,-0.005072,-0.026464
233.98,0.0,-0.003972,-0.025318
236.08,0.0,-0.002585,-0.023935
238.35,0.0,-0.000719,-0.022126
240.63,0.0,0.001586,-0.019794
242.9,0.0,0.004691,-0.016649
245.0,0.0,0.007507,-0.013876
247.28,0.0,0.011269,-0.010207
249.38,0.0,0.015273,-0.006184
251.65,0.0,0.019466,-0.002099
253.93,0.0,0.024799,0.003252
256.03,0.0,0.030467,0.008915
258.3,0.0,0.035344,0.013567
260.58,0.0,0.03877,0.017026
262.85,0.0,0.040098,0.018336
264.95,0.0,0.039315,0.017639
267.23,0.0,0.036607,0.014901
269.33,0.0,0.033102,0.011364
271.6,0.0,0.029257,0.007513
273.88,0.0,0.025076,0.003505
275.98,0.0,0.020874,-0.000682
278.25,0.0,0.017424,-0.004006
280.53,0.0,0.013582,-0.007909
282.63,0.0,0.010323,-0.011325
284.9,0.0,0.007079,-0.014425
287.18,0.0,0.004426,-0.016972
289.28,0.0,0.001845,-0.019458
291.55,0.0,-0.000481,-0.021714
293.83,0.0,-0.002613,-0.024006
296.1,0.0,-0.004542,-0.025987
298.2,0.0,-0.006159,-0.027367
300.48,0.0,-0.007394,-0.028812
302.75,0.0,-0.0083,-0.029495
305.03,0.0,-0.009345,-0.030561
307.13,0.0,-0.010509,-0.031714
309.4,0.0,-0.011735,-0.032906
311.68,0.0,-0.013312,-0.034499
313.95,0.0,-0.015229,-0.036313
316.23,0.0,-0.016775,-0.037853
318.5,0.0,-0.017857,-0.039098
320.6,0.0,-0.018935,-0.040065
322.88,0.0,-0.019988,-0.041199
325.15,0.0,-0.020497,-0.041658
327.43,0.0,-0.021458,-0.042348
329.53,0.0,-0.022228,-0.043214
331.8,0.0,-0.022974,-0.043962
333.9,0.0,-0.024024,-0.045105
336.18,0.0,-0.024434,-0.045423
338.45,0.0,-0.024649,-0.045691
340.55,0.0,-0.024341,-0.045296
342.83,0.0,-0.02363,-0.044619
345.1,0.0,-0.022496,-0.043562
347.2,0.0,-0.021486,-0.04265
349.48,0.0,-0.020558,-0.041624
351.58,0.0,-0.019385,-0.040577
354.03,0.0,-0.018565,-0.039622
356.13,0.0,-0.0179,-0.039003
358.4,0.0,-0.016994,-0.038297
360.5,0.0,-0.016458,-0.037773
362.78,0.0,-0.016356,-0.037576
365.05,0.0,-0.016199,-0.037401
367.33,0.0,-0.01599,-0.037206
369.43,0.0,-0.015515,-0.036618
371.7,0.0,-0.014828,-0.035956
373.8,0.0,-0.013956,-0.0353
376.08,0.0,-0.013232,-0.034437
378.35,0.0,-0.012422,-0.033596
380.63,0.0,-0.01123,-0.032607
382.73,0.0,-0.009985,-0.031119
385.0,0.0,-0.00818,-0.029418
387.28,0.0,-0.007148,-0.028263
389.38,0.0,-0.006221,-0.027576
391.65,0.0,-0.005839,-0.027182
393.93,0.0,-0.006171,-0.027475
396.03,0.0,-0.006957,-0.02834
398.3,0.0,-0.007524,-0.028775
400.4,0.0,-0.007056,-0.028374
402.68,0.0,-0.006412,-0.027604
404.95,0.0,-0.004844,-0.026199
407.58,0.0,-0.0033,-0.02469
409.68,0.0,-0.002345,-0.023716
411.95,0.0,-0.001236,-0.022641
414.23,0.0,-0.000158,-0.021362
416.33,0.0,0.001,-0.020321
418.6,0.0,0.001931,-0.019486
420.88,0.0,0.002944,-0.018445
422.98,0.0,0.004537,-0.0168
