x,y,z,z2
4.55,0.0,-0.019458,-0.040737
6.82,0.0,-0.019455,-0.040832
9.1,0.0,-0.019967,-0.041341
11.38,0.0,-0.020675,-0.041803
13.48,0.0,-0.021849,-0.043198
15.93,0.0,-0.023081,-0.044181
18.03,0.0,-0.024123,-0.045284
20.13,0.0,-0.024381,-0.045703
22.4,0.0,-0.024613,-0.045611
24.68,0.0,-0.023744,-0.044862
26.95,0.0,-0.022844,-0.043993
29.05,0.0,-0.022139,-0.043479
31.33,0.0,-0.022243,-0.04346
33.6,0.0,-0.02228,-0.043485
35.7,0.0,-0.023106,-0.044215
37.97,0.0,-0.023744,-0.04493
40.07,0.0,-0.024887,-0.045906
42.35,0.0,-0.026421,-0.047422
44.62,0.0,-0.028716,-0.049899
46.72,0.0,-0.032262,-0.053174
49.0,0.0,-0.035543,-0.056649
51.27,0.0,-0.039502,-0.060561
53.37,0.0,-0.04285,-0.063839
55.65,0.0,-0.045734,-0.066726
57.75,0.0,-0.047869,-0.068827
60.02,0.0,-0.050675,-0.071766
62.3,0.0,-0.05395,-0.074945
64.57,0.0,-0.058023,-0.078922
66.67,0.0,-0.062564,-0.083226
68.95,0.0,-0.068513,-0.089261
71.22,0.0,-0.074874,-0.095392
73.32,0.0,-0.081254,-0.10184
75.6,0.0,-0.08676,-0.107086
77.7,0.0,-0.090977,-0.111529
79.97,0.0,-0.093953,-0.114178
82.25,0.0,-0.095749,-0.116125
84.52,0.0,-0.09671,-0.11704
86.8,0.0,-0.097126,-0.117367
88.9,0.0,-0.098004,-0.118352
91.17,0.0,-0.100361,-0.120475
93.45,0.0,-0.10367,-0.123781
95.55,0.0,-0.107573,-0.127727
97.82,0.0,-0.112484,-0.132567
100.1,0.0,-0.1187,-0.138707
102.2,0.0,-0.125127,-0.145044
104.47,0.0,-0.131556,-0.151405
106.57,0.0,-0.137391,-0.157132
108.85,0.0,-0.142397,-0.162012
111.12,0.0,-0.14607,-0.16562
113.22,0.0,-0.148525,-0.168254
115.5,0.0,-0.150543,-0.170037
117.6,0.0,-0.151935,-0.171433
119.87,0.0,-0.152591,-0.172222
122.15,0.0,-0.152668,-0.172154
124.25,0.0,-0.152545,-0.171926
126.52,0.0,-0.152052,-0.171713
128.8,0.0,-0.151479,-0.170965
130.9,0.0,-0.150176,-0.169886
133.17,0.0,-0.148137,-0.167687
135.45,0.0,-0.144548,-0.164015
137.55,0.0,-0.139132,-0.158931
139.82,0.0,-0.132665,-0.152262
141.93,0.0,-0.124381,-0.144212
144.2,0.0,-0.115521,-0.135672
146.48,0.0,-0.107083,-0.127219
148.58,0.0,-0.097967,-0.118198
150.85,0.0,-0.08858,-0.108978
152.95,0.0,-0.079267,-0.099807
155.05,0.0,-0.069369,-0.090155
157.5,0.0,-0.05907,-0.079905
159.6,0.0,-0.04915,-0.070152
161.88,0.0,-0.03944,-0.060463
164.15,0.0,-0.029271,-0.050377
166.25,0.0,-0.019076,-0.040429
168.53,0.0,-0.00859,-0.029807
170.8,0.0,0.001869,-0.019748
172.9,0.0,0.012036,-0.009542
175.18,0.0,0.02259,0.001004
177.45,0.0,0.033468,0.011324
179.55,0.0,0.044161,0.022088
181.83,0.0,0.055125,0.032944
184.1,0.0,0.066096,0.043748
186.2,0.0,0.076888,0.054519
188.48,0.0,0.088431,0.065874
190.58,0.0,0.099315,0.076872
193.03,0.0,0.108696,0.086007
195.13,0.0,0.116315,0.093446
197.4,0.0,0.122208,0.09934
199.68,0.0,0.127448,0.104364
201.78,0.0,0.131524,0.108385
204.05,0.0,0.134429,0.111379
206.33,0.0,0.137026,0.113884
208.43,0.0,0.139617,0.116305
210.7,0.0,0.141681,0.118681
212.98,0.0,0.143388,0.120326
215.08,0.0,0.144928,0.12173
217.35,0.0,0.145751,0.122417
219.63,0.0,0.145273,0.121983
221.73,0.0,0.144639,0.121459
224.0,0.0,0.143388,0.120039
226.28,0.0,0.141878,0.118699
228.38,0.0,0.140048,0.11694
230.65,0.0,0.137405,0.114352
232.75,0.0,0.134617,0.11157
235.03,0.0,0.133157,0.109987
237.3,0.0,0.132396,0.10925
239.58,0.0,0.131989,0.108847
241.68,0.0,0.132661,0.109451
243.95,0.0,0.133055,0.110042
246.23,0.0,0.132836,0.109904
248.5,0.0,0.131502,0.108289
250.78,0.0,0.128486,0.105655
252.88,0.0,0.124602,0.101598
255.15,0.0,0.119586,0.096734
