x,y,z,z2
4.37,0.0,-0.02147,-0.042795
6.47,0.0,-0.022052,-0.043639
8.75,0.0,-0.022361,-0.043621
11.03,0.0,-0.023494,-0.044991
13.3,0.0,-0.024295,-0.04574
15.58,0.0,-0.024117,-0.045028
17.68,0.0,-0.024141,-0.045278
19.95,0.0,-0.023784,-0.045044
22.23,0.0,-0.023294,-0.045072
24.33,0.0,-0.02273,-0.04448
26.6,0.0,-0.021101,-0.042376
28.88,0.0,-0.017681,-0.039015
30.98,0.0,-0.01432,-0.035404
33.25,0.0,-0.011461,-0.033011
35.53,0.0,-0.011144,-0.032595
37.62,0.0,-0.013041,-0.034126
39.9,0.0,-0.016218,-0.03728
42.0,0.0,-0.020894,-0.042287
44.27,0.0,-0.025272,-0.046652
46.55,0.0,-0.02846,-0.050198
48.82,0.0,-0.031335,-0.053094
50.92,0.0,-0.033932,-0.055333
53.2,0.0,-0.035943,-0.057028
55.47,0.0,-0.039249,-0.059933
57.57,0.0,-0.043664,-0.064246
59.85,0.0,-0.048904,-0.070053
62.12,0.0,-0.056239,-0.07676
64.4,0.0,-0.063719,-0.084511
66.67,0.0,-0.07192,-0.092351
68.77,0.0,-0.080364,-0.10139
71.05,0.0,-0.088602,-0.109009
73.32,0.0,-0.094243,-0.114868
75.6,0.0,-0.097296,-0.117672
77.7,0.0,-0.099209,-0.119908
79.97,0.0,-0.100685,-0.121014
82.25,0.0,-0.100983,-0.121359
84.35,0.0,-0.102293,-0.122502
86.62,0.0,-0.103879,-0.124067
88.9,0.0,-0.107342,-0.127166
91.17,0.0,-0.111288,-0.131171
93.27,0.0,-0.116193,-0.135971
95.55,0.0,-0.123734,-0.143728
97.82,0.0,-0.132222,-0.151522
99.92,0.0,-0.14054,-0.160321
102.2,0.0,-0.148593,-0.168781
104.47,0.0,-0.156686,-0.176821
106.75,0.0,-0.162899,-0.182782
108.85,0.0,-0.168235,-0.187662
111.12,0.0,-0.171257,-0.190281
113.22,0.0,-0.172856,-0.192172
115.5,0.0,-0.172283,-0.191325
117.42,0.0,-0.170866,-0.189963
119.52,0.0,-0.16809,-0.187579
122.15,0.0,-0.16472,-0.184307
124.25,0.0,-0.161131,-0.181187
126.7,0.0,-0.157801,-0.177086
128.8,0.0,-0.151763,-0.1718
131.07,0.0,-0.145115,-0.1648
133.17,0.0,-0.135758,-0.155386
135.45,0.0,-0.124776,-0.145364
137.72,0.0,-0.111809,-0.131901
139.82,0.0,-0.099822,-0.120272
142.1,0.0,-0.087823,-0.108106
144.37,0.0,-0.077776,-0.098205
146.47,0.0,-0.067598,-0.08797
148.75,0.0,-0.058636,-0.079572
150.85,0.0,-0.05017,-0.071023
153.12,0.0,-0.04172,-0.062989
155.23,0.0,-0.033741,-0.054554
157.5,0.0,-0.025842,-0.046809
159.78,0.0,-0.019434,-0.040182
161.88,0.0,-0.013125,-0.034563
