x,y,z,z2
4.55,0.0,-0.00269,-0.024246
6.82,0.0,-0.004613,-0.026211
9.1,0.0,-0.008195,-0.029757
11.38,0.0,-0.012832,-0.034147
13.65,0.0,-0.018895,-0.040321
15.93,0.0,-0.024295,-0.045589
18.03,0.0,-0.028408,-0.049597
20.3,0.0,-0.031794,-0.052816
22.58,0.0,-0.03469,-0.055848
24.85,0.0,-0.037441,-0.058648
27.13,0.0,-0.040441,-0.061424
29.23,0.0,-0.044206,-0.065102
31.5,0.0,-0.04765,-0.068611
33.78,0.0,-0.052169,-0.073001
36.05,0.0,-0.056341,-0.077216
38.15,0.0,-0.060189,-0.080891
40.42,0.0,-0.064446,-0.085112
42.7,0.0,-0.068685,-0.089446
44.8,0.0,-0.072527,-0.093124
47.07,0.0,-0.075503,-0.096011
49.35,0.0,-0.078547,-0.098842
51.62,0.0,-0.081184,-0.101861
53.72,0.0,-0.08379,-0.104129
56.0,0.0,-0.086242,-0.106615
58.1,0.0,-0.090189,-0.11058
60.37,0.0,-0.095093,-0.115373
62.47,0.0,-0.101285,-0.121538
65.1,0.0,-0.107844,-0.127881
67.2,0.0,-0.114147,-0.134073
69.47,0.0,-0.120552,-0.14053
71.92,0.0,-0.126285,-0.146113
74.2,0.0,-0.130173,-0.149871
76.3,0.0,-0.132465,-0.152299
78.57,0.0,-0.133888,-0.153851
81.02,0.0,-0.135327,-0.155167
83.3,0.0,-0.137012,-0.156695
85.4,0.0,-0.139021,-0.158873
87.67,0.0,-0.142268,-0.16196
89.77,0.0,-0.146498,-0.166156
92.05,0.0,-0.151125,-0.170706
94.32,0.0,-0.156944,-0.17639
96.42,0.0,-0.16289,-0.18241
98.7,0.0,-0.169655,-0.189119
100.97,0.0,-0.175968,-0.195213
103.07,0.0,-0.182302,-0.201596
105.35,0.0,-0.188204,-0.20716
107.62,0.0,-0.193174,-0.212166
109.9,0.0,-0.197798,-0.216655
112.0,0.0,-0.201396,-0.220265
114.27,0.0,-0.204526,-0.223497
116.37,0.0,-0.20696,-0.225798
118.65,0.0,-0.208654,-0.227326
120.92,0.0,-0.209461,-0.228288
123.02,0.0,-0.210265,-0.22907
125.3,0.0,-0.210244,-0.229064
127.57,0.0,-0.209877,-0.228556
129.67,0.0,-0.208174,-0.227086
131.95,0.0,-0.204828,-0.223537
134.22,0.0,-0.2,-0.218962
136.32,0.0,-0.19375,-0.212715
138.6,0.0,-0.187539,-0.206612
140.7,0.0,-0.180672,-0.200007
142.97,0.0,-0.174474,-0.193685
145.25,0.0,-0.166966,-0.186482
147.53,0.0,-0.159597,-0.179012
149.8,0.0,-0.151184,-0.170764
151.9,0.0,-0.142052,-0.1618
154.18,0.0,-0.131957,-0.151766
156.45,0.0,-0.120768,-0.140838
158.55,0.0,-0.108636,-0.128707
160.83,0.0,-0.096282,-0.11663
163.1,0.0,-0.083282,-0.103756
165.38,0.0,-0.070758,-0.091325
167.48,0.0,-0.057977,-0.078824
169.75,0.0,-0.045426,-0.066523
171.85,0.0,-0.032237,-0.053254
174.13,0.0,-0.017897,-0.039252
176.4,0.0,-0.003584,-0.024948
178.5,0.0,0.010304,-0.011233
180.78,0.0,0.023293,0.001546
183.05,0.0,0.035384,0.013419
185.15,0.0,0.046564,0.024543
187.43,0.0,0.057088,0.034796
189.7,0.0,0.067602,0.045052
191.8,0.0,0.077553,0.05515
194.08,0.0,0.086487,0.063881
196.18,0.0,0.094007,0.071373
198.45,0.0,0.099882,0.077103
200.73,0.0,0.104885,0.082057
203.0,0.0,0.108446,0.085504
205.28,0.0,0.111376,0.088585
207.38,0.0,0.113551,0.090806
209.65,0.0,0.115353,0.092377
211.93,0.0,0.116259,0.093409
214.03,0.0,0.116915,0.093825
216.3,0.0,0.116589,0.0936
218.58,0.0,0.115698,0.092917
220.68,0.0,0.114432,0.091456
222.95,0.0,0.112972,0.090196
225.23,0.0,0.111928,0.088946
227.33,0.0,0.110852,0.08816
229.6,0.0,0.109669,0.086848
231.7,0.0,0.107883,0.085055
233.98,0.0,0.106826,0.083835
236.25,0.0,0.105511,0.082759
238.53,0.0,0.104352,0.08153
240.8,0.0,0.103483,0.080634
242.9,0.0,0.102464,0.079722
245.18,0.0,0.101284,0.078693
247.45,0.0,0.099851,0.077017
249.73,0.0,0.097923,0.075338
251.83,0.0,0.095412,0.072837
254.1,0.0,0.092291,0.069633
256.38,0.0,0.087658,0.064885
258.48,0.0,0.08219,0.059836
260.75,0.0,0.07657,0.053989
262.85,0.0,0.070625,0.048142
265.13,0.0,0.066167,0.04381
267.4,0.0,0.061721,0.039565
269.68,0.0,0.057032,0.034833
271.95,0.0,0.052587,0.030563
274.05,0.0,0.047605,0.025575
276.33,0.0,0.043052,0.020991
278.6,0.0,0.037914,0.01585
280.7,0.0,0.032288,0.010381
282.98,0.0,0.02694,0.005178
285.25,0.0,0.02096,-0.00098
287.53,0.0,0.015206,-0.006332
289.63,0.0,0.009235,-0.012367
291.9,0.0,0.003635,-0.017773
294.35,0.0,-0.002653,-0.024206
296.63,0.0,-0.00786,-0.029354
298.9,0.0,-0.012034,-0.033411
301.0,0.0,-0.017028,-0.03822
303.63,0.0,-0.02285,-0.044138
305.73,0.0,-0.028577,-0.04956
308.0,0.0,-0.033353,-0.054514
310.1,0.0,-0.036581,-0.057693
