x,y,z,z2
697.38,695.62,0.014537,2.647318
700.88,695.62,0.014491,2.657047
704.55,695.62,0.014007,2.606588
707.0,695.62,0.014063,2.512787
0.0,3.5,0.035159,-8.007746
0.0,7.0,0.035126,-8.027759
0.0,10.85,0.0356,-8.045368
0.0,14.53,0.035831,-8.051046
0.0,18.03,0.036309,-8.037755
0.0,21.53,0.036,-8.005999
0.0,25.03,0.035825,-7.968587
0.0,28.7,0.035212,-7.939009
0.0,32.2,0.03483,-7.922186
0.0,35.88,0.034106,-7.910334
0.0,39.38,0.03365,-7.896554
0.0,43.05,0.0332,-7.872913
0.0,46.55,0.03332,-7.85404
0.0,50.22,0.033249,-7.846736
0.0,53.72,0.033647,-7.849432
0.0,57.4,0.034047,-7.858187
0.0,61.07,0.034063,-7.872044
0.0,64.57,0.033983,-7.874271
0.0,68.6,0.034004,-7.850781
0.0,72.27,0.033958,-7.821117
0.0,75.77,0.033983,-7.802556
0.0,79.27,0.033582,-7.805091
0.0,82.77,0.033613,-7.814512
0.0,86.27,0.033625,-7.822053
0.0,89.95,0.033631,-7.835593
0.0,93.45,0.033671,-7.867291
0.0,97.12,0.03369,-7.915075
0.0,100.62,0.033668,-7.977321
0.0,104.12,0.033638,-8.056881
0.0,107.62,0.033915,-8.148747
0.0,111.65,0.034697,-8.255673
0.0,115.15,0.035498,-8.343842
0.0,118.65,0.036327,-8.423448
0.0,122.15,0.037017,-8.491051
0.0,126.17,0.037436,-8.548858
0.0,129.67,0.037793,-8.572428
0.0,133.35,0.038111,-8.570758
0.0,136.85,0.038576,-8.555857
0.0,140.35,0.038524,-8.540875
0.0,143.85,0.038881,-8.53175
0.0,147.35,0.039134,-8.529526
0.0,151.03,0.039269,-8.536908
0.0,154.53,0.039707,-8.54931
0.0,158.03,0.040055,-8.559412
0.0,161.53,0.040813,-8.574452
0.0,165.03,0.041339,-8.602912
0.0,168.53,0.041974,-8.634538
0.0,172.03,0.042257,-8.662012
0.0,175.7,0.042781,-8.68997
0.0,179.2,0.042756,-8.7213
0.0,182.7,0.042593,-8.747181
0.0,186.38,0.042713,-8.758793
0.0,189.88,0.042587,-8.757557
0.0,193.38,0.042673,-8.753121
0.0,196.88,0.042257,-8.753522
0.0,200.55,0.041952,-8.747419
0.0,204.05,0.041577,-8.729584
0.0,207.55,0.041228,-8.705234
