x,y,z,z2
7.17,0.0,0.000779,-0.020364
10.85,0.0,0.0006,-0.020189
14.35,0.0,0.000702,-0.019893
17.85,0.0,0.000646,-0.019924
21.35,0.0,0.000702,-0.019954
24.85,0.0,0.001031,-0.019668
28.53,0.0,0.001681,-0.018879
32.38,0.0,0.00251,-0.01761
36.05,0.0,0.002948,-0.017675
39.55,0.0,0.003785,-0.0168
43.22,0.0,0.004817,-0.016255
46.72,0.0,0.005622,-0.015463
50.4,0.0,0.006586,-0.014144
53.9,0.0,0.007424,-0.013331
57.4,0.0,0.007926,-0.012912
60.9,0.0,0.008693,-0.012096
64.4,0.0,0.009328,-0.011347
68.07,0.0,0.010113,-0.010577
71.4,0.0,0.011059,-0.010016
75.07,0.0,0.011752,-0.00908
78.57,0.0,0.012448,-0.008112
82.07,0.0,0.013598,-0.007308
85.75,0.0,0.014469,-0.006341
89.25,0.0,0.015184,-0.005746
92.75,0.0,0.015652,-0.005075
96.25,0.0,0.015548,-0.004964
99.92,0.0,0.015501,-0.004693
103.42,0.0,0.015643,-0.004643
106.92,0.0,0.015708,-0.004908
110.42,0.0,0.01613,-0.004517
113.92,0.0,0.015923,-0.004298
117.6,0.0,0.016438,-0.003839
121.1,0.0,0.016259,-0.003867
124.6,0.0,0.016423,-0.004067
128.27,0.0,0.016346,-0.00428
131.77,0.0,0.015994,-0.004865
135.45,0.0,0.015292,-0.006008
138.95,0.0,0.014753,-0.005916
142.45,0.0,0.014226,-0.006587
145.95,0.0,0.013745,-0.007151
149.62,0.0,0.013712,-0.007391
153.13,0.0,0.013662,-0.007471
156.63,0.0,0.013557,-0.007145
160.13,0.0,0.013989,-0.006707
163.8,0.0,0.014417,-0.006347
167.3,0.0,0.014904,-0.006141
170.8,0.0,0.015286,-0.005586
174.48,0.0,0.015572,-0.005386
177.98,0.0,0.01596,-0.004859
181.48,0.0,0.016019,-0.004862
185.15,0.0,0.016438,-0.004348
188.48,0.0,0.016863,-0.00395
192.15,0.0,0.017217,-0.003494
195.65,0.0,0.017593,-0.002971
199.15,0.0,0.017954,-0.002567
202.65,0.0,0.018348,-0.002012
206.33,0.0,0.01824,-0.001877
209.83,0.0,0.018336,-0.002043
213.5,0.0,0.018277,-0.002148
217.0,0.0,0.018305,-0.001963
220.5,0.0,0.01836,-0.002046
224.0,0.0,0.018256,-0.002068
227.5,0.0,0.017886,-0.002527
231.0,0.0,0.017045,-0.003473
234.5,0.0,0.016416,-0.004499
238.18,0.0,0.015689,-0.005121
241.68,0.0,0.015045,-0.005663
245.18,0.0,0.014383,-0.006125
248.68,0.0,0.014047,-0.006794
252.35,0.0,0.013671,-0.007062
255.85,0.0,0.013286,-0.007635
259.35,0.0,0.013366,-0.007373
262.85,0.0,0.013219,-0.007746
266.53,0.0,0.013684,-0.007219
270.03,0.0,0.013678,-0.007216
273.53,0.0,0.013641,-0.006991
277.03,0.0,0.01369,-0.007231
280.53,0.0,0.013739,-0.007339
284.2,0.0,0.013407,-0.007453
287.53,0.0,0.013394,-0.00769
291.2,0.0,0.012984,-0.007807
294.7,0.0,0.012565,-0.008069
298.38,0.0,0.011814,-0.008781
301.7,0.0,0.011379,-0.009055
305.38,0.0,0.010695,-0.009585
308.88,0.0,0.010566,-0.010084
312.38,0.0,0.010711,-0.009945
316.05,0.0,0.011037,-0.009415
319.38,0.0,0.012066,-0.008109
323.23,0.0,0.013326,-0.007006
326.73,0.0,0.014713,-0.005432
330.23,0.0,0.016561,-0.003947
333.9,0.0,0.018333,-0.002699
337.4,0.0,0.019916,-0.001033
340.9,0.0,0.021657,0.000446
344.58,0.0,0.023496,0.002609
348.08,0.0,0.025159,0.003946
351.58,0.0,0.026946,0.005668
355.08,0.0,0.028262,0.007261
358.58,0.0,0.029408,0.008311
362.08,0.0,0.030446,0.008899
365.58,0.0,0.030865,0.009713
369.25,0.0,0.031293,0.01015
372.75,0.0,0.031364,0.010181
376.25,0.0,0.030911,0.009556
380.1,0.0,0.030585,0.009765
383.6,0.0,0.029586,0.009152
387.1,0.0,0.02848,0.008012
390.78,0.0,0.027322,0.006999
394.28,0.0,0.026527,0.006007
397.78,0.0,0.025711,0.005104
401.45,0.0,0.024848,0.004198
404.95,0.0,0.024553,0.00393
408.45,0.0,0.024029,0.003465
411.95,0.0,0.024087,0.003105
415.45,0.0,0.024186,0.003579
419.13,0.0,0.024315,0.003761
422.63,0.0,0.024439,0.003293
426.13,0.0,0.024371,0.00344
429.63,0.0,0.024685,0.003782
433.13,0.0,0.024796,0.003832
436.8,0.0,0.024808,0.003477
440.3,0.0,0.024836,0.003628
443.8,0.0,0.024707,0.003613
447.3,0.0,0.024777,0.003403
450.98,0.0,0.024725,0.003785
454.3,0.0,0.024318,0.002951
458.15,0.0,0.024103,0.002938
461.65,0.0,0.023662,0.002661
465.15,0.0,0.023598,0.002612
468.65,0.0,0.023216,0.00215
472.15,0.0,0.023077,0.002045
475.83,0.0,0.022935,0.002017
479.33,0.0,0.022698,0.002082
482.83,0.0,0.022535,0.001691
486.33,0.0,0.0221,0.001577
490.0,0.0,0.022116,0.001607
493.5,0.0,0.021774,0.001262
497.0,0.0,0.021401,0.000905
500.5,0.0,0.021077,-8.4e-05
504.35,0.0,0.020695,-0.000377
507.85,0.0,0.020606,-0.000195
511.53,0.0,0.020655,-0.00062
515.03,0.0,0.020643,-0.000617
518.53,0.0,0.020551,-0.000457
522.2,0.0,0.02101,-0.000213
525.7,0.0,0.02137,0.00019
529.38,0.0,0.02223,0.001204
532.88,0.0,0.023447,0.002313
536.38,0.0,0.024938,0.003924
540.05,0.0,0.026142,0.005193
543.55,0.0,0.027174,0.005991
547.05,0.0,0.02783,0.006977
550.73,0.0,0.028185,0.007741
554.23,0.0,0.027904,0.006919
557.55,0.0,0.027396,0.00682
561.23,0.0,0.02706,0.006506
564.73,0.0,0.027011,0.006447
568.23,0.0,0.027547,0.007116
571.9,0.0,0.028012,0.007575
575.05,0.0,0.028721,0.007948
578.9,0.0,0.029331,0.008514
582.4,0.0,0.029999,0.009318
585.9,0.0,0.030754,0.010061
589.75,0.0,0.031841,0.009044
593.25,0.0,0.032319,0.010886
596.93,0.0,0.032877,0.011543
600.43,0.0,0.033095,0.011903
603.92,0.0,0.033262,0.011934
607.42,0.0,0.03324,0.011783
610.92,0.0,0.032883,0.011281
614.6,0.0,0.032473,0.011078
618.1,0.0,0.032461,0.010948
621.6,0.0,0.032125,0.010865
625.1,0.0,0.031604,0.010511
628.6,0.0,0.030902,0.009747
632.27,0.0,0.030135,0.009281
635.6,0.0,0.029318,0.00906
639.27,0.0,0.029026,0.008274
642.95,0.0,0.029081,0.008502
646.45,0.0,0.02898,0.008468
649.95,0.0,0.029377,0.009013
653.62,0.0,0.02946,0.008789
657.12,0.0,0.029811,0.009017
660.62,0.0,0.029744,0.00901
664.3,0.0,0.030126,0.008443
667.8,0.0,0.030175,0.009349
671.47,0.0,0.030141,0.008567
674.97,0.0,0.030076,0.008601
678.47,0.0,0.030538,0.00914
681.97,0.0,0.030933,0.009497
685.65,0.0,0.031299,0.009953
689.15,0.0,0.031247,0.010036
692.82,0.0,0.031426,0.009805
696.32,0.0,0.030757,0.00966
700.0,0.0,0.030896,0.009901
703.5,0.0,0.031022,0.009935
707.0,0.0,0.031305,0.010095
710.5,0.0,0.031265,0.010156
12.95,33.07,-0.024437,-0.047416
16.62,33.07,-0.025352,-0.046097
20.3,33.07,-0.025879,-0.046033
23.8,33.07,-0.026381,-0.046107
27.3,33.07,-0.026803,-0.04664
31.15,33.07,-0.0266,-0.046264
34.65,33.07,-0.026048,-0.046446
38.15,33.07,-0.025195,-0.04545
41.82,33.07,-0.024422,-0.044153
45.32,33.07,-0.023436,-0.043331
48.82,33.07,-0.022373,-0.04216
52.32,33.07,-0.021258,-0.040946
56.0,33.07,-0.019985,-0.03981
59.5,33.07,-0.018808,-0.038473
63.0,33.07,-0.017576,-0.037123
66.5,33.07,-0.016421,-0.035946
70.17,33.07,-0.015253,-0.035075
73.67,33.07,-0.013491,-0.033294
77.17,33.07,-0.012145,-0.031935
80.85,33.07,-0.0105,-0.030543
84.35,33.07,-0.008759,-0.029166
87.85,33.07,-0.00757,-0.027484
91.35,33.07,-0.006116,-0.026575
95.02,33.07,-0.004847,-0.025358
98.52,33.07,-0.003516,-0.024209
102.02,33.07,-0.00216,-0.022767
105.7,33.07,-0.000919,-0.021698
109.2,33.07,0.000203,-0.02038
112.7,33.07,0.001302,-0.019178
116.2,33.07,0.002202,-0.01842
119.87,33.07,0.002405,-0.016837
123.37,33.07,0.002559,-0.018334
127.05,33.07,0.00288,-0.01725
130.55,33.07,0.002877,-0.017339
134.22,33.07,0.003098,-0.016865
137.72,33.07,0.00336,-0.016316
