x,y,z,z2
7.0,0.0,-0.004711,-0.024015
10.68,0.0,-0.004837,-0.024172
14.18,0.0,-0.004736,-0.024064
17.68,0.0,-0.004653,-0.02444
21.53,0.0,-0.004841,-0.0272
25.2,0.0,-0.00468,-0.02537
28.7,0.0,-0.00436,-0.025019
32.38,0.0,-0.00424,-0.024471
35.87,0.0,-0.004283,-0.024264
39.55,0.0,-0.004268,-0.023359
42.87,0.0,-0.004628,-0.024064
46.55,0.0,-0.004557,-0.02411
50.22,0.0,-0.004988,-0.02424
53.55,0.0,-0.005019,-0.024462
57.22,0.0,-0.004955,-0.024295
60.72,0.0,-0.004841,-0.024267
64.22,0.0,-0.00436,-0.023969
67.72,0.0,-0.004157,-0.023731
71.4,0.0,-0.003581,-0.023959
75.07,0.0,-0.003242,-0.024135
78.57,0.0,-0.002847,-0.023525
82.07,0.0,-0.002428,-0.023094
85.75,0.0,-0.001963,-0.022718
89.42,0.0,-0.001646,-0.022015
92.75,0.0,-0.001399,-0.021905
96.42,0.0,-0.001224,-0.021023
99.92,0.0,-0.00091,-0.020682
103.6,0.0,-0.000925,-0.02017
107.1,0.0,-0.000435,-0.019877
110.77,0.0,-0.000487,-0.019751
114.27,0.0,-9.3e-05,-0.019536
117.77,0.0,-0.000241,-0.019277
121.27,0.0,-9.9e-05,-0.019868
124.77,0.0,-0.000186,-0.019619
128.27,0.0,-7.2e-05,-0.019727
131.77,0.0,-0.000555,-0.019976
135.27,0.0,-0.000817,-0.020617
138.95,0.0,-0.001128,-0.021597
142.45,0.0,-0.001495,-0.021424
145.77,0.0,-0.002089,-0.023269
149.62,0.0,-0.002515,-0.022912
153.13,0.0,-0.002487,-0.022955
156.63,0.0,-0.002385,-0.022869
160.13,0.0,-0.002037,-0.02261
163.8,0.0,-0.001772,-0.022197
167.3,0.0,-0.001282,-0.021809
170.8,0.0,-0.000792,-0.021042
174.3,0.0,-0.000888,-0.02123
177.98,0.0,-0.000407,-0.020404
181.48,0.0,-0.000377,-0.020555
184.98,0.0,-0.000491,-0.020506
188.48,0.0,-0.000389,-0.020115
192.33,0.0,0.000101,-0.018442
195.83,0.0,0.000662,-0.018885
199.33,0.0,0.000988,-0.01855
202.83,0.0,0.00125,-0.018932
206.5,0.0,0.001296,-0.018334
210.0,0.0,0.001607,-0.018605
213.5,0.0,0.001706,-0.017937
217.18,0.0,0.001666,-0.01924
220.68,0.0,0.001814,-0.01907
224.18,0.0,0.001389,-0.018861
227.68,0.0,0.001379,-0.019129
231.35,0.0,0.000979,-0.019341
234.85,0.0,0.000492,-0.019785
238.35,0.0,0.000378,-0.020213
241.85,0.0,-0.000118,-0.019902
245.53,0.0,-3.2e-05,-0.019446
249.03,0.0,-0.000407,-0.020032
252.7,0.0,-0.000574,-0.01936
256.2,0.0,-0.000558,-0.019825
259.88,0.0,-0.000152,-0.019884
263.38,0.0,-0.000105,-0.020019
267.05,0.0,0.000298,-0.01985
270.55,0.0,0.000689,-0.019748
274.05,0.0,0.001099,-0.019277
277.55,0.0,0.001195,-0.019418
281.05,0.0,0.001466,-0.019138
284.73,0.0,0.001007,-0.019446
288.23,0.0,0.000655,-0.020044
291.73,0.0,5.8e-05,-0.02046
295.23,0.0,-0.000441,-0.021255
298.73,0.0,-0.000805,-0.021298
302.4,0.0,-0.001218,-0.021735
305.9,0.0,-0.001184,-0.02156
309.4,0.0,-0.001634,-0.021458
312.9,0.0,-0.00152,-0.021258
316.58,0.0,-0.00115,-0.021218
320.08,0.0,-0.001261,-0.020497
323.58,0.0,-0.001285,-0.020996
327.25,0.0,-0.000848,-0.019908
330.75,0.0,-0.000312,-0.019871
334.25,0.0,0.000582,-0.019178
337.75,0.0,0.001506,-0.018371
341.25,0.0,0.002063,-0.017619
344.93,0.0,0.002575,-0.017129
348.43,0.0,0.003025,-0.017484
352.1,0.0,0.003357,-0.017585
355.6,0.0,0.003816,-0.016828
359.1,0.0,0.00463,-0.01578
362.6,0.0,0.005424,-0.015577
366.28,0.0,0.005665,-0.014877
369.78,0.0,0.006173,-0.014782
373.28,0.0,0.006416,-0.014249
376.95,0.0,0.006555,-0.013929
380.45,0.0,0.0069,-0.013334
384.13,0.0,0.006423,-0.013217
387.63,0.0,0.006478,-0.013134
391.13,0.0,0.006352,-0.013023
394.63,0.0,0.006481,-0.013155
398.13,0.0,0.006398,-0.013051
401.8,0.0,0.006364,-0.012826
405.3,0.0,0.006496,-0.013023
408.8,0.0,0.006395,-0.013411
412.3,0.0,0.006136,-0.013861
415.98,0.0,0.005834,-0.014446
419.48,0.0,0.005218,-0.015173
423.15,0.0,0.004925,-0.015321
426.65,0.0,0.004439,-0.016014
430.15,0.0,0.003835,-0.01655
433.65,0.0,0.00385,-0.01716
437.33,0.0,0.003764,-0.017096
440.83,0.0,0.003752,-0.016707
444.33,0.0,0.004217,-0.016603
447.83,0.0,0.004032,-0.016473
451.33,0.0,0.003761,-0.016861
454.83,0.0,0.003622,-0.01664
458.33,0.0,0.00381,-0.01647
462.0,0.0,0.003444,-0.016834
465.5,0.0,0.003521,-0.016824
469.0,0.0,0.002837,-0.016778
472.68,0.0,0.002566,-0.017151
476.0,0.0,0.002575,-0.016905
479.68,0.0,0.002205,-0.017228
483.18,0.0,0.002251,-0.017231
486.68,0.0,0.001743,-0.017629
490.35,0.0,0.001903,-0.017567
493.85,0.0,0.001752,-0.017453
497.35,0.0,0.002205,-0.017274
500.85,0.0,0.002248,-0.017447
504.35,0.0,0.002276,-0.017456
507.85,0.0,0.002193,-0.017961
511.53,0.0,0.002452,-0.017071
515.03,0.0,0.002566,-0.017693
518.53,0.0,0.00218,-0.018291
522.03,0.0,0.00211,-0.018473
525.7,0.0,0.00222,-0.017915
529.2,0.0,0.001783,-0.018473
532.7,0.0,0.00186,-0.018565
536.2,0.0,0.001882,-0.018895
539.7,0.0,0.002156,-0.018294
543.2,0.0,0.002217,-0.01851
546.88,0.0,0.002599,-0.017866
550.38,0.0,0.003006,-0.017401
553.88,0.0,0.002821,-0.017555
557.38,0.0,0.003348,-0.017
560.88,0.0,0.003419,-0.017089
564.2,0.0,0.003068,-0.016556
567.88,0.0,0.002978,-0.016322
571.73,0.0,0.002877,-0.016344
575.23,0.0,0.002883,-0.016215
578.73,0.0,0.002941,-0.016298
582.05,0.0,0.002984,-0.016923
585.9,0.0,0.003003,-0.016865
589.4,0.0,0.002914,-0.016942
593.08,0.0,0.002941,-0.017163
596.58,0.0,0.002686,-0.017866
600.08,0.0,0.002673,-0.017816
603.75,0.0,0.002624,-0.018728
607.25,0.0,0.002504,-0.017829
610.75,0.0,0.002344,-0.018359
614.25,0.0,0.002168,-0.018476
617.92,0.0,0.002137,-0.018368
621.42,0.0,0.001715,-0.018627
624.92,0.0,0.001848,-0.018294
628.6,0.0,0.001792,-0.01672
632.1,0.0,0.001509,-0.018183
635.6,0.0,0.001,-0.018343
639.27,0.0,0.000557,-0.018753
642.77,0.0,0.000591,-0.018953
646.45,0.0,0.000375,-0.01915
649.95,0.0,0.000246,-0.019095
653.45,0.0,0.000332,-0.020016
656.95,0.0,0.000597,-0.019696
660.62,0.0,0.000526,-0.019449
664.12,0.0,0.000945,-0.020028
667.62,0.0,0.001595,-0.019499
671.3,0.0,0.001472,-0.019243
674.8,0.0,0.001826,-0.018707
678.3,0.0,0.002233,-0.018349
681.8,0.0,0.002578,-0.017841
685.3,0.0,0.002479,-0.018001
688.97,0.0,0.002464,-0.017761
692.47,0.0,0.002535,-0.017866
695.97,0.0,0.002214,-0.017585
699.65,0.0,0.002224,-0.017367
702.97,0.0,0.002532,-0.016892
706.65,0.0,0.002593,-0.016791
710.32,0.0,0.00218,-0.017228
12.43,35.0,-0.003245,-0.03017
15.93,35.0,-0.003251,-0.023892
19.43,35.0,-0.003516,-0.024064
23.1,35.0,-0.003565,-0.023833
26.6,35.0,-0.003867,-0.023852
30.28,35.0,-0.00391,-0.022995
33.95,35.0,-0.004492,-0.022724
37.45,35.0,-0.004739,-0.024021
41.13,35.0,-0.005022,-0.024609
44.63,35.0,-0.005195,-0.024831
48.13,35.0,-0.005256,-0.024668
51.8,35.0,-0.005032,-0.025426
55.3,35.0,-0.005278,-0.025121
58.8,35.0,-0.004865,-0.02529
62.48,35.0,-0.004144,-0.024714
65.8,35.0,-0.003316,-0.023679
69.48,35.0,-0.002613,-0.023343
72.98,35.0,-0.001634,-0.022157
76.48,35.0,-0.00127,-0.021895
79.98,35.0,-0.000737,-0.021402
83.65,35.0,-0.000611,-0.021119
87.15,35.0,-1e-05,-0.020195
90.65,35.0,0.000107,-0.020096
94.15,35.0,0.000363,-0.019807
97.83,35.0,-9.9e-05,-0.019877
101.33,35.0,-8.4e-05,-0.019415
104.83,35.0,-0.000139,-0.01972
108.33,35.0,-5.3e-05,-0.01956
112.0,35.0,-0.000281,-0.019375
115.5,35.0,-0.0005,-0.019921
119.0,35.0,-0.000916,-0.02025
122.5,35.0,-0.000737,-0.02033
126.18,35.0,-0.000879,-0.020383
129.68,35.0,-0.000894,-0.020528
133.18,35.0,-0.000506,-0.02034
136.68,35.0,-0.000598,-0.020192
