x,y,z
1.05,0.0,0.020015
2.05,0.0,0.020378
3.15,0.0,0.020862
4.15,0.0,0.02105
5.2,0.0,0.020766
6.25,0.0,0.020409
7.3,0.0,0.019913
8.3,0.0,0.019657
9.3,0.0,0.019417
10.3,0.0,0.018761
11.35,0.0,0.018357
12.4,0.0,0.017726
13.4,0.0,0.016654
14.4,0.0,0.015816
15.45,0.0,0.014691
16.45,0.0,0.013995
17.45,0.0,0.013031
18.5,0.0,0.012569
19.5,0.0,0.012769
20.55,0.0,0.012541
21.6,0.0,0.012935
22.6,0.0,0.013129
23.65,0.0,0.013437
24.65,0.0,0.013625
25.7,0.0,0.014174
26.7,0.0,0.014546
27.7,0.0,0.014593
28.75,0.0,0.014571
29.75,0.0,0.014648
30.7,0.0,0.014094
31.7,0.0,0.014115
32.8,0.0,0.013557
33.8,0.0,0.012991
34.8,0.0,0.012424
35.9,0.0,0.011432
36.95,0.0,0.010354
37.95,0.0,0.009183
39.0,0.0,0.007994
40.1,0.0,0.006848
41.15,0.0,0.005692
42.15,0.0,0.004688
43.2,0.0,0.003505
44.2,0.0,0.002692
45.25,0.0,0.002066
46.25,0.0,0.001228
47.3,0.0,0.0008
48.3,0.0,0.001192
49.35,0.0,0.001832
50.4,0.0,0.002735
51.4,0.0,0.003234
52.45,0.0,0.004032
53.45,0.0,0.004614
54.45,0.0,0.005384
55.5,0.0,0.005504
56.55,0.0,0.006623
57.6,0.0,0.007344
58.65,0.0,0.008564
59.65,0.0,0.009833
60.65,0.0,0.011062
61.7,0.0,0.012436
62.7,0.0,0.013699
63.7,0.0,0.014962
64.75,0.0,0.016084
65.8,0.0,0.017402
66.8,0.0,0.018524
67.85,0.0,0.020233
68.85,0.0,0.022612
69.9,0.0,0.025443
70.95,0.0,0.029374
71.95,0.0,0.033539
73.0,0.0,0.038098
74.0,0.0,0.043483
75.0,0.0,0.049885
76.0,0.0,0.058117
77.05,0.0,0.067698
78.1,0.0,0.079765
79.15,0.0,0.094836
80.15,0.0,0.113653
81.2,0.0,0.136376
82.2,0.0,0.162467
83.25,0.0,0.194038
84.25,0.0,0.231407
85.25,0.0,0.273083
86.3,0.0,0.321986
87.3,0.0,0.371893
88.35,0.0,0.426822
89.35,0.0,0.47803
90.35,0.0,0.525763
91.3,0.0,0.565408
92.45,0.0,0.591209
93.5,0.0,0.599484
94.5,0.0,0.584977
95.55,0.0,0.546443
96.6,0.0,0.48299
97.6,0.0,0.397057
98.6,0.0,0.291465
99.6,0.0,0.17096
100.65,0.0,0.044472
101.65,0.0,0.08946
102.65,0.0,0.216789
103.7,0.0,0.336092
104.7,0.0,0.436243
105.75,0.0,0.519074
106.75,0.0,0.577574
107.75,0.0,0.6151
108.65,0.0,0.630901
109.75,0.0,0.628002
110.8,0.0,0.608966
111.85,0.0,0.576258
112.9,0.0,0.534734
113.9,0.0,0.489823
114.9,0.0,0.442839
115.95,0.0,0.393748
117.0,0.0,0.348927
118.0,0.0,0.306373
119.0,0.0,0.267568
120.0,0.0,0.233286
121.05,0.0,0.201607
122.05,0.0,0.174531
123.1,0.0,0.151182
124.15,0.0,0.130474
125.15,0.0,0.113163
126.2,0.0,0.097581
127.25,0.0,0.08576
128.3,0.0,0.075708
129.3,0.0,0.066999
130.3,0.0,0.059833
131.35,0.0,0.053191
132.35,0.0,0.047821
133.35,0.0,0.042889
134.4,0.0,0.038114
135.45,0.0,0.035058
136.45,0.0,0.033111
137.5,0.0,0.031312
138.55,0.0,0.029839
139.6,0.0,0.028308
140.65,0.0,0.027294
141.7,0.0,0.02601
142.7,0.0,0.024642
143.75,0.0,0.023428
144.8,0.0,0.022267
145.8,0.0,0.021142
146.8,0.0,0.019833
147.8,0.0,0.018702
148.85,0.0,0.017738
149.9,0.0,0.016601
150.9,0.0,0.015443
151.9,0.0,0.014306
152.9,0.0,0.013117
153.95,0.0,0.011869
154.95,0.0,0.011145
156.05,0.0,0.010424
157.05,0.0,0.009596
158.1,0.0,0.009023
159.1,0.0,0.008869
160.2,0.0,0.00841
161.2,0.0,0.008419
162.2,0.0,0.008471
163.2,0.0,0.008126
164.35,0.0,0.008308
165.4,0.0,0.008884
166.4,0.0,0.009318
167.45,0.0,0.010045
168.55,0.0,0.010369
169.55,0.0,0.010255
170.6,0.0,0.010372
171.6,0.0,0.010375
172.55,0.0,0.010067
173.65,0.0,0.009935
174.65,0.0,0.010042
175.65,0.0,0.009867
176.65,0.0,0.010255
177.7,0.0,0.010751
178.75,0.0,0.010742
179.75,0.0,0.010529
180.8,0.0,0.009833
181.8,0.0,0.009442
182.8,0.0,0.009097
183.85,0.0,0.009072
184.85,0.0,0.009198
185.85,0.0,0.009084
186.9,0.0,0.009229
187.9,0.0,0.008742
188.9,0.0,0.008499
189.95,0.0,0.008052
191.0,0.0,0.008006
192.05,0.0,0.008009
193.05,0.0,0.008031
194.1,0.0,0.008607
195.1,0.0,0.009174
196.15,0.0,0.009648
196.95,9.0,0.010748
195.95,9.0,0.011469
194.8,9.0,0.01211
193.8,9.0,0.012667
192.8,9.0,0.012578
191.8,9.0,0.01283
190.8,9.0,0.012923
189.75,9.0,0.013068
188.75,9.0,0.012643
187.75,9.0,0.012307
186.75,9.0,0.011438
185.7,9.0,0.011031
184.7,9.0,0.010776
183.7,9.0,0.010277
182.45,9.0,0.010686
181.45,9.0,0.011102
180.4,9.0,0.011623
179.4,9.0,0.011903
178.35,9.0,0.012208
177.35,9.0,0.012599
176.3,9.0,0.013058
175.3,9.0,0.012951
174.25,9.0,0.013391
173.2,9.0,0.013613
172.2,9.0,0.014053
171.2,9.0,0.014257
170.2,9.0,0.014549
169.15,9.0,0.014916
168.2,9.0,0.014845
167.15,9.0,0.014891
166.1,9.0,0.014667
165.1,9.0,0.014103
164.1,9.0,0.013755
163.05,9.0,0.013132
162.05,9.0,0.012624
161.0,9.0,0.011811
160.0,9.0,0.010948
158.95,9.0,0.010264
157.95,9.0,0.009497
156.9,9.0,0.008373
155.9,9.0,0.007738
154.85,9.0,0.007196
153.85,9.0,0.006654
152.85,9.0,0.00637
151.8,9.0,0.006013
150.8,9.0,0.006114
149.75,9.0,0.005813
148.75,9.0,0.005273
147.7,9.0,0.00491
146.65,9.0,0.004531
145.65,9.0,0.004214
144.65,9.0,0.003715
143.6,9.0,0.003687
142.6,9.0,0.003776
141.55,9.0,0.004574
140.55,9.0,0.005594
139.5,9.0,0.006968
138.5,9.0,0.008474
137.45,9.0,0.009981
136.45,9.0,0.011336
135.4,9.0,0.012726
134.35,9.0,0.013761
133.35,9.0,0.015005
132.35,9.0,0.015806
131.3,9.0,0.01678
130.25,9.0,0.017374
129.2,9.0,0.018114
128.2,9.0,0.018986
127.2,9.0,0.020085
126.15,9.0,0.02153
125.1,9.0,0.022861
124.1,9.0,0.02401
123.1,9.0,0.025196
122.05,9.0,0.026456
121.05,9.0,0.027492
120.05,9.0,0.028801
119.0,9.0,0.030745
118.0,9.0,0.033391
116.95,9.0,0.0365
115.95,9.0,0.040418
114.95,9.0,0.045199
113.9,9.0,0.05064
112.9,9.0,0.057279
111.85,9.0,0.065085
110.8,9.0,0.074408
109.75,9.0,0.085147
108.75,9.0,0.098061
107.7,9.0,0.114195
106.7,9.0,0.132975
105.65,9.0,0.156422
104.65,9.0,0.182858
103.65,9.0,0.215575
102.65,9.0,0.253628
101.6,9.0,0.29791
100.6,9.0,0.346576
99.45,9.0,0.40827
98.4,9.0,0.465538
97.4,9.0,0.520655
96.35,9.0,0.571289
95.35,9.0,0.613997
94.3,9.0,0.642167
93.3,9.0,0.652555
92.25,9.0,0.64116
91.2,9.0,0.605417
90.2,9.0,0.545575
89.2,9.0,0.463911
88.15,9.0,0.364139
87.15,9.0,0.249367
86.15,9.0,0.12905
85.1,9.0,0.036198
84.05,9.0,0.134614
83.05,9.0,0.245048
82.0,9.0,0.342645
81.0,9.0,0.421135
80.0,9.0,0.47661
78.95,9.0,0.514678
77.95,9.0,0.532842
76.95,9.0,0.534053
75.9,9.0,0.52051
74.9,9.0,0.495282
73.85,9.0,0.461597
72.85,9.0,0.423646
71.8,9.0,0.381237
70.8,9.0,0.339965
69.75,9.0,0.299155
68.75,9.0,0.262044
67.7,9.0,0.224913
66.65,9.0,0.193603
65.6,9.0,0.165418
