x,y,z
1.0,0.0,0.00906
2.05,0.0,0.010002
3.05,0.0,0.010717
4.15,0.0,0.011025
5.2,0.0,0.011025
6.2,0.0,0.010532
7.2,0.0,0.010332
8.25,0.0,0.00966
9.3,0.0,0.009278
10.3,0.0,0.009167
11.35,0.0,0.008742
12.35,0.0,0.008853
13.4,0.0,0.009143
14.4,0.0,0.009472
15.5,0.0,0.010384
16.55,0.0,0.011161
17.65,0.0,0.012291
18.65,0.0,0.012926
19.7,0.0,0.013671
20.7,0.0,0.014251
21.75,0.0,0.014867
22.95,0.0,0.01528
24.0,0.0,0.015267
25.0,0.0,0.015227
26.05,0.0,0.015193
27.1,0.0,0.014904
28.15,0.0,0.014174
29.2,0.0,0.013906
30.25,0.0,0.013345
31.25,0.0,0.013422
32.3,0.0,0.013767
33.35,0.0,0.013773
34.35,0.0,0.014124
35.4,0.0,0.014608
36.4,0.0,0.014999
37.45,0.0,0.014925
38.5,0.0,0.015372
39.5,0.0,0.015332
40.55,0.0,0.015347
41.55,0.0,0.015277
42.55,0.0,0.014827
43.9,0.0,0.014417
44.95,0.0,0.014149
45.95,0.0,0.013779
46.95,0.0,0.013363
48.0,0.0,0.013382
49.0,0.0,0.013074
50.05,0.0,0.01287
51.05,0.0,0.013456
52.1,0.0,0.014066
53.15,0.0,0.014463
54.15,0.0,0.015203
55.2,0.0,0.015976
56.2,0.0,0.016694
57.5,0.0,0.01743
58.55,0.0,0.018015
59.6,0.0,0.018502
60.8,0.0,0.020104
61.8,0.0,0.021555
62.85,0.0,0.023172
63.85,0.0,0.024642
65.05,0.0,0.0265
66.1,0.0,0.028699
67.2,0.0,0.031114
68.2,0.0,0.033419
69.45,0.0,0.036173
70.5,0.0,0.039023
71.5,0.0,0.042673
72.6,0.0,0.04783
73.75,0.0,0.054004
74.8,0.0,0.061059
75.8,0.0,0.068776
76.95,0.0,0.080129
78.1,0.0,0.094448
79.1,0.0,0.110902
80.1,0.0,0.130014
81.1,0.0,0.153221
82.4,0.0,0.188619
83.4,0.0,0.222873
84.45,0.0,0.264565
85.5,0.0,0.310236
86.6,0.0,0.364669
87.65,0.0,0.418144
88.65,0.0,0.472454
89.7,0.0,0.522198
90.65,0.0,0.562762
91.75,0.0,0.593942
92.75,0.0,0.60762
93.8,0.0,0.600276
94.9,0.0,0.566412
95.9,0.0,0.511718
96.95,0.0,0.428338
98.0,0.0,0.323942
99.0,0.0,0.202356
100.2,0.0,0.055849
101.25,0.0,0.083832
102.25,0.0,0.212337
103.25,0.0,0.327953
104.35,0.0,0.436425
105.4,0.0,0.518135
106.4,0.0,0.573825
107.5,0.0,0.610781
108.6,0.0,0.624019
109.65,0.0,0.61648
110.7,0.0,0.592528
111.7,0.0,0.558313
112.85,0.0,0.512716
113.85,0.0,0.464808
114.9,0.0,0.41722
115.95,0.0,0.369053
116.95,0.0,0.322805
118.05,0.0,0.279623
119.05,0.0,0.243492
120.0,0.0,0.208761
121.1,0.0,0.179059
122.15,0.0,0.154084
123.1,0.0,0.131672
124.15,0.0,0.112784
125.2,0.0,0.095831
126.3,0.0,0.081228
127.3,0.0,0.070169
128.35,0.0,0.060569
129.3,0.0,0.052082
130.4,0.0,0.045588
131.5,0.0,0.040045
132.45,0.0,0.03528
133.6,0.0,0.032116
134.65,0.0,0.029158
135.6,0.0,0.026835
136.65,0.0,0.025104
137.7,0.0,0.023705
138.75,0.0,0.022153
139.95,0.0,0.020896
141.0,0.0,0.019842
142.1,0.0,0.018684
143.15,0.0,0.018465
144.35,0.0,0.01731
145.35,0.0,0.016173
146.35,0.0,0.015227
147.4,0.0,0.014248
148.5,0.0,0.012843
149.5,0.0,0.0115
150.55,0.0,0.010332
151.6,0.0,0.009272
152.65,0.0,0.008151
153.7,0.0,0.006906
154.7,0.0,0.005696
155.75,0.0,0.004337
156.8,0.0,0.00332
157.9,0.0,0.002793
158.95,0.0,0.002174
159.95,0.0,0.001845
161.0,0.0,0.001466
162.0,0.0,0.001078
163.0,0.0,0.000655
164.1,0.0,0.000766
165.15,0.0,0.000702
166.2,0.0,0.001148
167.25,0.0,0.002183
168.25,0.0,0.002991
169.3,0.0,0.003829
170.55,0.0,0.004667
171.55,0.0,0.004901
172.55,0.0,0.005363
173.65,0.0,0.005622
174.65,0.0,0.005991
175.65,0.0,0.006521
176.7,0.0,0.007217
177.7,0.0,0.008271
178.75,0.0,0.009596
179.8,0.0,0.011056
180.85,0.0,0.011909
181.85,0.0,0.012541
182.85,0.0,0.012621
183.9,0.0,0.013092
184.95,0.0,0.012609
185.95,0.0,0.012664
187.0,0.0,0.01223
187.95,0.0,0.012039
189.05,0.0,0.012177
190.05,0.0,0.012122
191.05,0.0,0.012769
192.25,0.0,0.012972
193.3,0.0,0.012978
194.35,0.0,0.013333
195.35,0.0,0.013333
196.55,9.0,0.01064
195.55,9.0,0.010523
194.5,9.0,0.010791
193.5,9.0,0.01072
192.5,9.0,0.010631
191.45,9.0,0.010609
190.4,9.0,0.010582
189.4,9.0,0.011007
188.45,9.0,0.011105
187.35,9.0,0.010979
186.3,9.0,0.011469
185.3,9.0,0.011398
184.3,9.0,0.011909
183.25,9.0,0.011915
182.2,9.0,0.01174
181.15,9.0,0.011854
180.1,9.0,0.011814
179.1,9.0,0.011808
178.05,9.0,0.012079
177.05,9.0,0.012147
175.95,9.0,0.012572
174.95,9.0,0.013114
173.85,9.0,0.013037
172.85,9.0,0.01348
171.8,9.0,0.013379
170.8,9.0,0.013222
169.7,9.0,0.013222
168.65,9.0,0.013373
167.6,9.0,0.013308
166.55,9.0,0.013422
165.5,9.0,0.013339
164.45,9.0,0.01304
163.4,9.0,0.012578
162.4,9.0,0.012581
161.35,9.0,0.012273
160.3,9.0,0.011851
159.25,9.0,0.011219
158.2,9.0,0.010665
157.2,9.0,0.009925
156.15,9.0,0.008983
155.15,9.0,0.007914
154.15,9.0,0.006928
153.1,9.0,0.005865
152.0,9.0,0.004765
150.95,9.0,0.003943
149.95,9.0,0.002966
148.95,9.0,0.002439
147.9,9.0,0.001838
146.85,9.0,0.001293
145.8,9.0,0.001056
144.75,9.0,0.001518
143.65,9.0,0.002156
142.65,9.0,0.00271
141.6,9.0,0.004112
140.55,9.0,0.005545
139.55,9.0,0.00731
138.5,9.0,0.009004
137.5,9.0,0.010363
136.4,9.0,0.011084
135.25,9.0,0.011758
134.25,9.0,0.012063
133.2,9.0,0.012177
131.85,9.0,0.012932
130.85,9.0,0.013055
129.8,9.0,0.013844
128.75,9.0,0.014479
