x,y,z
1.0,0.0,0.021312
2.0,0.0,0.021623
3.1,0.0,0.021207
4.15,0.0,0.020825
5.15,0.0,0.020144
6.15,0.0,0.019254
7.2,0.0,0.018462
8.25,0.0,0.018148
9.25,0.0,0.017294
10.3,0.0,0.015871
11.3,0.0,0.014365
12.35,0.0,0.012612
13.35,0.0,0.010859
14.35,0.0,0.009297
15.35,0.0,0.007713
16.4,0.0,0.006546
17.4,0.0,0.005233
18.4,0.0,0.004334
19.45,0.0,0.003231
20.45,0.0,0.003305
21.45,0.0,0.003314
22.5,0.0,0.002972
23.55,0.0,0.002957
24.6,0.0,0.003336
25.65,0.0,0.003665
26.65,0.0,0.004004
27.65,0.0,0.004362
28.75,0.0,0.004386
29.75,0.0,0.004744
30.8,0.0,0.004996
31.85,0.0,0.004876
32.85,0.0,0.005036
33.85,0.0,0.005406
34.9,0.0,0.005397
35.9,0.0,0.005338
36.9,0.0,0.004941
37.95,0.0,0.004639
38.95,0.0,0.003607
39.95,0.0,0.003521
40.95,0.0,0.003003
42.0,0.0,0.002636
43.0,0.0,0.002769
44.0,0.0,0.002738
45.05,0.0,0.002535
46.05,0.0,0.002572
47.1,0.0,0.003025
48.1,0.0,0.003434
49.1,0.0,0.004374
50.15,0.0,0.005172
51.2,0.0,0.005908
52.2,0.0,0.00654
53.2,0.0,0.007187
54.2,0.0,0.007723
55.3,0.0,0.008049
56.3,0.0,0.008767
57.3,0.0,0.009522
58.35,0.0,0.010338
59.35,0.0,0.01105
60.35,0.0,0.012103
61.4,0.0,0.013388
62.45,0.0,0.014839
63.45,0.0,0.016201
64.45,0.0,0.017738
65.5,0.0,0.019512
66.5,0.0,0.021808
67.5,0.0,0.024586
68.55,0.0,0.02779
69.6,0.0,0.031281
70.6,0.0,0.034904
71.65,0.0,0.039309
72.65,0.0,0.044167
73.65,0.0,0.049318
74.7,0.0,0.056047
75.75,0.0,0.064703
76.8,0.0,0.074996
77.8,0.0,0.087621
78.8,0.0,0.103795
79.8,0.0,0.12357
80.85,0.0,0.14718
81.85,0.0,0.175464
82.9,0.0,0.209999
83.9,0.0,0.25068
84.95,0.0,0.297457
86.0,0.0,0.351558
87.0,0.0,0.407149
88.05,0.0,0.46616
89.05,0.0,0.52214
90.05,0.0,0.571388
91.1,0.0,0.612115
92.1,0.0,0.635975
93.15,0.0,0.639986
94.15,0.0,0.620442
95.2,0.0,0.573455
96.2,0.0,0.502395
97.25,0.0,0.402679
98.25,0.0,0.284081
99.3,0.0,0.149241
100.35,0.0,0.016389
101.35,0.0,0.137698
102.4,0.0,0.271496
103.4,0.0,0.392442
104.45,0.0,0.494595
105.45,0.0,0.57351
106.5,0.0,0.630541
107.55,0.0,0.661394
108.55,0.0,0.668707
109.55,0.0,0.657435
110.6,0.0,0.631012
111.65,0.0,0.59104
112.65,0.0,0.544216
113.7,0.0,0.491933
114.7,0.0,0.441209
115.75,0.0,0.390103
116.75,0.0,0.341878
117.75,0.0,0.297981
118.8,0.0,0.257981
119.8,0.0,0.222846
120.8,0.0,0.190757
121.8,0.0,0.1645
122.9,0.0,0.140646
123.95,0.0,0.120843
124.95,0.0,0.1047
126.0,0.0,0.090677
127.0,0.0,0.07962
128.0,0.0,0.070313
129.05,0.0,0.062442
130.1,0.0,0.055751
131.1,0.0,0.049971
132.1,0.0,0.045963
133.15,0.0,0.042051
134.15,0.0,0.038471
135.15,0.0,0.035662
136.2,0.0,0.033151
137.2,0.0,0.031102
138.25,0.0,0.029217
139.25,0.0,0.027753
140.3,0.0,0.026952
141.3,0.0,0.026835
142.3,0.0,0.026706
143.3,0.0,0.026342
144.35,0.0,0.02597
145.4,0.0,0.025335
146.45,0.0,0.024232
147.45,0.0,0.02296
148.5,0.0,0.021721
149.55,0.0,0.020418
150.55,0.0,0.019254
151.6,0.0,0.018533
152.7,0.0,0.017507
153.7,0.0,0.016546
154.7,0.0,0.015816
155.75,0.0,0.01532
156.85,0.0,0.014485
157.95,0.0,0.013955
159.0,0.0,0.01336
160.0,0.0,0.012609
161.05,0.0,0.012248
162.1,0.0,0.01231
163.15,0.0,0.011872
164.2,0.0,0.011789
165.2,0.0,0.012451
166.25,0.0,0.012562
167.25,0.0,0.013357
168.3,0.0,0.013601
169.3,0.0,0.013779
170.35,0.0,0.014195
171.4,0.0,0.014312
172.4,0.0,0.014913
173.45,0.0,0.015224
174.5,0.0,0.016155
175.5,0.0,0.016456
176.55,0.0,0.016977
177.6,0.0,0.017165
178.65,0.0,0.016758
179.7,0.0,0.016401
0.15,9.0,0.010637
0.85,9.0,0.010646
1.9,9.0,0.010686
2.95,9.0,0.010736
3.95,9.0,0.010224
5.0,9.0,0.010002
6.0,9.0,0.009451
7.0,9.0,0.008259
8.05,9.0,0.007513
9.05,9.0,0.006367
10.05,9.0,0.00572
11.1,9.0,0.004925
12.1,9.0,0.004685
13.15,9.0,0.00459
14.15,9.0,0.00503
15.15,9.0,0.005058
16.2,9.0,0.004984
17.2,9.0,0.004864
18.2,9.0,0.005323
19.25,9.0,0.005696
20.3,9.0,0.005344
21.35,9.0,0.004999
22.35,9.0,0.004355
23.4,9.0,0.004044
24.45,9.0,0.004322
25.5,9.0,0.004232
26.5,9.0,0.004081
27.55,9.0,0.003798
28.6,9.0,0.003859
29.65,9.0,0.003311
30.6,9.0,0.002701
31.7,9.0,0.002467
32.7,9.0,0.001721
33.75,9.0,0.001078
34.75,9.0,0.00072
35.75,9.0,0.000816
36.75,9.0,0.001179
37.75,9.0,0.001342
38.8,9.0,0.001493
39.8,9.0,0.001604
40.8,9.0,0.001453
41.85,9.0,0.001346
42.85,9.0,0.001854
43.9,9.0,0.002689
44.9,9.0,0.002707
45.9,9.0,0.002498
46.95,9.0,0.002834
47.95,9.0,0.00292
48.95,9.0,0.002892
50.0,9.0,0.00344
51.0,9.0,0.004167
52.05,9.0,0.004623
53.1,9.0,0.00511
54.1,9.0,0.005917
55.15,9.0,0.006478
56.2,9.0,0.006952
57.25,9.0,0.007239
58.25,9.0,0.007639
59.3,9.0,0.008514
60.35,9.0,0.009956
61.35,9.0,0.011198
62.35,9.0,0.013289
63.35,9.0,0.01556
64.35,9.0,0.017793
65.4,9.0,0.020073
66.45,9.0,0.022621
67.5,9.0,0.025415
68.5,9.0,0.028191
69.55,9.0,0.031518
70.55,9.0,0.034488
71.6,9.0,0.038585
72.6,9.0,0.043092
73.75,9.0,0.049845
74.8,9.0,0.057048
75.8,9.0,0.065585
76.85,9.0,0.07657
77.9,9.0,0.089885
78.9,9.0,0.106641
79.9,9.0,0.127451
80.9,9.0,0.152008
81.9,9.0,0.180951
82.9,9.0,0.217045
83.95,9.0,0.260054
84.95,9.0,0.308012
86.0,9.0,0.361018
87.05,9.0,0.416342
88.05,9.0,0.470535
89.1,9.0,0.524697
90.1,9.0,0.568969
91.0,9.0,0.602968
92.15,9.0,0.62079
93.2,9.0,0.617814
94.2,9.0,0.590457
95.2,9.0,0.538135
96.25,9.0,0.460535
97.3,9.0,0.359148
98.25,9.0,0.241967
99.3,9.0,0.110911
100.35,9.0,0.048089
101.35,9.0,0.172833
102.4,9.0,0.30189
103.4,9.0,0.41746
104.45,9.0,0.508427
105.5,9.0,0.578976
106.5,9.0,0.626252
107.5,9.0,0.648809
108.55,9.0,0.650778
109.55,9.0,0.635725
110.6,9.0,0.606391
111.6,9.0,0.567808
112.6,9.0,0.524025
113.6,9.0,0.474527
114.65,9.0,0.42461
115.65,9.0,0.37506
116.65,9.0,0.330254
117.7,9.0,0.286795
118.7,9.0,0.250094
119.75,9.0,0.215652
120.75,9.0,0.185698
121.8,9.0,0.160652
122.8,9.0,0.139371
123.85,9.0,0.120067
124.85,9.0,0.104414
125.9,9.0,0.090649
126.9,9.0,0.079867
127.95,9.0,0.070572
128.95,9.0,0.063031
130.0,9.0,0.055908
131.05,9.0,0.05032
132.1,9.0,0.045671
133.1,9.0,0.041546
134.15,9.0,0.038179
135.15,9.0,0.035492
136.2,9.0,0.033665
137.2,9.0,0.032097
138.25,9.0,0.030745
139.25,9.0,0.03032
140.3,9.0,0.029423
141.3,9.0,0.029007
142.35,9.0,0.028656
143.4,9.0,0.028188
144.45,9.0,0.027837
145.45,9.0,0.02714
146.5,9.0,0.026349
147.45,9.0,0.025495
148.5,9.0,0.024549
149.55,9.0,0.023373
150.55,9.0,0.022091
151.5,9.0,0.020649
152.6,9.0,0.019784
