x,y,z,z2
7.17,0.0,-0.03066,-0.049868
10.68,0.0,-0.030737,-0.049686
14.18,0.0,-0.030635,-0.049776
17.68,0.0,-0.030333,-0.049998
21.18,0.0,-0.030259,-0.04976
24.85,0.0,-0.030734,-0.050765
28.35,0.0,-0.03143,-0.051301
31.85,0.0,-0.03277,-0.05269
35.53,0.0,-0.034665,-0.054853
39.02,0.0,-0.037505,-0.057511
42.7,0.0,-0.041396,-0.06034
46.2,0.0,-0.045503,-0.065247
49.87,0.0,-0.051769,-0.070306
53.37,0.0,-0.059243,-0.077884
56.87,0.0,-0.069844,-0.086713
60.37,0.0,-0.081935,-0.099597
64.05,0.0,-0.097382,-0.11448
67.72,0.0,-0.115244,-0.131991
71.22,0.0,-0.136131,-0.153032
74.72,0.0,-0.158371,-0.175028
78.22,0.0,-0.177382,-0.19379
81.9,0.0,-0.187896,-0.204489
85.4,0.0,-0.187807,-0.205318
88.9,0.0,-0.176562,-0.194461
92.57,0.0,-0.155185,-0.17358
96.25,0.0,-0.12501,-0.143281
99.75,0.0,-0.089517,-0.108537
103.25,0.0,-0.049539,-0.069714
106.92,0.0,-0.008445,-0.029153
110.25,0.0,0.034864,0.012599
114.1,0.0,0.078536,0.056897
117.6,0.0,0.121444,0.098311
121.1,0.0,0.162735,0.138881
124.6,0.0,0.201167,0.176475
128.1,0.0,0.235957,0.211191
131.6,0.0,0.263955,0.238862
135.1,0.0,0.284934,0.25881
138.77,0.0,0.297781,0.271108
142.27,0.0,0.30072,0.27462
145.95,0.0,0.293856,0.267605
149.45,0.0,0.277149,0.251906
153.12,0.0,0.252242,0.227593
156.63,0.0,0.220661,0.197245
160.13,0.0,0.184651,0.162254
163.8,0.0,0.147766,0.125794
167.3,0.0,0.110005,0.089352
170.98,0.0,0.074864,0.055369
174.48,0.0,0.045575,0.026195
177.98,0.0,0.020976,0.002214
181.48,0.0,0.00275,-0.01599
184.98,0.0,-0.009862,-0.028624
188.65,0.0,-0.017216,-0.036202
192.15,0.0,-0.022234,-0.041221
195.65,0.0,-0.026399,-0.045309
199.15,0.0,-0.032641,-0.051627
202.83,0.0,-0.043734,-0.062385
206.33,0.0,-0.061982,-0.080383
209.83,0.0,-0.08452,-0.101991
213.33,0.0,-0.1061,-0.123879
217.0,0.0,-0.123318,-0.140654
220.33,0.0,-0.134566,-0.152028
224.0,0.0,-0.138004,-0.156134
227.5,0.0,-0.135346,-0.153131
231.0,0.0,-0.126338,-0.144951
234.5,0.0,-0.113306,-0.13204
238.0,0.0,-0.096676,-0.115524
241.68,0.0,-0.076273,-0.095478
245.0,0.0,-0.055466,-0.073842
248.85,0.0,-0.034671,-0.053559
252.53,0.0,-0.014495,-0.034181
256.03,0.0,0.004352,-0.015777
259.35,0.0,0.023031,0.001752
263.2,0.0,0.039836,0.017889
266.7,0.0,0.054552,0.033111
270.2,0.0,0.06788,0.046352
273.88,0.0,0.080147,0.057039
277.38,0.0,0.091084,0.068348
281.05,0.0,0.100846,0.077713
284.55,0.0,0.109845,0.087233
288.05,0.0,0.118209,0.095076
291.73,0.0,0.126034,0.10283
295.23,0.0,0.132898,0.110507
298.9,0.0,0.139241,0.116906
302.4,0.0,0.144599,0.122525
305.9,0.0,0.149183,0.127448
309.4,0.0,0.15255,0.12991
313.08,0.0,0.153412,0.131256
316.58,0.0,0.151777,0.129802
320.25,0.0,0.146025,0.123037
323.75,0.0,0.135239,0.112941
327.25,0.0,0.118742,0.097119
330.93,0.0,0.096462,0.075132
334.43,0.0,0.070856,0.049827
337.93,0.0,0.043336,0.023268
341.6,0.0,0.012658,-0.00782
345.1,0.0,-0.015207,-0.034381
348.6,0.0,-0.039911,-0.058466
352.28,0.0,-0.059471,-0.077909
355.78,0.0,-0.074779,-0.092062
359.28,0.0,-0.084317,-0.102699
362.78,0.0,-0.088574,-0.10692
366.45,0.0,-0.088248,-0.106076
369.78,0.0,-0.083759,-0.102074
373.45,0.0,-0.075521,-0.093429
376.95,0.0,-0.064135,-0.083032
380.63,0.0,-0.050152,-0.068543
384.13,0.0,-0.03407,-0.053081
387.63,0.0,-0.01631,-0.036338
391.13,0.0,0.001583,-0.018057
394.98,0.0,0.023792,-0.000441
398.65,0.0,0.043046,0.021148
402.15,0.0,0.062433,0.04031
405.83,0.0,0.079854,0.057565
409.15,0.0,0.097602,0.076407
413.0,0.0,0.11397,0.092177
416.5,0.0,0.129127,0.106968
420.0,0.0,0.142359,0.119839
423.5,0.0,0.153881,0.131191
427.0,0.0,0.163474,0.140825
430.5,0.0,0.171684,0.148887
434.0,0.0,0.178237,0.155877
437.5,0.0,0.184355,0.161432
440.83,0.0,0.188859,0.165695
444.68,0.0,0.192864,0.169371
448.18,0.0,0.195877,0.172821
451.68,0.0,0.198557,0.17486
455.18,0.0,0.200535,0.176447
458.85,0.0,0.201512,0.177137
462.35,0.0,0.202343,0.177901
465.85,0.0,0.201909,0.178147
469.53,0.0,0.200135,0.175806
473.03,0.0,0.19612,0.172417
476.53,0.0,0.191139,0.16738
480.03,0.0,0.183875,0.160144
483.53,0.0,0.173329,0.149522
