x,y,z,z2
7.0,0.0,-0.006174,-0.026975
10.85,0.0,-0.006646,-0.027019
14.35,0.0,-0.006935,-0.026889
17.85,0.0,-0.006975,-0.026828
22.05,0.0,-0.007465,-0.026563
25.55,0.0,-0.007567,-0.027308
29.05,0.0,-0.007431,-0.027724
32.55,0.0,-0.007052,-0.026563
36.22,0.0,-0.006541,-0.027287
39.72,0.0,-0.005953,-0.025943
43.22,0.0,-0.004733,-0.024914
46.9,0.0,-0.003353,-0.023282
50.4,0.0,-0.001378,-0.02168
53.9,0.0,0.000973,-0.019052
57.57,0.0,0.003727,-0.01591
61.07,0.0,0.006614,-0.012937
64.57,0.0,0.010785,-0.009055
68.07,0.0,0.016416,-0.003276
71.75,0.0,0.023939,0.004309
75.25,0.0,0.031965,0.012294
78.92,0.0,0.037572,0.017498
82.42,0.0,0.039057,0.019183
86.1,0.0,0.035545,0.015452
89.6,0.0,0.027646,0.008348
93.1,0.0,0.015883,-0.003513
96.6,0.0,0.000773,-0.018263
100.1,0.0,-0.017961,-0.037006
103.77,0.0,-0.039129,-0.058208
107.27,0.0,-0.062456,-0.080786
110.77,0.0,-0.088873,-0.106738
114.45,0.0,-0.118858,-0.136051
117.95,0.0,-0.149092,-0.166368
121.45,0.0,-0.179988,-0.195934
124.95,0.0,-0.209064,-0.224631
128.62,0.0,-0.233697,-0.2483
132.12,0.0,-0.250438,-0.265145
135.62,0.0,-0.257249,-0.272486
139.3,0.0,-0.251134,-0.265231
142.45,0.0,-0.230404,-0.246211
146.47,0.0,-0.193608,-0.210567
149.97,0.0,-0.142579,-0.160977
153.47,0.0,-0.078041,-0.097921
156.97,0.0,-0.00408,-0.025475
160.3,0.0,0.075092,0.051647
163.98,0.0,0.154771,0.130061
167.48,0.0,0.230473,0.204441
170.98,0.0,0.296361,0.269632
174.65,0.0,0.350008,0.322778
178.33,0.0,0.391283,0.362128
181.83,0.0,0.4158,0.387306
185.5,0.0,0.425162,0.396545
189.0,0.0,0.420778,0.393141
192.68,0.0,0.40563,0.378856
196.18,0.0,0.3825,0.356256
199.68,0.0,0.355378,0.329919
203.18,0.0,0.328043,0.30352
206.68,0.0,0.300898,0.276555
210.35,0.0,0.272143,0.248831
213.85,0.0,0.243603,0.221342
217.53,0.0,0.215138,0.193271
221.03,0.0,0.185745,0.164448
224.7,0.0,0.158739,0.137571
228.2,0.0,0.134565,0.113782
231.7,0.0,0.112014,0.091761
235.38,0.0,0.090695,0.06926
239.05,0.0,0.072106,0.050991
242.55,0.0,0.056968,0.035837
246.05,0.0,0.04418,0.023613
249.55,0.0,0.033175,0.012639
253.23,0.0,0.02426,0.003875
256.73,0.0,0.01617,-0.004021
260.23,0.0,0.008921,-0.01111
263.9,0.0,0.002553,-0.017093
267.4,0.0,-0.00338,-0.023044
270.9,0.0,-0.008756,-0.02789
274.58,0.0,-0.014748,-0.032943
278.43,0.0,-0.020965,-0.039696
281.93,0.0,-0.027878,-0.046757
285.43,0.0,-0.035161,-0.053919
289.28,0.0,-0.045216,-0.066027
292.95,0.0,-0.056541,-0.07533
296.45,0.0,-0.069908,-0.088186
299.95,0.0,-0.085632,-0.103389
303.63,0.0,-0.104591,-0.121596
307.13,0.0,-0.125595,-0.14171
310.8,0.0,-0.147163,-0.163029
314.3,0.0,-0.169886,-0.185136
317.8,0.0,-0.19204,-0.207194
321.3,0.0,-0.21187,-0.226575
324.98,0.0,-0.226451,-0.241035
328.48,0.0,-0.233531,-0.248515
331.98,0.0,-0.232277,-0.247681
335.48,0.0,-0.221445,-0.237397
339.15,0.0,-0.199236,-0.216698
342.65,0.0,-0.168285,-0.186057
346.15,0.0,-0.129178,-0.148645
349.65,0.0,-0.083285,-0.102896
353.33,0.0,-0.031861,-0.054289
357.0,0.0,0.021074,-0.00135
360.5,0.0,0.071364,0.048191
364.0,0.0,0.120594,0.096958
367.5,0.0,0.161724,0.137833
371.18,0.0,0.196484,0.17214
374.68,0.0,0.223508,0.199309
378.18,0.0,0.240914,0.216385
381.85,0.0,0.250162,0.226111
385.35,0.0,0.251718,0.22799
388.85,0.0,0.246468,0.222978
392.35,0.0,0.235587,0.212747
395.85,0.0,0.220532,0.197892
399.53,0.0,0.202673,0.180406
403.03,0.0,0.183456,0.16194
406.53,0.0,0.164374,0.142636
410.03,0.0,0.146182,0.125085
413.53,0.0,0.128831,0.107467
417.2,0.0,0.112525,0.091638
420.7,0.0,0.097116,0.076031
424.38,0.0,0.083027,0.06096
427.7,0.0,0.070544,0.048733
431.73,0.0,0.060144,0.03934
435.23,0.0,0.051308,0.031136
438.73,0.0,0.043514,0.023662
442.23,0.0,0.036151,0.017436
446.08,0.0,0.030286,0.010551
449.58,0.0,0.024081,0.00483
453.08,0.0,0.018314,-0.000743
456.58,0.0,0.012227,-0.007
460.08,0.0,0.005323,-0.013987
463.75,0.0,-0.003001,-0.022185
467.25,0.0,-0.011624,-0.031076
470.75,0.0,-0.021553,-0.040145
474.25,0.0,-0.032558,-0.051221
477.93,0.0,-0.044751,-0.063661
481.43,0.0,-0.058405,-0.077015
485.1,0.0,-0.073645,-0.092758
488.6,0.0,-0.089101,-0.107317
492.1,0.0,-0.103235,-0.121023
495.6,0.0,-0.115333,-0.133291
499.28,0.0,-0.126818,-0.144514
502.78,0.0,-0.137046,-0.154381
506.28,0.0,-0.145315,-0.162379
509.78,0.0,-0.148762,-0.165915
513.45,0.0,-0.1472,-0.16379
516.95,0.0,-0.138254,-0.155875
520.45,0.0,-0.122517,-0.13992
523.95,0.0,-0.099086,-0.117684
527.45,0.0,-0.069884,-0.089292
530.95,0.0,-0.035577,-0.055333
534.98,0.0,0.00759,-0.014101
538.65,0.0,0.04913,0.026435
542.15,0.0,0.091231,0.067713
545.65,0.0,0.131204,0.107359
549.15,0.0,0.166641,0.142411
552.83,0.0,0.199617,0.17483
556.33,0.0,0.226897,0.201841
559.83,0.0,0.247876,0.222895
563.5,0.0,0.261197,0.23657
567.0,0.0,0.265908,0.241604
570.68,0.0,0.262762,0.238757
