x,y,z,z2
7.0,0.0,-0.065321,-0.084255
10.5,0.0,-0.065691,-0.085081
14.18,0.0,-0.066147,-0.085623
17.68,0.0,-0.067157,-0.086338
21.0,0.0,-0.068245,-0.087323
24.85,0.0,-0.069067,-0.0881
28.18,0.0,-0.069908,-0.088294
32.03,0.0,-0.070675,-0.089449
35.53,0.0,-0.070919,-0.089911
39.02,0.0,-0.070937,-0.08956
42.7,0.0,-0.070583,-0.088608
46.2,0.0,-0.069856,-0.088374
49.7,0.0,-0.068818,-0.087256
53.37,0.0,-0.067548,-0.086254
56.87,0.0,-0.066492,-0.08505
60.37,0.0,-0.065287,-0.084465
63.87,0.0,-0.064116,-0.082989
67.37,0.0,-0.063091,-0.081837
71.05,0.0,-0.061587,-0.080832
74.55,0.0,-0.060115,-0.079295
78.05,0.0,-0.058818,-0.077995
81.55,0.0,-0.057792,-0.077287
85.22,0.0,-0.05675,-0.076245
88.72,0.0,-0.055829,-0.075386
92.22,0.0,-0.054785,-0.074539
95.72,0.0,-0.053811,-0.073275
99.4,0.0,-0.052662,-0.072197
102.9,0.0,-0.051701,-0.071258
106.4,0.0,-0.050885,-0.070426
110.07,0.0,-0.050454,-0.069994
113.57,0.0,-0.050164,-0.069711
116.9,0.0,-0.050173,-0.069548
120.57,0.0,-0.050115,-0.069492
124.07,0.0,-0.049958,-0.069391
127.57,0.0,-0.049653,-0.069141
131.07,0.0,-0.049458,-0.068593
134.57,0.0,-0.048768,-0.067758
138.25,0.0,-0.048198,-0.067157
141.75,0.0,-0.047105,-0.066322
145.25,0.0,-0.046156,-0.065219
148.92,0.0,-0.04497,-0.063858
152.42,0.0,-0.043574,-0.063109
155.93,0.0,-0.043007,-0.062243
159.43,0.0,-0.042037,-0.061399
162.93,0.0,-0.041137,-0.060762
166.6,0.0,-0.040198,-0.060161
170.28,0.0,-0.039656,-0.059523
173.6,0.0,-0.039024,-0.059098
177.28,0.0,-0.038534,-0.058405
180.78,0.0,-0.038198,-0.058282
184.45,0.0,-0.037598,-0.057613
187.95,0.0,-0.037247,-0.056954
191.45,0.0,-0.036988,-0.056726
195.13,0.0,-0.03656,-0.056378
198.63,0.0,-0.036162,-0.055487
202.13,0.0,-0.035524,-0.055108
205.8,0.0,-0.035186,-0.054853
209.13,0.0,-0.034582,-0.054024
212.8,0.0,-0.03387,-0.053584
216.3,0.0,-0.033417,-0.052897
219.98,0.0,-0.033054,-0.052364
223.48,0.0,-0.032539,-0.05196
226.98,0.0,-0.032302,-0.051572
230.65,0.0,-0.031948,-0.051248
234.15,0.0,-0.031914,-0.051747
237.65,0.0,-0.031942,-0.051464
241.15,0.0,-0.031874,-0.051661
244.83,0.0,-0.031997,-0.05155
248.33,0.0,-0.031637,-0.051156
251.83,0.0,-0.031285,-0.051267
255.33,0.0,-0.030783,-0.050718
258.83,0.0,-0.03033,-0.050105
262.5,0.0,-0.030102,-0.050204
266.0,0.0,-0.029804,-0.049726
269.5,0.0,-0.029295,-0.04956
273.0,0.0,-0.028889,-0.048864
276.5,0.0,-0.028568,-0.04871
280.0,0.0,-0.028211,-0.048266
284.03,0.0,-0.028272,-0.046637
287.7,0.0,-0.028235,-0.047638
291.38,0.0,-0.028242,-0.047761
294.88,0.0,-0.028312,-0.048063
298.38,0.0,-0.028331,-0.047813
301.88,0.0,-0.028297,-0.047715
305.38,0.0,-0.028189,-0.048014
308.88,0.0,-0.02777,-0.047675
312.38,0.0,-0.027139,-0.047108
316.05,0.0,-0.025928,-0.046076
319.55,0.0,-0.024542,-0.04456
323.05,0.0,-0.022789,-0.042616
326.55,0.0,-0.020706,-0.040931
330.05,0.0,-0.018168,-0.038534
333.73,0.0,-0.015731,-0.036008
337.23,0.0,-0.013183,-0.033568
340.73,0.0,-0.011036,-0.031464
344.23,0.0,-0.008544,-0.029046
347.9,0.0,-0.006159,-0.026834
351.4,0.0,-0.003796,-0.024092
354.9,0.0,-0.001322,-0.021365
358.58,0.0,0.001281,-0.019046
362.08,0.0,0.003302,-0.016979
365.58,0.0,0.005742,-0.014378
369.08,0.0,0.008419,-0.011975
372.58,0.0,0.011047,-0.009194
376.08,0.0,0.014476,-0.00594
379.75,0.0,0.01836,-0.00212
383.25,0.0,0.023283,0.002793
