x,y,z,z2
7.17,0.0,0.039919,0.021355
11.2,0.0,0.039722,0.018986
14.7,0.0,0.039867,0.02105
18.2,0.0,0.040295,0.02129
21.7,0.0,0.040464,0.021552
25.38,0.0,0.040816,0.022436
29.05,0.0,0.041238,0.023028
32.55,0.0,0.04194,0.02345
36.05,0.0,0.042488,0.023878
39.9,0.0,0.043283,0.022957
43.4,0.0,0.04357,0.026158
47.07,0.0,0.043955,0.024944
50.57,0.0,0.04405,0.024774
54.25,0.0,0.043631,0.02426
57.92,0.0,0.043545,0.02483
61.42,0.0,0.043607,0.024697
65.1,0.0,0.043921,0.02532
68.6,0.0,0.044867,0.026598
72.27,0.0,0.045446,0.02719
75.95,0.0,0.045973,0.027673
79.45,0.0,0.046641,0.027951
82.95,0.0,0.047325,0.028761
86.45,0.0,0.047679,0.029207
90.12,0.0,0.048348,0.029697
93.62,0.0,0.048779,0.029898
97.12,0.0,0.049192,0.029987
100.8,0.0,0.049469,0.029959
104.3,0.0,0.049516,0.030859
107.8,0.0,0.049623,0.030563
111.3,0.0,0.049214,0.030273
115.15,0.0,0.04877,0.029891
118.65,0.0,0.048656,0.029888
122.15,0.0,0.048413,0.02971
125.65,0.0,0.048061,0.029395
129.15,0.0,0.047732,0.029127
132.65,0.0,0.047297,0.028662
136.15,0.0,0.046894,0.028388
139.82,0.0,0.046684,0.028394
143.67,0.0,0.046598,0.028142
147.17,0.0,0.046127,0.027467
150.85,0.0,0.046241,0.026903
154.35,0.0,0.045893,0.027183
157.85,0.0,0.045997,0.026792
161.53,0.0,0.0454,0.026734
165.2,0.0,0.045169,0.026173
168.7,0.0,0.044713,0.026124
172.38,0.0,0.044297,0.025886
175.88,0.0,0.043875,0.026219
179.55,0.0,0.043533,0.025049
183.05,0.0,0.042907,0.024158
186.55,0.0,0.042387,0.024251
190.05,0.0,0.041731,0.023345
193.73,0.0,0.041361,0.022424
197.4,0.0,0.041324,0.022652
200.9,0.0,0.040914,0.021709
204.58,0.0,0.040911,0.021364
208.25,0.0,0.040566,0.021524
211.75,0.0,0.040643,0.021728
215.25,0.0,0.041,0.022116
218.93,0.0,0.041062,0.022239
222.43,0.0,0.040877,0.022187
225.93,0.0,0.040461,0.02214
229.43,0.0,0.040098,0.021259
233.1,0.0,0.039112,0.020591
236.78,0.0,0.038296,0.02097
240.28,0.0,0.037519,0.019235
243.95,0.0,0.036792,0.018228
247.45,0.0,0.036034,0.017384
251.13,0.0,0.035736,0.016401
254.63,0.0,0.035209,0.016771
258.13,0.0,0.03528,0.016305
261.8,0.0,0.035637,0.016533
265.3,0.0,0.036028,0.017082
268.8,0.0,0.037297,0.018403
272.3,0.0,0.038548,0.019725
275.8,0.0,0.039894,0.021093
279.48,0.0,0.041278,0.022242
282.98,0.0,0.042528,0.023943
286.65,0.0,0.043862,0.025474
290.15,0.0,0.045341,0.026663
293.65,0.0,0.047116,0.028665
297.33,0.0,0.049266,0.031108
300.83,0.0,0.051604,0.033354
304.33,0.0,0.055055,0.036706
307.83,0.0,0.05982,0.040871
311.33,0.0,0.065335,0.046841
315.0,0.0,0.073265,0.054334
318.5,0.0,0.082907,0.063551
322.0,0.0,0.094876,0.075615
325.68,0.0,0.109266,0.089284
329.18,0.0,0.1254,0.104497
332.85,0.0,0.141724,0.121315
336.35,0.0,0.158391,0.137735
340.03,0.0,0.174703,0.15393
343.53,0.0,0.188659,0.168212
347.2,0.0,0.199491,0.179173
350.7,0.0,0.204229,0.184081
354.2,0.0,0.202544,0.182941
357.88,0.0,0.191502,0.172411
361.38,0.0,0.172753,0.153819
365.05,0.0,0.14413,0.126543
368.55,0.0,0.109053,0.091712
372.05,0.0,0.07003,0.052904
375.73,0.0,0.028705,0.011718
379.23,0.0,-0.012508,-0.029548
382.73,0.0,-0.048975,-0.066221
386.4,0.0,-0.080916,-0.097838
389.9,0.0,-0.105185,-0.122062
393.58,0.0,-0.121424,-0.138318
397.25,0.0,-0.130466,-0.14769
400.75,0.0,-0.131871,-0.148919
404.43,0.0,-0.127052,-0.143925
408.1,0.0,-0.11826,-0.135321
411.6,0.0,-0.106088,-0.123765
415.1,0.0,-0.091831,-0.110062
419.13,0.0,-0.075213,-0.095303
422.63,0.0,-0.06042,-0.079009
426.3,0.0,-0.046563,-0.065327
429.8,0.0,-0.033719,-0.052441
433.3,0.0,-0.022336,-0.040811
436.98,0.0,-0.012484,-0.031421
440.65,0.0,-0.00359,-0.021979
444.15,0.0,0.003986,-0.014375
447.65,0.0,0.010748,-0.00765
451.15,0.0,0.016626,-0.001886
454.83,0.0,0.020905,0.002655
458.33,0.0,0.024827,0.006558
461.83,0.0,0.027806,0.00934
465.33,0.0,0.030344,0.011992
468.83,0.0,0.032381,0.013927
472.5,0.0,0.03406,0.015273
476.0,0.0,0.034756,0.016398
479.68,0.0,0.035677,0.016712
483.18,0.0,0.036472,0.017877
486.68,0.0,0.037156,0.018274
490.18,0.0,0.037618,0.018431
493.68,0.0,0.037821,0.018816
