x,y,z,z2
423.85,695.62,0.093302,0.07165
427.35,695.62,0.093699,0.072433
431.03,695.62,0.093659,0.072239
434.53,695.62,0.093373,0.071989
438.2,695.62,0.092972,0.071641
441.7,695.62,0.092239,0.070742
445.2,695.62,0.091358,0.069993
448.7,695.62,0.090406,0.068776
452.2,695.62,0.089044,0.06767
455.7,695.62,0.08792,0.066407
459.38,695.62,0.0869,0.065677
462.88,695.62,0.086173,0.064383
466.38,695.62,0.085159,0.063564
469.88,695.62,0.084395,0.062208
473.2,695.62,0.083425,0.061706
477.05,695.62,0.082673,0.060714
480.55,695.62,0.082125,0.060446
484.23,695.62,0.081617,0.059645
487.73,695.62,0.081056,0.059284
491.4,695.62,0.080766,0.058992
494.9,695.62,0.080363,0.058804
498.4,695.62,0.080088,0.058456
501.9,695.62,0.080088,0.058554
505.58,695.62,0.080169,0.058289
509.08,695.62,0.080477,0.059254
512.58,695.62,0.080338,0.059109
516.08,695.62,0.080618,0.059146
519.75,695.62,0.08108,0.05995
523.25,695.62,0.08166,0.060387
526.75,695.62,0.082362,0.061133
530.25,695.62,0.083228,0.062079
533.93,695.62,0.083779,0.062787
537.43,695.62,0.084463,0.063524
540.93,695.62,0.084494,0.062991
544.43,695.62,0.084528,0.063083
548.1,695.62,0.084479,0.06223
551.6,695.62,0.084448,0.06284
555.1,695.62,0.084103,0.062424
558.78,695.62,0.084081,0.06227
562.28,695.62,0.08414,0.0621
565.78,695.62,0.084414,0.062661
569.45,695.62,0.084774,0.063015
572.95,695.62,0.085215,0.063055
576.45,695.62,0.085332,0.06389
580.13,695.62,0.085859,0.063989
583.63,695.62,0.08633,0.064485
587.13,695.62,0.086373,0.064485
590.63,695.62,0.086561,0.064984
594.13,695.62,0.086749,0.065058
597.63,695.62,0.087005,0.065301
601.13,695.62,0.087374,0.065495
604.8,695.62,0.087377,0.065896
608.3,695.62,0.087042,0.065215
611.8,695.62,0.086623,0.065082
615.3,695.62,0.085942,0.064454
618.8,695.62,0.085273,0.063869
622.48,695.62,0.084488,0.063517
626.15,695.62,0.083662,0.062624
629.48,695.62,0.083015,0.061949
633.15,695.62,0.082002,0.060899
636.83,695.62,0.081121,0.059497
640.33,695.62,0.080048,0.058326
643.83,695.62,0.079269,0.057907
647.5,695.62,0.078197,0.056259
651.0,695.62,0.077513,0.055551
654.5,695.62,0.076734,0.05515
658.0,695.62,0.075991,0.05413
661.68,695.62,0.075646,0.053779
665.18,695.62,0.075252,0.053705
668.85,695.62,0.075261,0.053434
672.35,695.62,0.074996,0.053431
675.85,695.62,0.075289,0.053752
679.35,695.62,0.075363,0.054297
683.2,695.62,0.075283,0.054192
686.7,695.62,0.075683,0.054651
690.2,695.62,0.076022,0.054817
693.7,695.62,0.076265,0.055329
697.2,695.62,0.076447,0.055218
700.88,695.62,0.076361,0.055495
704.38,695.62,0.07596,0.054562
708.05,695.62,0.07608,0.054445
0.0,3.5,0.064133,0.035662
0.0,9.62,0.06458,0.041872
0.0,13.3,0.064617,0.042122
0.0,17.67,0.064235,0.043074
0.0,21.35,0.063597,0.042569
0.0,25.2,0.062753,0.039703
0.0,28.7,0.062079,0.040169
0.0,32.38,0.061336,0.03967
0.0,35.88,0.060594,0.038964
0.0,39.73,0.060147,0.039346
0.0,43.4,0.060215,0.039371
0.0,46.9,0.059934,0.038986
0.0,50.4,0.059814,0.039004
0.0,53.55,0.059596,0.038391
0.0,57.57,0.059395,0.037368
0.0,61.25,0.05881,0.03751
0.0,64.92,0.058286,0.036894
0.0,68.07,0.057852,0.036496
0.0,73.67,0.057143,0.035745
0.0,77.35,0.057227,0.036256
0.0,81.2,0.056786,0.034288
0.0,85.22,0.056801,0.034928
0.0,88.72,0.056524,0.035101
0.0,92.22,0.056139,0.035015
0.0,95.9,0.055705,0.034774
0.0,99.57,0.055726,0.035313
0.0,103.07,0.055634,0.034876
0.0,106.57,0.055751,0.034993
0.0,110.07,0.05576,0.035021
0.0,113.75,0.056081,0.033853
0.0,117.42,0.056201,0.034824
0.0,120.92,0.056154,0.034876
0.0,124.42,0.05621,0.034673
0.0,127.92,0.056105,0.034411
0.0,131.6,0.056158,0.035079
0.0,135.1,0.056077,0.034639
0.0,138.6,0.05645,0.034925
0.0,142.1,0.056928,0.035394
0.0,144.2,0.057036,0.03539
0.0,149.27,0.057137,0.035751
0.0,152.95,0.057159,0.035819
0.0,156.45,0.057254,0.03589
0.0,159.25,0.056965,0.036866
0.0,163.8,0.056949,0.036102
0.0,167.48,0.056087,0.035517
0.0,170.98,0.055649,0.034331
0.0,174.65,0.05511,0.033647
0.0,178.15,0.054676,0.033462
0.0,181.65,0.053859,0.032969
0.0,185.15,0.053493,0.032371
0.0,188.83,0.05296,0.031053
0.0,192.33,0.052341,0.030893
0.0,196.0,0.051416,0.029965
0.0,199.5,0.050403,0.029383
0.0,203.0,0.049398,0.028342
0.0,206.5,0.048893,0.027479
0.0,210.0,0.047972,0.026672
0.0,213.68,0.047128,0.026041
0.0,217.18,0.046386,0.025471
0.0,220.85,0.045945,0.025008
0.0,224.35,0.04572,0.024599
0.0,227.85,0.045169,0.024346
0.0,232.05,0.044978,0.022501
0.0,235.73,0.044768,0.023567
0.0,239.23,0.044516,0.023154
0.0,242.73,0.044238,0.022988
0.0,246.4,0.043711,0.022753
0.0,249.9,0.043875,0.022544
0.0,253.4,0.044198,0.022984
0.0,256.9,0.044463,0.023425
0.0,261.45,0.044851,0.022827
0.0,264.95,0.044559,0.02332
0.0,268.45,0.044651,0.023582
0.0,272.13,0.044568,0.023225
0.0,275.98,0.044472,0.024602
0.0,279.48,0.044648,0.02389
0.0,282.98,0.044583,0.024057
0.0,286.48,0.044673,0.024226
0.0,289.8,0.044814,0.02426
0.0,293.65,0.045366,0.024485
0.0,297.15,0.045563,0.02511
0.0,300.83,0.046475,0.024916
0.0,304.5,0.047109,0.025526
0.0,308.0,0.04779,0.026423
0.0,311.68,0.048927,0.027396
0.0,315.18,0.049405,0.028009
0.0,318.85,0.050221,0.028844
0.0,322.35,0.051195,0.029996
0.0,325.85,0.052569,0.031312
0.0,329.35,0.05413,0.032824
0.0,332.85,0.055628,0.034365
0.0,336.53,0.057331,0.035917
0.0,340.03,0.058776,0.037445
0.0,343.53,0.060255,0.039331
0.0,347.2,0.061795,0.040763
0.0,350.7,0.063212,0.042045
0.0,354.2,0.063767,0.042815
0.0,357.7,0.064707,0.043684
0.0,361.38,0.064922,0.04381
0.0,364.88,0.065412,0.042073
0.0,368.38,0.06568,0.046373
0.0,372.05,0.066056,0.044639
0.0,375.55,0.066447,0.045452
0.0,379.05,0.066777,0.044768
0.0,382.55,0.066811,0.045714
0.0,386.23,0.067211,0.045594
0.0,389.73,0.067273,0.045692
0.0,393.23,0.067233,0.045591
0.0,396.73,0.066777,0.045085
0.0,400.4,0.06649,0.045184
0.0,403.9,0.066117,0.044368
0.0,407.4,0.06568,0.044093
0.0,410.9,0.065381,0.043866
