x,y,z,z2
591.85,695.28,0.069078,0.04726
595.35,695.28,0.06857,0.046922
598.85,695.28,0.067981,0.045452
602.35,695.28,0.067461,0.045782
605.85,695.28,0.067328,0.044836
609.52,695.28,0.066761,0.044691
613.02,695.28,0.066475,0.044303
616.7,695.28,0.066114,0.043961
620.2,695.28,0.066074,0.04405
623.7,695.28,0.066515,0.04418
627.2,695.28,0.06715,0.045107
630.7,695.28,0.068141,0.045782
634.2,695.28,0.069814,0.047596
637.87,695.28,0.071558,0.049211
641.37,695.28,0.073539,0.051231
644.87,695.28,0.075202,0.05348
648.55,695.28,0.076675,0.05466
652.05,695.28,0.077849,0.055779
655.55,695.28,0.07849,0.057005
659.05,695.28,0.079001,0.057248
662.55,695.28,0.078875,0.05706
666.05,695.28,0.078847,0.057205
669.72,695.28,0.078551,0.056937
673.22,695.28,0.078271,0.05641
676.72,695.28,0.077424,0.055883
680.22,695.28,0.076958,0.055548
683.72,695.28,0.076715,0.054965
687.22,695.28,0.076275,0.054719
690.55,695.28,0.076293,0.05479
694.22,695.28,0.076558,0.054928
697.9,695.28,0.076629,0.054596
701.4,695.28,0.077097,0.055178
704.9,695.28,0.0773,0.054405
708.57,695.28,0.077861,0.0554
0.0,3.67,0.029654,0.003126
0.0,7.52,0.029663,0.007199
0.0,11.2,0.029756,0.008604
0.0,14.7,0.029836,0.008638
0.0,18.2,0.029605,0.008397
0.0,21.88,0.029358,0.008373
0.0,25.38,0.028949,0.008188
0.0,28.88,0.028514,0.00783
0.0,32.55,0.028579,0.008052
0.0,36.58,0.02792,0.005301
0.0,40.07,0.027479,0.00596
0.0,43.57,0.027116,0.005779
0.0,47.07,0.026496,0.005338
0.0,51.27,0.026278,0.006287
0.0,54.77,0.026296,0.00572
0.0,58.27,0.026805,0.006028
0.0,61.77,0.027122,0.006216
0.0,65.62,0.027307,0.005122
0.0,69.12,0.027741,0.006709
0.0,72.62,0.028222,0.006968
0.0,76.12,0.028579,0.006962
