x,y,z,z2
7.0,0.0,0.029281,0.008222
10.85,0.0,0.028548,0.008659
14.35,0.0,0.027981,0.007285
17.85,0.0,0.027356,0.007033
21.35,0.0,0.027023,0.007088
25.03,0.0,0.02719,0.006681
28.53,0.0,0.027199,0.006595
32.03,0.0,0.027923,0.007424
35.53,0.0,0.028745,0.008293
39.2,0.0,0.029463,0.008684
42.7,0.0,0.029891,0.009334
46.2,0.0,0.030646,0.009904
49.87,0.0,0.030923,0.010039
54.25,0.0,0.031373,0.010418
57.92,0.0,0.03174,0.010846
61.42,0.0,0.032079,0.01154
65.1,0.0,0.032485,0.010535
68.6,0.0,0.032929,0.011817
72.1,0.0,0.03361,0.012587
75.77,0.0,0.033958,0.012362
79.8,0.0,0.034294,0.014411
83.47,0.0,0.034463,0.014115
87.15,0.0,0.034768,0.013293
90.82,0.0,0.035079,0.014121
94.5,0.0,0.035434,0.01409
98.35,0.0,0.035828,0.015012
101.85,0.0,0.036198,0.015298
105.35,0.0,0.036216,0.015532
109.37,0.0,0.036173,0.01409
112.87,0.0,0.035905,0.015452
116.37,0.0,0.035523,0.014534
120.05,0.0,0.034959,0.013638
123.55,0.0,0.034284,0.012957
127.05,0.0,0.034161,0.01304
130.55,0.0,0.033952,0.012837
134.05,0.0,0.034066,0.012679
137.72,0.0,0.033604,0.012359
141.22,0.0,0.033277,0.011808
144.72,0.0,0.032485,0.011299
148.23,0.0,0.03202,0.011062
151.9,0.0,0.031706,0.010695
155.4,0.0,0.031426,0.01024
158.9,0.0,0.030957,0.009796
162.4,0.0,0.030997,0.00983
165.9,0.0,0.030766,0.009904
169.4,0.0,0.0308,0.010227
173.08,0.0,0.030973,0.010147
176.75,0.0,0.030991,0.010446
180.25,0.0,0.030963,0.010606
183.75,0.0,0.030893,0.010622
187.43,0.0,0.030927,0.010557
190.93,0.0,0.030908,0.010181
194.6,0.0,0.030902,0.009919
198.45,0.0,0.031398,0.008933
201.95,0.0,0.031321,0.010326
205.45,0.0,0.031339,0.01028
208.95,0.0,0.030905,0.009731
212.98,0.0,0.030492,0.011105
216.48,0.0,0.0306,0.010273
220.15,0.0,0.030474,0.010012
223.65,0.0,0.030618,0.009824
227.33,0.0,0.030711,0.008909
231.0,0.0,0.030837,0.009451
234.5,0.0,0.030498,0.00975
238.0,0.0,0.030548,0.009506
241.68,0.0,0.030126,0.009103
245.18,0.0,0.030141,0.009143
248.68,0.0,0.029796,0.008696
252.18,0.0,0.029728,0.008816
255.85,0.0,0.029377,0.008419
259.35,0.0,0.029371,0.00857
262.85,0.0,0.029251,0.008557
266.35,0.0,0.029171,0.008613
270.03,0.0,0.029506,0.008804
273.53,0.0,0.029737,0.008989
277.03,0.0,0.030159,0.009651
280.53,0.0,0.030307,0.009814
284.03,0.0,0.030856,0.010585
287.7,0.0,0.030825,0.010806
291.2,0.0,0.031028,0.010508
294.7,0.0,0.030575,0.010203
298.2,0.0,0.030196,0.009722
302.05,0.0,0.02954,0.006872
305.73,0.0,0.028927,0.008286
309.23,0.0,0.02901,0.008102
312.73,0.0,0.02898,0.007741
316.23,0.0,0.029417,0.008065
319.9,0.0,0.029691,0.00881
323.4,0.0,0.030548,0.009423
327.08,0.0,0.031734,0.010699
330.4,0.0,0.032602,0.011595
334.08,0.0,0.033699,0.012479
337.58,0.0,0.034284,0.013182
341.08,0.0,0.035467,0.014229
344.75,0.0,0.036518,0.015224
348.08,0.0,0.037445,0.016543
351.75,0.0,0.038767,0.017729
355.25,0.0,0.04007,0.019251
358.93,0.0,0.040776,0.020252
362.6,0.0,0.041647,0.020683
366.1,0.0,0.042057,0.021561
369.6,0.0,0.042741,0.021826
373.1,0.0,0.043095,0.022048
376.78,0.0,0.043382,0.021253
380.28,0.0,0.043733,0.023259
383.95,0.0,0.04385,0.02267
387.45,0.0,0.043693,0.022547
391.3,0.0,0.043215,0.02214
394.98,0.0,0.042541,0.021373
398.48,0.0,0.042301,0.021235
401.98,0.0,0.041866,0.021041
405.83,0.0,0.041626,0.019802
409.5,0.0,0.041484,0.021127
413.0,0.0,0.041114,0.020307
416.5,0.0,0.04068,0.019549
420.0,0.0,0.040729,0.019214
423.68,0.0,0.040511,0.019057
427.18,0.0,0.040803,0.019596
430.85,0.0,0.040686,0.01958
434.18,0.0,0.040452,0.01914
437.85,0.0,0.040255,0.019007
441.35,0.0,0.040384,0.019198
444.85,0.0,0.039885,0.018903
448.35,0.0,0.03999,0.018782
451.85,0.0,0.03999,0.018567
455.35,0.0,0.039744,0.018567
458.85,0.0,0.039716,0.018305
462.53,0.0,0.039229,0.017975
466.03,0.0,0.039251,0.018009
469.7,0.0,0.038924,0.017935
473.38,0.0,0.038832,0.018533
476.88,0.0,0.038727,0.018345
480.2,0.0,0.038949,0.018129
483.88,0.0,0.039238,0.018872
487.55,0.0,0.039124,0.018545
491.05,0.0,0.039137,0.018733
494.73,0.0,0.039167,0.018188
498.23,0.0,0.039195,0.018031
501.73,0.0,0.039599,0.018554
505.4,0.0,0.039657,0.01812
508.9,0.0,0.039549,0.018502
512.4,0.0,0.039284,0.017932
516.08,0.0,0.038591,0.017282
519.75,0.0,0.038101,0.016838
523.08,0.0,0.03792,0.016737
526.58,0.0,0.038117,0.016857
530.25,0.0,0.038234,0.017082
533.75,0.0,0.03832,0.017522
537.25,0.0,0.038819,0.017846
540.93,0.0,0.039315,0.018499
544.43,0.0,0.03918,0.018462
547.93,0.0,0.039596,0.018582
551.43,0.0,0.039608,0.018758
555.1,0.0,0.039941,0.019583
558.6,0.0,0.040375,0.019679
562.1,0.0,0.04039,0.019854
565.6,0.0,0.040695,0.020126
569.28,0.0,0.041084,0.019996
572.95,0.0,0.041555,0.020523
576.45,0.0,0.041851,0.020862
579.95,0.0,0.042153,0.02084
583.63,0.0,0.042448,0.020979
587.13,0.0,0.042775,0.021244
590.8,0.0,0.043105,0.021481
594.3,0.0,0.043012,0.021543
597.8,0.0,0.042914,0.021805
601.47,0.0,0.042633,0.021155
604.97,0.0,0.042196,0.020954
608.47,0.0,0.041925,0.020745
611.97,0.0,0.041561,0.02031
615.65,0.0,0.041324,0.020575
619.15,0.0,0.041087,0.01991
622.65,0.0,0.041191,0.020326
626.15,0.0,0.041118,0.020295
629.82,0.0,0.040729,0.019919
633.32,0.0,0.040387,0.019608
636.82,0.0,0.040021,0.019442
640.32,0.0,0.039244,0.018653
643.82,0.0,0.038755,0.018422
647.32,0.0,0.038058,0.017646
651.0,0.0,0.037812,0.017341
654.5,0.0,0.037704,0.017199
658.0,0.0,0.037655,0.017029
661.5,0.0,0.037609,0.016838
665.17,0.0,0.037744,0.016965
668.67,0.0,0.03775,0.016974
672.17,0.0,0.038206,0.01731
675.67,0.0,0.038098,0.016798
679.35,0.0,0.038403,0.017633
682.85,0.0,0.038638,0.017285
686.35,0.0,0.038853,0.017664
689.85,0.0,0.03877,0.017686
693.52,0.0,0.039284,0.017852
697.02,0.0,0.039211,0.017867
700.7,0.0,0.039488,0.018289
704.2,0.0,0.039602,0.01832
707.7,0.0,0.040039,0.018801
711.2,0.0,0.040403,0.019149
11.72,33.07,-0.011233,-0.035068
15.22,33.07,-0.010152,-0.030056
19.07,33.07,-0.009261,-0.030882
22.57,33.07,-0.008768,-0.029292
26.42,33.07,-0.008109,-0.02814
30.1,33.07,-0.007672,-0.027567
33.6,33.07,-0.007203,-0.026797
37.1,33.07,-0.006473,-0.026298
41.12,33.07,-0.005454,-0.02667
44.62,33.07,-0.004585,-0.024945
