x,y,z,z2
7.0,0.0,0.043554,0.021595
10.5,0.0,0.04401,0.022131
14.0,0.0,0.04503,0.023074
17.5,0.0,0.04584,0.023875
21.0,0.0,0.046419,0.024589
24.68,0.0,0.046709,0.024858
28.18,0.0,0.04715,0.025443
31.85,0.0,0.047196,0.025323
35.35,0.0,0.046764,0.025233
38.85,0.0,0.047094,0.025683
42.52,0.0,0.047458,0.026604
46.02,0.0,0.047907,0.026614
49.7,0.0,0.048394,0.027396
53.2,0.0,0.048659,0.027504
56.7,0.0,0.049072,0.027858
60.2,0.0,0.048638,0.027285
63.7,0.0,0.048262,0.027183
67.37,0.0,0.047929,0.02661
70.87,0.0,0.04714,0.025375
74.55,0.0,0.046697,0.025264
78.05,0.0,0.0465,0.024192
81.72,0.0,0.046235,0.024423
85.4,0.0,0.046099,0.023933
88.9,0.0,0.046099,0.02426
92.4,0.0,0.046133,0.024186
95.9,0.0,0.046065,0.02426
99.57,0.0,0.046034,0.024266
103.07,0.0,0.045711,0.023983
106.75,0.0,0.045283,0.023668
110.25,0.0,0.04478,0.023086
113.75,0.0,0.044007,0.022858
117.42,0.0,0.043388,0.022692
120.92,0.0,0.043037,0.022048
124.6,0.0,0.04283,0.02158
128.27,0.0,0.042245,0.019882
131.77,0.0,0.041949,0.020015
135.45,0.0,0.041687,0.020233
138.95,0.0,0.041213,0.019519
142.62,0.0,0.041034,0.019081
146.12,0.0,0.040917,0.019023
149.62,0.0,0.040874,0.019321
153.13,0.0,0.041265,0.019784
156.8,0.0,0.041296,0.019602
160.3,0.0,0.041721,0.019959
163.8,0.0,0.041429,0.019596
167.3,0.0,0.041315,0.019617
170.98,0.0,0.040948,0.01938
174.48,0.0,0.040853,0.019371
177.98,0.0,0.040474,0.01966
181.65,0.0,0.040187,0.019004
185.33,0.0,0.040169,0.019127
188.83,0.0,0.039802,0.018733
192.33,0.0,0.039787,0.018733
196.0,0.0,0.039777,0.018782
199.5,0.0,0.039349,0.018154
203.0,0.0,0.039488,0.017846
206.68,0.0,0.039306,0.01735
210.35,0.0,0.039398,0.017812
213.85,0.0,0.039106,0.017211
217.35,0.0,0.038671,0.016989
221.03,0.0,0.037886,0.016182
224.53,0.0,0.037427,0.01564
228.03,0.0,0.036746,0.015129
231.53,0.0,0.036459,0.014938
235.03,0.0,0.036077,0.014346
238.7,0.0,0.035726,0.014266
242.2,0.0,0.035012,0.013394
245.88,0.0,0.034214,0.012917
249.38,0.0,0.033419,0.012236
252.88,0.0,0.032766,0.011398
256.38,0.0,0.03174,0.011404
260.05,0.0,0.030846,0.010086
263.55,0.0,0.029516,0.008813
267.05,0.0,0.027713,0.007045
270.73,0.0,0.025563,0.004931
274.23,0.0,0.023049,0.002575
277.73,0.0,0.01999,-0.000537
281.23,0.0,0.016691,-0.003695
284.73,0.0,0.012174,-0.007946
288.4,0.0,0.006361,-0.013658
291.9,0.0,-0.001378,-0.021957
295.4,0.0,-0.011738,-0.031766
299.08,0.0,-0.026476,-0.046384
302.58,0.0,-0.044964,-0.06423
306.25,0.0,-0.069394,-0.087977
309.93,0.0,-0.10045,-0.118121
313.43,0.0,-0.137625,-0.154335
316.93,0.0,-0.180376,-0.195675
320.43,0.0,-0.227296,-0.24179
324.1,0.0,-0.275811,-0.288842
327.6,0.0,-0.323019,-0.334985
331.1,0.0,-0.361399,-0.372739
334.6,0.0,-0.386759,-0.397908
338.28,0.0,-0.392243,-0.403666
341.78,0.0,-0.372332,-0.384677
345.28,0.0,-0.324751,-0.338897
348.78,0.0,-0.249717,-0.266787
352.45,0.0,-0.147915,-0.167379
355.95,0.0,-0.027989,-0.050872
359.63,0.0,0.107633,0.08093
363.3,0.0,0.237014,0.207494
366.8,0.0,0.35433,0.322716
370.3,0.0,0.452503,0.419299
373.8,0.0,0.527491,0.492922
377.3,0.0,0.57588,0.540584
380.98,0.0,0.597346,0.562839
384.48,0.0,0.594968,0.560396
387.98,0.0,0.572238,0.539003
391.65,0.0,0.535411,0.503215
395.33,0.0,0.489527,0.45897
398.83,0.0,0.435994,0.406749
402.5,0.0,0.383495,0.355975
406.0,0.0,0.332701,0.306425
409.68,0.0,0.285751,0.260615
413.18,0.0,0.243693,0.219364
416.85,0.0,0.20824,0.184441
420.35,0.0,0.176589,0.15352
423.85,0.0,0.150892,0.128043
427.35,0.0,0.129996,0.107528
430.85,0.0,0.112562,0.090551
434.53,0.0,0.098336,0.076401
438.03,0.0,0.087319,0.065581
441.53,0.0,0.078742,0.056687
445.03,0.0,0.071681,0.050092
448.53,0.0,0.066552,0.044331
452.03,0.0,0.062288,0.040957
455.7,0.0,0.058906,0.037374
459.2,0.0,0.056235,0.034435
462.88,0.0,0.054531,0.03251
466.38,0.0,0.052756,0.031013
469.88,0.0,0.051336,0.029679
473.38,0.0,0.050249,0.028413
476.88,0.0,0.049177,0.027485
480.38,0.0,0.048296,0.026521
483.88,0.0,0.047886,0.026099
487.55,0.0,0.047334,0.025452
491.05,0.0,0.046712,0.024953
494.9,0.0,0.046034,0.024543
498.58,0.0,0.045766,0.024439
502.08,0.0,0.045317,0.024328
505.58,0.0,0.04527,0.024374
509.25,0.0,0.045024,0.023835
512.75,0.0,0.044993,0.023816
516.25,0.0,0.044713,0.023376
519.93,0.0,0.044568,0.023305
523.43,0.0,0.044633,0.022988
527.1,0.0,0.044605,0.023216
530.43,0.0,0.044676,0.023028
534.1,0.0,0.044568,0.023043
537.6,0.0,0.044589,0.023083
541.1,0.0,0.044651,0.023092
544.6,0.0,0.044158,0.02251
548.1,0.0,0.044605,0.022932
551.78,0.0,0.045036,0.023058
555.28,0.0,0.045221,0.02352
558.95,0.0,0.045748,0.023711
562.63,0.0,0.045856,0.023671
565.95,0.0,0.045307,0.023594
570.33,0.0,0.045369,0.023471
573.83,0.0,0.045276,0.023647
577.5,0.0,0.045363,0.023548
581.0,0.0,0.045344,0.023514
584.5,0.0,0.045369,0.023243
588.18,0.0,0.045366,0.023601
591.68,0.0,0.045563,0.023847
595.35,0.0,0.045806,0.024032
598.85,0.0,0.046142,0.024251
602.35,0.0,0.046407,0.024894
605.85,0.0,0.046749,0.024987
609.52,0.0,0.04682,0.024867
613.02,0.0,0.046801,0.025082
616.52,0.0,0.046493,0.025175
620.2,0.0,0.046062,0.024944
623.7,0.0,0.04572,0.024343
627.2,0.0,0.045384,0.023983
630.87,0.0,0.045261,0.024297
634.37,0.0,0.045317,0.024371
637.87,0.0,0.04531,0.024482
641.37,0.0,0.045357,0.024155
644.87,0.0,0.045292,0.024294
648.55,0.0,0.044894,0.023311
652.05,0.0,0.04491,0.023835
655.72,0.0,0.044666,0.023191
659.22,0.0,0.044537,0.023
662.72,0.0,0.044164,0.022553
666.22,0.0,0.04389,0.022439
669.9,0.0,0.043514,0.021758
673.4,0.0,0.043511,0.022079
676.9,0.0,0.043493,0.021617
680.4,0.0,0.043471,0.021617
683.9,0.0,0.04353,0.02166
687.57,0.0,0.043921,0.022048
691.07,0.0,0.044278,0.02239
694.75,0.0,0.044291,0.022325
698.25,0.0,0.044596,0.022883
701.75,0.0,0.04466,0.022883
705.42,0.0,0.044633,0.023955
709.1,0.0,0.04463,0.023376
11.55,33.07,0.029312,0.001543
15.23,33.07,0.032008,0.010218
18.9,33.07,0.034728,0.013582
22.75,33.07,0.036798,0.015249
26.25,33.07,0.038123,0.017824
29.93,33.07,0.039479,0.018407
33.43,33.07,0.041022,0.019811
36.93,33.07,0.042501,0.021182
40.43,33.07,0.043733,0.022455
43.93,33.07,0.045514,0.024257
47.43,33.07,0.047109,0.025474
50.93,33.07,0.048785,0.027328
54.6,33.07,0.050295,0.028927
58.1,33.07,0.051632,0.030015
61.6,33.07,0.052359,0.030865
65.1,33.07,0.05178,0.030055
68.25,33.07,0.050295,0.028135
72.28,33.07,0.048175,0.026225
75.78,33.07,0.045551,0.023804
79.45,33.07,0.043406,0.021792
82.95,33.07,0.04129,0.019509
86.45,33.07,0.039593,0.018175
89.95,33.07,0.038733,0.017066
93.45,33.07,0.037929,0.016309
96.95,33.07,0.037605,0.015874
100.63,33.07,0.037547,0.015905
104.3,33.07,0.037553,0.016278
107.8,33.07,0.037541,0.016102
111.3,33.07,0.037963,0.016475
114.8,33.07,0.037914,0.016466
118.3,33.07,0.038308,0.017156
121.98,33.07,0.038739,0.01787
125.65,33.07,0.039038,0.017957
129.15,33.07,0.039398,0.018545
132.65,33.07,0.039475,0.018622
136.33,33.07,0.039371,0.01844
139.83,33.07,0.039069,0.017707
143.5,33.07,0.038668,0.017642
147.0,33.07,0.038462,0.017288
150.5,33.07,0.038243,0.016866
154.0,33.07,0.038031,0.016466
157.5,33.07,0.037553,0.01641
161.18,33.07,0.037541,0.015927
164.68,33.07,0.037587,0.016077
168.18,33.07,0.037695,0.015896
171.68,33.07,0.037596,0.015785
175.35,33.07,0.037584,0.01585
178.85,33.07,0.037535,0.016056
182.35,33.07,0.037855,0.016216
186.03,33.07,0.038191,0.016764
189.53,33.07,0.038668,0.016971
193.03,33.07,0.038964,0.017347
196.53,33.07,0.039013,0.017609
200.2,33.07,0.038986,0.01751
203.88,33.07,0.039075,0.017858
207.38,33.07,0.039355,0.018428
211.05,33.07,0.039479,0.018484
214.55,33.07,0.039432,0.01861
218.05,33.07,0.039072,0.018246
221.73,33.07,0.038647,0.017892
225.23,33.07,0.038,0.017085
228.73,33.07,0.037689,0.016638
232.4,33.07,0.037553,0.016324
235.9,33.07,0.037612,0.016447
239.4,33.07,0.037892,0.016355
243.08,33.07,0.037972,0.016044
246.58,33.07,0.037941,0.016244
250.25,33.07,0.037605,0.01601
253.75,33.07,0.037242,0.015705
257.25,33.07,0.036549,0.01479
260.93,33.07,0.035772,0.014214
264.25,33.07,0.034685,0.013268
267.93,33.07,0.032818,0.011552
271.43,33.07,0.030856,0.009466
275.1,33.07,0.027806,0.00658
278.6,33.07,0.024041,0.003243
282.1,33.07,0.019953,-0.000829
285.78,33.07,0.014999,-0.005568
289.28,33.07,0.008459,-0.012086
292.78,33.07,0.000347,-0.019908
296.28,33.07,-0.010866,-0.030256
299.95,33.07,-0.024976,-0.044018
303.45,33.07,-0.042665,-0.061652
306.95,33.07,-0.065389,-0.083106
310.45,33.07,-0.09362,-0.110743
314.13,33.07,-0.128315,-0.144178
317.63,33.07,-0.166984,-0.181975
321.3,33.07,-0.210345,-0.224649
324.8,33.07,-0.252678,-0.265992
328.3,33.07,-0.29208,-0.304406
331.8,33.07,-0.324286,-0.336202
335.3,33.07,-0.342188,-0.354443
338.98,33.07,-0.341809,-0.35521
342.65,33.07,-0.31842,-0.332659
346.15,33.07,-0.268432,-0.284514
349.83,33.07,-0.193935,-0.21244
353.33,33.07,-0.099739,-0.121039
356.83,33.07,0.009531,-0.014662
360.33,33.07,0.125572,0.098477
363.83,33.07,0.239099,0.209648
367.5,33.07,0.344102,0.31247
371.0,33.07,0.428923,0.39636
374.5,33.07,0.493729,0.460187
378.0,33.07,0.533825,0.500091
381.68,33.07,0.550707,0.517377
385.18,33.07,0.547488,0.514629
388.85,33.07,0.526875,0.495544
392.53,33.07,0.493628,0.463292
396.03,33.07,0.450951,0.421767
399.7,33.07,0.404635,0.375784
403.2,33.07,0.358079,0.330929
406.7,33.07,0.314133,0.287494
410.38,33.07,0.273049,0.247929
413.88,33.07,0.236271,0.211019
417.55,33.07,0.203936,0.179429
421.05,33.07,0.175575,0.151419
424.55,33.07,0.152565,0.128884
428.23,33.07,0.133684,0.110486
431.73,33.07,0.118317,0.095517
435.23,33.07,0.105366,0.082572
438.73,33.07,0.094697,0.07226
442.23,33.07,0.086053,0.063622
445.9,33.07,0.079294,0.056912
449.4,33.07,0.073804,0.051626
452.9,33.07,0.06966,0.047356
456.4,33.07,0.066533,0.044306
460.08,33.07,0.063508,0.041721
463.58,33.07,0.061068,0.039648
467.08,33.07,0.059361,0.037898
470.75,33.07,0.057941,0.03686
474.25,33.07,0.057088,0.035662
477.75,33.07,0.056065,0.034931
481.43,33.07,0.05568,0.03442
484.93,33.07,0.054925,0.033711
488.6,33.07,0.054414,0.032858
492.1,33.07,0.05413,0.032297
495.6,33.07,0.053927,0.032498
499.28,33.07,0.053832,0.031851
502.78,33.07,0.053456,0.031771
506.28,33.07,0.053012,0.030957
509.95,33.07,0.052658,0.030819
513.28,33.07,0.051885,0.030406
516.95,33.07,0.05161,0.029623
520.45,33.07,0.051241,0.029195
524.13,33.07,0.05161,0.029654
527.8,33.07,0.051909,0.030064
531.3,33.07,0.052679,0.030609
534.98,33.07,0.053644,0.032347
538.65,33.07,0.054306,0.033003
542.15,33.07,0.054334,0.033003
545.83,33.07,0.05365,0.032618
549.33,33.07,0.052861,0.032036
552.83,33.07,0.052137,0.030948
556.33,33.07,0.05154,0.030196
560.0,33.07,0.051167,0.029543
563.5,33.07,0.050859,0.029263
567.18,33.07,0.05019,0.027917
570.68,33.07,0.049768,0.027726
574.35,33.07,0.049291,0.027408
577.85,33.07,0.049035,0.027174
581.35,33.07,0.049226,0.02751
584.85,33.07,0.049392,0.027599
588.35,33.07,0.04975,0.027895
591.85,33.07,0.049666,0.027938
595.35,33.07,0.04975,0.027806
599.03,33.07,0.049361,0.02759
602.53,33.07,0.049349,0.027501
606.2,33.07,0.049432,0.027445
609.7,33.07,0.049494,0.027646
613.2,33.07,0.049374,0.027753
616.87,33.07,0.049719,0.028185
620.37,33.07,0.049851,0.028357
623.87,33.07,0.04979,0.028323
627.55,33.07,0.049691,0.028357
631.05,33.07,0.049827,0.02836
634.55,33.07,0.049337,0.027969
638.05,33.07,0.049439,0.028212
641.55,33.07,0.048958,0.027929
645.22,33.07,0.048727,0.027421
648.72,33.07,0.048721,0.027569
652.22,33.07,0.04869,0.027633
655.9,33.07,0.048631,0.026919
659.57,33.07,0.049103,0.027365
663.07,33.07,0.049056,0.026678
666.75,33.07,0.049078,0.026838
670.25,33.07,0.048662,0.026783
673.92,33.07,0.048742,0.026845
677.42,33.07,0.048249,0.026459
681.1,33.07,0.048348,0.026567
684.6,33.07,0.047938,0.026302
688.1,33.07,0.04787,0.026114
691.77,33.07,0.047926,0.026429
695.27,33.07,0.048021,0.026478
698.95,33.07,0.04787,0.02657
702.27,33.07,0.048234,0.027513
705.95,33.07,0.048376,0.027054
709.45,33.07,0.048406,0.02727
12.25,66.32,0.033527,0.006019
15.75,66.32,0.034127,0.012556
19.25,66.32,0.03535,0.014633
23.1,66.32,0.037359,0.016641
26.6,66.32,0.040126,0.019072
30.1,66.32,0.043058,0.021943
34.13,66.32,0.045883,0.02271
37.63,66.32,0.048545,0.026598
41.13,66.32,0.05068,0.028564
44.8,66.32,0.052399,0.030147
48.48,66.32,0.053413,0.031555
51.98,66.32,0.053761,0.032097
55.65,66.32,0.05344,0.031931
59.15,66.32,0.052719,0.031352
62.65,66.32,0.051312,0.029925
66.33,66.32,0.049999,0.028487
69.83,66.32,0.048601,0.027476
73.33,66.32,0.047476,0.026355
76.83,66.32,0.046586,0.025384
80.5,66.32,0.046053,0.025172
84.0,66.32,0.045366,0.024377
87.5,66.32,0.04491,0.024097
91.0,66.32,0.044651,0.023607
94.68,66.32,0.044284,0.022624
98.18,66.32,0.043856,0.022581
101.68,66.32,0.04353,0.022291
105.35,66.32,0.043175,0.021866
108.85,66.32,0.042719,0.02109
112.35,66.32,0.042316,0.020893
115.85,66.32,0.041952,0.020511
119.35,66.32,0.041672,0.020458
123.03,66.32,0.041669,0.020012
126.53,66.32,0.041743,0.019953
130.03,66.32,0.041684,0.019725
133.7,66.32,0.041706,0.019922
137.2,66.32,0.041657,0.019972
140.7,66.32,0.041617,0.019972
144.2,66.32,0.042017,0.02015
147.7,66.32,0.042023,0.020384
151.2,66.32,0.042356,0.020631
154.88,66.32,0.042257,0.02056
158.38,66.32,0.042344,0.020609
161.88,66.32,0.042414,0.020745
165.55,66.32,0.042473,0.020748
169.05,66.32,0.042405,0.020745
172.55,66.32,0.042433,0.02109
176.05,66.32,0.041977,0.02039
179.55,66.32,0.041703,0.02031
183.23,66.32,0.041299,0.020008
186.73,66.32,0.040917,0.020101
190.4,66.32,0.040631,0.019731
193.9,66.32,0.040181,0.019134
197.4,66.32,0.039722,0.01881
201.08,66.32,0.039512,0.018527
204.58,66.32,0.039448,0.018453
208.25,66.32,0.039509,0.018508
211.75,66.32,0.03971,0.018638
215.25,66.32,0.039894,0.018514
218.75,66.32,0.039583,0.017954
222.43,66.32,0.03902,0.01783
225.93,66.32,0.038705,0.016959
229.43,66.32,0.037988,0.016379
233.1,66.32,0.037273,0.015495
236.6,66.32,0.03666,0.015076
240.1,66.32,0.036139,0.014439
243.78,66.32,0.035394,0.013869
247.28,66.32,0.035005,0.013524
250.78,66.32,0.034337,0.012889
254.45,66.32,0.033816,0.012334
257.95,66.32,0.032895,0.01145
261.45,66.32,0.031703,0.010431
265.13,66.32,0.03068,0.009328
268.63,66.32,0.028631,0.007837
272.13,66.32,0.026198,0.005686
275.63,66.32,0.023711,0.002713
279.3,66.32,0.020277,-0.000312
282.8,66.32,0.016737,-0.003836
286.3,66.32,0.011506,-0.008959
289.8,66.32,0.004525,-0.015429
293.3,66.32,-0.003999,-0.023393
296.98,66.32,-0.015287,-0.034548
300.48,66.32,-0.030155,-0.04903
303.98,66.32,-0.048463,-0.066757
307.65,66.32,-0.072099,-0.089659
311.15,66.32,-0.100453,-0.117481
314.65,66.32,-0.133938,-0.150065
318.15,66.32,-0.169477,-0.185084
321.83,66.32,-0.20952,-0.224471
325.33,66.32,-0.246923,-0.26086
329.0,66.32,-0.280379,-0.293882
332.5,66.32,-0.305801,-0.318719
336.18,66.32,-0.318565,-0.331725
339.68,66.32,-0.313543,-0.3274
343.18,66.32,-0.287043,-0.302092
346.68,66.32,-0.239138,-0.255974
350.35,66.32,-0.168066,-0.187135
353.85,66.32,-0.080571,-0.101843
357.53,66.32,0.018249,-0.00578
361.03,66.32,0.121136,0.094682
364.53,66.32,0.221499,0.193302
368.03,66.32,0.310969,0.281009
371.7,66.32,0.385566,0.354497
375.2,66.32,0.438218,0.406752
378.7,66.32,0.470455,0.438739
382.2,66.32,0.483129,0.451801
385.7,66.32,0.477839,0.447392
389.38,66.32,0.45754,0.427944
393.05,66.32,0.428092,0.399188
396.55,66.32,0.391391,0.363406
400.05,66.32,0.351099,0.324062
403.55,66.32,0.311816,0.285603
407.05,66.32,0.272115,0.246447
410.73,66.32,0.23665,0.211813
414.23,66.32,0.205165,0.180979
417.73,66.32,0.17637,0.152359
421.4,66.32,0.153009,0.129759
424.9,66.32,0.133117,0.109633
428.4,66.32,0.116361,0.093545
432.08,66.32,0.102445,0.079753
435.58,66.32,0.090837,0.068351
439.25,66.32,0.081493,0.059284
442.75,66.32,0.073942,0.051724
446.43,66.32,0.068292,0.046268
449.93,66.32,0.063493,0.041623
453.43,66.32,0.05967,0.037812
457.1,66.32,0.056632,0.035421
460.78,66.32,0.054759,0.033736
464.28,66.32,0.053169,0.032165
467.78,66.32,0.052177,0.031062
471.28,66.32,0.051173,0.03027
474.78,66.32,0.050471,0.029667
478.45,66.32,0.049765,0.028745
481.95,66.32,0.049066,0.027951
485.45,66.32,0.048268,0.02698
488.95,66.32,0.047535,0.026299
492.63,66.32,0.046724,0.025646
496.13,66.32,0.046459,0.024793
499.63,66.32,0.046207,0.02467
502.95,66.32,0.04572,0.023662
506.8,66.32,0.045785,0.024171
510.3,66.32,0.04539,0.023816
513.98,66.32,0.045341,0.023511
517.48,66.32,0.045033,0.023065
520.98,66.32,0.045002,0.023228
524.65,66.32,0.044688,0.022917
528.15,66.32,0.044457,0.022911
531.65,66.32,0.044211,0.022485
535.33,66.32,0.044204,0.022538
538.83,66.32,0.043869,0.022313
