x,y,z,z2
7.0,0.0,0.058601,0.038388
10.5,0.0,0.059023,0.038927
14.0,0.0,0.059032,0.038949
17.5,0.0,0.059475,0.039303
21.0,0.0,0.06019,0.039999
24.85,0.0,0.060859,0.041231
28.35,0.0,0.061275,0.041509
32.03,0.0,0.061577,0.042381
35.53,0.0,0.061909,0.042368
39.38,0.0,0.061946,0.040671
43.05,0.0,0.062023,0.04182
46.55,0.0,0.06206,0.041826
50.05,0.0,0.061977,0.041829
53.72,0.0,0.061598,0.041441
57.22,0.0,0.061709,0.041561
60.72,0.0,0.0617,0.041647
64.4,0.0,0.061595,0.041644
67.72,0.0,0.061617,0.041641
71.4,0.0,0.062122,0.042088
74.9,0.0,0.061977,0.042017
78.4,0.0,0.061968,0.042248
81.9,0.0,0.061555,0.041922
85.4,0.0,0.061318,0.041367
89.07,0.0,0.060967,0.041241
92.57,0.0,0.060511,0.041127
96.25,0.0,0.060514,0.040917
99.75,0.0,0.060581,0.041031
103.25,0.0,0.060101,0.040504
106.92,0.0,0.060212,0.039851
110.42,0.0,0.059848,0.039861
113.92,0.0,0.059368,0.038822
117.6,0.0,0.059087,0.038785
121.1,0.0,0.058764,0.038622
124.77,0.0,0.05832,0.038154
128.27,0.0,0.058296,0.038246
131.77,0.0,0.058268,0.038246
135.45,0.0,0.058724,0.038656
138.95,0.0,0.059078,0.03913
142.45,0.0,0.059435,0.039414
146.12,0.0,0.059824,0.040286
149.62,0.0,0.05983,0.040092
153.13,0.0,0.059839,0.04019
156.63,0.0,0.059811,0.040021
159.6,0.0,0.060184,0.040865
163.8,0.0,0.060178,0.040508
167.3,0.0,0.060588,0.040806
170.8,0.0,0.060477,0.040769
174.48,0.0,0.060514,0.040548
178.15,0.0,0.060529,0.039731
181.65,0.0,0.060853,0.040828
185.33,0.0,0.06092,0.04044
188.83,0.0,0.060483,0.040458
192.33,0.0,0.060178,0.04015
196.0,0.0,0.059867,0.039931
199.5,0.0,0.059559,0.039537
203.0,0.0,0.0595,0.039759
206.68,0.0,0.059007,0.039318
210.18,0.0,0.058665,0.039263
213.68,0.0,0.058616,0.03917
217.35,0.0,0.058323,0.039044
220.85,0.0,0.057987,0.038397
224.53,0.0,0.057442,0.03767
228.03,0.0,0.05719,0.03727
231.53,0.0,0.056395,0.036204
235.2,0.0,0.056142,0.036028
238.88,0.0,0.05576,0.035372
242.38,0.0,0.055378,0.035434
245.88,0.0,0.055018,0.035042
249.55,0.0,0.054617,0.035206
253.05,0.0,0.053964,0.034078
256.73,0.0,0.053108,0.033798
260.23,0.0,0.052242,0.032806
263.9,0.0,0.051432,0.032359
267.4,0.0,0.050557,0.031247
271.08,0.0,0.04966,0.030378
274.58,0.0,0.048366,0.028847
278.08,0.0,0.046691,0.027045
281.75,0.0,0.044796,0.024217
285.25,0.0,0.042969,0.023219
288.75,0.0,0.04031,0.020868
292.25,0.0,0.037208,0.017304
295.93,0.0,0.033419,0.013807
299.43,0.0,0.02902,0.009633
302.93,0.0,0.023342,0.003936
306.43,0.0,0.01649,-0.002934
310.1,0.0,0.007128,-0.011938
313.6,0.0,-0.004033,-0.022702
317.28,0.0,-0.018066,-0.036014
320.78,0.0,-0.033981,-0.051695
324.45,0.0,-0.052816,-0.069933
327.95,0.0,-0.073953,-0.090876
331.63,0.0,-0.098038,-0.114674
335.13,0.0,-0.122767,-0.139363
338.63,0.0,-0.145435,-0.16167
342.13,0.0,-0.164662,-0.180934
345.8,0.0,-0.178211,-0.194652
349.3,0.0,-0.183491,-0.200068
352.8,0.0,-0.177046,-0.194329
356.3,0.0,-0.157813,-0.176273
359.8,0.0,-0.126261,-0.144914
363.48,0.0,-0.079474,-0.099729
366.98,0.0,-0.024345,-0.045386
370.65,0.0,0.042008,0.019817
374.15,0.0,0.10877,0.08592
377.65,0.0,0.173009,0.149451
381.15,0.0,0.232125,0.207864
384.83,0.0,0.281878,0.257787
388.5,0.0,0.32019,0.296034
392.0,0.0,0.344278,0.320251
395.5,0.0,0.355843,0.332402
399.18,0.0,0.356194,0.332808
402.68,0.0,0.347198,0.324333
406.18,0.0,0.331022,0.308535
409.68,0.0,0.309198,0.286838
413.18,0.0,0.284004,0.262008
416.85,0.0,0.257303,0.235381
420.35,0.0,0.232152,0.21096
423.68,0.0,0.207867,0.186918
427.35,0.0,0.18458,0.163684
430.85,0.0,0.163961,0.143616
434.53,0.0,0.146241,0.125495
438.03,0.0,0.130911,0.110393
441.7,0.0,0.117553,0.097288
445.2,0.0,0.106201,0.086148
448.7,0.0,0.096367,0.076401
452.2,0.0,0.088511,0.068514
455.88,0.0,0.081854,0.061768
459.38,0.0,0.076536,0.05658
462.88,0.0,0.07194,0.052214
466.38,0.0,0.068588,0.048724
470.05,0.0,0.065612,0.046182
473.55,0.0,0.063129,0.04344
477.23,0.0,0.060853,0.0417
480.73,0.0,0.058915,0.039183
484.4,0.0,0.057479,0.037679
487.9,0.0,0.056265,0.036413
491.58,0.0,0.055434,0.034833
495.25,0.0,0.05467,0.034482
498.75,0.0,0.05397,0.033884
502.25,0.0,0.053083,0.033351
506.28,0.0,0.05283,0.034519
509.95,0.0,0.05275,0.033083
513.63,0.0,0.052368,0.032415
517.13,0.0,0.052455,0.032091
520.63,0.0,0.05275,0.032639
524.3,0.0,0.052686,0.032593
527.8,0.0,0.052763,0.032803
531.3,0.0,0.053154,0.033246
534.8,0.0,0.053554,0.033536
538.48,0.0,0.053992,0.034047
541.98,0.0,0.054663,0.034586
545.48,0.0,0.054987,0.035107
549.15,0.0,0.055369,0.035495
552.65,0.0,0.055714,0.036142
556.33,0.0,0.05576,0.036546
559.83,0.0,0.055982,0.036771
563.33,0.0,0.056022,0.036478
566.83,0.0,0.056117,0.036647
570.5,0.0,0.055779,0.036238
574.0,0.0,0.0554,0.03556
577.68,0.0,0.055073,0.035236
581.18,0.0,0.054691,0.034161
584.85,0.0,0.054303,0.034106
588.35,0.0,0.053964,0.033653
591.85,0.0,0.053453,0.033795
595.35,0.0,0.05312,0.033126
599.02,0.0,0.052753,0.032861
602.52,0.0,0.052442,0.03255
606.2,0.0,0.052408,0.032818
609.7,0.0,0.052436,0.03243
613.2,0.0,0.052002,0.032516
616.7,0.0,0.052134,0.032347
620.2,0.0,0.052005,0.032396
623.87,0.0,0.052088,0.032624
627.37,0.0,0.052116,0.032661
630.87,0.0,0.052036,0.032519
634.37,0.0,0.052039,0.032738
637.87,0.0,0.052005,0.032535
641.55,0.0,0.052029,0.032532
645.05,0.0,0.051882,0.032076
648.72,0.0,0.051715,0.031811
652.22,0.0,0.051315,0.031213
655.72,0.0,0.051327,0.031315
659.4,0.0,0.051382,0.03121
662.9,0.0,0.05165,0.031475
666.4,0.0,0.052017,0.032054
670.42,0.0,0.052045,0.033058
673.92,0.0,0.051986,0.032464
677.42,0.0,0.051629,0.03235
680.92,0.0,0.051151,0.031817
684.77,0.0,0.050806,0.030776
688.27,0.0,0.050301,0.03072
691.77,0.0,0.049839,0.030085
695.27,0.0,0.049417,0.029491
698.95,0.0,0.04914,0.029281
702.45,0.0,0.048702,0.028752
705.95,0.0,0.048345,0.028425
709.62,0.0,0.048333,0.028406
12.6,33.07,0.045785,0.018345
16.27,33.07,0.046105,0.026191
20.3,33.07,0.046093,0.024395
23.8,33.07,0.046527,0.026654
27.3,33.07,0.046555,0.026684
30.8,33.07,0.046561,0.027005
34.47,33.07,0.046256,0.026503
37.97,33.07,0.046133,0.026869
41.47,33.07,0.046441,0.026919
44.97,33.07,0.046472,0.026959
48.65,33.07,0.046524,0.027143
52.15,33.07,0.04613,0.026758
55.65,33.07,0.04645,0.027023
59.15,33.07,0.046583,0.0271
62.82,33.07,0.046912,0.027565
66.32,33.07,0.047569,0.02792
69.82,33.07,0.047997,0.028123
73.5,33.07,0.048508,0.028357
77.0,33.07,0.048899,0.029337
80.5,33.07,0.049303,0.029331
84.0,33.07,0.049851,0.029848
87.5,33.07,0.050184,0.029999
91.17,33.07,0.050246,0.030129
94.5,33.07,0.050606,0.030622
98.35,33.07,0.050649,0.0306
101.85,33.07,0.050557,0.030776
105.35,33.07,0.050169,0.030394
108.85,33.07,0.049707,0.029953
112.52,33.07,0.049053,0.029617
116.02,33.07,0.048702,0.029423
