x,y,z,z2
594.65,695.1,0.076142,0.054402
598.15,695.1,0.076586,0.054636
601.83,695.1,0.076878,0.055052
605.33,695.1,0.077331,0.055471
608.83,695.1,0.07734,0.055566
612.33,695.1,0.077359,0.055504
615.83,695.1,0.076906,0.055138
619.33,695.1,0.076925,0.054978
623.0,695.1,0.076469,0.055027
626.5,695.1,0.076207,0.054291
630.0,695.1,0.075517,0.052658
633.5,695.1,0.075092,0.052716
637.18,695.1,0.074654,0.052291
640.68,695.1,0.074297,0.051703
644.35,695.1,0.07426,0.051484
647.85,695.1,0.073878,0.051361
651.53,695.1,0.073493,0.050954
655.03,695.1,0.073114,0.050695
658.53,695.1,0.072756,0.050326
662.2,695.1,0.072267,0.050239
665.7,695.1,0.072393,0.050024
669.2,695.1,0.072319,0.050196
672.7,695.1,0.072294,0.050424
676.38,695.1,0.072208,0.050267
679.88,695.1,0.071986,0.050159
683.38,695.1,0.072014,0.050332
686.88,695.1,0.07154,0.049827
690.55,695.1,0.071561,0.049981
694.05,695.1,0.071185,0.049398
697.55,695.1,0.07097,0.049186
701.22,695.1,0.070486,0.048628
704.72,695.1,0.070412,0.047917
708.22,695.1,0.069999,0.047667
0.0,3.5,0.053089,0.026154
0.0,7.17,0.052642,0.029186
0.0,11.37,0.052624,0.031607
0.0,14.87,0.053068,0.031715
0.0,18.38,0.052997,0.031709
0.0,22.05,0.053483,0.032008
0.0,25.55,0.053422,0.031922
0.0,29.05,0.05381,0.032316
0.0,32.55,0.053807,0.032174
0.0,36.22,0.053776,0.032347
0.0,39.9,0.053471,0.030535
0.0,43.4,0.053483,0.03137
0.0,46.9,0.053437,0.03129
0.0,50.57,0.053453,0.031111
0.0,54.07,0.054023,0.031983
0.0,57.92,0.05458,0.032606
0.0,61.42,0.054944,0.03304
0.0,65.1,0.055295,0.033955
0.0,68.6,0.055387,0.033776
0.0,71.92,0.055301,0.033779
0.0,75.6,0.055172,0.033927
0.0,79.27,0.055243,0.033927
0.0,82.77,0.054882,0.033644
0.0,86.45,0.054944,0.032975
0.0,89.95,0.054457,0.032655
0.0,93.45,0.054266,0.032378
0.0,97.12,0.05345,0.030431
0.0,100.8,0.053135,0.031004
0.0,104.3,0.052307,0.03036
0.0,107.97,0.051965,0.029987
0.0,111.47,0.051583,0.029703
0.0,115.15,0.051142,0.029565
0.0,118.65,0.051182,0.029639
0.0,122.15,0.051179,0.029845
0.0,125.65,0.05121,0.029996
0.0,129.85,0.051105,0.027824
0.0,133.35,0.051133,0.029161
0.0,137.02,0.050745,0.028576
0.0,140.52,0.050101,0.028046
0.0,144.02,0.049137,0.027131
0.0,148.57,0.048018,0.024968
0.0,152.07,0.047131,0.025085
0.0,155.75,0.046004,0.0241
0.0,159.6,0.04467,0.02409
0.0,163.27,0.043502,0.022513
0.0,166.77,0.041309,0.020412
0.0,170.28,0.038256,0.017427
0.0,173.95,0.033912,0.012057
0.0,177.1,0.028801,0.007874
0.0,180.95,0.021971,0.00101
0.0,184.63,0.013853,-0.007561
0.0,188.3,0.00389,-0.016788
0.0,191.8,-0.009169,-0.029499
0.0,195.3,-0.02464,-0.044554
0.0,198.8,-0.042921,-0.062096
0.0,202.48,-0.064791,-0.083457
0.0,205.98,-0.091473,-0.109455
0.0,209.65,-0.120805,-0.137792
0.0,213.15,-0.152422,-0.167496
0.0,217.0,-0.182785,-0.197557
0.0,220.33,-0.211972,-0.227108
0.0,224.0,-0.230161,-0.243768
0.0,227.5,-0.240453,-0.254902
0.0,231.0,-0.238657,-0.253161
0.0,234.85,-0.219036,-0.236337
0.0,238.35,-0.188035,-0.205004
0.0,241.85,-0.141889,-0.160644
0.0,245.35,-0.083839,-0.104292
0.0,248.85,-0.018784,-0.040919
0.0,252.53,0.051154,0.0269
0.0,256.03,0.119004,0.093419
0.0,259.53,0.18206,0.154833
0.0,263.03,0.235569,0.207842
0.0,266.53,0.277581,0.248859
0.0,270.2,0.30783,0.278918
0.0,273.7,0.325073,0.296173
0.0,277.2,0.330655,0.301986
0.0,280.7,0.326459,0.298403
0.0,284.38,0.314916,0.287562
0.0,287.88,0.298076,0.271093
0.0,291.38,0.276912,0.250609
0.0,295.05,0.253252,0.22804
0.0,298.73,0.230714,0.205643
0.0,302.4,0.208844,0.184367
0.0,305.9,0.187735,0.163699
0.0,309.4,0.168637,0.144466
0.0,313.08,0.152655,0.128727
0.0,316.58,0.139127,0.115825
0.0,320.08,0.127541,0.104164
0.0,323.58,0.117913,0.094876
0.0,327.08,0.109149,0.08617
0.0,330.58,0.102377,0.079417
0.0,334.25,0.09597,0.073157
0.0,337.75,0.091632,0.068678
0.0,341.25,0.087633,0.064836
0.0,344.93,0.084639,0.061955
0.0,348.43,0.082507,0.059725
0.0,352.1,0.081142,0.058748
0.0,355.6,0.079747,0.057344
0.0,359.1,0.078619,0.056305
0.0,362.6,0.077732,0.055523
0.0,366.1,0.077002,0.054882
0.0,369.78,0.076182,0.054411
0.0,373.45,0.07576,0.054004
0.0,376.95,0.075113,0.053406
0.0,380.45,0.07471,0.052784
0.0,384.13,0.074509,0.052522
0.0,387.63,0.074371,0.052174
0.0,391.13,0.074324,0.051878
0.0,394.63,0.074324,0.051786
0.0,398.13,0.07438,0.052143
0.0,401.63,0.07466,0.052411
0.0,405.3,0.075384,0.053037
0.0,408.8,0.07588,0.053074
0.0,412.3,0.076321,0.05352
0.0,415.98,0.076586,0.053869
0.0,419.48,0.076589,0.054047
0.0,422.98,0.076607,0.053869
0.0,426.65,0.076194,0.053462
0.0,430.15,0.076262,0.05365
0.0,433.83,0.075923,0.053369
0.0,437.33,0.076315,0.053779
0.0,440.83,0.076222,0.05397
0.0,444.33,0.076108,0.054214
0.0,448.0,0.076179,0.0541
0.0,451.5,0.076225,0.054235
0.0,455.0,0.07617,0.05426
0.0,458.68,0.075757,0.054214
0.0,462.18,0.07543,0.053622
0.0,465.68,0.075082,0.053265
0.0,469.18,0.074648,0.052618
0.0,472.68,0.074657,0.052695
0.0,476.35,0.074722,0.052544
0.0,479.85,0.074657,0.052667
0.0,483.35,0.074666,0.052217
0.0,486.85,0.074697,0.052436
0.0,490.53,0.074284,0.051709
0.0,494.03,0.073902,0.051493
0.0,497.7,0.07349,0.050726
0.0,501.2,0.073533,0.050877
0.0,504.88,0.073912,0.051268
0.0,508.55,0.074377,0.051823
0.0,511.88,0.074716,0.052239
0.0,515.55,0.075073,0.052473
0.0,519.05,0.075455,0.053687
0.0,522.73,0.075902,0.053425
0.0,526.4,0.076213,0.054552
0.0,529.9,0.076198,0.054414
0.0,533.75,0.076216,0.052236
0.0,537.25,0.075856,0.05324
0.0,540.75,0.075443,0.052646
0.0,544.25,0.075495,0.052926
0.0,547.93,0.07584,0.053114
0.0,551.6,0.07617,0.0534
0.0,555.1,0.076219,0.053641
0.0,558.6,0.07661,0.054127
0.0,562.1,0.076124,0.053801
0.0,565.78,0.076167,0.053671
0.0,569.28,0.0758,0.053416
0.0,572.78,0.075794,0.053419
0.0,576.28,0.075427,0.053188
0.0,579.78,0.075027,0.05284
0.0,583.28,0.074623,0.052374
0.0,586.78,0.074355,0.052085
0.0,590.45,0.074244,0.052433
0.0,593.95,0.074337,0.052359
0.0,597.45,0.074703,0.052812
0.0,600.95,0.07503,0.053259
0.0,604.45,0.07543,0.053456
0.0,608.12,0.075437,0.05361
0.0,611.62,0.075486,0.053542
0.0,615.12,0.075449,0.053653
0.0,618.62,0.075437,0.053434
0.0,622.3,0.075421,0.053437
