x,y,z,z2
7.17,0.0,0.009426,-4.580022
10.5,0.0,0.010067,-4.50753
14.17,0.0,0.010822,-4.5107
17.68,0.0,0.011182,-4.553568
21.35,0.0,0.011071,-4.580127
25.03,0.0,0.011419,-4.564825
28.53,0.0,0.011774,-4.538361
32.03,0.0,0.012171,-4.551556
35.7,0.0,0.01219,-4.618136
39.2,0.0,0.012251,-4.714331
42.87,0.0,0.012214,-4.801251
46.37,0.0,0.01218,-4.877819
49.87,0.0,0.011805,-4.949408
53.55,0.0,0.011537,-5.018552
57.22,0.0,0.011105,-5.089611
60.72,0.0,0.010699,-5.171127
64.4,0.0,0.009975,-5.251191
67.9,0.0,0.009623,-5.344669
71.4,0.0,0.008693,-5.435634
74.9,0.0,0.007963,-5.489284
78.57,0.0,0.007236,-5.470723
82.07,0.0,0.006684,-5.363428
85.75,0.0,0.006074,-5.183102
89.25,0.0,0.005677,-4.947649
92.75,0.0,0.00572,-4.688546
96.42,0.0,0.006062,-4.433577
99.57,0.0,0.006432,-4.165688
103.42,0.0,0.006962,-3.859712
107.1,0.0,0.007227,-3.537941
110.77,0.0,0.00776,-3.261912
114.27,0.0,0.007852,-3.006229
118.65,0.0,0.008459,-2.884892
122.15,0.0,0.008782,-2.834787
125.82,0.0,0.008804,-2.83609
129.32,0.0,0.008675,-2.887535
133.0,0.0,0.008798,-2.97447
136.5,0.0,0.008862,-3.088943
140.0,0.0,0.008847,-3.210085
143.67,0.0,0.008785,-3.328221
147.17,0.0,0.008785,-3.415239
150.67,0.0,0.009072,-3.472001
154.18,0.0,0.009229,-3.490261
157.85,0.0,0.009574,-3.489971
161.35,0.0,0.009106,-3.496099
165.03,0.0,0.009195,-3.527913
168.53,0.0,0.009075,-3.575411
172.2,0.0,0.008773,-3.622337
175.7,0.0,0.008826,-3.645267
179.2,0.0,0.009281,-3.638828
182.88,0.0,0.009201,-3.597269
186.38,0.0,0.008699,-3.542285
189.88,0.0,0.00869,-3.471145
193.55,0.0,0.008363,-3.385014
196.88,0.0,0.008117,-3.287488
200.55,0.0,0.007649,-3.212485
204.05,0.0,0.00682,-3.158425
207.73,0.0,0.006543,-3.099463
211.05,0.0,0.006059,-3.020104
214.55,0.0,0.006102,-2.907002
218.23,0.0,0.006059,-2.747662
221.73,0.0,0.006068,-2.54028
225.23,0.0,0.006426,-2.295065
228.9,0.0,0.007331,-2.041131
232.05,0.0,0.007621,-1.77872
235.9,0.0,0.008061,-1.513634
239.4,0.0,0.008705,-1.242852
242.9,0.0,0.009171,-0.942365
246.58,0.0,0.00967,-0.555844
250.08,0.0,0.010347,-0.08663
253.58,0.0,0.011195,0.402559
257.08,0.0,0.011604,0.855337
260.93,0.0,0.012208,1.286843
264.6,0.0,0.012553,1.612086
268.1,0.0,0.012279,1.942929
271.43,0.0,0.011823,2.407189
275.28,0.0,0.011598,3.149351
278.78,0.0,0.011423,4.011903
282.28,0.0,0.012088,5.014816
285.95,0.0,0.014248,5.895037
289.28,0.0,0.01751,6.523893
292.95,0.0,0.02101,6.981853
296.45,0.0,0.024377,7.35033
299.95,0.0,0.027981,7.692517
303.45,0.0,0.031614,8.020089
307.13,0.0,0.0345,8.335733
310.45,0.0,0.037544,8.645427
314.13,0.0,0.040175,8.951853
317.63,0.0,0.042673,9.265885
321.13,0.0,0.044488,9.573633
324.45,0.0,0.045856,9.852277
328.3,0.0,0.046654,-9.879278
331.8,0.0,0.046105,-9.650945
335.3,0.0,0.04446,-9.449435
338.8,0.0,0.042113,-9.264858
342.48,0.0,0.038496,-9.08496
345.98,0.0,0.035002,-8.905213
349.48,0.0,0.031524,-8.713891
353.15,0.0,0.027984,-8.502588
356.65,0.0,0.024679,-8.257921
360.15,0.0,0.02174,-7.978359
363.83,0.0,0.018983,-7.642614
367.33,0.0,0.017436,-7.254596
370.83,0.0,0.015659,-6.84533
374.33,0.0,0.0145,-6.441039
377.83,0.0,0.013619,-6.072232
381.5,0.0,0.012775,-5.741101
385.0,0.0,0.012245,-5.455316
388.5,0.0,0.011506,-5.244784
392.0,0.0,0.011241,-5.125714
395.68,0.0,0.011056,-5.050874
399.18,0.0,0.011025,-4.975511
402.68,0.0,0.011506,-4.89711
406.35,0.0,0.011878,-4.851617
409.5,0.0,0.012267,-4.824297
413.35,0.0,0.012297,-4.78533
416.85,0.0,0.012137,-4.739242
420.53,0.0,0.012313,-4.69516
424.03,0.0,0.012147,-4.662606
427.53,0.0,0.011829,-4.647246
431.2,0.0,0.011395,-4.660755
434.7,0.0,0.011124,-4.701898
438.2,0.0,0.010791,-4.740379
441.88,0.0,0.01032,-4.789479
445.38,0.0,0.009981,-4.862914
448.88,0.0,0.009466,-4.920505
452.55,0.0,0.008835,-4.974602
455.7,0.0,0.00845,-5.041709
459.55,0.0,0.008416,-5.115942
463.05,0.0,0.007901,-5.203437
466.73,0.0,0.00718,-5.34612
470.23,0.0,0.007356,-5.496952
473.73,0.0,0.007199,-5.634872
477.4,0.0,0.007596,-5.761104
480.73,0.0,0.007821,-5.880574
484.4,0.0,0.007519,-6.015802
487.9,0.0,0.00751,-6.193547
491.4,0.0,0.00816,-6.419924
494.9,0.0,0.00792,-6.669812
498.4,0.0,0.008114,-6.919649
501.9,0.0,0.008289,-7.124078
505.4,0.0,0.008862,-7.261537
509.08,0.0,0.009325,-7.325095
512.58,0.0,0.010089,-7.314673
515.55,0.0,0.010289,-7.250468
519.58,0.0,0.010699,-7.133995
523.25,0.0,0.011238,-6.990326
526.75,0.0,0.011808,-6.868989
530.78,0.0,0.012994,-6.790441
534.45,0.0,0.01389,-6.767967
537.95,0.0,0.014984,-6.77037
541.45,0.0,0.015843,-6.789442
544.95,0.0,0.016691,-6.802141
548.45,0.0,0.017541,-6.800696
