x,y,z,z2
7.17,0.0,-0.026365,-0.018812
10.68,0.0,-0.02631,-0.018485
14.53,0.0,-0.026399,-0.018467
18.03,0.0,-0.026365,-0.018537
21.53,0.0,-0.026393,-0.018349
25.2,0.0,-0.026686,-0.018023
28.7,0.0,-0.026741,-0.017419
32.38,0.0,-0.026738,-0.016963
35.88,0.0,-0.026751,-0.016883
39.38,0.0,-0.02647,-0.016501
43.05,0.0,-0.025703,-0.016125
46.72,0.0,-0.024954,-0.015743
50.4,0.0,-0.024163,-0.015715
53.9,0.0,-0.023396,-0.015623
57.4,0.0,-0.022961,-0.01534
61.07,0.0,-0.022265,-0.015386
64.4,0.0,-0.021584,-0.015004
68.07,0.0,-0.020503,-0.015035
71.57,0.0,-0.019295,-0.015078
75.07,0.0,-0.017921,-0.014995
78.92,0.0,-0.016778,-0.014582
82.6,0.0,-0.015774,-0.014187
86.1,0.0,-0.0148,-0.014243
89.42,0.0,-0.013975,-0.013904
93.27,0.0,-0.013476,-0.013824
96.95,0.0,-0.013091,-0.013359
100.45,0.0,-0.013131,-0.013374
104.12,0.0,-0.013109,-0.012992
107.8,0.0,-0.013078,-0.013078
111.3,0.0,-0.013433,-0.013032
114.8,0.0,-0.013738,-0.013457
118.47,0.0,-0.014323,-0.013389
121.45,0.0,-0.014908,-0.013467
125.47,0.0,-0.015284,-0.01379
129.15,0.0,-0.015614,-0.01383
132.65,0.0,-0.015996,-0.013784
136.15,0.0,-0.01606,-0.013772
139.82,0.0,-0.016569,-0.013821
143.32,0.0,-0.017086,-0.013768
146.83,0.0,-0.01745,-0.013855
150.5,0.0,-0.017841,-0.014018
154.0,0.0,-0.018115,-0.014212
157.5,0.0,-0.018559,-0.014209
161.18,0.0,-0.018901,-0.014187
164.68,0.0,-0.019495,-0.014237
168.35,0.0,-0.019699,-0.013827
171.85,0.0,-0.020035,-0.013463
175.35,0.0,-0.020497,-0.013488
179.03,0.0,-0.020873,-0.013448
183.23,0.0,-0.020774,-0.013078
186.73,0.0,-0.020832,-0.012669
190.4,0.0,-0.0207,-0.012499
193.9,0.0,-0.020447,-0.012259
197.4,0.0,-0.020487,-0.012006
200.9,0.0,-0.020065,-0.01184
204.4,0.0,-0.019807,-0.011923
208.08,0.0,-0.01977,-0.011436
211.58,0.0,-0.019243,-0.011898
215.25,0.0,-0.019326,-0.011849
218.75,0.0,-0.019326,-0.012287
222.43,0.0,-0.019335,-0.01229
225.93,0.0,-0.019702,-0.012702
229.43,0.0,-0.020377,-0.012629
233.1,0.0,-0.020814,-0.012702
236.43,0.0,-0.021239,-0.012293
239.93,0.0,-0.021202,-0.011831
243.78,0.0,-0.020703,-0.011137
247.28,0.0,-0.01936,-0.010306
250.78,0.0,-0.01733,-0.009163
254.45,0.0,-0.015259,-0.008051
257.95,0.0,-0.013445,-0.007028
261.45,0.0,-0.012995,-0.005774
264.95,0.0,-0.013069,-0.004563
268.63,0.0,-0.013953,-0.003439
271.43,0.0,-0.016208,-0.002234
275.63,0.0,-0.019227,-0.000993
279.13,0.0,-0.022967,0.0004
282.8,0.0,-0.027009,0.002187
286.3,0.0,-0.030817,0.004759
289.8,0.0,-0.034862,0.007951
293.48,0.0,-0.038568,0.012433
296.98,0.0,-0.042601,0.017673
300.48,0.0,-0.046787,0.023767
304.15,0.0,-0.051751,0.030464
307.83,0.0,-0.057071,0.037596
311.33,0.0,-0.062136,0.045243
314.83,0.0,-0.067404,0.053055
318.5,0.0,-0.072046,0.059747
322.18,0.0,-0.075272,0.065233
325.68,0.0,-0.077641,0.068416
329.18,0.0,-0.078112,0.068604
332.85,0.0,-0.076464,0.065803
336.35,0.0,-0.073245,0.060273
339.85,0.0,-0.06801,0.05284
343.35,0.0,-0.06151,0.043792
347.03,0.0,-0.05456,0.034038
350.53,0.0,-0.047185,0.024682
354.03,0.0,-0.040367,0.015609
357.53,0.0,-0.034043,0.007301
361.2,0.0,-0.028553,0.000431
364.7,0.0,-0.024465,-0.0055
368.2,0.0,-0.02082,-0.009486
371.88,0.0,-0.017952,-0.012548
375.38,0.0,-0.015752,-0.014736
378.88,0.0,-0.014181,-0.016116
382.38,0.0,-0.013457,-0.016877
385.88,0.0,-0.013128,-0.017311
389.55,0.0,-0.013026,-0.017712
393.05,0.0,-0.013423,-0.017669
396.73,0.0,-0.013796,-0.017632
400.23,0.0,-0.01456,-0.017502
403.73,0.0,-0.015601,-0.017102
407.23,0.0,-0.016664,-0.016507
410.73,0.0,-0.017952,-0.016365
414.4,0.0,-0.019141,-0.016193
417.9,0.0,-0.020324,-0.016122
421.58,0.0,-0.021245,-0.01651
425.08,0.0,-0.022,-0.016717
428.75,0.0,-0.022669,-0.016911
432.25,0.0,-0.023152,-0.016945
435.75,0.0,-0.023765,-0.016868
439.43,0.0,-0.024572,-0.016951
442.93,0.0,-0.025189,-0.016479
446.43,0.0,-0.025626,-0.016541
450.1,0.0,-0.026097,-0.016541
453.6,0.0,-0.026495,-0.016464
457.1,0.0,-0.026695,-0.016541
460.6,0.0,-0.027043,-0.016957
464.28,0.0,-0.027693,-0.017327
467.78,0.0,-0.028223,-0.018078
471.28,0.0,-0.02847,-0.018442
474.95,0.0,-0.028956,-0.018402
478.45,0.0,-0.029745,-0.018858
481.95,0.0,-0.029908,-0.019237
485.45,0.0,-0.030087,-0.019184
489.13,0.0,-0.030001,-0.019588
492.63,0.0,-0.029422,-0.019597
496.13,0.0,-0.02891,-0.019163
499.63,0.0,-0.028568,-0.019246
503.3,0.0,-0.028664,-0.018836
506.8,0.0,-0.028577,-0.018852
510.48,0.0,-0.029237,-0.018448
514.15,0.0,-0.02985,-0.01846
517.65,0.0,-0.030697,-0.018436
521.15,0.0,-0.031541,-0.018488
524.65,0.0,-0.032176,-0.01842
528.33,0.0,-0.032675,-0.018824
532.0,0.0,-0.032736,-0.018799
535.33,0.0,-0.032666,-0.019246
538.83,0.0,-0.032684,-0.01956
542.5,0.0,-0.032647,-0.02009
546.0,0.0,-0.032647,-0.020429
549.5,0.0,-0.032625,-0.020383
553.18,0.0,-0.033078,-0.02029
557.73,0.0,-0.033051,-0.020065
561.23,0.0,-0.032699,-0.019613
564.9,0.0,-0.032715,-0.0196
568.58,0.0,-0.032542,-0.019277
571.9,0.0,-0.032314,-0.019163
575.75,0.0,-0.032247,-0.019227
579.25,0.0,-0.031935,-0.019157
582.75,0.0,-0.031957,-0.019616
586.25,0.0,-0.03229,-0.019609
589.75,0.0,-0.032345,-0.020028
593.25,0.0,-0.032299,-0.019973
596.75,0.0,-0.032031,-0.019995
600.42,0.0,-0.031982,-0.019976
603.57,0.0,-0.031572,-0.020004
607.6,0.0,-0.031529,-0.020361
611.1,0.0,-0.031455,-0.02042
614.77,0.0,-0.031211,-0.02042
618.27,0.0,-0.030903,-0.020364
621.95,0.0,-0.030429,-0.020361
625.45,0.0,-0.029616,-0.019976
629.12,0.0,-0.028356,-0.019603
633.15,0.0,-0.0266,-0.018827
636.82,0.0,-0.0244,-0.01834
640.32,0.0,-0.022074,-0.017684
644.17,0.0,-0.019807,-0.017302
647.67,0.0,-0.018128,-0.016858
651.35,0.0,-0.017006,-0.016581
654.85,0.0,-0.016356,-0.01611
658.52,0.0,-0.016735,-0.015719
662.02,0.0,-0.017493,-0.015414
665.52,0.0,-0.018892,-0.01534
669.02,0.0,-0.020777,-0.015749
672.52,0.0,-0.022813,-0.016187
676.2,0.0,-0.025007,-0.016871
679.87,0.0,-0.02692,-0.017724
683.37,0.0,-0.028248,-0.018399
687.05,0.0,-0.029683,-0.01912
690.37,0.0,-0.030913,-0.019625
694.22,0.0,-0.03208,-0.019542
697.72,0.0,-0.033011,-0.019933
701.22,0.0,-0.033707,-0.020435
704.72,0.0,-0.03448,-0.020866
708.22,0.0,-0.035195,-0.021162
12.6,33.25,-0.028642,-0.019585
16.27,33.25,-0.02855,-0.019924
19.77,33.25,-0.028146,-0.020423
23.27,33.25,-0.028254,-0.020715
27.12,33.25,-0.02818,-0.021248
30.8,33.25,-0.028257,-0.021199
34.3,33.25,-0.028198,-0.021279
37.8,33.25,-0.028198,-0.021174
41.3,33.25,-0.027561,-0.020869
44.97,33.25,-0.027157,-0.020848
48.47,33.25,-0.02635,-0.020392
51.97,33.25,-0.025611,-0.019868
55.65,33.25,-0.024526,-0.019243
59.15,33.25,-0.02355,-0.018815
62.65,33.25,-0.022401,-0.018044
66.32,33.25,-0.021116,-0.017176
69.82,33.25,-0.019773,-0.016147
73.32,33.25,-0.018186,-0.014662
77.7,33.25,-0.01728,-0.01363
81.2,33.25,-0.016279,-0.012672
84.87,33.25,-0.015638,-0.01217
88.2,33.25,-0.0153,-0.011963
91.87,33.25,-0.01485,-0.011846
95.55,33.25,-0.014668,-0.011824
99.05,33.25,-0.014175,-0.012382
103.25,33.25,-0.014268,-0.01225
106.92,33.25,-0.013879,-0.012635
110.42,33.25,-0.013889,-0.01306
114.1,33.25,-0.013932,-0.013368
117.6,33.25,-0.013738,-0.013488
121.1,33.25,-0.014166,-0.013454
124.77,33.25,-0.01428,-0.013411
128.1,33.25,-0.014868,-0.013088
131.77,33.25,-0.015466,-0.012709
135.27,33.25,-0.016458,-0.012287
138.77,33.25,-0.017206,-0.011895
142.45,33.25,-0.017971,-0.011476
145.95,33.25,-0.018661,-0.011513
149.62,33.25,-0.019036,-0.011556
153.12,33.25,-0.019243,-0.01147
156.62,33.25,-0.019733,-0.01192
160.3,33.25,-0.020099,-0.011861
163.8,33.25,-0.020395,-0.012151
167.3,33.25,-0.020873,-0.012357
170.97,33.25,-0.020916,-0.012342
174.47,33.25,-0.020882,-0.012592
177.97,33.25,-0.020463,-0.012739
181.65,33.25,-0.02045,-0.01269
185.15,33.25,-0.020577,-0.012687
188.65,33.25,-0.020891,-0.012641
192.32,33.25,-0.021288,-0.012724
195.82,33.25,-0.02163,-0.012265
199.32,33.25,-0.021587,-0.011926
203.17,33.25,-0.021633,-0.011523
206.67,33.25,-0.0216,-0.011184
210.35,33.25,-0.02123,-0.011162
214.02,33.25,-0.020857,-0.011215
217.52,33.25,-0.020808,-0.011097
221.02,33.25,-0.020472,-0.011137
224.7,33.25,-0.020417,-0.011107
228.02,33.25,-0.020426,-0.011261
231.87,33.25,-0.020534,-0.011569
235.37,33.25,-0.020398,-0.011501
239.05,33.25,-0.020478,-0.011908
242.55,33.25,-0.020472,-0.011908
246.05,33.25,-0.019825,-0.011877
249.55,33.25,-0.018485,-0.011553
253.05,33.25,-0.016584,-0.010719
256.9,33.25,-0.014403,-0.009927
260.4,33.25,-0.013146,-0.009126
264.07,33.25,-0.012407,-0.008353
267.57,33.25,-0.012736,-0.007967
271.42,33.25,-0.01379,-0.006994
274.92,33.25,-0.016402,-0.006184
278.6,33.25,-0.019637,-0.005167
282.1,33.25,-0.023479,-0.003516
285.95,33.25,-0.027431,-0.001196
289.45,33.25,-0.030688,0.001959
292.95,33.25,-0.034246,0.005458
296.45,33.25,-0.03859,0.010153
299.95,33.25,-0.043272,0.015458
303.45,33.25,-0.04838,0.020834
306.95,33.25,-0.053873,0.027211
310.8,33.25,-0.059357,0.034457
314.48,33.25,-0.064767,0.041835
318.15,33.25,-0.069634,0.048551
321.65,33.25,-0.073448,0.054531
325.33,33.25,-0.075447,0.058465
328.65,33.25,-0.076017,0.060427
332.33,33.25,-0.074668,0.059904
335.83,33.25,-0.072277,0.057088
339.33,33.25,-0.068124,0.052365
342.83,33.25,-0.06245,0.045403
346.5,33.25,-0.056313,0.037673
350.18,33.25,-0.048845,0.028671
353.68,33.25,-0.042163,0.019439
357.18,33.25,-0.035438,0.011093
360.85,33.25,-0.029489,0.00345
