x,y,z,z2
7.17,0.0,-0.018845,0.000933
11.03,0.0,-0.019215,0.000868
14.53,0.0,-0.019616,0.001247
18.03,0.0,-0.01924,0.001281
21.53,0.0,-0.019264,0.001312
25.2,0.0,-0.019286,0.001324
28.88,0.0,-0.018922,0.001269
32.38,0.0,-0.018593,0.001651
35.88,0.0,-0.017924,0.001755
39.38,0.0,-0.017413,0.002076
43.05,0.0,-0.017028,0.001977
46.55,0.0,-0.016806,0.002103
50.22,0.0,-0.016732,0.002048
53.72,0.0,-0.016741,0.001672
57.22,0.0,-0.016406,0.00174
60.72,0.0,-0.016421,0.001339
64.22,0.0,-0.016033,0.001324
67.9,0.0,-0.015333,0.001259
71.4,0.0,-0.014526,0.001666
74.9,0.0,-0.013781,0.001992
78.4,0.0,-0.013091,0.002501
82.07,0.0,-0.012373,0.003252
85.57,0.0,-0.011581,0.004041
89.07,0.0,-0.010863,0.004432
92.57,0.0,-0.010586,0.00487
96.07,0.0,-0.01054,0.00524
99.57,0.0,-0.010561,0.005585
103.25,0.0,-0.010848,0.005902
106.75,0.0,-0.011292,0.006383
110.25,0.0,-0.011667,0.00661
113.92,0.0,-0.01155,0.006703
117.42,0.0,-0.011667,0.007023
120.92,0.0,-0.011184,0.007399
124.6,0.0,-0.010491,0.00784
128.1,0.0,-0.010068,0.00824
131.6,0.0,-0.009844,0.008222
135.1,0.0,-0.009406,0.00861
138.77,0.0,-0.008996,0.008631
142.27,0.0,-0.008639,0.008557
145.77,0.0,-0.008617,0.008548
149.27,0.0,-0.008728,0.008995
152.95,0.0,-0.008701,0.00898
156.45,0.0,-0.008716,0.008992
159.95,0.0,-0.008146,0.008964
163.63,0.0,-0.00798,0.008594
167.13,0.0,-0.007884,0.008576
170.63,0.0,-0.007983,0.008277
174.13,0.0,-0.008309,0.007846
177.63,0.0,-0.008596,0.007464
181.3,0.0,-0.00915,0.007501
184.8,0.0,-0.009782,0.007023
188.48,0.0,-0.010207,0.006632
191.98,0.0,-0.010826,0.006672
195.48,0.0,-0.011285,0.006336
199.33,0.0,-0.011279,0.006265
202.83,0.0,-0.011387,0.005883
206.33,0.0,-0.011147,0.005936
209.83,0.0,-0.010916,0.005948
213.33,0.0,-0.010065,0.005862
216.83,0.0,-0.009492,0.005954
220.5,0.0,-0.008956,0.005526
224.0,0.0,-0.008627,0.005646
227.5,0.0,-0.008417,0.005631
231.0,0.0,-0.008331,0.00524
234.68,0.0,-0.00863,0.00523
238.18,0.0,-0.009058,0.004867
241.68,0.0,-0.010115,0.004365
245.18,0.0,-0.011325,0.003493
248.68,0.0,-0.01286,0.002418
252.18,0.0,-0.013981,0.001663
255.85,0.0,-0.015688,0.000585
259.35,0.0,-0.017499,-0.000349
262.85,0.0,-0.01915,-0.001335
266.53,0.0,-0.021239,-0.001729
270.03,0.0,-0.02314,-0.002157
273.53,0.0,-0.024742,-0.002558
277.03,0.0,-0.026409,-0.00286
280.53,0.0,-0.028088,-0.003346
284.03,0.0,-0.029668,-0.004113
287.7,0.0,-0.031972,-0.004862
291.2,0.0,-0.034126,-0.005247
294.7,0.0,-0.036184,-0.005623
298.2,0.0,-0.037607,-0.005592
301.88,0.0,-0.038414,-0.005201
305.38,0.0,-0.038845,-0.004837
308.88,0.0,-0.038547,-0.004083
312.38,0.0,-0.037481,-0.003294
316.05,0.0,-0.035962,-0.002361
319.55,0.0,-0.034101,-0.00123
323.05,0.0,-0.031667,-0.000216
326.73,0.0,-0.029083,0.000902
330.23,0.0,-0.026846,0.001644
333.73,0.0,-0.024489,0.002119
337.4,0.0,-0.022422,0.002602
340.9,0.0,-0.020598,0.003271
344.4,0.0,-0.01875,0.003628
347.9,0.0,-0.01724,0.004389
351.58,0.0,-0.015854,0.004959
355.08,0.0,-0.014532,0.005163
358.58,0.0,-0.01326,0.005696
362.25,0.0,-0.012382,0.006376
365.75,0.0,-0.011113,0.007147
369.43,0.0,-0.010528,0.007861
372.93,0.0,-0.010087,0.008668
376.6,0.0,-0.009813,0.009001
380.1,0.0,-0.009736,0.009013
383.6,0.0,-0.010028,0.008634
387.1,0.0,-0.01038,0.008262
390.78,0.0,-0.011187,0.007411
394.28,0.0,-0.011837,0.00637
397.78,0.0,-0.012702,0.005754
401.45,0.0,-0.012918,0.005209
404.78,0.0,-0.013716,0.005236
408.28,0.0,-0.014502,0.004854
411.95,0.0,-0.015272,0.004426
415.45,0.0,-0.015571,0.004063
418.95,0.0,-0.01602,0.003601
422.63,0.0,-0.015987,0.003739
426.13,0.0,-0.015943,0.003733
429.8,0.0,-0.015589,0.003662
433.3,0.0,-0.015192,0.003767
436.8,0.0,-0.014921,0.004044
440.13,0.0,-0.014588,0.004075
443.98,0.0,-0.014129,0.004506
447.48,0.0,-0.01448,0.004402
450.98,0.0,-0.014819,0.004479
454.48,0.0,-0.015651,0.004411
458.15,0.0,-0.016452,0.004081
461.65,0.0,-0.017527,0.003567
465.15,0.0,-0.018568,0.002834
469.0,0.0,-0.019643,0.001774
472.5,0.0,-0.020682,0.000948
476.0,0.0,-0.021661,0.000169
479.5,0.0,-0.022758,-0.000558
483.18,0.0,-0.023775,-0.000987
486.68,0.0,-0.024705,-0.001298
490.18,0.0,-0.025688,-0.001692
493.68,0.0,-0.02663,-0.002173
497.35,0.0,-0.027715,-0.00257
500.85,0.0,-0.028029,-0.002589
504.53,0.0,-0.028771,-0.002823
508.03,0.0,-0.02915,-0.002961
511.7,0.0,-0.029329,-0.002853
515.2,0.0,-0.029218,-0.002484
518.7,0.0,-0.02867,-0.002552
522.2,0.0,-0.028115,-0.002142
525.7,0.0,-0.028032,-0.001812
529.38,0.0,-0.027552,-0.001353
532.88,0.0,-0.027089,-0.000993
536.55,0.0,-0.026393,-0.000691
540.05,0.0,-0.025586,-0.000605
543.55,0.0,-0.024807,-0.000201
547.23,0.0,-0.024243,-0.000272
550.73,0.0,-0.023744,-0.000229
554.23,0.0,-0.023097,-0.000204
557.9,0.0,-0.022702,-0.000204
561.4,0.0,-0.022317,0.00024
564.9,0.0,-0.021865,0.000107
568.4,0.0,-0.021957,0.000578
571.9,0.0,-0.021473,0.000554
575.58,0.0,-0.021519,0.000572
579.08,0.0,-0.021677,0.00019
582.58,0.0,-0.022068,0.000163
586.08,0.0,-0.022616,0.000483
589.58,0.0,-0.022934,0.000535
593.25,0.0,-0.023285,0.000529
596.93,0.0,-0.023423,0.000526
600.43,0.0,-0.023448,0.000548
604.1,0.0,-0.023402,0.00015
607.78,0.0,-0.023987,-0.000426
611.27,0.0,-0.024653,-0.001178
614.95,0.0,-0.025444,-0.002105
618.8,0.0,-0.026384,-0.002989
622.47,0.0,-0.027305,-0.003858
625.97,0.0,-0.028183,-0.00444
629.47,0.0,-0.028892,-0.005213
632.97,0.0,-0.030105,-0.005617
636.47,0.0,-0.031483,-0.005999
640.15,0.0,-0.032712,-0.006381
643.65,0.0,-0.034101,-0.006741
647.15,0.0,-0.035327,-0.006951
650.65,0.0,-0.036264,-0.007154
654.32,0.0,-0.037262,-0.007589
657.82,0.0,-0.038023,-0.00757
661.32,0.0,-0.038571,-0.007659
664.82,0.0,-0.038901,-0.00786
668.5,0.0,-0.039548,-0.007934
672.0,0.0,-0.039779,-0.007924
675.5,0.0,-0.039804,-0.007897
679.17,0.0,-0.040102,-0.00789
682.85,0.0,-0.040429,-0.00749
686.35,0.0,-0.039961,-0.007188
690.02,0.0,-0.03997,-0.007154
693.17,0.0,-0.039964,-0.007182
697.2,0.0,-0.039982,-0.007148
700.7,0.0,-0.039985,-0.007194
704.2,0.0,-0.040035,-0.007576
707.87,0.0,-0.040343,-0.007567
711.37,0.0,-0.040728,-0.007607
12.43,33.07,-0.016421,0.001678
15.93,33.07,-0.016017,0.001312
19.43,33.07,-0.015993,0.001373
22.93,33.07,-0.015928,0.000976
26.43,33.07,-0.015891,0.000671
30.28,33.07,-0.016369,0.000566
33.78,33.07,-0.016365,0.000575
37.28,33.07,-0.016279,0.000511
41.48,33.07,-0.016319,0.000945
44.98,33.07,-0.015971,0.000911
48.65,33.07,-0.016036,0.001302
52.15,33.07,-0.016057,0.001355
55.48,33.07,-0.015691,0.001389
59.15,33.07,-0.014967,0.001709
62.83,33.07,-0.014308,0.002091
66.33,33.07,-0.01322,0.002652
69.83,33.07,-0.012598,0.003246
73.5,33.07,-0.011603,0.004063
77.0,33.07,-0.010731,0.004454
80.5,33.07,-0.009908,0.005298
84.35,33.07,-0.009086,0.005166
87.85,33.07,-0.008624,0.005193
91.35,33.07,-0.00875,0.005159
95.03,33.07,-0.008661,0.00515
98.53,33.07,-0.008667,0.005508
102.03,33.07,-0.009024,0.005618
105.7,33.07,-0.00903,0.005159
109.2,33.07,-0.009055,0.0052
112.88,33.07,-0.008987,0.005147
116.38,33.07,-0.009462,0.005227
119.7,33.07,-0.00965,0.005175
123.38,33.07,-0.010204,0.005212
127.05,33.07,-0.010537,0.005554
130.55,33.07,-0.010836,0.00637
134.05,33.07,-0.010882,0.006718
137.73,33.07,-0.010463,0.006641
141.23,33.07,-0.010919,0.006687
