x,y,z,z2
7.04,0.0,1.625795,1.573691
10.72,0.0,1.652326,1.598928
14.44,0.0,1.687073,1.623176
17.94,0.0,1.67094,1.609729
21.52,0.0,1.65268,1.59443
25.07,0.0,1.67301,1.619643
28.61,0.0,1.642366,1.580416
32.24,0.0,1.634643,1.585545
35.79,0.0,1.60471,1.558096
39.37,0.0,1.56447,1.511756
42.96,0.0,1.573161,1.517132
46.37,0.0,1.542985,1.492283
49.92,0.0,1.536513,1.494677
53.99,0.0,1.598521,1.5313
57.75,0.0,1.613758,1.550059
61.38,0.0,1.593558,1.548013
64.88,0.0,1.587751,1.538592
68.42,0.0,1.69605,1.617495
71.97,0.0,1.75532,1.695964
75.51,0.0,1.897304,1.836176
79.06,0.0,2.06776,1.992014
82.64,0.0,2.365821,2.283517
86.1,0.0,2.736653,2.658338
89.69,0.0,3.293978,3.19143
93.23,0.0,4.063351,3.94134
96.73,0.0,5.145303,4.977201
100.36,0.0,6.524712,6.310846
103.86,0.0,7.860376,7.603013
107.41,0.0,8.778187,8.50922
110.99,0.0,9.464788,9.189246
114.67,0.0,-4.82719,-4.174006
118.26,0.0,-9.676776,-9.459004
121.8,0.0,-9.435612,-9.243786
125.3,0.0,-9.215151,-9.003848
128.89,0.0,-9.034251,-8.835712
132.48,0.0,-8.876735,-8.683629
135.98,0.0,-8.823065,-8.62996
139.61,0.0,-8.645771,-8.475327
143.11,0.0,-8.562428,-8.385558
146.69,0.0,-8.517246,-8.347598
150.19,0.0,-8.430506,-8.255857
153.78,0.0,-8.370241,-8.201692
157.33,0.0,-8.264012,-8.093744
160.91,0.0,-8.203525,-8.02681
164.41,0.0,-8.166862,-7.991776
167.91,0.0,-8.124373,-7.954703
171.54,0.0,-8.227007,-8.042087
175.7,0.0,-8.359921,-8.141671
179.24,0.0,-8.636421,-8.44082
182.79,0.0,-8.947532,-8.737585
186.33,0.0,-9.422692,-9.195338
189.88,0.0,-9.956071,-9.712845
193.46,0.0,9.437555,8.696573
196.96,0.0,8.839093,8.617245
200.51,0.0,8.443434,8.219439
204.09,0.0,8.089864,7.869036
207.64,0.0,7.746892,7.558383
211.18,0.0,7.500158,7.306181
214.73,0.0,7.345959,7.165685
218.36,0.0,7.200756,7.023831
221.94,0.0,7.049712,6.868011
225.62,0.0,6.938686,6.764102
229.12,0.0,6.739158,6.586299
232.66,0.0,6.600125,6.443215
236.16,0.0,6.313209,6.15569
239.71,0.0,6.03553,5.889655
243.21,0.0,5.444153,5.323011
246.75,0.0,4.892592,4.791804
250.16,0.0,4.062162,3.987578
253.79,0.0,3.157167,3.100583
257.29,0.0,2.271022,2.232048
260.84,0.0,1.595182,1.566707
264.47,0.0,1.168374,1.13802
268.1,0.0,0.76335,0.744345
271.64,0.0,0.532417,0.50929
275.1,0.0,0.377559,0.363828
278.64,0.0,0.325291,0.297177
282.19,0.0,0.258437,0.234583
285.73,0.0,0.113191,0.090634
289.36,0.0,0.157359,0.14288
292.86,0.0,0.134167,0.118453
296.45,0.0,0.116835,0.097313
300.04,0.0,-0.010201,-0.024406
303.58,0.0,-0.08115,-0.108506
307.04,0.0,-0.247114,-0.263639
310.63,0.0,-0.261895,-0.286045
314.21,0.0,-0.385579,-0.380693
317.84,0.0,-0.445009,-0.456386
321.43,0.0,-0.314477,-0.344926
324.97,0.0,-0.026458,-0.057336
328.52,0.0,0.611382,0.560599
332.06,0.0,1.634193,1.55138
335.56,0.0,2.710769,2.60766
339.15,0.0,3.547043,3.438611
342.74,0.0,3.903783,3.802659
346.32,0.0,4.088518,3.963823
349.91,0.0,4.172227,4.062412
353.41,0.0,4.158151,4.051826
356.96,0.0,4.09109,4.001959
360.54,0.0,4.01121,3.908983
364.04,0.0,4.057843,3.950046
367.63,0.0,4.011435,3.917289
371.17,0.0,4.182131,4.071469
374.76,0.0,4.430245,4.302584
378.22,0.0,5.066702,4.921576
381.76,0.0,6.324109,6.13418
385.44,0.0,7.6031,7.360589
389.07,0.0,8.314664,8.080286
392.57,0.0,8.685892,8.443474
396.07,0.0,8.85783,8.619666
399.7,0.0,8.838625,8.612846
403.24,0.0,8.748742,8.508434
406.74,0.0,8.65109,8.423862
410.29,0.0,8.374932,8.163459
413.87,0.0,8.027313,7.83517
417.33,0.0,7.454668,7.271196
421.14,0.0,6.843156,6.694167
