x,y,z,z2
0.0,3.72,0.876193,0.811708
0.0,7.09,0.913341,0.869785
0.0,11.55,0.927157,0.882977
0.0,15.14,0.905648,0.866397
0.0,18.64,0.853704,0.819659
0.0,21.48,0.775885,0.74111
0.0,25.77,0.665901,0.639758
0.0,29.36,0.525713,0.493061
0.0,32.9,0.327171,0.30495
0.0,36.27,0.045313,0.031928
0.0,40.03,-0.315854,-0.317711
0.0,43.53,-0.73467,-0.726743
0.0,47.12,-1.218009,-1.199521
0.0,50.66,-1.766773,-1.733424
0.0,54.21,-2.405469,-2.35565
0.0,57.79,-3.081697,-3.013712
0.0,61.29,-3.722176,-3.644506
0.0,64.88,-4.284816,-4.190213
0.0,68.42,-4.733022,-4.633216
0.0,72.01,-5.082578,-4.973798
0.0,75.56,-5.326395,-5.21971
0.0,79.06,-5.523144,-5.41519
0.0,82.64,-5.684817,-5.572131
0.0,86.23,-5.841717,-5.721175
0.0,89.73,-6.007694,-5.886369
0.0,93.28,-6.196911,-6.06822
0.0,96.99,-6.434887,-6.292043
0.0,100.54,-6.703232,-6.554504
0.0,104.08,-7.015459,-6.863158
0.0,107.58,-7.387036,-7.223955
0.0,111.08,-7.800686,-7.624512
0.0,114.67,-8.259034,-8.064792
0.0,118.21,-8.7674,-8.55932
0.0,121.76,-9.277057,-9.060252
0.0,125.56,-9.805529,-9.561595
0.0,129.11,9.753965,8.995396
0.0,132.61,9.363109,9.106918
0.0,136.15,9.032472,8.796591
0.0,139.61,8.767734,8.53499
0.0,143.15,8.548949,8.32341
0.0,146.69,8.386188,8.168019
0.0,150.24,8.251802,8.038158
0.0,153.91,8.152258,7.936704
0.0,157.41,8.087082,7.874563
0.0,160.96,8.039436,7.831858
0.0,164.46,8.023897,7.81724
0.0,167.96,8.028601,7.819073
0.0,171.76,8.047834,7.828839
0.0,175.26,8.084482,7.874008
0.0,178.81,8.131386,7.914177
0.0,182.35,8.189436,7.973343
0.0,185.89,8.247544,8.028182
0.0,189.48,8.304389,8.082695
0.0,193.03,8.356278,8.134929
0.0,196.61,8.41524,8.191176
0.0,200.11,8.477482,8.251663
0.0,203.66,8.537097,8.306059
0.0,207.24,8.594164,8.364448
